Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,GAMESSTARTED,OLINEPANCAKES,OLINESACKSALLOWED,DOWNSPLAYED,STAT_KEEP,GAMESPLAYED,YEARBYYEARTEAMINDEX,GAMERATING,SEAS_YEAR,FirstName_y,LastName_y,PLYR_ASSETNAME,Row Excel,Row Editor,YearsPro,Age,PLYR_DRAFTROUND,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,SacksPer1000Snaps,TeamName_y,SkillPointOL
0,LT,Walker,Little,Walker Little,JAX,13,118,9,837,True,13,16,0,0,Walker,Little,LittleWalker_21538,1606.0,1604.0,4.0,26.0,2.0,16.0,Signed,Normal,76.0,0.0,0.0,JAX,tier_4,10.752688172043012,JAX,-1
2,LG,Peter,Skoronski,Peter Skoronski,TEN,15,112,2,927,True,15,29,0,0,Peter,Skoronski,SkoronskiPeter_22698,2428.0,2426.0,2.0,24.0,1.0,29.0,Signed,College_Impact,79.0,0.0,0.0,TEN,tier_4,2.157497303128371,TEN,2
4,RG,Tyler,Booker,Tyler Booker,DAL,12,103,2,856,True,12,10,0,0,Tyler,Booker,BookerTyler_15162,252.0,250.0,0.0,21.0,1.0,10.0,Signed,College_Impact,78.0,0.0,0.0,DAL,tier_4,2.336448598130841,DAL,2
8,RT,Colton,McKivitz,Colton McKivitz,SF,15,141,3,1002,True,15,14,0,0,Colton,McKivitz,McKivitzColton_21115,1764.0,1762.0,5.0,29.0,5.0,14.0,Signed,Normal,79.0,0.0,0.0,SF,tier_4,2.9940119760479043,SF,5
10,RT,Anton,Harrison,Anton Harrison,JAX,13,93,1,841,True,13,16,0,0,Anton,Harrison,HarrisonAnton_22850,1082.0,1080.0,2.0,23.0,1.0,16.0,Signed,Normal,75.0,0.0,0.0,JAX,tier_4,1.1890606420927465,JAX,10
11,C,Jordan,Meredith,Jordan Meredith,LV,11,82,4,676,True,11,22,0,0,Jordan,Meredith,MeredithJordan_22624,1799.0,1797.0,4.0,27.0,63.0,22.0,Signed,Normal,72.0,0.0,0.0,LV,tier_5,5.9171597633136095,LV,0
16,LT,Dan,Moore,Dan Moore,TEN,14,82,8,820,True,14,29,0,0,Dan,Moore,MooreJrDan_21655,1858.0,1856.0,4.0,26.0,4.0,29.0,Signed,Normal,72.0,0.0,0.0,TEN,tier_5,9.75609756097561,TEN,3
18,RT,Armand,Membou,Armand Membou,NYJ,15,122,8,936,True,15,17,0,0,Armand,Membou,MembouArmand_15159,1798.0,1796.0,0.0,21.0,1.0,17.0,Signed,College_Star,81.0,0.0,0.0,NYJ,tier_3,8.547008547008549,NYJ,-2
23,LG,Tyler,Smith,Tyler Smith,DAL,14,97,2,964,True,14,10,0,0,Tyler,Smith,SmithTyler_22445,2476.0,2474.0,3.0,24.0,1.0,10.0,Signed,College_Impact,86.0,0.0,0.0,DAL,tier_2,2.074688796680498,DAL,-1
25,RT,DJ,Glaze,DJ Glaze,LV,15,114,9,872,True,15,22,0,0,DJ,Glaze,GlazeDJ_14731,942.0,940.0,1.0,23.0,3.0,22.0,Signed,Normal,70.0,0.0,0.0,LV,tier_5,10.321100917431194,LV,-3
