FullName,Position,TeamName,SkillPointKick
A.J. Cole,P,LV,-4
Andre Szmyt,K,CLE,1
Andres Borregales,K,NE,0
Austin McNamara,P,NYJ,-3
Blake Grupe,K,IND,1
Braden Mann,P,PHI,-3
Bradley Pinion,P,ATL,-4
Brandon Aubrey,K,DAL,-4
Brandon McManus,K,GB,-3
Bryan Anger,P,DAL,1
Bryce Baringer,P,NE,-3
Cairo Santos,K,CHI,2
Cam Little,K,JAX,-2
Cameron Dicker,K,LAC,2
Chase McLaughlin,K,TB,0
Chris Boswell,K,PIT,1
Corey Bojorquez,P,CLE,-8
Corliss Waitman,P,PIT,-1
Daniel Carlson,K,LV,-4
Daniel Whelan,P,GB,-3
Eddy Pineiro,K,SF,0
Ethan Evans,P,LAR,-5
Evan McPherson,K,CIN,-2
Harrison Butker,K,KC,-10
JK Scott,P,LAC,-1
Jack Fox,P,DET,3
Jake Bailey,P,MIA,1
Jake Bates,K,DET,-7
Jake Elliott,K,PHI,-9
Jake Moody,K,WAS,-2
Jamie Gillan,P,NYG,-7
Jason Myers,K,SEA,1
Jeremy Crawshaw,P,DEN,-5
Joey Slye,K,TEN,-6
Johnny Hekker,P,TEN,-6
Jordan Stout,P,BAL,-1
Ka'imi Fairbairn,K,HOU,-1
Kai Kroeger,P,NO,-4
Logan Cooke,P,JAX,0
Matt Araiza,P,KC,0
Matt Prater,K,BUF,2
Michael Dickson,P,SEA,-1
Mitch Wishnowsky,P,BUF,0
Nick Folk,K,NYJ,3
Rigoberto Sanchez,P,IND,2
Riley Dixon,P,TB,-5
Ryan Fitzgerald,K,CAR,-7
Ryan Rehkow,P,CIN,-1
Ryan Wright,P,MIN,4
Sam Martin,P,CAR,0
Thomas Morstead,P,SF,-3
Tommy Townsend,P,HOU,-2
Tory Taylor,P,CHI,-5
Tress Way,P,WAS,2
Tyler Loop,K,BAL,-4
Wil Lutz,K,DEN,-3
Will Reichard,K,MIN,0
Zane Gonzalez,K,ATL,1
