FullName,Position,TeamName,SkillPointOL
Aaron Banks,LG,GB,3
Aaron Brewer,C,MIA,5
Abraham Lucas,RT,SEA,5
Aireontae Ersery,LT,HOU,4
Alaric Jackson,LT,LAR,5
Alex Cappa,RG,LV,-5
Alex Palczewski,LG,DEN,7
Amarius Mims,RT,CIN,3
Andrew Thomas,LT,NYG,4
Andrew Vorhees,LG,BAL,4
Anthony Bradford,RG,SEA,1
Anton Harrison,RT,JAX,10
Armand Membou,RT,NYJ,-2
Austin Corbett,LG,CAR,-1
Austin Deculus,RT,LAC,1
Ben Bredeson,LG,TB,6
Bernhard Raimann,LT,IND,-1
Blake Brandel,RG,MIN,-3
Braden Smith,RT,IND,8
Bradley Bozeman,C,LAC,4
Brian O'Neill,RT,MIN,2
Broderick Jones,LT,PIT,3
Cade Mays,C,CAR,12
Cam Jurgens,C,PHI,10
Cam Robinson,LT,CLE,0
Cesar Ruiz,RG,NO,-1
Charles Cross,LT,SEA,8
Charlie Heck,LT,TB,4
Chris Lindstrom,RG,ATL,1
Chris Paul,LG,WAS,3
Christian Darrisaw,LT,MIN,6
Cole Strange,RG,MIA,7
Cole Van Lanen,RG,JAX,7
Coleman Shelton,C,LAR,5
Colton McKivitz,RT,SF,5
Connor Colby,LG,SF,-2
Connor McGovern,C,BUF,10
Creed Humphrey,C,KC,-1
DJ Glaze,RT,LV,-3
Dalton Risner,RG,CIN,0
Damien Lewis,LG,CAR,2
Dan Moore,LT,TEN,3
Daniel Faalele,RG,BAL,0
Darnell Wright,RT,CHI,6
David Edwards,LG,BUF,2
Dion Dawkins,LT,BUF,2
Dominick Puni,RG,SF,10
Donovan Jackson,LG,MIN,3
Drew Dalman,C,CHI,8
Dylan Fairchild,LG,CIN,7
Dylan Parham,LG,LV,-3
Ed Ingram,RG,HOU,-4
Elijah Wilkinson,RT,ATL,3
Ethan Pocic,C,CLE,3
Ezra Cleveland,LG,JAX,2
Fred Johnson,LT,PHI,13
Garrett Bradbury,C,NE,10
Graham Barton,C,TB,0
Graham Glasgow,LG,DET,6
Greg Van Roten,RG,NYG,3
Grey Zabel,LG,SEA,3
Ikem Ekwonu,LT,CAR,5
Isaac Seumalo,LG,PIT,1
JC Latham,RT,TEN,-4
Jake Andrews,C,HOU,6
Jake Brendel,C,SF,10
Jake Matthews,LT,ATL,2
Jalen Rivers,RG,CIN,1
Jalen Sundell,C,SEA,13
Jamaree Salyer,RG,LAC,-5
Jared Wilson,LG,NE,1
Jawaan Taylor,RT,KC,6
Jaylon Moore,RT,KC,0
Jermaine Eluemunor,RT,NYG,2
Joe Thuney,LG,CHI,4
Joe Tippmann,RG,NYJ,-7
Joel Bitonio,LG,CLE,4
John Michael Schmitz Jr,C,NYG,6
John Simpson,LG,NYJ,-1
Jon Runyan,LG,NYG,3
Jonah Jackson,RG,CHI,2
Jonah Savaiinaea,LG,MIA,-2
Jordan Mailata,LT,PHI,6
Jordan Meredith,C,LV,0
Jordan Morgan,RG,GB,-3
Josh Conerly Jr,RT,WAS,1
Josh Myers,C,NYJ,3
Justin Skule,LT,MIN,-5
KT Leveston,RT,CLE,-2
Kelvin Banks Jr,LT,NO,10
Kevin Dotson,RG,LAR,-2
Kevin Zeitler,RG,TEN,-6
Kingsley Suamataia,LG,KC,3
Landon Dickerson,LG,PHI,-5
Lane Johnson,RT,PHI,4
Laremy Tunsil,LT,WAS,4
Larry Borom,RT,MIA,7
Lloyd Cushenberry III,C,TEN,-3
Luke Fortner,C,NO,0
Luke Wattenberg,C,DEN,10
Mason McCormick,RG,PIT,0
Matt Goncalves,RG,IND,3
Matthew Bergeron,LG,ATL,5
Mekhi Becton Sr,RG,LAC,3
Mike Caliendo,RG,KC,-2
Mike McGlinchey,RT,DEN,10
Mike Onwenu,RG,NE,1
Morgan Moses,RT,NE,8
O'Cyrus Torrence,RG,BUF,3
Olu Fashanu,LT,NYJ,3
Ozzy Trapilo,LT,CHI,6
Patrick Mekari,RG,JAX,3
Patrick Paul,LT,MIA,12
Penei Sewell,RT,DET,3
Peter Skoronski,LG,TEN,2
Quenton Nelson,LG,IND,1
Quinn Meinerz,RG,DEN,-3
Rasheed Walker,LT,GB,5
Robert Hainsey,C,JAX,3
Roger Rosengarten,RT,BAL,6
Ronnie Stanley,LT,BAL,4
Ryan Neuzil,C,ATL,10
Sean Rhyan,LG,GB,7
Spencer Brown,RT,BUF,4
Steve Avila,LG,LAR,5
Stone Forsythe,RT,LV,-5
Taliese Fuaga,RT,NO,3
Tanor Bortolini,C,IND,8
Tate Ratledge,RG,DET,3
Taylor Decker,LT,DET,8
Taylor Moton,RT,CAR,4
Ted Karras,C,CIN,6
Terence Steele,RT,DAL,3
Theo Benedet,RT,CHI,7
Trent Williams,LT,SF,-1
Trevor Penning,LT,LAC,4
Trey Pipkins III,RT,LAC,4
Trey Smith,RG,KC,2
Tristan Wirfs,LT,TB,4
Troy Fautanu,RT,PIT,10
Tyler Biadasz,C,WAS,2
Tyler Booker,RG,DAL,2
Tyler Smith,LG,DAL,-1
Tyler Steen,RG,PHI,3
Tytus Howard,LT,HOU,10
Walker Little,LT,JAX,-1
Will Campbell,LT,NE,1
Will Fries,RG,MIN,2
Wyatt Teller,RG,CLE,-1
Zach Tom,RT,GB,6
Zion Johnson,LG,LAC,2
