FullName,Position,TeamName,SkillPointOL
Aaryn Parks,LG,ATL,4
Beaux Limmer,LG,CAR,1
Ben Bartch,LG,CIN,1
Benjamin Eppard,C,BUF,-2
Braeden Daniels,RG,GB,-1
Braydon Hall,RT,PIT,4
Brenton Mayes,LT,BUF,-2
Brian Ruggs,C,LV,1
Broderick Jones,LT,CHI,-4
Cade McConnell,LT,DEN,1
Caleb Holloway,LT,SF,1
Cameron Jurgens,C,JAX,3
Carson Edmonds,LT,DET,-3
Carson Hinzman,RG,SF,0
Cesar Ruiz,RG,ATL,0
Charlie Duggan,LG,IND,1
Charlie English,C,PHI,1
Chauncey Kamakea,C,ATL,-1
Cody Ince,LG,SEA,1
Cody Lovell,C,ARI,1
Colby Mooney,RT,CHI,4
Cory Hendrix,RG,TB,-3
Craig McQueen,RT,JAX,0
D.J. Rogers,RG,LAC,1
Dakota McCain,LG,SF,1
Damon Alexander,RG,IND,8
Daniel Ellison,LG,GB,1
Darrius Davis,RT,DAL,-5
DeVante Stoudemire,LG,KC,-2
Deandre Mitchell,RG,CLE,-5
Dee Cleveland,LT,IND,0
Derrell Johnson,RG,LAC,-8
Deshaun Woods,LG,WAS,-5
Devin Middleton,C,SEA,-3
Devon Campbell,RG,CAR,1
Dextrell Irving,LT,LV,4
Dion McBride,LG,WAS,1
Dominique Metcalf,LG,PHI,1
Donovan Jackson,RG,NE,-1
Drake Metcalf,C,DAL,-3
Drew Kendall,LG,DAL,0
Dylan Fairchild,LG,CIN,4
Earnest Greene,RG,JAX,12
Eddie Russell,LT,CAR,4
Elijah Pritchett,LT,ATL,3
Emil Ekiyor Jr.,RG,NYJ,6
Enrique Reyes,RT,MIA,-3
Eric Roseman,C,NYG,0
Erik McCoy,C,NO,3
Ethan Chamberlain,C,DET,1
Greg Crippen,RG,BAL,-2
Harris Sewell,C,CHI,4
Ikem Ekwonu,LG,ARI,0
Isendre Ahfua,LG,BUF,-1
J.B. Nelson,LT,PIT,-2
JC Latham,LT,MIN,0
Jack Nelson,LG,MIN,0
Jamaal Jarrett,RT,SF,-2
James Brockermeyer,C,TEN,2
Jaren Moore,RT,NYG,12
Jarrett Patterson,C,HOU,0
Jay Scott,RG,TEN,4
Jedrick Wills Jr,LT,NYG,-2
Jeff Brooks,LG,HOU,-3
Jeremiah Cobbs,LT,BAL,-2
Jeremiah Mason,C,TB,4
Jimothy Lewis,RT,LAR,-1
Joe Brunner,RT,CAR,1
Jonah Miller,LG,NO,4
Jonah Williams,LT,LAC,4
Josh Bronner,RT,KC,-7
Josh Fisher,RG,CHI,-2
Josh Howard,LG,NYJ,1
Julian Armella,LT,CLE,0
Justin Foster,RG,NO,0
Kadyn Proctor,RT,WAS,1
Kam Dewberry,RG,PHI,-3
Kamron Scott,LG,DEN,-6
Kevin Crowley,LG,PIT,-1
Khalon Davis,LT,NO,1
Kinglsey Suamataia,LT,LAR,0
Kiyaunta Goodwin,RT,NYJ,4
Klay Donaghy,C,KC,-2
LaDarius Combs,RT,PHI,4
Lamar Harrison,RG,LAR,0
Landon Dickerson,LG,CHI,-1
Larry Gaines,LG,MIA,4
Larry Samuel,RG,DEN,-4
Logan Brown,LT,JAX,0
Logan Parr,RG,HOU,9
Logan Reichert,LT,SEA,-2
Luke Darby,RT,LV,6
Luke Roth,RT,NO,-2
Marcus Ferrell,LT,TB,-4
Marcus Kendricks,RG,DET,-2
Mark Finney,C,CLE,-1
Mark Welch,C,SF,-3
Mateo Camarillo,LT,PHI,9
Matt Kendricks,C,IND,3
Matt Nickerson,LG,MIA,2
Matthew Mann,LG,NYG,0
Matthew Middleton,C,PIT,12
Matthias Winters,LT,NE,1
Mekhi Becton,LT,NYJ,-4
Michael Mokofisi,RG,BUF,-3
Morris Thornton,C,NYJ,1
Najee Bethel,C,WAS,-1
Neto Umeozulu,C,GB,-3
Nick Tobin,RT,CIN,-5
Nolan Rucci,LT,WAS,-4
Paris Johnson Jr.,LT,HOU,-4
Pat Nowak,C,MIA,1
Penei Sewell,RT,DET,-4
Peter Coker,C,MIN,-3
Peter Skoronski,RG,NYG,0
Phillip Koerner,RT,ATL,1
Quandre Brooks,LG,DET,0
Quenton Nelson,LG,NE,1
Raekwon Heyward,RG,PIT,1
Rajon Peters,LT,KC,-1
Randy Berry,RG,DAL,4
Rasheed Walker,RT,ARI,12
Reuben Fatheree II,LT,DAL,1
Reuben Unije,RT,HOU,0
Ricky McKinney,RT,LAC,12
Roy Barrett,RT,NE,2
Ryan Hayes,LT,ARI,4
Ryan Stevens,LT,IND,-2
Sal Rowe,C,CIN,4
Seth Windham,LT,CIN,0
Sheridan Wilson,LG,SEA,4
Sioape Vatikani,LG,CLE,4
Skylar Baker,C,DEN,-1
Stephen Poole,RT,BAL,4
Steven Douglas,LG,JAX,3
Thad Barber,C,NE,4
Titus Givens,LG,TEN,-1
Tom Pace,LG,LV,1
Tommy Brockermeyer,LT,TEN,-2
Travis McKenzie,LT,MIN,4
Trey Smith,RG,KC,-1
Treyvon Yarborough,LT,GB,0
Tristan Wirfs,RT,TB,1
Tyler Linderbaum,C,LAR,-1
Tyler Vrabel,RT,TEN,-7
Tyron Callahan,LG,TB,-1
Warren McClendon,RT,MIA,-3
Will Campbell,RT,BUF,-3
Will Nowak,RG,MIN,0
Yousef Mugharbil,LG,LAR,0
Zac Peerman,LG,ARI,-1
Zach Rice,RT,CLE,-4
Zhaire Guyton,C,LAC,-3
