Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,RUSHYARDS,PASSYARDS,RECEIVEDROPS,RUSHYARDSAFTER1STHIT,RECEIVEYARDS,RECEIVELONGEST,DOWNSPLAYED,RECEIVEYARDSAFTER,STAT_KEEP,PASSCOMPLETED,RUSHATTEMPTS,PASSATTEMPTS,PASSINTS,RECEIVECATCHES,FIRSTDOWNS,RUSH20YARDRUNS,SEAS_YEAR,RUSHLONGEST,PASSLONGEST,RUSHBROKENTACKLES,4QCOMEBACKS,GAMERATING,PASSSACKED,PASSTDS,RECEIVETDS,GAMESPLAYED,GAMESSTARTED,RUSHFUMBLES,YEARBYYEARTEAMINDEX,RUSHTDS,FirstName_y,LastName_y,Row Excel,Row Editor,TeamIndex,ContractStatus,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,ScrimmageYardsPerGame,ScrimmageTDsPerGame,TeamName_y,SkillPointOff
7,WR,Davante,Adams,Davante Adams,NYJ,1,0,0,0,805,30,835,286,True,0,3,0,0,59,0,0,3,4,0,0,0,0,0,0,4,15,15,0,17,0,Davante,Adams,6.0,4.0,17.0,Signed,86.0,0.0,0.0,NYJ,tier_2,53.733333333333334,0.26666666666666666,NYJ,-5.0
8,WR,Parker,Washington,Parker Washington,CLE,0,0,0,0,0,0,70,0,True,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,14,3,0,4,0,Parker,Washington,2140.0,2138.0,4.0,Signed,71.0,0.0,0.0,CLE,tier_5,0.0,0.0,CLE,-2.0
9,WR,Jalen,Tolbert,Jalen Tolbert,DAL,4,0,2,0,433,43,415,183,True,0,1,0,0,37,0,0,3,4,0,1,0,0,0,0,1,12,8,0,10,0,Jalen,Tolbert,3379.0,3377.0,10.0,Signed,73.0,0.0,0.0,DAL,tier_5,36.416666666666664,0.08333333333333333,DAL,-1.0
35,QB,Jacob,Sirmon,Jacob Sirmon,NYJ,26,923,0,0,0,0,234,0,True,75,9,119,3,0,0,0,3,4,28,0,0,0,11,6,0,10,3,2,17,0,Jacob,Sirmon,3223.0,3221.0,17.0,Signed,55.0,0.0,0.0,NYJ,tier_6,2.6,0.0,,
56,WR,Terrace,Marshall Jr,Terrace Marshall Jr,CAR,4,0,3,0,902,28,712,338,True,0,1,0,0,70,0,0,3,4,0,0,0,0,0,0,4,15,15,0,20,0,Terrace,Marshall Jr,1690.0,1688.0,20.0,Signed,79.0,0.0,0.0,CAR,tier_4,60.4,0.26666666666666666,CAR,0.0
102,TE,Charlie,Kolar,Charlie Kolar,DAL,0,0,1,0,111,21,552,71,True,0,0,0,0,15,0,0,3,0,0,0,0,0,0,0,0,15,2,0,10,0,Charlie,Kolar,3423.0,3421.0,10.0,Signed,64.0,0.0,0.0,DAL,tier_6,7.4,0.0,DAL,0.0
105,WR,Simi,Fehoko,Simi Fehoko,DAL,0,0,2,0,130,26,170,46,True,0,0,0,0,9,0,0,3,0,0,0,0,0,0,0,1,12,3,0,10,0,Simi,Fehoko,798.0,796.0,10.0,Signed,67.0,0.0,0.0,DAL,tier_6,10.833333333333334,0.08333333333333333,DAL,0.0
126,WR,Stefon,Diggs,Stefon Diggs,ARI,11,0,1,0,1228,32,934,399,True,0,6,0,0,87,0,0,3,4,0,1,0,0,0,0,7,15,15,0,6,0,Stefon,Diggs,658.0,656.0,6.0,Signed,86.0,0.0,0.0,ARI,tier_2,82.6,0.4666666666666667,ARI,5.0
129,HB,Austin,Ekeler,Austin Ekeler,ARI,490,0,1,96,245,24,549,161,True,0,142,0,0,26,0,2,3,45,0,7,0,0,0,0,2,14,14,2,6,4,Austin,Ekeler,744.0,742.0,6.0,Signed,74.0,0.0,0.0,ARI,tier_5,52.5,0.42857142857142855,ARI,4.0
134,HB,Jatarvious,Whitlow,Jatarvious Whitlow,SF,228,0,0,0,72,19,292,37,True,0,94,0,0,10,0,0,3,4,0,0,0,0,0,0,1,15,4,0,14,3,Jatarvious,Whitlow,3557.0,3555.0,14.0,Signed,64.0,0.0,0.0,SF,tier_6,20.0,0.26666666666666666,SF,2.0
141,FB,Ben,Mason,Ben Mason,NYG,3,0,0,0,15,6,375,20,True,0,2,0,0,3,0,0,3,4,0,0,0,0,0,0,0,15,4,0,15,0,Ben,Mason,1703.0,1701.0,15.0,Signed,72.0,0.0,0.0,NYG,tier_5,1.2,0.0,,
157,QB,Phil,Jurkovec,Phil Jurkovec,GB,53,1303,0,3,0,0,378,0,True,109,17,180,2,0,0,0,3,7,29,1,0,0,21,8,0,15,5,1,19,0,Phil,Jurkovec,3290.0,3288.0,19.0,Signed,58.0,0.0,0.0,GB,tier_6,3.533333333333333,0.0,,
159,TE,Jude,Wolfe,Jude Wolfe,DAL,0,0,0,0,17,17,220,4,True,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,15,2,0,10,0,Jude,Wolfe,1482.0,1480.0,10.0,Signed,63.0,0.0,0.0,DAL,tier_6,1.1333333333333333,0.0,DAL,0.0
180,QB,Patrick,Mahomes,Patrick Mahomes,KC,171,3898,0,9,0,0,989,0,True,346,56,503,8,0,0,0,3,13,33,1,0,0,23,37,0,15,15,3,8,4,Patrick,Mahomes,1676.0,1674.0,8.0,Signed,97.0,0.0,0.0,KC,tier_0,11.4,0.26666666666666666,,
189,TE,Hudson,Henry,Hudson Henry,KC,0,0,0,0,38,18,190,16,True,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,1,15,1,0,8,0,Hudson,Henry,3277.0,3275.0,8.0,Signed,74.0,0.0,0.0,KC,tier_5,2.533333333333333,0.06666666666666667,KC,-3.0
191,WR,Amari,Rodgers,Amari Rodgers,GB,0,0,0,0,844,25,937,313,True,0,0,0,0,64,0,0,3,0,0,0,0,0,0,0,5,15,15,1,19,0,Amari,Rodgers,2258.0,2256.0,19.0,Signed,82.0,0.0,0.0,GB,tier_3,56.266666666666666,0.3333333333333333,GB,0.0
201,TE,Dominique,Dafney,Dominique Dafney,NYG,0,0,0,0,49,9,457,37,True,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,15,4,0,15,0,Dominique,Dafney,569.0,567.0,15.0,Signed,68.0,0.0,0.0,NYG,tier_6,3.2666666666666666,0.0,NYG,0.0
214,WR,Elijah,Moore,Elijah Moore,NYJ,14,0,0,0,831,27,906,360,True,0,5,0,0,70,0,0,3,4,0,0,0,0,0,0,8,15,15,0,17,0,Elijah,Moore,1856.0,1854.0,17.0,Signed,85.0,0.0,0.0,NYJ,tier_2,56.333333333333336,0.5333333333333333,NYJ,2.0
226,HB,Alexander,Mattison,Alexander Mattison,GB,724,0,3,295,269,24,500,178,True,0,158,0,0,25,0,8,3,56,0,14,0,0,0,0,0,11,11,0,19,3,Alexander,Mattison,1712.0,1710.0,19.0,Signed,78.0,0.0,0.0,GB,tier_4,90.27272727272727,0.2727272727272727,GB,5.0
245,TE,Gerald,Everett,Gerald Everett,NYJ,3,0,0,0,10,10,298,12,True,0,2,0,0,1,0,0,3,3,0,0,0,0,0,0,0,15,1,0,17,1,Gerald,Everett,782.0,780.0,17.0,Signed,66.0,0.0,0.0,NYJ,tier_6,0.8666666666666667,0.06666666666666667,NYJ,0.0
246,QB,Jack,West,Jack West,KC,0,0,0,0,0,0,70,0,True,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,15,1,0,8,0,Jack,West,1635.0,1633.0,8.0,Signed,54.0,0.0,0.0,KC,tier_6,0.0,0.0,,
278,FB,Masen,Wake,Masen Wake,DAL,4,0,0,0,1,1,244,2,True,0,1,0,0,1,0,0,3,4,0,0,0,0,0,0,0,15,2,0,10,0,Masen,Wake,2582.0,2580.0,10.0,Signed,70.0,0.0,0.0,DAL,tier_5,0.3333333333333333,0.0,,
296,HB,Kendall,Milton,Kendall Milton,NYG,369,0,1,98,268,19,509,193,True,0,97,0,0,34,0,1,3,21,0,11,0,0,0,0,0,13,12,0,15,3,Kendall,Milton,1502.0,1500.0,15.0,Signed,77.0,0.0,0.0,NYG,tier_4,49.0,0.23076923076923078,NYG,1.0
318,HB,Jaylan,Knighton,Jaylan Knighton,DAL,1082,0,0,353,266,20,779,261,True,0,272,0,0,44,0,9,3,57,0,24,0,0,0,0,1,15,15,0,10,6,Jaylan,Knighton,3242.0,3240.0,10.0,Signed,81.0,0.0,0.0,DAL,tier_3,89.86666666666666,0.4666666666666667,DAL,3.0
