FullName,Position,TeamName,SkillPointOL
Aaron Banks,RG,SF,0
Alec Lindstrom,C,TEN,-4
Ali Marpet,LG,TB,-1
Alijah Vera-Tucker,LG,NYJ,-7
Amarius Mims,RT,PIT,0
Andre James,C,NYJ,0
Andrew Kristofic,RT,GB,0
Andrew Norwell,LG,JAX,-6
Andrew Thomas,LT,WAS,4
Andrew Wylie,RG,LAC,3
Andrus Peat,LG,NO,-2
Asim Richards,RG,LV,12
Austin Corbett,RG,TEN,0
Austin Jackson,LG,LV,3
Beaux Limmer,LG,CAR,8
Ben Bartch,LG,MIN,-2
Ben Brown,C,SEA,5
Bobby Evans Jr,RG,BUF,3
Bobby Hart,RT,MIA,12
Braden Smith,RT,IND,2
Brady Latham,RG,CAR,3
Braeden Daniels,RG,CHI,10
Brandon Linder,C,JAX,-3
Brandon Scherff,RG,WAS,-2
Brian Allen,C,SF,1
Brian O'Neill,RT,MIN,2
Cade Mays,RG,NYJ,-2
Caedan Wallace,RT,NYJ,-3
Cam Robinson,LT,SEA,0
Cesar Ruiz,RG,NO,0
Charles Cross,LT,LV,0
Chase Roullier,C,LV,-2
Chris Lindstrom,RG,ATL,4
Christian Darrisaw,LT,MIN,-4
Chukwuma Okorafor,LT,ATL,0
Cody Ford,LG,MIA,-5
Connor McGovern,LG,ARI,-1
Connor Williams,LG,CIN,8
Cooper Hodges,RG,IND,-2
Corey Linsley,C,LAC,-7
Creed Humphrey,C,KC,1
Curtis Dunlap Jr.,LG,HOU,-4
D.J. Humphries,LT,ARI,2
Damien Lewis,LG,SEA,-1
Dan Becker,LT,TEN,-5
Darian Kinnard,LG,LAC,0
David Andrews,C,NE,-1
David Bakhtiari,LT,GB,-1
David Edwards,LG,LAR,-1
Dion Dawkins,LT,BUF,-4
Dohnovan West,C,GB,0
Dylan Parham,RG,SF,-4
Ed Ingram,LG,ARI,6
Elgton Jenkins,LG,GB,0
Emil Ekiyor Jr.,RG,MIN,0
Ereck Flowers,LG,NYG,5
Erik McCoy,C,NO,1
Ethan Pocic,C,MIA,-2
Evan Neal,RT,NYG,-3
Ezra Cleveland,LG,PIT,-1
Frank Ragnow,C,DET,0
Garett Bolles,LT,CLE,-3
Garrett Bradbury,C,MIN,3
Germain Ifedi,RT,LV,-3
Greg Little,LT,MIA,4
Ike Boettger,RG,DET,0
Ikem Ekwonu,LG,DAL,1
Isaiah Wynn,LT,NE,0
JC Latham,LT,PIT,-6
JC Tretter,C,LAR,0
Jack Anderson,RG,HOU,-2
Jack Conklin,RT,CLE,-4
Jackson Carman,RG,CIN,3
Jamaree Salyer,LG,GB,-2
James Daniels,RG,LAR,0
James Hudson III,LT,CLE,0
Jarrett Patterson,C,BAL,0
Jason Kelce,C,PHI,3
Jawaan Taylor,RT,JAX,0
Jaxson Kirkland,LT,CAR,-2
Jedrick Wills Jr,LT,NYG,-4
Joe Thuney,LG,KC,3
Joel Bitonio,LG,CLE,-1
Jon Runyan,LG,ATL,-2
Jonah Jackson,LG,DET,-6
Jonah Tauanuu,RT,DEN,-2
Jonah Williams,LT,CIN,0
Jordan Mailata,LT,PHI,-1
Josh Braun,LG,LAR,2
Josh Jones,RT,LAC,0
Juice Scruggs,C,IND,-2
Junior Angilau,RG,HOU,-4
Kendrick Green,C,PIT,-1
Kenyon Green,RG,NYG,3
Kevin Dotson,LG,TEN,-3
Kinglsey Suamataia,LT,LAR,-3
Kolton Miller,LT,DEN,-2
La'el Collins,RT,DAL,-1
Landon Dickerson,LG,CHI,6
Lloyd Cushenberry III,C,NYG,-3
Logan Brown,LT,BAL,2
Lucas Niang,RT,KC,4
Luke Matthews,C,CAR,3
Malaesala Aumavae-Laulu,RG,WAS,-5
Marquis Hayes,LG,PHI,2
Mason Miller,LT,CAR,0
Matt Hennessy,C,ATL,2
Maurice Smith,C,WAS,6
Mekhi Becton,LT,NYJ,-2
Mike McGlinchey,RT,SF,1
Mike Onwenu,LG,NE,0
Mitch Morse,C,BUF,10
Myron Cunningham,RT,PHI,0
Nate Herbig,RG,MIA,-2
Netane Muti,LG,BUF,0
Nicholas Petit-Frere,RT,HOU,-2
Nick Broeker,LT,HOU,3
Nick Gates,C,CIN,2
Nick Harris,C,CLE,3
Obinna Eze,RT,TEN,3
Orlando Brown,LT,KC,0
Paris Johnson Jr.,LT,ATL,2
Penei Sewell,RT,DET,-6
Quenton Nelson,LG,IND,-4
Quinn Meinerz,RG,DEN,2
Rafiti Ghirmai,C,HOU,6
Rashawn Slater,LT,LAC,-2
Rasheed Walker,RT,ARI,3
Rob Havenstein,RT,LAR,0
Robert Hunt,RG,JAX,2
Ronnie Stanley,LT,BAL,-2
Ryan Hayes,LT,SF,0
Ryan Jensen,C,TB,1
Ryan Kelly,C,CHI,-3
Ryan Ramczyk,RT,NO,0
Ryan Van Demark,LT,SEA,3
Sam Cosmi,RT,WAS,3
Sean Rhyan,LT,IND,0
Sedrick Van Pran,C,DEN,-4
Seth Anderson,LG,DEN,0
Shaq Mason,RG,NE,6
Spencer Brown,LT,BUF,5
Steven Jones,RT,PHI,3
Taylor Decker,LT,DET,-3
Taylor Moton,RT,CAR,-2
Terron Armstead,LT,NO,-1
Teven Jenkins,LT,CHI,1
Trai Turner,RG,PIT,3
Trent Brown,RT,NE,6
Trey Smith,RG,KC,1
Turner Corcoran,LT,TB,2
Tyler Biadasz,C,DAL,0
Tyler Linderbaum,C,ARI,-5
Tyre Phillips,LG,BAL,1
Tyron Smith,LT,DAL,0
Walker Little,LT,JAX,6
Will Craig,LT,TB,6
Will Hernandez,RG,BAL,-1
Wyatt Davis,RG,SEA,0
Wyatt Teller,RG,CLE,-3
Zack Martin,RG,DAL,-3
Zion Johnson,LG,TB,12
