FullName,Position,TeamName,SkillPointKick
A.J. Cole III,P,PHI,-5
Adam Williams,P,ATL,0
Aldrick Rosas,K,NYG,2
Andre Szmyt,K,MIN,3
Arryn Siposs,P,DEN,3
Austin McNamara,P,SF,1
Austin Seibert,K,IND,4
Blake Mazza,K,NYJ,-5
Braden Mann,P,GB,0
Bradley Pinion,P,JAX,0
Brandon McManus,K,SEA,0
Brandon Wright,P,HOU,0
Brett Kern,P,LV,0
Cade York,K,DET,3
Cairo Santos,K,SF,-5
Caleb Griffin,K,TB,-6
Camden Lewis,K,DAL,-2
Chris Jones,P,MIN,1
Colby Wadman,P,DET,0
Dom Maggio,P,TB,-1
Evan McPherson,K,CHI,-9
Gabe Brkic,K,HOU,0
Graham Gano,K,LV,-6
Harrison Butker,K,KC,2
Hunter Niswander,P,CHI,4
Issac Power,P,LAC,0
J.K. Scott,P,NYG,-3
Jack Fox,P,IND,-3
Jack Podlesny,K,ATL,8
Jake Camarda,P,BAL,1
Jake Elliott,K,PHI,-1
James Williams,K,NO,3
Jason Sanders,K,MIA,-9
Joey Slye,K,NE,-5
John Mayers,K,ARI,-1
Jordy Sandy,P,DAL,1
Josh Lambo,K,JAX,3
Justin Rohrwasser,K,CIN,6
Justin Tucker,K,CAR,2
Ka'imi Fairbairn,K,WAS,4
Matt Gay,K,LAR,-7
Matt Haack,P,NE,0
Matthew Wright,K,BAL,1
Michael Dickson,P,SEA,-6
Michael Palardy,P,LAR,1
Michael Turk,P,CAR,0
Mitch Wishnowsky,P,KC,0
Parker Lewis,K,LAC,1
Pressley Harvin III,P,PIT,0
Rigoberto Sanchez,P,CIN,0
Ryan Bujcevski,P,NO,0
Ryan Succop,K,KC,8
Ryan Winslow,P,BUF,-1
Sam Sloman,K,TEN,-4
Sterling Hofrichter,P,CLE,-1
Tom Hutton,P,ARI,-1
Tommy Townsend,P,MIA,2
Tory Taylor,P,TEN,1
Tress Way,P,WAS,-1
Trey Wolff,K,CLE,3
Tristan Vizcaino,K,BUF,-7
Tucker Day,P,NYJ,2
Wil Lutz,K,DEN,-2
Younghoe Koo,K,GB,1
Zane Gonzalez,K,PIT,2
