FullName,Position,TeamName,SkillPointOL
Aaron Banks,LG,DET,0
Abraham Lucas,RT,CAR,-3
Ajani Cornelius,RG,DET,5
Alex Birchmeier,LG,NO,1
Alijah Vera-Tucker,RT,LAR,-3
Aliou Bah,RG,ARI,11
Amarius Mims,LT,DAL,-8
Andrew Raym,C,CIN,6
Andrew Thomas,LT,NYG,4
Andrew Vorhees,LG,NYG,10
Anthony Bradford,LG,TB,0
Anton Harrison,LT,JAX,-1
Austin Corbett,RG,NO,8
Beau Stephens,LG,CLE,-2
Beaux Limmer,C,WAS,5
Ben Christman,LG,ARI,4
Blake Miller,LT,MIA,0
Braden Smith,RT,HOU,0
Brady Christensen,LG,CAR,0
Brandon Baker,LT,TB,-1
Brandon Coleman,LT,HOU,1
Brandon Scherff,RG,CIN,8
Braxton Jones,LT,IND,-4
Brian O'Neill,RT,CAR,-4
Broderick Jones,LT,PIT,1
Bryce Foster,C,CAR,2
Caedan Wallace,LT,CLE,-3
Caleb Siech,RT,LV,3
Calvin Clements,RT,CHI,5
Cam Robinson,LT,KC,0
Cam'Ron Johnson,RG,SF,11
Carson Hinzman,C,SEA,0
Cayden Green,LT,ATL,-5
Cesar Ruiz,RG,SEA,10
Charles Cross,LT,SEA,-4
Chase Bisontis,RG,LAR,11
Chris Lindstrom,RG,ATL,4
Christian Darrisaw,LT,MIN,0
Cole Hutson,LG,BAL,1
Cole Strange,LG,DEN,1
Connor Lew,C,ARI,-6
Connor McGovern,LG,ATL,-6
Connor Williams,C,MIA,-1
Cooper Beebee,LG,JAX,-1
Creed Humphrey,C,KC,3
DJ Campbell,RG,CLE,7
Darnell Wright,RT,CHI,10
Dashaun Harris,C,CLE,-5
Demetrius Hunter,C,PHI,-5
Dion Dawkins,LT,BUF,6
Donovan Jackson,RG,LV,5
Drake Nugent,C,DAL,-4
Drew Azzopardi,LT,NO,1
Drew Kendall,C,TEN,-3
Ed Ingram,RG,CHI,8
Elgton Jenkins,LG,WAS,4
Eli Sutton,RT,DEN,3
Elijah Pritchett,LT,NYG,2
Emery Jones Jr,RT,NO,-3
Erik McCoy,C,NO,0
Evan Brown,C,NYG,-6
Evan Neal,RT,SEA,1
Ezra Cleveland,LG,JAX,6
Ezra Dotson-Oyetade,C,CHI,2
Francis Mauigoa,RT,JAX,1
Frank Ragnow,C,DET,1
Garrett Dellinger,RG,CAR,10
Garrett Schwiebert,LG,BUF,3
Graham Barton,LG,WAS,10
Graham Glasgow,RG,NYJ,11
Harris Sewell,LG,LAC,2
Hjalte Froholdt,C,MIN,0
Iapani Laloulu,C,PIT,-3
J'ven Williams,LT,GB,6
JC Latham,RT,GB,10
Jack Conklin,RT,PIT,6
Jack Hollifield,C,DEN,5
Jack Nelson,RT,DAL,-7
Jackson Powers-Johnson,C,BUF,2
Jacob Allen,RG,IND,6
Jacob Gideon,C,LAC,1
Jager Burton,C,GB,0
Jake Brendel,C,HOU,4
Jake Matthews,LT,HOU,0
Jake Renfro,C,NE,2
Jamaree Salyer,RG,LAC,8
Jedrick Wills Jr,LT,NE,6
Joe Alt,LT,NYJ,6
Joe Thuney,LG,CIN,2
Joel Bitonio,LG,NE,1
Jon Gaines II,LG,GB,0
Jonah Williams,LT,ARI,6
Jonathan Denis,C,SF,7
Jordan Mailata,LT,PHI,-1
Jordan Seaton,LT,NYJ,-3
Josh Kreutz,C,BAL,6
Josh Myers,C,TB,6
Juice Scruggs,C,IND,-1
Kadyn Proctor,LT,CLE,-2
Kaleb McGary,RT,ATL,-3
Keaton Bills,LG,TEN,4
Kelvin Banks Jr,LG,LV,0
Kenyon Green,LG,HOU,5
Kevin Dotson,RG,TEN,6
Kinglsey Suamataia,RT,SF,-2
Kiran Amegadjie,RG,GB,8
Kolton Miller,LT,DEN,-1
LaDarius Henderson,LG,MIA,0
Lamar Robinson,C,LAR,-3
Lance Heard,RG,HOU,12
Landon Dickerson,LG,PHI,-3
Lane Johnson,RT,PHI,-1
Laremy Tunsil,LT,LV,1
Logan Purcell,LT,SEA,-5
Logan Taylor,RT,KC,0
Luke Goedeke,RT,ARI,4
Mackey Maillho,RT,TEN,3
Marcus Henderson,LG,PHI,8
