Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,GAMESSTARTED,OLINEPANCAKES,OLINESACKSALLOWED,DOWNSPLAYED,STAT_KEEP,GAMESPLAYED,YEARBYYEARTEAMINDEX,GAMERATING,SEAS_YEAR,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,Age,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,SacksPer1000Snaps,TeamName_y,SkillPointOL
18,LG,Steve,Avila,Steve Avila,LAR,16,4,6,1178,False,16,23,0,4,Steve,Avila,118.0,116.0,4.0,27.0,23.0,Signed,Normal,83.0,0.0,0.0,LAR,tier_3,5.093378607809847,LAR,-4
37,LT,Brandon,Coleman,Brandon Coleman,HOU,11,0,7,781,False,11,31,0,4,Brandon,Coleman,3349.0,3347.0,3.0,26.0,31.0,Signed,Normal,83.0,0.0,0.0,HOU,tier_3,8.962868117797695,HOU,1
51,LT,Elijah,Pritchett,Elijah Pritchett,NYG,13,0,7,952,False,16,15,0,4,Elijah,Pritchett,2346.0,2344.0,0.0,23.0,15.0,Signed,Star,77.0,0.0,0.0,NYG,tier_4,7.352941176470588,NYG,2
52,LG,Andrew,Vorhees,Andrew Vorhees,NYG,13,0,0,922,False,13,15,0,4,Andrew,Vorhees,2917.0,2915.0,4.0,28.0,15.0,Signed,Normal,79.0,0.0,0.0,NYG,tier_4,0.0,NYG,10
65,RT,Jack,Conklin,Jack Conklin,PIT,16,5,6,1025,False,16,28,0,4,Jack,Conklin,557.0,555.0,11.0,33.0,28.0,Signed,Star,74.0,0.0,0.0,PIT,tier_5,5.853658536585366,PIT,6
74,LT,Will,Campbell,Will Campbell,LAR,16,5,8,1098,False,16,23,0,4,Will,Campbell,140.0,138.0,2.0,24.0,23.0,Signed,Normal,76.0,0.0,0.0,LAR,tier_4,7.285974499089253,LAR,2
88,RT,Braden,Smith,Braden Smith,HOU,16,0,11,1094,False,16,31,0,4,Braden,Smith,2584.0,2582.0,9.0,31.0,31.0,Signed,Star,79.0,0.0,0.0,HOU,tier_4,10.054844606946984,HOU,0
98,RT,Paris,Johnson Jr,Paris Johnson Jr,NYG,8,0,5,774,False,16,15,0,4,Paris,Johnson Jr,1457.0,1455.0,4.0,26.0,15.0,Signed,Normal,72.0,0.0,0.0,NYG,tier_5,6.459948320413436,NYG,3
112,RG,Savion,Byrd,Savion Byrd,MIN,16,3,4,1187,False,16,30,0,4,Savion,Byrd,2203.0,2201.0,1.0,23.0,30.0,Signed,Normal,79.0,0.0,0.0,MIN,tier_4,3.369839932603201,MIN,-7
143,RG,Chase,Bisontis,Chase Bisontis,LAR,16,1,0,1098,False,16,23,0,4,Chase,Bisontis,325.0,323.0,0.0,23.0,23.0,Signed,Normal,73.0,0.0,0.0,LAR,tier_5,0.0,LAR,11
150,RT,PJ,Williams,PJ Williams,MIN,11,0,8,758,False,11,30,0,4,PJ,Williams,2564.0,2562.0,0.0,22.0,30.0,Signed,Normal,70.0,0.0,0.0,MIN,tier_5,10.554089709762533,MIN,0
157,RT,Ryan,Ramczyk,Ryan Ramczyk,WAS,16,0,10,1126,False,16,25,0,4,Ryan,Ramczyk,2314.0,2312.0,10.0,33.0,25.0,Signed,Star,78.0,0.0,0.0,WAS,tier_4,8.880994671403197,WAS,2
164,LT,Logan,Purcell,Logan Purcell,SEA,10,2,11,685,False,10,27,0,4,Logan,Purcell,3064.0,3062.0,1.0,24.0,27.0,Signed,Normal,69.0,0.0,0.0,SEA,tier_6,16.05839416058394,SEA,-5
165,RG,Aliou,Bah,Aliou Bah,ARI,5,0,0,404,False,14,6,0,4,Aliou,Bah,774.0,772.0,0.0,23.0,6.0,Signed,Normal,71.0,0.0,0.0,ARI,tier_5,0.0,ARI,11
170,LT,Drew,Azzopardi,Drew Azzopardi,NO,7,0,7,682,False,16,26,0,4,Drew,Azzopardi,2227.0,2225.0,0.0,23.0,26.0,Signed,Normal,69.0,0.0,0.0,NO,tier_6,10.263929618768328,NO,1
171,RT,Lane,Johnson,Lane Johnson,PHI,16,0,9,1115,False,16,12,0,4,Lane,Johnson,1486.0,1484.0,14.0,37.0,12.0,Signed,Superstar,90.0,0.0,0.0,PHI,tier_1,8.071748878923767,PHI,-1
174,LT,Broderick,Jones,Broderick Jones,PIT,14,6,4,968,False,14,28,0,4,Broderick,Jones,1519.0,1517.0,4.0,26.0,28.0,Signed,Superstar,91.0,0.0,0.0,PIT,tier_1,4.132231404958678,PIT,1
177,LG,Kenyon,Green,Kenyon Green,HOU,16,0,1,1137,False,16,31,0,4,Kenyon,Green,1067.0,1065.0,5.0,26.0,31.0,Signed,Star,76.0,0.0,0.0,HOU,tier_4,0.8795074758135445,HOU,5
214,LG,Elgton,Jenkins,Elgton Jenkins,WAS,16,0,1,1147,False,16,25,0,4,Elgton,Jenkins,1437.0,1435.0,8.0,31.0,25.0,Signed,Star,84.0,0.0,0.0,WAS,tier_3,0.8718395815170009,WAS,4
215,LT,Jake,Matthews,Jake Matthews,HOU,5,0,4,403,False,16,31,0,4,Jake,Matthews,1825.0,1823.0,13.0,35.0,31.0,Signed,Star,72.0,0.0,0.0,HOU,tier_5,9.925558312655086,HOU,0
223,RT,JC,Latham,JC Latham,GB,16,0,4,1147,False,16,19,0,4,JC,Latham,3207.0,3205.0,3.0,24.0,19.0,Signed,Normal,79.0,0.0,0.0,GB,tier_4,3.4873583260680037,GB,10
252,LT,Laremy,Tunsil,Laremy Tunsil,LV,12,4,6,795,False,12,22,0,4,Laremy,Tunsil,2858.0,2856.0,11.0,33.0,22.0,Signed,Star,81.0,0.0,0.0,LV,tier_3,7.547169811320755,LV,1
264,C,Erik,McCoy,Erik McCoy,NO,13,0,6,976,False,13,26,0,4,Erik,McCoy,1856.0,1854.0,8.0,30.0,26.0,Signed,Star,76.0,0.0,0.0,NO,tier_4,6.147540983606557,NO,0
270,RG,Austin,Corbett,Austin Corbett,NO,14,0,0,1162,False,14,26,0,4,Austin,Corbett,576.0,574.0,9.0,31.0,26.0,Signed,Star,80.0,0.0,0.0,NO,tier_3,0.0,NO,8
291,LT,Dion,Dawkins,Dion Dawkins,BUF,14,0,5,976,False,14,2,0,4,Dion,Dawkins,678.0,676.0,10.0,33.0,2.0,Signed,Star,74.0,0.0,0.0,BUF,tier_5,5.1229508196721305,BUF,6
303,RG,Cesar,Ruiz,Cesar Ruiz,SEA,14,4,0,954,False,14,27,0,4,Cesar,Ruiz,2436.0,2434.0,7.0,28.0,27.0,Signed,Star,78.0,0.0,0.0,SEA,tier_4,0.0,SEA,10
327,LT,Christian,Darrisaw,Christian Darrisaw,MIN,14,5,8,993,False,14,30,0,4,Christian,Darrisaw,639.0,637.0,6.0,28.0,30.0,Signed,Star,86.0,0.0,0.0,MIN,tier_2,8.056394763343404,MIN,0
329,LG,Nick,Gargiulo,Nick Gargiulo,KC,16,4,1,1180,False,16,8,0,4,Nick,Gargiulo,3607.0,3605.0,3.0,26.0,8.0,Signed,Normal,76.0,0.0,0.0,KC,tier_4,0.847457627118644,KC,5
332,C,Iapani,Laloulu,Iapani Laloulu,PIT,14,8,8,929,False,14,28,0,4,Iapani,Laloulu,1312.0,1310.0,0.0,23.0,28.0,Signed,Star,74.0,0.0,0.0,PIT,tier_5,8.611410118406889,PIT,-3
333,RT,Taylor,Moton,Taylor Moton,ARI,16,3,7,1141,False,16,6,0,4,Taylor,Moton,2012.0,2010.0,10.0,33.0,6.0,Signed,Star,78.0,0.0,0.0,ARI,tier_4,6.134969325153374,ARI,2
343,C,Jake,Brendel,Jake Brendel,HOU,16,0,5,1227,False,16,31,0,4,Jake,Brendel,305.0,303.0,11.0,34.0,31.0,Signed,Normal,69.0,0.0,0.0,HOU,tier_6,4.074979625101874,HOU,4
364,LT,Rod,Orr,Rod Orr,BAL,6,0,3,525,False,15,24,0,4,Rod,Orr,347.0,345.0,1.0,24.0,24.0,Signed,Normal,69.0,0.0,0.0,BAL,tier_6,5.714285714285714,BAL,7
391,RG,Wyatt,Teller,Wyatt Teller,PIT,14,9,2,946,False,14,28,0,4,Wyatt,Teller,2762.0,2760.0,9.0,32.0,28.0,Signed,Star,77.0,0.0,0.0,PIT,tier_4,2.1141649048625792,PIT,-3
427,LT,Cam,Robinson,Cam Robinson,KC,16,12,8,1193,False,16,8,0,4,Cam,Robinson,2394.0,2392.0,10.0,31.0,8.0,Signed,Normal,85.0,0.0,0.0,KC,tier_2,6.705783738474434,KC,0
434,RT,Evan,Neal,Evan Neal,SEA,7,1,6,595,False,16,27,0,4,Evan,Neal,2051.0,2049.0,5.0,26.0,27.0,Signed,Normal,65.0,0.0,0.0,SEA,tier_6,10.08403361344538,SEA,1
458,LG,Landon,Dickerson,Landon Dickerson,PHI,16,0,4,1193,False,16,12,0,4,Landon,Dickerson,703.0,701.0,6.0,28.0,12.0,Signed,Superstar,92.0,0.0,0.0,PHI,tier_1,3.352891869237217,PHI,-3
480,RG,O'Cyrus,Torrence,O'Cyrus Torrence,BUF,14,0,1,1065,False,14,2,0,4,O'Cyrus,Torrence,2833.0,2831.0,4.0,27.0,2.0,Signed,Star,91.0,0.0,0.0,BUF,tier_1,0.9389671361502347,BUF,1
540,LG,Aaron,Banks,Aaron Banks,DET,14,0,3,990,False,14,18,0,4,Aaron,Banks,141.0,139.0,6.0,29.0,18.0,Signed,Normal,76.0,0.0,0.0,DET,tier_4,3.0303030303030303,DET,0
557,RG,Tyler,Booker,Tyler Booker,MIN,16,2,4,1125,False,16,30,0,4,Tyler,Booker,927.0,925.0,2.0,25.0,30.0,Signed,Normal,78.0,0.0,0.0,MIN,tier_4,3.555555555555556,MIN,-7
