Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,STAT_KEEP,DLINEFUMBLERECOVERYYARDS,DSECINTRETURNYARDS,DOWNSPLAYED,DLINEFUMBLERECOVERIES,ASSDEFTACKLES,BIGHITS,DEFTACKLES,DLINEHALFSACK,SEAS_YEAR,CTHALLOWED,DSECINTLONGESTRETURN,DLINESAFETIES,DSECINTS,DSECINTTDS,GAMERATING,DEFPASSDEFLECTIONS,DLINEBLOCKS,YEARBYYEARTEAMINDEX,DEFTACKLESFORLOSS,DLINEFORCEDFUMBLES,DLINESACKS,DLINEFUMBLETDS,GAMESPLAYED,GAMESSTARTED,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,Age,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,DLSacksAndTFLPer1000Snaps,DTSacksAndTFLPer1000Snaps,TotalTurnoversPer1000Snaps,LBSacksTFLPassDeflPer1000Snaps,TacklesPer1000Snaps,CBPassDeflPer1000Snaps,CBCatchAllowPer100Snaps,SafetiesCatchAllowMinusPDPerGame,TeamName_y,SkillPointDef
4,LOLB,Jeremiah,Trotter Jr.,Jeremiah Trotter Jr.,NE,True,0,0,1106,0,32,73,84,0,4,50,0,0,0,0,0,7,0,21,2,0,1,0,16,16,Jeremiah,Trotter Jr.,3238.0,3236.0,3.0,24.0,21.0,Signed,XFactor,90.0,0.0,0.0,NE,tier_1,3.390596745027125,3.79746835443038,0.0,9.041591320072333,104.88245931283906,6.329113924050633,4.520795660036167,2.6875,NE,-7
14,LE,Suntarine,Perkins,Suntarine Perkins,PIT,True,0,0,727,0,10,0,39,0,4,0,0,0,0,0,0,0,0,28,29,1,13,0,14,14,Suntarine,Perkins,1967.0,1965.0,1.0,22.0,28.0,Signed,Normal,81.0,0.0,0.0,PIT,tier_3,71.18294360385144,79.22971114167814,1.375515818431912,57.7716643741403,67.40027510316368,0.0,0.0,0.0,PIT,4
22,SS,Makari,Paige,Makari Paige,LAR,True,0,16,1287,0,31,60,85,0,4,49,10,0,2,0,0,10,0,23,0,0,0,0,16,5,Makari,Paige,3611.0,3609.0,3.0,25.0,23.0,Signed,Normal,75.0,0.0,0.0,LAR,tier_4,0.0,0.0,1.554001554001554,7.77000777000777,90.13209013209013,7.77000777000777,3.807303807303807,2.4375,LAR,2
35,DT,Leonard,Williams,Leonard Williams,LAR,True,0,0,858,0,17,31,51,1,4,0,0,1,0,0,0,0,0,23,30,0,5,0,16,16,Leonard,Williams,3059.0,3057.0,12.0,33.0,23.0,Signed,Star,78.0,0.0,0.0,LAR,tier_4,45.16317016317016,47.785547785547784,1.1655011655011656,40.79254079254079,79.25407925407924,0.0,0.0,0.0,LAR,3
43,RE,Malick,Sylla,Malick Sylla,NE,True,0,0,534,0,12,18,21,0,4,0,0,0,0,0,0,0,0,21,7,1,3,0,11,0,Malick,Sylla,1731.0,1729.0,1.0,24.0,21.0,Signed,Normal,76.0,0.0,0.0,NE,tier_4,22.94007490636704,25.468164794007492,1.8726591760299625,18.726591760299627,61.79775280898876,0.0,0.0,0.0,NE,-2
46,SS,Nick,Cross,Nick Cross,LAR,True,33,0,1222,1,36,40,61,1,4,37,0,0,0,0,0,8,0,23,2,1,0,0,16,12,Nick,Cross,609.0,607.0,5.0,25.0,23.0,Signed,Normal,80.0,0.0,0.0,LAR,tier_3,1.6366612111292964,1.6366612111292964,1.6366612111292964,8.183306055646481,79.37806873977087,6.546644844517186,3.027823240589198,1.8125,LAR,-3
57,FS,Chace,Biddle,Chace Biddle,NE,True,0,0,864,0,31,30,45,1,4,28,0,0,0,0,0,13,0,21,4,0,0,0,15,0,Chace,Biddle,3460.0,3458.0,1.0,22.0,21.0,Signed,Normal,73.0,0.0,0.0,NE,tier_5,4.62962962962963,4.62962962962963,0.0,19.675925925925927,87.96296296296296,15.046296296296296,3.2407407407407405,1.0,NE,10
60,MLB,Dishawn,Misa,Dishawn Misa,DET,True,0,0,312,0,5,8,8,0,4,0,0,0,0,0,0,0,0,18,4,0,0,0,16,0,Dishawn,Misa,2425.0,2423.0,0.0,22.0,18.0,Signed,Normal,69.0,0.0,0.0,DET,tier_6,12.82051282051282,12.82051282051282,0.0,12.82051282051282,41.666666666666664,0.0,0.0,0.0,DET,6
87,CB,Kenyatta,Watson II,Kenyatta Watson II,HOU,True,0,22,1099,0,12,34,40,1,4,25,8,0,4,1,0,6,0,31,0,0,0,0,16,16,Kenyatta,Watson II,497.0,495.0,2.0,26.0,31.0,Signed,Star,78.0,0.0,0.0,HOU,tier_4,0.0,0.0,4.549590536851683,5.45950864422202,47.315741583257505,5.45950864422202,2.2747952684258417,1.1875,HOU,0
93,FS,JT,Woods,JT Woods,NE,True,0,0,1156,0,33,44,54,0,4,32,0,0,0,0,0,1,0,21,0,0,0,0,16,16,JT,Woods,3137.0,3135.0,5.0,27.0,21.0,Signed,Star,82.0,0.0,0.0,NE,tier_3,0.0,0.0,0.0,0.8650519031141869,75.25951557093425,0.8650519031141869,2.768166089965398,1.9375,NE,-4
119,LOLB,Frankie,Luvu,Frankie Luvu,CIN,True,0,11,787,0,17,19,31,1,4,1,11,0,1,0,0,0,0,1,12,0,1,0,14,12,Frankie,Luvu,1771.0,1769.0,9.0,30.0,1.0,Signed,Star,78.0,0.0,0.0,CIN,tier_4,17.47141041931385,18.04320203303685,1.2706480304955527,16.518424396442185,60.99110546378653,0.0,0.12706480304955528,0.07142857142857142,CIN,4
136,MLB,Owen,Pappoe,Owen Pappoe,TB,True,0,0,591,0,11,18,28,0,4,12,0,0,0,0,0,0,0,5,3,0,0,0,14,0,Owen,Pappoe,2167.0,2165.0,4.0,26.0,5.0,Signed,Normal,70.0,0.0,0.0,TB,tier_5,5.076142131979695,5.076142131979695,0.0,5.076142131979695,65.98984771573605,0.0,2.030456852791878,0.8571428571428571,TB,-2
