FullName,Position,TeamName,SkillPointKick
A.J. Cole III,P,LV,-1
Aidan Flintoft,P,MIA,5
Aidan Laros,P,CLE,-3
Andres Borregales,K,PIT,-2
Austin McNamara,P,NO,0
Bert Auburn,K,BUF,-1
Blake Grupe,K,NO,1
Brandon Aubrey,K,DAL,1
Brett Thorson,P,JAX,-2
Bryce McFerson,P,GB,1
Cade York,K,NYG,2
Cam Little,K,MIA,7
Cameron Dicker,K,LAC,-3
Chad Ryland,K,NYJ,4
Chase McLaughlin,K,HOU,-2
Dean Janikowski,K,DET,2
Dominic Zvada,K,CHI,-2
Drew Stevens,K,MIN,-1
Dustin Hopkins,K,GB,1
Eddie Czaplicki,P,WAS,-2
Eddy Pineiro,K,CAR,4
Evan McPherson,K,CIN,2
Griffin Kell,K,TB,3
Harrison Mevis,K,KC,-1
J.K. Scott,P,DET,-4
Jack Browning,K,LAR,1
Jai Patel,K,IND,8
Jake Bailey,P,CAR,-2
Jake Elliott,K,PHI,-1
Jake Moody,K,SF,1
James Ferguson-Reynolds,P,NYJ,-1
Jamie Gillan,P,NYG,-1
Jason Myers,K,NE,-1
Jeremy Crawshaw,P,PHI,0
Jesse Mirco,P,BAL,1
John Hoyland,K,TEN,2
Johnny Hekker,P,CIN,0
Joshua Karty,K,DEN,0
Justin Tucker,K,BAL,1
Ka'imi Fairbairn,K,WAS,2
Kai Kroeger,P,HOU,1
Lachlan Wilson,P,ARI,2
Logan Cooke,P,TEN,1
Mark Vassett,P,TB,4
Mason Fletcher,P,BUF,-1
Matt Gay,K,CLE,-1
Mitch Wishnowsky,P,SF,0
Nathanial Vakos,K,LV,1
Palmer Williams,P,DAL,2
Peyton Woodring,K,SEA,-3
Pressley Harvin III,P,PIT,4
Rigoberto Sanchez,P,SEA,-4
Riley Dixon,P,DEN,2
Riley Thompson,P,ATL,0
Ryan Eckley,P,LAR,0
Ryan Rehkow,P,NE,-2
Ryan Wright,P,MIN,-2
Tom Ellard,P,LAC,2
Tommy Doman,P,CHI,0
Tommy Townsend,P,KC,-2
Tory Taylor,P,IND,-3
Will Ferrin,K,ARI,5
Will Reichard,K,JAX,-3
Younghoe Koo,K,ATL,3
