Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,RUSHYARDS,PASSYARDS,RECEIVEDROPS,RUSHYARDSAFTER1STHIT,RECEIVEYARDS,RECEIVELONGEST,DOWNSPLAYED,RECEIVEYARDSAFTER,STAT_KEEP,PASSCOMPLETED,RUSHATTEMPTS,PASSATTEMPTS,PASSINTS,RECEIVECATCHES,FIRSTDOWNS,RUSH20YARDRUNS,SEAS_YEAR,RUSHLONGEST,PASSLONGEST,RUSHBROKENTACKLES,4QCOMEBACKS,GAMERATING,PASSSACKED,PASSTDS,RECEIVETDS,GAMESPLAYED,GAMESSTARTED,RUSHFUMBLES,YEARBYYEARTEAMINDEX,RUSHTDS,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,Age,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,ScrimmageYardsPer1000DownsPlayed,RBScrimmageYardsPer300Touches,RBScrimmageTDsPerGame,TDsPer1000DownsPlayed,WRPercentageofTeamPassYards,TeamName_y,SkillPointOff
2,QB,Alex,Orji,Alex Orji,SF,29,215,0,0,0,0,148,0,True,17,7,20,0,0,0,0,4,6,33,0,0,0,1,2,0,15,0,1,14,0,Alex,Orji,1388.0,1386.0,0.0,23.0,14.0,Signed,Normal,65.0,0.0,0.0,SF,tier_6,195.94594594594594,1242.857142857143,0.0,0.0,0.0,,
3,FB,Jaheim,Bell,Jaheim Bell,HOU,50,0,0,0,96,22,340,70,True,0,13,0,0,12,0,0,4,7,0,1,0,0,0,0,0,16,0,0,31,0,Jaheim,Bell,3310.0,3308.0,3.0,26.0,31.0,Signed,Normal,83.0,0.0,0.0,HOU,tier_3,429.4117647058823,1152.96,0.0,0.0,0.022540502465367457,,
10,HB,Derrick,Henry,Derrick Henry,TB,287,0,0,53,54,15,315,45,True,0,89,0,0,8,0,1,4,44,0,2,0,0,0,0,0,16,2,1,5,6,Derrick,Henry,1216.0,1214.0,11.0,33.0,5.0,Signed,Normal,74.0,0.0,0.0,TB,tier_5,1082.5396825396824,967.7938144329898,0.375,19.04761904761905,0.012857142857142857,TB,-4.0
14,QB,Jake,Browning,Jake Browning,SF,38,1075,0,0,0,0,320,0,True,90,16,157,1,0,0,0,4,5,63,0,0,0,7,5,0,7,5,2,14,0,Jake,Browning,368.0,366.0,7.0,31.0,14.0,Signed,Normal,65.0,0.0,0.0,SF,tier_6,118.75,712.5,0.0,0.0,0.0,,
15,WR,Omarion,Miller,Omarion Miller,LAR,0,0,2,0,867,32,881,343,True,0,1,0,0,74,0,0,4,0,0,1,0,0,0,0,5,14,14,0,23,0,Omarion,Miller,29.0,27.0,1.0,23.0,23.0,Signed,Superstar,83.0,0.0,0.0,LAR,tier_3,984.1089670828603,1664.6399999999999,0.35714285714285715,5.675368898978434,0.2727379969328772,LAR,3.0
20,QB,Mac,Jones,Mac Jones,KC,0,0,0,0,0,0,85,0,True,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,15,0,0,8,0,Mac,Jones,1546.0,1544.0,6.0,28.0,8.0,Signed,Normal,69.0,0.0,0.0,KC,tier_6,0.0,,0.0,0.0,0.0,,
25,QB,Jayden,Daniels,Jayden Daniels,TB,464,4200,0,159,0,0,1077,0,True,355,106,592,20,0,0,3,4,56,70,8,0,0,33,23,0,16,16,3,5,6,Jayden,Daniels,3385.0,3383.0,3.0,26.0,5.0,Signed,Normal,78.0,0.0,0.0,TB,tier_4,430.8263695450325,1313.2075471698113,0.375,5.571030640668524,0.0,,
28,QB,Jordan,Travis,Jordan Travis,PHI,116,1412,0,25,0,0,425,0,True,133,44,198,2,0,0,1,4,27,24,1,0,0,17,7,0,14,6,5,12,2,Jordan,Travis,3366.0,3364.0,3.0,27.0,12.0,Signed,Normal,65.0,0.0,0.0,PHI,tier_6,272.94117647058823,790.9090909090909,0.14285714285714285,4.705882352941176,0.0,,
29,HB,Roman,Hemby,Roman Hemby,CAR,276,0,1,87,3,3,306,2,True,0,74,0,0,1,0,2,4,41,0,4,0,0,0,0,0,16,0,0,20,8,Roman,Hemby,3259.0,3257.0,3.0,25.0,20.0,Signed,Normal,74.0,0.0,0.0,CAR,tier_5,911.7647058823529,1109.76,0.5,26.143790849673202,0.0008047210300429185,CAR,3.0
55,HB,Isiah,Pacheco,Isiah Pacheco,KC,1135,0,0,353,274,15,636,235,True,0,266,0,0,35,0,9,4,60,0,20,0,0,0,0,2,16,13,3,8,7,Isiah,Pacheco,2162.0,2160.0,5.0,27.0,8.0,Signed,Superstar,82.0,0.0,0.0,KC,tier_3,2215.4088050314463,1262.312292358804,0.5625,14.150943396226415,0.061753437006986704,KC,-2.0
