FullName,Position,TeamName,SkillPointOL
Andrew Knorr,RT,CAR,-4
Anthony Calhoun,LT,TEN,-2
Anthony Malone,RT,BUF,0
Ben Robinson,LT,GB,1
Blaine Madden,LT,CIN,4
Brandon Paulsen,LT,CHI,0
Brandon Reed,LG,PHI,1
Braydon Hall,RT,PIT,-2
Brenton Mayes,LT,BUF,-4
Caleb Holloway,LT,SF,6
Caleb Radovich,RG,LAC,-3
Callum Collins Jr,LT,DEN,-2
Cam Fasano,C,JAX,0
Cameron Jurgens,C,NO,-1
Cameron Williamson,LG,SEA,-2
Carson MacKenzie,LT,MIA,9
Charlie Dodson,C,DEN,-2
Chris Winslow,RG,TEN,12
Christian Perkins,RT,PHI,0
Chuck Garfield,RT,HOU,4
Cody Lovell,C,ARI,0
Colby Mooney,RT,CHI,3
Craig McQueen,RT,TEN,0
Dalton Russell,RT,LAR,1
Damon Alexander,RG,IND,1
Daniel Ellison,LG,CAR,-1
Danny McCullers,RT,IND,10
Darren Backus,C,TEN,-2
Darrius Davis,RT,MIA,1
Darrius Ryans,RG,CHI,4
David Dawson,LG,NYG,1
DeVante Stoudemire,LG,DEN,-9
Deandre Mitchell,RG,JAX,1
Dell Pickens,LT,DAL,-4
Devin Middleton,C,CHI,10
Dextrell Irving,LT,LV,1
Dominique Metcalf,LG,CLE,-1
Douglas White Jr,RT,JAX,-4
Eric Roseman,C,NYG,-6
Garth Brewer,LT,JAX,4
Gordon Parks,LG,KC,0
Grant Wallner,RG,MIN,0
Gregory Andrews,RG,LAR,4
Jaheim Franklin,LT,ARI,-8
Jahlil Barnett,RT,WAS,-2
Jakobi Davis,C,SF,-6
Jamie Boley,RT,TB,-1
Jamie Holliday,RG,PIT,-3
Jamie McLean,RG,MIA,4
Jamison Burgess,RT,DAL,0
Jaren Moore,RT,NYG,6
Jay Scott,RG,CLE,-7
Jeremiah Cobbs,LT,BAL,0
Jeremiah Eisen,LT,NO,0
Jeremiah Mason,C,NYJ,1
Jeremy Hobbs,C,PHI,-6
Joe Brunner,RT,MIN,4
Joe Tomlinson,RT,BAL,1
Joey Wallace,RG,PHI,-2
Johnny Allison,LT,CLE,-4
Josh Abraham,C,DAL,2
Josh Bronner,RT,KC,0
Josh Fisher,RG,TB,-3
Josh Peralta,LG,MIA,1
Justin Foster,RG,NO,6
Kadyn Proctor,RT,NYJ,1
Kamryn Davis,RT,DEN,1
Keelan Greene,RT,LAC,-1
Keenen Ballard,LG,DAL,-1
Kelvin Banks,RT,SEA,-2
Kelvin Miller,LG,LAC,-1
Kenya Richardson,RG,LV,-3
Kevin Ingram,RT,SF,0
Khalon Davis,LT,NYG,2
Klay Donaghy,C,KC,-1
Kurt Ward,LT,HOU,-2
LaDarius Combs,RT,CIN,10
Larry Samuel,RG,SEA,-1
Logan Parr,RG,HOU,0
Logan Starkey,RG,NYJ,4
Luke Darby,RT,LV,-2
Marcell Bush,LT,WAS,-2
Marcus Butler,LG,SF,4
Marcus Kendricks,RG,DET,4
Mark Finney,C,BAL,0
Mark McLaughlin,LG,MIN,-1
Marquise Sherman,RG,NE,0
Martin Lewis,RT,ARI,0
Mateo Camarillo,LT,PHI,0
Matt Kendricks,C,IND,3
Matt Nickerson,LG,NYJ,4
Matthew Cordani,LG,ATL,-6
Matthias Winters,LT,DET,4
Morris Thornton,C,PIT,-6
Mykin Greenard,LT,CAR,-7
Najee Bethel,C,CAR,-1
Nick Gardner,LT,NE,-1
Nigel Poole,RT,CLE,-6
Oscar Kramer,LG,HOU,0
Owen Holliday,RT,TB,3
Paul Carter,RG,DEN,-6
Phillip Koerner,RT,ATL,0
Phillip Rose-Williams,LG,TEN,4
Quandre Brooks,LG,DET,4
R.J. Dawkins,LG,BAL,-1
Raheem Adkins,RG,CIN,-3
Randy Berry,RG,DAL,2
Ricky Balmer,LG,NE,-2
Ricky McKinney,RT,GB,-8
Rodd Moorman,LT,LAR,-2
Roy Barrett,RT,NE,-8
Russ Morrison,LG,NO,10
Russel Forsett,RG,ATL,1
Ryan Stevens,LT,IND,4
Sal Rowe,C,CIN,6
Sammy Devine,C,WAS,-1
Sean McCormick,RG,CAR,0
Sean McPherson,RG,KC,-6
Seth Windham,LT,KC,-2
Skylar Baker,C,DET,-3
Stephon Owens,RT,DET,1
Steven Douglas,LG,JAX,0
Steven Reynolds,RT,NO,0
T.J. Gibson,LT,LAC,-2
Tashaun Wimbley,RG,NYG,-2
Terrell Keaton,LG,TB,1
Thad Barber,C,NE,0
Titus Givens,LG,PIT,1
Tom Pace,LG,SF,-8
Travis Walker,RG,BAL,0
Tremaine Green,RG,WAS,-7
Tremaine Knight,LT,PIT,-6
Trent Shazier,C,LAR,-1
Troy Stearn,C,MIA,4
Troy Tatum,RG,GB,9
Tyler Diarse,C,SEA,9
Tyree Brooks,RG,CHI,4
Tyval Sheppard,LG,WAS,-1
Vantrise Rice,C,TB,0
Von Jefferson,C,GB,12
Will Langford,LT,SEA,0
Will Ridgeway,LT,NYJ,-1
William Perillo,RG,LV,-3
Zac Hankins,RG,BUF,4
Zac Peerman,LG,ARI,-3
Zach Ferguson,RG,ARI,-1
Zhaire Guyton,C,LAC,8
