Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,KICKEPBLOCKED,PUNTNETYARDS,PUNTYARDS,KICKFGBLOCKED,PUNTATTEMPTS,PUNTIN20,DOWNSPLAYED,KICKEPATTEMPTS,PUNTLONGEST,SEAS_YEAR,KICKNUMKICKOFFS,STAT_KEEP,GAMERATING,PUNTTOUCHBACKS,KICKFGATTEMPTS,KICKEPMADE,GAMEWINFGSMADE,KICKFGATTEMPTS50ORMORE,KICKFGATTEMPTS40TO49,KICKFGATTEMPTS30TO39,KICKFGATTEMPTS29ORLESS,GAMEWINFGATTEMPTS,KICKFGMADE30TO39,KICKFGMADE29ORLESS,KICKFGMADE,KICKFGLONGEST,GAMESSTARTED,YEARBYYEARTEAMINDEX,KICKTOUCHBACKS,KICKFGMADE50ORMORE,KICKFGMADE40TO49,PUNTBLOCKED,GAMESPLAYED,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,TeamIndex,ContractStatus,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,FGPercentage,EPPercentage,Over40YardPercentage,PuntTBPerIn20,YardsPerPunt,NetYardsToPuntYards,TeamName_y,SkillPointKick
5,P,Gary,Paulson,Gary Paulson,DAL,0,2460,2743,0,62,16,57,0,49,16,0,False,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,10,0,0,0,0,15,Gary,Paulson,2900.0,2898.0,9.0,10.0,Signed,74.0,0.0,0.0,DAL,tier_5,,,,0.1875,44.24193548387097,0.8968282901932191,DAL,-2
6,K,Michael,Perez,Michael Perez,WAS,0,0,0,0,0,0,116,29,0,16,68,False,0,0,27,28,0,10,7,7,3,0,7,3,22,57,15,25,35,5,7,0,15,Michael,Perez,690.0,688.0,5.0,25.0,Signed,80.0,0.0,0.0,WAS,tier_3,0.8148148148148148,0.9655172413793104,0.7058823529411765,,,,WAS,-1
27,P,Mikal,Childress,Mikal Childress,SEA,0,3201,3492,0,77,26,78,0,46,16,0,False,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,27,0,0,0,0,15,Mikal,Childress,3376.0,3374.0,3.0,27.0,Signed,78.0,0.0,0.0,SEA,tier_4,,,,0.19230769230769232,45.35064935064935,0.9166666666666666,SEA,-1
49,P,Carter,Abraham,Carter Abraham,MIN,0,2699,2776,0,62,29,144,0,46,16,79,False,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,30,45,0,0,0,15,Carter,Abraham,746.0,744.0,4.0,30.0,Signed,76.0,0.0,0.0,MIN,tier_4,,,,0.06896551724137931,44.774193548387096,0.9722622478386167,MIN,2
64,K,Bernard,Donaldson,Bernard Donaldson,SF,0,0,0,0,0,0,139,25,0,16,78,False,0,0,36,24,0,16,11,7,2,0,7,2,31,58,15,14,54,11,11,0,15,Bernard,Donaldson,2606.0,2604.0,6.0,14.0,Signed,86.0,0.0,0.0,SF,tier_2,0.8611111111111112,0.96,0.8148148148148148,,,,SF,0
66,K,Tommy,Rich,Tommy Rich,ARI,0,0,0,0,0,0,149,38,0,16,78,False,0,0,33,36,0,12,11,6,4,0,6,4,24,56,15,6,53,3,11,0,15,Tommy,Rich,3408.0,3406.0,5.0,6.0,Signed,81.0,0.0,0.0,ARI,tier_3,0.7272727272727273,0.9473684210526315,0.6086956521739131,,,,ARI,-6
67,K,Alex,Saunders,Alex Saunders,DET,1,0,0,0,0,0,140,38,0,16,78,False,0,0,29,33,0,6,10,6,7,0,6,7,26,55,15,18,41,3,10,0,15,Alex,Saunders,1036.0,1034.0,3.0,18.0,Signed,74.0,0.0,0.0,DET,tier_5,0.896551724137931,0.868421052631579,0.8125,,,,DET,1
88,P,Damon,Wilcox,Damon Wilcox,CLE,0,3504,3717,0,82,23,153,0,46,16,68,False,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,4,44,0,0,0,15,Damon,Wilcox,2220.0,2218.0,7.0,4.0,Signed,78.0,0.0,0.0,CLE,tier_4,,,,0.21739130434782608,45.329268292682926,0.9426957223567393,CLE,-1
91,P,Brian,Harris,Brian Harris,LV,0,2633,2778,0,63,16,62,0,46,16,0,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,22,0,0,0,1,15,Brian,Harris,159.0,157.0,0.0,22.0,Signed,74.0,0.0,0.0,LV,tier_5,,,,0.0625,44.095238095238095,0.9478041756659468,LV,2
96,P,Owen,Roth,Owen Roth,NYG,0,2257,2407,0,54,17,52,0,56,16,0,False,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,15,0,0,0,0,15,Owen,Roth,2542.0,2540.0,2.0,15.0,Signed,75.0,0.0,0.0,NYG,tier_4,,,,0.23529411764705882,44.574074074074076,0.9376817615288742,NYG,-2
