FullName,Position,TeamName,SkillPointOL
Adrian Scioli,RT,SEA,0
Alejandro Santiago,C,CIN,-2
Alex Oliver,LG,MIA,0
Amar'e McKinley,RG,PHI,10
Andy Jenkins,C,ARI,0
Andy Jenkins,C,NO,-1
Anthony Malone,RT,BUF,2
Baylon Adeoye,LT,DEN,1
Ben Robinson,LT,GB,-5
Ben Summers,LG,CIN,-2
Ben Wilkins,LT,DET,-2
Blaine Barnett,C,GB,0
Blidi Webber,LT,SEA,1
Brandon Paulsen,LT,CHI,1
Braxton Williams-Motley,C,LAR,1
Brian Hayward,RT,TEN,1
Bryce Rollins,C,HOU,4
Caleb Holloway,LT,MIA,3
Caleb Radovich,RG,NE,0
Callum Collins Jr,LT,NYG,-2
Cameron Byers,RT,PIT,0
Carson MacKenzie,LT,MIA,3
Charlie Hughes,LT,LV,0
Chuck Garfield,RT,HOU,0
Clayton Hackett,RT,LAR,-2
Cody Hackett,C,CAR,1
Connor Clayton,RG,MIA,1
Craig Francois,LG,CAR,0
Dalton Russell,RT,NE,0
Damon Alexander,RG,IND,1
Danny McCullers,RT,DEN,0
Darnell Hairston-Barnes,RT,GB,-2
David Dawson,LG,NYG,-1
DeVante Harris,LT,CLE,-2
Deon Bozeman,LT,KC,-2
Derek Price,LG,ARI,0
Devin Middleton,C,PHI,0
Dontae Reid,RG,CHI,0
Dontrell Ingram Sr,RT,SF,-1
Dre Windsor-Malone,RT,MIN,-2
Earl Kendricks II,LG,DEN,-7
Frank Dempsey,C,NYJ,4
Garrett Hawkinson,LG,PHI,1
Gerald Stephens,RG,PHI,-7
Gordon Bowden,C,WAS,0
Grant Wallner,RG,SF,-2
Gregory Andrews,RG,HOU,4
Harold Crayton,RG,ARI,-5
Hayden Dye,RG,WAS,-2
Jacob Rushing,RG,KC,4
James Matthews,LG,IND,-8
Jamie Boley,RT,IND,0
Jamie McLean,RG,GB,2
Jamin Ortiz,LT,DAL,1
Jaren Moore,RT,CHI,1
Jason Jones,RG,BUF,0
Javin Bastien,LT,PHI,4
Jayden Rush,LG,LAR,0
Jeff Russo,C,SEA,-3
Jeremiah Cobbs,LT,SF,-7
Jeremiah Eisen,LT,NO,2
Jeremiah Mason,C,NE,-6
Joe Costello,LT,CLE,-3
Joe Tomlinson,RT,BAL,-4
Joel Aiken,LG,PIT,1
Joey Wallace,RG,BAL,0
Jonathan Saunders,LT,MIN,1
Joseph Tate,RT,JAX,12
Josh Abraham,C,DAL,1
Josh Bronner,RT,KC,0
Josh Devine,RG,CAR,-3
Josh Peralta,LG,LV,0
Joshua Sapp,RG,DET,0
Justice Thomas,C,PIT,4
Justin Foster,RG,SEA,-3
Kamu Mata'afa,LG,MIN,-6
Keenen Ballard,LG,DET,-1
Keeshawn Mumphrey,LG,SF,1
Keionta Fowler-Mobley,LT,LAR,4
Kelvin Miller,LG,LAC,4
Kentrell Chamberlain,LG,HOU,4
Kenya Richardson,RG,LV,-3
Khalon Davis,LT,WAS,1
Klay Donaghy,C,DEN,0
LaMonte Stanley,LT,IND,-1
Lance Spitzer,C,CLE,0
Leki Armah-Washington,RT,NYJ,-4
Logan Starkey,RG,MIN,0
Lucas Morton,RG,LAR,0
Luke Darby,RT,PHI,0
Mafu-Laaka Kaufusi,LT,TEN,-2
Marcell Bush,LT,NE,-6
Marcus Butler,LG,TB,-2
Marcus Dailey,RT,JAX,-4
Mark Barwin,RT,ATL,1
Marquise Goddard,C,BUF,3
Martin Garfield,LG,CLE,1
Martin Lewis,RT,CIN,0
Martin Nsekhe-Holt,LG,NE,1
Mateo Camarillo,LT,DAL,4
Matt Kendricks,C,IND,0
Matt Nickerson,LG,BAL,-1
Matthew Cordani,LG,LAC,-4
Matthew Newberry,RT,LV,0
Mazzi Duckworth,C,DET,-3
Mykin Greenard,LT,CAR,-6
Nick Stanley,LT,CIN,-2
Nigel Poole,RT,NYJ,-4
Noah Chiaverini,C,LV,10
Orlando Kearse,RT,NO,9
Owen Holliday,RT,TB,-4
Pat Bowie,LG,JAX,1
Pat Coleman,LG,NO,4
Phillip Rose-Williams,LG,TEN,0
Quan Hopkins Jr,LG,SEA,-3
Quinn Webster,LT,ATL,-9
Raheem Adkins,RG,CIN,6
Randy Berry,RG,TEN,9
Richard Schaub,RG,JAX,-4
Rick Devine,LT,HOU,10
Roy Babineaux,LT,LAC,-4
Russ Morrison,LG,NO,3
Russel Forsett,RG,ATL,4
Ryan St. Clair,C,JAX,2
Ryan Stevens,LT,ARI,0
Sal Rowe,C,KC,0
Sam Baker,LG,ATL,4
Sammy Devine,C,LAC,-5
Scott Owens,RG,DEN,0
Shad Ngwenya,LG,GB,-1
Stephon Owens,RT,DET,-5
Steven McClure,RG,NYJ,-2
Steven Reynolds,RT,WAS,1
T.J. Shirley,LT,BAL,-8
TJ Capps,RG,PIT,0
TJ Keltner,C,BAL,0
Tashaun Wimbley,RG,DAL,0
Tavaris Allen-Haskins,LT,TB,1
Ted Baldwin,RT,NYG,0
Ted McLean,LT,BUF,1
Tremaine Franklin,RT,LAC,4
Trent Shazier,C,NYG,-2
Troy Stearn,C,MIA,-1
Ty Ramsey,C,ATL,-1
Tyler Diarse,C,MIN,-2
Tyler Richards,LT,PIT,9
Tyree Brooks,RG,CHI,-3
Tyval Sheppard,LG,WAS,0
Uchenna Edwards,LG,DAL,1
Ukeme Ogbah-Kongbo,RG,NYG,-6
Vantrise Rice,C,TB,-5
Von Jefferson,C,SF,9
Will Whittington,LG,BUF,-2
Zac Hankins,RG,CLE,-2
