FullName,Position,TeamName,SkillPointKick
Aaron Brackins,K,JAX,2
Adam Andrews,P,KC,2
Alan Brackett,P,CLE,-4
Alex Saunders,K,ATL,-1
Allen Colvin,P,LAR,3
Andrew Jones,P,NYG,-2
Andrew Richardson,P,CIN,1
B.J. Polk,P,NE,-3
Bernard Donaldson,K,DET,-2
Brandon Collins,P,MIA,3
Brandon Watson,K,NYG,-1
Brian Harris,P,ATL,-2
Bryan Talley,K,NE,-10
Bryce McFerson,P,TEN,-3
Caleb Zeigler,P,ARI,0
Carter Abraham,P,SF,0
Charlie Copeland,K,LV,-7
Chris Edwards,P,HOU,1
Chris Ross,K,CIN,-1
Connor Smith,P,WAS,0
Damon Wilcox,P,NYJ,1
Daniel Lee,P,LAC,0
David Brown,K,CHI,5
David Sutherland,K,DAL,3
Devin Tanley,K,SEA,4
Dorian Reece,P,PHI,0
Dustin Smith,K,PIT,0
Elijah Barton,K,MIA,2
Hayden Gannon,P,LV,-1
Joe Caplan,P,JAX,-1
Joe Curtis,K,IND,-3
Joe Perez,P,DET,0
Joey Hoke,K,WAS,6
John Jimenez,P,NO,-1
Johnny Garner,K,BAL,5
Johnny Webster,K,LAR,-2
Kirk Moreland,K,MIN,-2
Kolton Hall,P,BAL,1
Kyle Bauman,K,NYJ,-3
Logan Lynch,P,TB,2
Luke Reisner,P,CHI,-2
Mason Boston,K,SF,7
Matthew Fletcher,P,IND,-1
Michael Hartman,K,NO,3
Michael Perez,K,HOU,-1
Mikal Childress,P,BUF,-1
Nate Foster,K,KC,1
Nick Weber,P,DAL,1
Owen Roth,P,CAR,1
Patrick Weaver,K,BUF,5
Paul Robbins,P,DEN,-6
Peter Lockbaum,P,GB,2
Peter Masters,P,SEA,-3
Preston Gervasi,P,MIN,-2
Russell Miller,K,PHI,2
Ryan Blanchard,K,ARI,2
Scott Groves,K,LAC,-1
TJ Clifford,K,CLE,-2
Tanner Sitton,K,TB,-2
Toby Mahone,P,PIT,2
Todd Fowler,K,CAR,-2
Tommy Rich,K,DEN,1
Trey Ortiz,K,GB,-6
Ty Dillon,K,TEN,-4
