Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,KICKEPBLOCKED,PUNTNETYARDS,PUNTYARDS,KICKFGBLOCKED,PUNTATTEMPTS,PUNTIN20,DOWNSPLAYED,KICKEPATTEMPTS,PUNTLONGEST,SEAS_YEAR,KICKNUMKICKOFFS,STAT_KEEP,GAMERATING,PUNTTOUCHBACKS,KICKFGATTEMPTS,KICKEPMADE,GAMEWINFGSMADE,KICKFGATTEMPTS50ORMORE,KICKFGATTEMPTS40TO49,KICKFGATTEMPTS30TO39,KICKFGATTEMPTS29ORLESS,GAMEWINFGATTEMPTS,KICKFGMADE30TO39,KICKFGMADE29ORLESS,KICKFGMADE,KICKFGLONGEST,GAMESSTARTED,YEARBYYEARTEAMINDEX,KICKTOUCHBACKS,KICKFGMADE50ORMORE,KICKFGMADE40TO49,PUNTBLOCKED,GAMESPLAYED,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,TeamIndex,ContractStatus,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,FGPercentage,EPPercentage,Over40YardPercentage,PuntTBPerIn20,YardsPerPunt,NetYardsToPuntYards,TeamName_y,SkillPointKick
11,P,Connor,Smith,Connor Smith,WAS,0,2231,2500,0,55,20,133,0,54,20,86,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,25,44,0,0,0,16,Connor,Smith,942.0,940.0,7.0,25.0,Signed,79.0,0.0,0.0,WAS,tier_4,,,,0.05,45.45454545454545,0.8924,WAS,0
12,P,Nick,Weber,Nick Weber,DAL,0,2467,2686,0,60,17,134,0,53,20,79,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,42,0,0,0,16,Nick,Weber,2954.0,2952.0,6.0,10.0,Signed,76.0,0.0,0.0,DAL,tier_4,,,,0.0,44.766666666666666,0.9184661206254654,DAL,1
18,K,Mason,Boston,Mason Boston,SF,1,0,0,0,0,0,64,39,0,20,0,False,0,0,32,36,0,5,11,8,8,0,8,8,30,53,15,14,0,3,11,0,16,Mason,Boston,857.0,855.0,1.0,14.0,Signed,73.0,0.0,0.0,SF,tier_5,0.9375,0.9230769230769231,0.875,,,,SF,7
23,K,Scott,Groves,Scott Groves,LAC,1,0,0,0,0,0,45,29,0,20,0,False,0,0,19,23,0,3,6,4,6,0,4,6,17,52,14,7,0,1,6,0,15,Scott,Groves,3392.0,3390.0,8.0,7.0,Signed,76.0,0.0,0.0,LAC,tier_4,0.8947368421052632,0.7931034482758621,0.7777777777777778,,,,LAC,-1
26,K,Kirk,Moreland,Kirk Moreland,MIN,1,0,0,0,0,0,69,43,0,20,0,False,0,0,26,39,0,13,3,6,4,0,6,4,19,51,16,30,0,6,3,0,16,Kirk,Moreland,2727.0,2725.0,6.0,30.0,Signed,78.0,0.0,0.0,MIN,tier_4,0.7307692307692307,0.9069767441860465,0.5625,,,,MIN,-2
54,K,David,Sutherland,David Sutherland,DAL,0,0,0,0,0,0,58,33,0,20,0,False,0,0,32,29,0,9,9,6,8,0,6,8,27,54,13,10,0,4,9,0,14,David,Sutherland,1547.0,1545.0,1.0,10.0,Signed,72.0,0.0,0.0,DAL,tier_5,0.84375,0.8787878787878788,0.7222222222222222,,,,DAL,3
58,K,Bryan,Talley,Bryan Talley,NE,0,0,0,1,0,0,126,34,0,20,69,False,0,0,23,30,0,11,6,3,3,0,3,3,13,52,16,21,45,2,5,0,16,Bryan,Talley,564.0,562.0,7.0,21.0,Signed,82.0,0.0,0.0,NE,tier_3,0.5652173913043478,0.8823529411764706,0.4117647058823529,,,,NE,-10
80,K,Tommy,Rich,Tommy Rich,DEN,1,0,0,2,0,0,72,42,0,20,0,False,0,0,30,41,0,11,8,7,4,0,7,4,23,52,16,3,0,5,7,0,16,Tommy,Rich,3408.0,3406.0,9.0,3.0,Signed,77.0,0.0,0.0,DEN,tier_4,0.7666666666666667,0.9761904761904762,0.631578947368421,,,,DEN,1
92,P,Carter,Abraham,Carter Abraham,SF,0,2931,3102,0,68,22,158,0,47,20,89,False,0,4,0,0,0,0,0,0,0,0,0,0,0,0,16,14,40,0,0,0,16,Carter,Abraham,746.0,744.0,8.0,14.0,Signed,79.0,0.0,0.0,SF,tier_4,,,,0.18181818181818182,45.61764705882353,0.9448742746615088,SF,0
108,P,Owen,Roth,Owen Roth,CAR,0,3613,3880,0,87,28,155,0,46,20,68,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,20,48,0,0,0,16,Owen,Roth,2542.0,2540.0,6.0,20.0,Signed,75.0,0.0,0.0,CAR,tier_4,,,,0.0,44.59770114942529,0.9311855670103093,CAR,1
