FullName,Position,TeamName,SkillPointKick
A.J. Cole III,P,LAC,0
Aaron Brackins,K,BAL,3
Adam Williams,P,DEN,-1
Alan Brackett,P,MIA,1
Alec McPherson,K,NO,4
Alex McPherson,K,CAR,-4
Bernard Donaldson,K,MIN,0
Blake Gillikin,P,KC,-3
Braden Mann,P,WAS,-1
Braxton King,P,NYG,1
Brett Wittman,P,ARI,0
Bryce McFerson,P,MIN,1
Cade York,K,ARI,-3
Caleb Zeigler,P,NYJ,3
Carter Abraham,P,BAL,3
Chase Cook,K,DEN,4
Chris Edwards,P,BUF,2
Chris Ross,K,TB,-2
Colin Hartman,K,ATL,5
Curtis Monroe,P,JAX,-2
Damon Wilcox,P,CIN,1
Daniel Lee,P,DET,2
David Foster,P,NE,1
Dennis Abraham,K,NYJ,-4
Devin Tanley,K,GB,-2
Donnie Goodman,P,CHI,-1
Ethan Moczulski,K,LAC,-3
Evan McPherson,K,CIN,3
Gabe Brkic,K,BUF,0
Gary Paulson,P,IND,0
Grant Wade,K,NE,-2
Harrison Butker,K,KC,0
Isaiah Hamilton,K,CHI,1
Jack Fox,P,TEN,2
Jack Podlesny,K,PIT,-2
Jake Camarda,P,SF,0
James Williams,K,SEA,0
Johnny Webster,K,DET,0
Joshua Conwell,P,PHI,-3
Kai Keawe,P,HOU,-4
Kai Kroeger,P,TB,1
Matt Walker,K,DAL,4
Michael Perez,K,MIA,3
Michael Smith,K,CLE,4
Michael Turk,P,PIT,3
Nathan Dibert,K,JAX,5
Nathan Porter,K,LV,0
Paul Robbins,P,NO,-2
Peter Williams,P,LV,-2
Rhett Bush,P,SEA,-1
Rigoberto Sanchez,P,CLE,0
Riley Rogers,K,PHI,-2
Scott Groves,K,HOU,5
Shane Barker,K,NYG,3
Spencer Olsen,K,WAS,0
TJ Clifford,K,SF,3
Ted McCoy,K,LAR,-2
Tim Columbus,P,ATL,-1
Tommy Rich,K,TEN,1
Tommy Townsend,P,GB,4
Trevor Hardy,P,LAR,-2
Tucker Day,P,DAL,-3
Ty Dillon,K,IND,0
Tyler Perkins,P,CAR,-4
