FullName,Position,TeamName,SkillPointOL
Alex Oliver,LG,MIA,0
Amari Kramer,RT,IND,-6
Andrew Knorr,RT,CAR,0
Andy Jenkins,C,ARI,9
Andy Jenkins,C,NO,10
Anthony Malone,RT,BUF,1
Ben Robinson,LT,GB,0
Ben Summers,LG,CIN,12
Ben Wilkins,LT,DET,4
Blaine Madden,LT,CIN,-2
Brandon Barlow,RG,LAR,-6
Brandon Paulsen,LT,CHI,4
Braxton Williams-Motley,C,LAR,4
Bret Spiegel,C,CHI,-2
Brian Hayward,RT,TEN,10
Brody Young,C,NYG,-5
Bryce Rollins,C,HOU,4
Caleb Holloway,LT,MIA,1
Caleb Radovich,RG,LAC,-3
Callum Collins Jr,LT,DEN,4
Carson MacKenzie,LT,MIA,4
Charlie Dodson,C,DEN,0
Charlie Hughes,LT,LV,0
Chase Rush,C,SEA,-2
Chuck Garfield,RT,HOU,1
Clayton Hackett,RT,LAR,-2
Cody Lovell,C,WAS,-3
Colin Fullerton,C,TEN,4
Craig McQueen,RT,WAS,0
Dalton Russell,RT,NE,0
Damon Alexander,RG,IND,-3
Danny McCullers,RT,DEN,0
Darnell Hairston-Barnes,RT,GB,-4
David Dawson,LG,NYG,-1
DeVante Harris,LT,CLE,-2
Deon Bozeman,LT,KC,-2
Derek Price,LG,ARI,0
Devin Middleton,C,PHI,4
Dominique Metcalf,LG,CLE,-4
Dontrell Ingram Sr,RT,SF,-1
Dre Windsor-Malone,RT,MIN,8
Dylan Messina,LG,NYJ,-2
Earl Kendricks II,LG,DEN,-3
Edward Sands,C,CAR,-6
Frank Dempsey,C,NYJ,4
Frank Starkey,RG,NO,-2
Garrett Hawkinson,LG,PHI,12
Garth Brewer,LT,JAX,1
Gerald Stephens,RG,PHI,-8
Grant Wallner,RG,SF,0
Gregory Andrews,RG,HOU,0
Harold Crayton,RG,NE,0
Hayden Dye,RG,WAS,4
Isendre Ahfua,LG,CAR,-6
J.D. Price,LT,NYJ,-5
Jachai Malone,RT,SEA,-1
Jacob Davis,LG,DET,-1
Jacob Rushing,RG,KC,4
James Matthews,LG,IND,-4
Jamie McLean,RG,MIA,2
Jaren Moore,RT,CHI,1
Jason Jones,RG,BUF,-2
Jeff Russo,C,BAL,-3
Jeremiah Cobbs,LT,SF,1
Jeremiah Mason,C,NE,-1
Jerry Crothers,RT,CLE,-4
Joe Tomlinson,RT,BAL,1
Joel Aiken,LG,PIT,1
Jonathan Saunders,LT,MIN,-2
Josh Abraham,C,DAL,-3
Josh Bronner,RT,KC,0
Josh Devine,RG,CAR,-3
Joshua Sapp,RG,DET,4
Justin Foster,RG,SEA,4
K.C. Clarke,LT,PIT,1
Kamu Mata'afa,LG,MIN,9
Keenen Ballard,LG,DAL,-1
Keeshawn Mumphrey,LG,SF,1
Keionta Fowler-Mobley,LT,LAR,9
Kelvin Miller,LG,LAC,-1
Kenya Richardson,RG,LV,-3
Khalon Davis,LT,WAS,1
Klay Donaghy,C,KC,3
LaDarius Combs,RT,ARI,-4
Lance Spitzer,C,CLE,-5
Logan Starkey,RG,MIN,0
Luke Darby,RT,LV,4
Mafu-Laaka Kaufusi,LT,TEN,-2
Marcell Bush,LT,NE,1
Marcus Butler,LG,TB,1
Marcus Dailey,RT,JAX,1
Marquise Goddard,C,BUF,-2
Martin Lewis,RT,CIN,-4
Martin Nsekhe-Holt,LG,NE,10
Mateo Camarillo,LT,PHI,4
Matt Kendricks,C,IND,2
Matt Nickerson,LG,BAL,-3
Matthew Cordani,LG,ATL,-1
Mazzi Duckworth,C,DET,1
Mike Weeden,RG,GB,-5
Mykin Greenard,LT,CAR,-7
Nigel Poole,RT,NYJ,-2
Noah Chiaverini,C,LV,-1
Owen Holliday,RT,TB,0
Pat Bowie,LG,JAX,12
Pat Coleman,LG,NO,1
Phillip Rose-Williams,LG,TEN,-8
Quan Hopkins Jr,LG,SEA,-3
Quinn Webster,LT,ATL,-4
Raheem Adkins,RG,CIN,4
Richard Schaub,RG,LAR,4
Rick Devine,LT,HOU,1
Roy Babineaux,LT,LAC,-7
Russel Forsett,RG,ATL,6
Ryan St. Clair,C,JAX,-2
Ryan Stevens,LT,IND,0
Sal Rowe,C,CIN,-3
Sammy Devine,C,LAC,-2
Scott Owens,RG,DEN,12
Shad Ngwenya,LG,GB,-3
Stephon Owens,RT,DET,1
Steven Douglas,LG,JAX,-2
Steven McClure,RG,NYJ,12
Steven Reynolds,RT,NO,1
T.J. Shirley,LT,BAL,0
TJ Capps,RG,PIT,0
Tashaun Wimbley,RG,DAL,-1
Tavaris Allen-Haskins,LT,TB,4
Ted Baldwin,RT,NYG,-6
Ted McLean,LT,BUF,-2
Terrell Ross,LT,NYG,-5
Troy Stearn,C,MIA,3
Ty Ramsey,C,ATL,-1
Tyler Diarse,C,MIN,-4
Tyler Richards,LT,PIT,12
Tyree Brooks,RG,CHI,-1
Tyval Sheppard,LG,WAS,-4
Ukeme Ogbah-Kongbo,RG,NYG,-1
Vantrise Rice,C,TB,3
Von Jefferson,C,SF,0
Walter Lewis,LG,LV,-3
Will Whittington,LG,BUF,1
Zac Hankins,RG,CLE,-2
Zac Peerman,LG,HOU,4
Zach Ferguson,RG,ARI,-6
Zach Jackson,RG,TB,-4
