Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,RUSHYARDS,PASSYARDS,RECEIVEDROPS,RUSHYARDSAFTER1STHIT,RECEIVEYARDS,RECEIVELONGEST,DOWNSPLAYED,RECEIVEYARDSAFTER,STAT_KEEP,PASSCOMPLETED,RUSHATTEMPTS,PASSATTEMPTS,PASSINTS,RECEIVECATCHES,FIRSTDOWNS,RUSH20YARDRUNS,SEAS_YEAR,RUSHLONGEST,PASSLONGEST,RUSHBROKENTACKLES,4QCOMEBACKS,GAMERATING,PASSSACKED,PASSTDS,RECEIVETDS,GAMESPLAYED,GAMESSTARTED,RUSHFUMBLES,YEARBYYEARTEAMINDEX,RUSHTDS,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,TeamIndex,ContractStatus,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,ScrimmageYardsPer1000DownsPlayed,RBScrimmageYardsPer300Touches,RBScrimmageTDsPerGame,TDsPer1000DownsPlayed,TeamName_y,SkillPointOff
63,QB,Imani,Reddick,Imani Reddick,NO,120,1240,0,20,0,0,380,0,True,117,31,173,3,0,0,0,19,16,24,2,0,0,13,5,0,15,5,3,26,1,Imani,Reddick,560.0,558.0,11.0,26.0,Signed,65.0,0.0,0.0,NO,tier_6,315.7894736842105,1161.2903225806451,0.06666666666666667,2.631578947368421,,
77,WR,Tyeler,Myles,Tyeler Myles,DEN,0,0,0,0,879,29,899,323,True,0,0,0,0,64,0,0,19,0,0,0,0,0,0,0,6,14,14,0,3,0,Tyeler,Myles,3562.0,3560.0,0.0,3.0,Signed,78.0,0.0,0.0,DEN,tier_4,977.7530589543939,1977.7499999999998,0.42857142857142855,6.674082313681869,DEN,0.0
110,WR,Victor,Dale,Victor Dale,CAR,3,0,0,0,363,27,348,130,True,0,1,0,0,28,0,0,19,3,0,0,0,0,0,0,1,10,6,1,20,0,Victor,Dale,1128.0,1126.0,2.0,20.0,Signed,68.0,0.0,0.0,CAR,tier_6,1051.7241379310344,1833.51724137931,0.1,2.8735632183908044,CAR,3.0
144,TE,Nicholas,Rivers,Nicholas Rivers,WAS,0,0,2,0,546,49,967,252,True,0,0,0,0,53,0,0,19,0,0,1,0,0,0,0,6,15,12,1,25,0,Nicholas,Rivers,3506.0,3504.0,4.0,25.0,Signed,70.0,0.0,0.0,WAS,tier_5,564.6328852119958,1483.4716981132076,0.4,6.204756980351602,WAS,1.0
181,HB,Marcus,Bolden,Marcus Bolden,LAR,307,0,2,97,153,14,377,129,True,0,95,0,0,21,0,3,19,46,0,5,0,0,0,0,1,11,5,1,23,4,Marcus,Bolden,561.0,559.0,0.0,23.0,Signed,71.0,0.0,0.0,LAR,tier_5,1220.159151193634,983.8965517241379,0.45454545454545453,13.262599469496022,LAR,-1.0
194,TE,Terrance,Whitehead,Terrance Whitehead,DET,0,0,1,0,682,28,1110,308,True,0,0,0,0,63,0,0,19,0,0,2,0,0,0,0,6,15,15,0,18,0,Terrance,Whitehead,166.0,164.0,6.0,18.0,Signed,81.0,0.0,0.0,DET,tier_3,614.4144144144145,1558.857142857143,0.4,5.405405405405405,DET,-1.0
201,HB,Warren,Edwards,Warren Edwards,ARI,672,0,1,209,256,22,532,191,True,0,171,0,0,24,0,4,19,59,0,13,0,0,0,0,0,10,10,4,6,7,Warren,Edwards,885.0,883.0,5.0,6.0,Signed,90.0,0.0,0.0,ARI,tier_1,1744.360902255639,1222.8923076923077,0.7,13.157894736842104,ARI,-2.0
209,WR,Joseph,Avril,Joseph Avril,SF,0,0,1,0,523,25,688,206,True,0,0,0,0,43,0,0,19,0,0,0,0,0,0,0,2,15,15,0,14,0,Joseph,Avril,8.0,6.0,1.0,14.0,Signed,71.0,0.0,0.0,SF,tier_5,760.1744186046512,1751.4418604651162,0.13333333333333333,2.9069767441860463,SF,-3.0
220,TE,Tevin,McCord,Tevin McCord,SF,0,0,4,0,633,24,1027,293,True,0,0,0,0,63,0,0,19,0,0,0,0,0,0,0,3,14,14,0,14,0,Tevin,McCord,1893.0,1891.0,4.0,14.0,Signed,73.0,0.0,0.0,SF,tier_5,616.3583252190847,1446.8571428571427,0.21428571428571427,2.9211295034079843,SF,1.0
269,HB,Rayshawn,Thomas,Rayshawn Thomas,MIN,1007,0,1,506,49,17,310,44,True,0,179,0,0,10,0,11,19,70,0,17,0,0,0,0,0,14,14,1,30,10,Rayshawn,Thomas,3328.0,3326.0,4.0,30.0,Signed,85.0,0.0,0.0,MIN,tier_2,3406.4516129032254,1635.7460317460318,0.7142857142857143,32.25806451612903,MIN,6.0
