FullName,Position,TeamName,SkillPointKick
A.J. Cole III,P,LV,-2
Adam Williams,P,NE,-2
Aldrick Rosas,K,ATL,1
Alec McPherson,K,CHI,-7
Alex McPherson,K,LAR,-10
Austin McNamara,P,PHI,-3
Austin Seibert,K,BAL,0
Blake Gillikin,P,KC,4
Braden Mann,P,PIT,2
Brandon Wright,P,CIN,0
Bryce McFerson,P,LAC,0
Cade York,K,CAR,3
Chris Boswell,K,LV,-5
Cody Conley,K,DEN,-5
Colin Hartman,K,NE,0
Corey Bojorquez,P,CHI,-4
Craig Jacobs,K,PHI,-12
Daniel Lee,P,DAL,1
Ethan Moczulski,K,HOU,2
Evan McPherson,K,ARI,4
Gabe Brkic,K,SF,3
Harrison Butker,K,LAC,-3
Hunter Niswander,P,ATL,0
Isaiah Hamilton,K,MIN,-5
Issac Power,P,CAR,-5
Jack Fox,P,BAL,0
Jack Podlesny,K,DAL,-2
Jack Stone,K,MIA,1
Jake Bailey,P,DEN,1
Jake Camarda,P,NYJ,0
James Williams,K,TEN,-2
Jamie Gillan,P,LAR,0
Jason Sanders,K,TB,-10
Joey Slye,K,KC,3
Johnny Hekker,P,CLE,-1
Jordy Sandy,P,IND,0
Justin Rohrwasser,K,CLE,2
Justin Tucker,K,GB,4
Ka'imi Fairbairn,K,BUF,5
Kai Keawe,P,WAS,1
Kai Kroeger,P,SEA,2
Matt Stern,P,DET,-1
Matt Walker,K,CIN,2
Matthew Wright,K,SEA,-3
Michael Dickson,P,ARI,4
Michael Turk,P,HOU,2
Nathan Dibert,K,NYG,-9
Nick Sciba,K,WAS,-4
Parker Lewis,K,IND,8
Pressley Harvin III,P,SF,-2
Rigoberto Sanchez,P,JAX,2
Riley Rogers,K,NYJ,4
Ryan Bujcevski,P,TEN,-2
Sterling Hofrichter,P,MIN,-4
Ted McCoy,K,PIT,3
Tom Hutton,P,NYG,1
Tommy Townsend,P,MIA,0
Tory Taylor,P,NO,1
Trevor Hardy,P,BUF,-2
Tucker Day,P,GB,-3
Tyler Bass,K,NO,-6
Tyler Perkins,P,TB,2
Younghoe Koo,K,JAX,1
Zane Gonzalez,K,DET,-3
