FullName,Position,TeamName,SkillPointOff
A.J. Brown,WR,SEA,6
AJ Barner,TE,NE,-7
Adam Trautman,TE,NO,-1
Agiye Hall,WR,LAC,-1
Alton McCaskill,HB,SF,4
Amari Rodgers,WR,GB,-4
Amon-Ra St. Brown,WR,TEN,-3
Andre Greene Jr,WR,IND,-4
Arik Gilbert,TE,BUF,1
Armani Winfield,WR,WAS,1
Austin Stonger,TE,ARI,0
Ayden Williams,WR,NO,-4
Beaux Collins,WR,LAR,2
Benji Gosnell,TE,MIA,2
Bennett Christian,TE,KC,0
Bijan Robinson,HB,JAX,-4
Braelon Allen,HB,ATL,0
Brandon Inniss,WR,SF,2
Braylon James,WR,NYG,2
Breece Hall,HB,KC,8
Brevin Jordan,TE,SEA,8
Bru McCoy,WR,DEN,1
Bryson Nesbit,TE,LV,-1
C.J. Williams,WR,ATL,4
Cade Otton,TE,HOU,-3
Caleb Burton,WR,ARI,2
Camar Wheaton,HB,SEA,-2
Cameron Seldon,WR,TB,4
Cecil Carmichael,TE,CIN,1
CeeDee Lamb,WR,DAL,-6
Chase Lane,WR,CHI,-2
Chris Godwin,WR,NO,2
Chris Olave,WR,DEN,-5
Cole Kmet,TE,CHI,2
Colston Loveland,TE,LV,4
Connor McPhee,WR,DAL,4
Corey Kiner,HB,NYJ,-1
D.J. Moore,WR,LAR,-1
D.K. Metcalf,WR,SEA,-5
Dakota Twitty,WR,PHI,-3
Dalton Schultz,TE,PHI,1
Damir Collins,HB,NE,10
Darnell Washington,TE,TEN,5
David Bell,WR,CLE,2
David Washington,WR,LAC,-2
Dawson Knox,TE,NO,6
De'Andre Bulley,HB,IND,2
De'Veon Scott,HB,MIA,2
DeVonta Smith,WR,IND,-1
Deion Smith,WR,NYG,-5
Demarkcus Bowman,HB,SEA,-3
Deshawn Arnaud,HB,LAR,1
Devin Neal,HB,WAS,2
Dominick Blaylock,WR,NE,0
Donovan Peoples-Jones,WR,DAL,1
Drake London,WR,KC,-1
Duce Robinson,TE,LAR,-2
Dyami Brown,WR,CIN,4
Elijah Collins,HB,NYJ,-3
Elijah Moore,WR,NYJ,1
Emmanuel Henderson,HB,BUF,-1
Evan Stewart,WR,NE,-2
Foster Moreau,TE,DAL,0
Gabriel Davis,WR,DEN,4
