FullName,Position,TeamName,SkillPointOff
A.J. Hurts,WR,ARI,-2
AJ Barner,TE,SEA,1
Agiye Hall,WR,LV,1
Ahmad Williams,WR,CAR,-5
Alfonso Rayford,WR,LAC,-2
Amandre Stewart,HB,DET,-4
Amar'e Thompson,HB,PHI,4
Andre Greene Jr,WR,CHI,2
Andrew Bailey,WR,JAX,2
Antoine Terry,WR,NYG,6
Antonio Parker,TE,IND,6
Armani Winfield,WR,LAR,-7
Ayden Williams,WR,KC,-5
Benji Beachum,TE,HOU,3
Billy Wilkerson,TE,CLE,-1
Blake Kinney,TE,NO,3
Brandon Inniss,WR,HOU,2
Brayden Llyod Jr,WR,NYG,0
Braylon James,WR,HOU,7
Brendan LaPierre,WR,JAX,0
Bret Staat,TE,CIN,-8
Bryan Thomas,TE,NO,5
Bryce Hilliard Jr,WR,TB,-3
C.J. Williams,WR,ATL,14
Caleb Burton,WR,CLE,-2
Caleb Simpson,WR,TB,9
Chad Bordelon,TE,CIN,1
Chris Adkins,TE,LAC,6
Chris Knott,HB,NYJ,-5
Chris Olave,WR,SEA,2
Christian Williams,HB,SEA,0
Colston Loveland,TE,SF,-1
Connor McPhee,WR,BUF,2
Connor Weston,TE,PHI,0
Cordale Canty,HB,TB,-1
Courtney Allen,WR,DET,4
D'Andre Massey,WR,JAX,4
D.J. Peters,HB,IND,1
Dakota Twitty,WR,CHI,6
Dalton Stockton,TE,PIT,2
Damarius Brackens,HB,BUF,5
Daniel Kennard,WR,LAC,-1
Danny Barber,WR,HOU,-3
Darius Kidd,WR,ATL,2
Daryl Thorne,TE,DEN,2
David Babineaux,HB,CHI,-1
David Teague,WR,PHI,4
David Washington,WR,DET,-5
DeAndre Jennings,WR,SF,-2
DeMarcus Thomas,WR,JAX,-4
DeShawn Thomas,HB,JAX,-2
Deion Franklin,WR,ARI,-4
Devin Morrison,TE,CAR,3
Devon Lindley,WR,SF,-3
Donavaughan Noel,HB,DET,-4
Donovan Meriweather,TE,IND,-2
Donte Claxton,HB,CLE,2
Duce Robinson,TE,LAR,-3
Dudley Tolbert,WR,LV,0
Earl Branson,WR,CHI,7
Emeka Egubka,WR,MIA,-4
Emmett Clayborn,HB,PIT,2
Emmett Willis,HB,BAL,5
Evan Stewart,WR,DEN,1
Forrest Walden,TE,TEN,-2
Gage Wilcox,TE,DET,-3
Garrett Wilson,WR,PHI,-5
Gordon Springs,WR,DAL,-2
Gordon Stamper,HB,KC,4
Grant Borden,TE,ARI,-2
Harold Baker,WR,ATL,4
Ja'Marr Chase,WR,CIN,0
Jack Pedersen,TE,NYJ,2
Jacoby Owens,WR,ARI,0
Jacquez Jones,HB,ATL,9
Jaedon Hayes,HB,KC,3
Jake Johnson,TE,MIA,2
Jaleel Skinner,TE,CHI,1
Jalen Brown,WR,NYJ,2
Jalen King,HB,CLE,-4
Jalen Shepherd,TE,KC,13
Jalen Wydermyer,TE,KC,2
James Bradley,WR,TEN,0
James Gatewood,WR,TEN,-1
Jaquaize Pettaway,WR,SF,0
Jaquard Woods,WR,CLE,-2
Jarrick Patton,WR,CAR,3
Javonti Hitchens,WR,NYJ,4
Jaxson Smith-Njikba,WR,NO,8
Jelani Brooks,HB,LV,-2
Jerod Felder Jr,WR,WAS,4
Joel Culliver III,WR,TB,-7
Joey O'Neill,TE,GB,-4
John MacQueen,WR,MIN,-7
Johntay Cook II,WR,BUF,-2
Jonathan Hawkins,WR,NO,0
Jonathan Trejo,TE,PHI,-9
Jordan Hudson,WR,GB,4
Josh Brown,WR,NO,-4
Josh Nolan,WR,BAL,-3
Joshua Thompkins,HB,CIN,-3
Julian Hatcher,HB,NYJ,1
Julian Wallace,TE,BUF,-2
Justice Haynes,HB,NYG,0
Justin Graham,TE,LV,0
Justin Jefferson,WR,IND,4
Justin York,WR,NE,2
Kaleb Brown,WR,SEA,-4
Kareem Owens,HB,TEN,0
Kasey Koerner,TE,BAL,3
Kavonte Edwards,TE,NE,1
Kelvin McCallum,WR,LAR,2
Kelvin Stroud,WR,LAR,-4
Kendrick McIntyre,WR,GB,2
Kentrell Poe,TE,NYG,4
Kenvall Crowley,HB,DAL,2
Kian Wroten,WR,DEN,-1
Koren Blackburn,WR,PIT,-2
Kyle Pitts,TE,MIA,1
Lance Jones,WR,DET,-1
Lawrence Brookins,WR,DEN,0
Leon Groves,HB,WAS,2
Lloyd Bone,WR,MIA,-6
Luis Ventura,TE,NO,3
Luke Fryar,WR,KC,-6
Malachi Woodson,HB,NO,4
Marc Bailey,HB,LAR,2
Marcus Tucker,HB,TB,-1
Mark Barnett,TE,TB,-2
Mark Fletcher,HB,MIA,1
Marlon Hawkins,TE,WAS,1
Marques Harriott,HB,MIA,-1
Marvin Middleton,WR,LAC,-5
Matt Sewell,HB,GB,2
Matthew Jeffries,WR,BUF,4
Melvin Rivers,WR,DAL,6
Micah Parks,WR,PHI,-7
Mike Gattis,WR,BAL,-3
Mike Meredith,TE,TEN,-4
Myke Gales Jr,HB,MIN,0
Nate Castonzo,WR,NE,0
Nick Klein,TE,LV,-4
Nick Meerce,WR,PIT,2
Nick Tull-Parrish,WR,WAS,4
Nigel Harding,WR,TB,1
Noel Lowry Jr,WR,DEN,-1
Nolan Hawkins,TE,TB,3
Omarion Miller,WR,MIN,2
Orlando Foote,HB,CIN,2
Paul Picard,WR,MIN,0
Quannel Hobbs,HB,JAX,-3
Quinton Baldwin,HB,DEN,-1
Rakim Matias-Smith,TE,ATL,2
Raleek Brown,HB,WAS,4
Rashaun Hoskins,WR,WAS,0
Richard James,WR,DAL,-2
Robert Beckum,WR,NYJ,2
Ryan Otton,TE,MIN,-6
Ryan Wingo,WR,CAR,-1
Sean Crawford,HB,PIT,2
Sean Dyson,HB,HOU,-2
Shawn Peters,WR,IND,1
Shaydon Carter,WR,GB,1
Shazz Preston,WR,CIN,-4
Shelton Sampson Jr,WR,IND,0
Shelvin Ellison,WR,BAL,-1
Stanley Miller,TE,ARI,-6
Stephen Davis,HB,ARI,-2
Tahj Hurts,WR,BAL,-4
Tahj Spencer,WR,BUF,-3
Terrance Smith,WR,ATL,1
Terrance Whitehead,TE,DET,1
Tetairoa McMillan,WR,KC,8
Tevin Scarborough,HB,LAR,-2
