FullName,Position,TeamName,SkillPointOL
Aaryn Parks,LG,CHI,1
Amir Herring,LG,BAL,10
Beaux Limmer,LG,CAR,-7
Benjamin Eppard,C,BUF,-2
Blaine Madden,LT,DEN,4
Braeden Daniels,RG,SEA,0
Braydon Hall,RT,PIT,-2
Brenton Mayes,LT,BUF,-4
Brian Downs,LT,WAS,-2
Brian Ruggs,C,LV,4
Bryce Foster,C,HOU,-6
Caleb Holloway,LT,SF,4
Cam Michaels,RT,LAR,-3
Cameron Jurgens,C,JAX,0
Carson Edmonds,LT,MIA,-4
Carson Hinzman,RG,ARI,1
Charlie Dodson,C,NO,-3
Chase Looney,LT,LAC,0
Chauncey Kamakea,C,ATL,1
Chris Boss,LG,ATL,0
Chris Spencer,LT,TEN,0
Chris Winslow,RG,WAS,0
Cody Izzo,RT,HOU,0
Cody Lovell,C,ARI,-1
Colby Mooney,RT,CHI,10
Cory Hendrix,RG,TB,-3
Craig McQueen,RT,JAX,10
Curtis Dunlap Jr.,LG,LAR,-3
D.J. Rogers,RG,LAC,-3
Dakota McCain,LG,SF,1
Dalton Russell,RT,IND,4
Damon Alexander,RG,IND,2
Daniel Ellison,LG,GB,-2
Darrius Davis,RT,DAL,3
DeVante Stoudemire,LG,KC,1
Deandre Mitchell,RG,CLE,-4
Devin Middleton,C,SEA,0
Devon Campbell,RG,CAR,-6
Dextrell Irving,LT,LV,8
Dion McBride,LG,WAS,1
Dominique Metcalf,LG,PHI,0
Donovan Jackson,RG,NE,1
Earnest Greene,RG,BUF,-3
Eddie Russell,LT,CAR,-4
Elijah Pritchett,LT,ATL,1
Emil Ekiyor Jr.,RG,NYJ,-10
Eric Roseman,C,NYG,0
Erik McCoy,C,KC,1
Ethan Chamberlain,C,DET,0
Ezekiel Barrett,LT,ARI,0
Ezra Dotson-Oyetade,C,CAR,-3
Gabe Blair,LG,BAL,-1
Greg Crippen,RG,CIN,1
Harris Sewell,C,CHI,1
Isendre Ahfua,LG,BUF,0
JC Latham,LT,MIN,4
Jack Nelson,LG,MIN,1
Jaheim Franklin,LT,JAX,0
Jamaal Jarrett,RT,SF,0
James Brockermeyer,C,TEN,-2
Jaren Moore,RT,NYG,-3
Jay Scott,RG,TEN,6
Jedrick Wills Jr,LT,NYG,0
Jeff Brooks,LG,CIN,0
Jeremiah Cobbs,LT,BAL,-2
Jeremiah Eisen,LT,NO,3
Jeremiah Mason,C,TB,4
Joe Brunner,RT,CAR,-3
Jonah Miller,LG,NO,-1
Josh Fisher,RG,CHI,1
Josh Howard,LG,NYJ,-3
Julian Armella,LT,CLE,0
Justin Foster,RG,NO,0
Kadyn Proctor,RT,WAS,1
Kelvin Banks,RT,SEA,1
Kenyon Green,RG,LV,4
Kevin Crowley,LG,PIT,-3
Khalon Davis,LT,NO,0
Kinglsey Suamataia,LT,LAR,-3
Kiyaunta Goodwin,RT,NYJ,1
LaDarius Combs,RT,PHI,-4
Larry Gaines,LG,MIA,1
Larry Samuel,RG,DEN,4
Lionel Richards,RG,SF,-1
Lloyd Foster,RT,GB,-1
Logan Parr,RG,HOU,1
Logan Reichert,LT,SEA,0
Luke Darby,RT,LV,1
Luke Matthews,C,PIT,10
Marcus Ferrell,LT,TB,4
Mark Finney,C,CLE,4
Mark Welch,C,SF,0
Mateo Camarillo,LT,PHI,1
Matt Kendricks,C,IND,3
Matt McDonald,LT,KC,-3
Matt Nickerson,LG,MIA,-2
Matt Pierce,C,BAL,0
Matthew Middleton,C,MIN,-3
Matthew Weston,LG,NYG,-2
Matthias Winters,LT,NE,-3
Mekhi Becton,LT,NYJ,-4
Michael Mokofisi,RG,KC,1
Morris Thornton,C,NYJ,-3
Najee Bethel,C,WAS,-3
Neto Umeozulu,C,GB,1
Nick Gardner,LT,PIT,-4
Noah Patterson,RG,JAX,4
Oscar Kramer,LG,HOU,12
Owen Holliday,RT,CLE,4
Pat Nowak,C,MIA,1
Paul Olsen,RT,TB,-1
Penei Sewell,RT,DET,1
Phillip Koerner,RT,ATL,1
Quandre Brooks,LG,DET,9
Quenton Nelson,LG,NE,-1
Raekwon Heyward,RG,PIT,1
Randy Berry,RG,DAL,0
Rasheed Walker,RT,ARI,-6
Reuben Fatheree II,LT,HOU,1
Ricky McKinney,RT,LAC,4
Roy Barrett,RT,NE,-2
Ryan Stevens,LT,IND,1
Sal Rowe,C,CIN,-1
Sebastian Langford,LG,DAL,1
Seth Windham,LT,CIN,0
Sheridan Wilson,LG,SEA,4
Sioape Vatikani,LG,CLE,0
Skylar Baker,C,DEN,10
Stephen Poole,RT,BAL,-3
Steven Douglas,LG,JAX,3
Steven Tait,RG,ATL,-2
T.J. Gibson,LT,CIN,-1
Terron Jones,LT,CHI,4
Titus Givens,LG,TEN,1
Tom Pace,LG,LV,-3
Tommy Brockermeyer,LT,TEN,4
Travis Walker,RG,PHI,4
Treyvon Yarborough,LT,GB,-9
Troy Tatum,RG,GB,-1
Tyler Linderbaum,C,LAR,0
Tyron Callahan,LG,TB,1
Warren McClendon,RT,MIA,4
Will Campbell,RT,BUF,-4
Will Langford,LT,DAL,-4
Zac Peerman,LG,ARI,-2
Zach Ferguson,RG,NYG,-7
Zhaire Guyton,C,LAC,0
