Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,GAMESSTARTED,OLINEPANCAKES,OLINESACKSALLOWED,DOWNSPLAYED,STAT_KEEP,GAMESPLAYED,YEARBYYEARTEAMINDEX,GAMERATING,SEAS_YEAR,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,TeamIndex,ContractStatus,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,SacksPer1000Snaps,TeamName_y,SkillPointOL
8,RG,Cory,Hendrix,Cory Hendrix,TB,12,0,4,781,False,12,5,0,12,Cory,Hendrix,777.0,775.0,6.0,5.0,Signed,73.0,0.0,0.0,TB,tier_5,5.121638924455826,TB,-3
23,C,Tyler,Linderbaum,Tyler Linderbaum,LAR,15,0,2,1062,False,15,23,0,12,Tyler,Linderbaum,3314.0,3312.0,11.0,23.0,Signed,79.0,0.0,0.0,LAR,tier_4,1.8832391713747645,LAR,0
27,LT,Mekhi,Becton,Mekhi Becton,NYJ,14,0,17,1011,False,14,17,0,12,Mekhi,Becton,172.0,170.0,13.0,17.0,Signed,72.0,0.0,0.0,NYJ,tier_5,16.81503461918892,NYJ,-4
37,RT,Kiyaunta,Goodwin,Kiyaunta Goodwin,NYJ,15,0,8,1084,False,15,17,0,12,Kiyaunta,Goodwin,335.0,333.0,7.0,17.0,Signed,77.0,0.0,0.0,NYJ,tier_4,7.380073800738007,NYJ,1
55,RT,Owen,Holliday,Owen Holliday,CLE,14,0,5,937,False,14,4,0,12,Owen,Holliday,3637.0,3635.0,1.0,4.0,Signed,68.0,0.0,0.0,CLE,tier_6,5.3361792956243335,CLE,4
59,C,Matthew,Middleton,Matthew Middleton,MIN,10,0,3,657,False,10,30,0,12,Matthew,Middleton,1595.0,1593.0,5.0,30.0,Signed,76.0,0.0,0.0,MIN,tier_4,4.5662100456621,MIN,-3
68,RG,Kenyon,Green,Kenyon Green,LV,11,0,1,716,False,11,22,0,12,Kenyon,Green,3320.0,3318.0,11.0,22.0,Signed,72.0,0.0,0.0,LV,tier_5,1.3966480446927374,LV,4
83,RG,Carson,Hinzman,Carson Hinzman,ARI,14,0,3,958,False,14,6,0,12,Carson,Hinzman,680.0,678.0,6.0,6.0,Signed,65.0,0.0,0.0,ARI,tier_6,3.131524008350731,ARI,1
85,LT,Khalon,Davis,Khalon Davis,NO,15,0,14,1005,False,15,26,0,12,Khalon,Davis,2893.0,2891.0,3.0,26.0,Signed,88.0,0.0,0.0,NO,tier_2,13.930348258706468,NO,0
93,LT,Ryan,Stevens,Ryan Stevens,IND,11,0,5,734,False,11,9,0,12,Ryan,Stevens,250.0,248.0,5.0,9.0,Signed,95.0,0.0,0.0,IND,tier_0,6.8119891008174385,IND,1
98,LT,Brenton,Mayes,Brenton Mayes,BUF,14,0,15,943,False,14,2,0,12,Brenton,Mayes,987.0,985.0,4.0,2.0,Signed,77.0,0.0,0.0,BUF,tier_4,15.906680805938493,BUF,-4
105,LG,Daniel,Ellison,Daniel Ellison,GB,15,0,9,1161,False,15,19,0,12,Daniel,Ellison,3618.0,3616.0,3.0,19.0,Signed,76.0,0.0,0.0,GB,tier_4,7.751937984496124,GB,-2
107,C,Mark,Welch,Mark Welch,SF,14,0,3,994,False,14,14,0,12,Mark,Welch,161.0,159.0,6.0,14.0,Signed,67.0,0.0,0.0,SF,tier_6,3.0181086519114686,SF,0
113,RG,Michael,Mokofisi,Michael Mokofisi,KC,15,0,3,963,False,15,8,0,12,Michael,Mokofisi,1866.0,1864.0,7.0,8.0,Signed,68.0,0.0,0.0,KC,tier_6,3.115264797507788,KC,1
123,RT,Dalton,Russell,Dalton Russell,IND,15,0,6,1052,False,15,9,0,12,Dalton,Russell,986.0,984.0,0.0,9.0,Signed,73.0,0.0,0.0,IND,tier_5,5.7034220532319395,IND,4
140,C,Zhaire,Guyton,Zhaire Guyton,LAC,15,0,2,1060,False,15,7,0,12,Zhaire,Guyton,2560.0,2558.0,4.0,7.0,Signed,93.0,0.0,0.0,LAC,tier_1,1.8867924528301887,LAC,0
144,LT,Jeremiah,Eisen,Jeremiah Eisen,NO,13,0,6,879,False,15,26,0,12,Jeremiah,Eisen,1843.0,1841.0,1.0,26.0,Signed,85.0,0.0,0.0,NO,tier_2,6.825938566552901,NO,3
148,RG,Deandre,Mitchell,Deandre Mitchell,CLE,15,0,5,1080,False,15,4,0,12,Deandre,Mitchell,179.0,177.0,5.0,4.0,Signed,82.0,0.0,0.0,CLE,tier_3,4.62962962962963,CLE,-4
188,RG,Chris,Winslow,Chris Winslow,WAS,15,0,4,1030,False,15,25,0,12,Chris,Winslow,2250.0,2248.0,1.0,25.0,Signed,68.0,0.0,0.0,WAS,tier_6,3.883495145631068,WAS,0
193,RT,Jaren,Moore,Jaren Moore,NYG,15,0,12,1022,False,15,15,0,12,Jaren,Moore,2292.0,2290.0,1.0,15.0,Signed,83.0,0.0,0.0,NYG,tier_3,11.741682974559687,NYG,-3
201,RG,Logan,Parr,Logan Parr,HOU,15,0,3,1155,False,15,31,0,12,Logan,Parr,561.0,559.0,8.0,31.0,Signed,84.0,0.0,0.0,HOU,tier_3,2.5974025974025974,HOU,1
