Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,STAT_KEEP,DLINEFUMBLERECOVERYYARDS,DSECINTRETURNYARDS,DOWNSPLAYED,DLINEFUMBLERECOVERIES,ASSDEFTACKLES,BIGHITS,DEFTACKLES,DLINEHALFSACK,SEAS_YEAR,CTHALLOWED,DSECINTLONGESTRETURN,DLINESAFETIES,DSECINTS,DSECINTTDS,GAMERATING,DEFPASSDEFLECTIONS,DLINEBLOCKS,YEARBYYEARTEAMINDEX,DEFTACKLESFORLOSS,DLINEFORCEDFUMBLES,DLINESACKS,DLINEFUMBLETDS,GAMESPLAYED,GAMESSTARTED,FirstName_y,LastName_y,Row Excel,Row Editor,TeamIndex,ContractStatus,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,DLSacksAndTFLPerGame,TotalTurnoversPerGame,LBSacksTFLPassDeflPerGame,TacklesPerGame,CBPassDeflPerGame,CBCatchAllowPer100Snaps,SafetiesCatchAllowMinusPDPerGame,TeamName_y,SkillPointDef
0,RE,Wyatt,Hubert,Wyatt Hubert,CIN,True,0,0,751,0,20,27,35,1,4,2,0,0,0,0,0,0,0,1,11,0,3,0,13,8,Wyatt,Hubert,1234.0,1232.0,1.0,Signed,69.0,0.0,0.0,CIN,tier_6,1.0769230769230769,0.0,1.0769230769230769,4.230769230769231,0.0,0.2663115845539281,0.15384615384615385,CIN,1
1,SS,Dell,Pettus,Dell Pettus,CIN,True,0,22,345,0,3,11,17,0,4,11,22,0,1,0,0,3,0,1,1,0,0,0,14,3,Dell,Pettus,3228.0,3226.0,1.0,Signed,66.0,0.0,0.0,CIN,tier_6,0.07142857142857142,0.07142857142857142,0.2857142857142857,1.4285714285714286,0.21428571428571427,3.1884057971014492,0.5714285714285714,CIN,-1
3,DT,Bobby,Brown III,Bobby Brown III,HOU,True,0,0,510,0,18,15,17,0,4,0,0,1,0,0,0,0,0,31,8,0,3,0,15,15,Bobby,Brown III,298.0,296.0,31.0,Signed,78.0,0.0,0.0,HOU,tier_4,0.7333333333333333,0.06666666666666667,0.7333333333333333,2.3333333333333335,0.0,0.0,0.0,HOU,-4
18,DT,J.T.,Tuimoloau,J.T. Tuimoloau,LAC,True,0,0,850,0,24,37,43,0,4,0,0,0,0,0,0,0,0,7,16,0,6,0,15,3,J.T.,Tuimoloau,1346.0,1344.0,7.0,Signed,76.0,0.0,0.0,LAC,tier_4,1.4666666666666666,0.0,1.4666666666666666,4.466666666666667,0.0,0.0,0.0,LAC,1
25,CB,Denzel,Burke,Denzel Burke,HOU,True,0,71,1062,0,26,48,58,0,4,29,36,0,4,0,0,6,0,31,1,0,1,0,15,7,Denzel,Burke,524.0,522.0,31.0,Signed,79.0,0.0,0.0,HOU,tier_4,0.13333333333333333,0.26666666666666666,0.5333333333333333,5.6,0.4,2.7306967984934087,1.5333333333333334,HOU,0
31,SS,C.J.,Gardner-Johnson,C.J. Gardner-Johnson,NO,True,0,68,1067,0,23,47,55,0,4,31,27,0,3,2,0,9,0,26,0,0,0,0,15,15,C.J.,Gardner-Johnson,905.0,903.0,26.0,Signed,92.0,0.0,0.0,NO,tier_1,0.0,0.3333333333333333,0.6,5.2,0.6,2.9053420805998127,1.4666666666666666,NO,0
55,MLB,Malik,Harrison,Malik Harrison,BAL,True,0,0,895,0,33,75,90,0,4,41,0,0,0,0,0,6,0,24,4,0,1,0,13,13,Malik,Harrison,1100.0,1098.0,24.0,Signed,81.0,0.0,0.0,BAL,tier_3,0.38461538461538464,0.0,0.8461538461538461,9.461538461538462,0.46153846153846156,4.581005586592179,2.6923076923076925,BAL,2
60,ROLB,Mase,Funa,Mase Funa,CIN,True,0,1,1124,0,15,18,29,1,4,2,1,0,1,0,0,1,0,1,12,1,3,0,15,8,Mase,Funa,3270.0,3268.0,1.0,Signed,68.0,0.0,0.0,CIN,tier_6,1.0,0.13333333333333333,1.0666666666666667,2.933333333333333,0.06666666666666667,0.1779359430604982,0.06666666666666667,CIN,3
68,SS,R.J.,Moten,R.J. Moten,CIN,True,0,8,960,0,23,24,50,1,4,26,8,0,1,0,0,12,0,1,0,0,0,0,14,14,R.J.,Moten,1680.0,1678.0,1.0,Signed,70.0,0.0,0.0,CIN,tier_5,0.0,0.07142857142857142,0.8571428571428571,5.214285714285714,0.8571428571428571,2.7083333333333335,1.0,CIN,1
83,SS,Delarrin,Turner-Yell,Delarrin Turner-Yell,CLE,True,0,0,308,0,6,4,6,0,4,3,0,0,0,0,0,4,0,4,0,0,0,0,13,3,Delarrin,Turner-Yell,3503.0,3501.0,4.0,Signed,69.0,0.0,0.0,CLE,tier_6,0.0,0.0,0.3076923076923077,0.9230769230769231,0.3076923076923077,0.974025974025974,-0.07692307692307693,CLE,2
