Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,GAMESSTARTED,OLINEPANCAKES,OLINESACKSALLOWED,DOWNSPLAYED,STAT_KEEP,GAMESPLAYED,YEARBYYEARTEAMINDEX,GAMERATING,SEAS_YEAR,FirstName_y,LastName_y,PLYR_ASSETNAME,Row Excel,Row Editor,YearsPro,Age,PLYR_DRAFTROUND,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,SacksPer1000Snaps,TeamName_y,SkillPointOL
20,RG,Duce,Dowdle,Duce Dowdle,SF,17,12,1,1232,True,17,14,0,11,Duce,Dowdle,DuceDowdle_32126,714.0,712.0,3.0,26.0,1.0,14.0,Signed,Normal,78.0,0.0,0.0,SF,tier_4,0.8116883116883118,SF,5
22,RT,Francis,Mauigoa,Francis Mauigoa,DET,13,46,11,907,True,13,18,0,11,Francis,Mauigoa,FrancisMauigoa_17,987.0,985.0,9.0,30.0,1.0,18.0,Signed,Star,80.0,0.0,0.0,DET,tier_3,12.127894156560089,DET,-5
35,LT,Brandon,Baker,Brandon Baker,NE,6,11,3,430,True,16,21,0,11,Brandon,Baker,BrandonBaker_14,2110.0,2108.0,8.0,30.0,1.0,21.0,Signed,Star,68.0,0.0,0.0,NE,tier_6,6.976744186046512,NE,4
38,C,Alex,Alfaro,Alex Alfaro,CHI,15,36,6,1043,True,15,0,0,11,Alex,Alfaro,AlexAlfaro_34612,2431.0,2429.0,1.0,22.0,6.0,0.0,Signed,Normal,66.0,0.0,0.0,CHI,tier_6,5.752636625119846,CHI,1
62,RG,Michael,Oladejo,Michael Oladejo,NO,14,5,6,888,True,14,26,0,11,Michael,Oladejo,MichaelOladejo_3448,2873.0,2871.0,1.0,24.0,4.0,26.0,Signed,Star,77.0,0.0,0.0,NO,tier_4,6.756756756756757,NO,-4
63,RT,JacQawn,McRoy,JacQawn McRoy,PHI,17,23,13,1192,True,17,12,0,11,JacQawn,McRoy,JacQawnMcRoy_217,1662.0,1660.0,7.0,29.0,2.0,12.0,Signed,Normal,76.0,0.0,0.0,PHI,tier_4,10.906040268456376,PHI,-1
72,RG,Paul,Ferguson,Paul Ferguson,BUF,17,15,5,1158,True,17,2,0,11,Paul,Ferguson,PaulFerguson_33433,3406.0,3404.0,2.0,25.0,4.0,2.0,Signed,Star,74.0,0.0,0.0,BUF,tier_5,4.317789291882556,BUF,0
85,LG,Jahmeek,Forbes,Jahmeek Forbes,NYJ,17,12,4,1177,True,17,17,0,11,Jahmeek,Forbes,JahmeekForbes_3556,2490.0,2488.0,0.0,21.0,5.0,17.0,Signed,Normal,72.0,0.0,0.0,NYJ,tier_5,3.3984706881903146,NYJ,0
86,C,Walter,Nash,Walter Nash,PIT,10,14,0,621,True,10,28,0,11,Walter,Nash,WalterNash_3363318,675.0,673.0,2.0,24.0,63.0,28.0,Signed,Normal,67.0,0.0,0.0,PIT,tier_6,0.0,PIT,13
109,RG,E.J.,Harris,E.J. Harris,MIN,15,7,2,974,True,15,30,0,11,E.J.,Harris,E.J.Harris_416,1393.0,1391.0,8.0,31.0,4.0,30.0,Signed,Star,75.0,0.0,0.0,MIN,tier_4,2.053388090349076,MIN,2
114,RG,Cooper,Patterson,Cooper Patterson,CAR,15,17,2,1085,True,15,20,0,11,Cooper,Patterson,CooperPatterson_34226,2160.0,2158.0,1.0,22.0,2.0,20.0,Signed,Normal,76.0,0.0,0.0,CAR,tier_4,1.8433179723502304,CAR,2
136,LG,Korbett,Howard,Korbett Howard,PHI,14,16,3,1023,True,14,12,0,11,Korbett,Howard,KorbettHoward_34218,430.0,428.0,1.0,23.0,2.0,12.0,Signed,Star,79.0,0.0,0.0,PHI,tier_4,2.932551319648094,PHI,-1
177,LT,Deion,Brock,Deion Brock,ARI,10,20,11,665,True,14,6,0,11,Deion,Brock,DeionBrock_35417,2393.0,2391.0,0.0,22.0,4.0,6.0,Signed,Normal,68.0,0.0,0.0,ARI,tier_6,16.541353383458645,ARI,-5
206,RG,Derek,Irons,Derek Irons,NYG,15,16,0,1069,True,17,15,0,11,Derek,Irons,DerekIrons_3363346,554.0,552.0,2.0,25.0,63.0,15.0,Signed,Normal,68.0,0.0,0.0,NYG,tier_6,0.0,NYG,13
249,RG,A.J.,Dickinson,A.J. Dickinson,PHI,6,4,0,542,True,17,12,0,11,A.J.,Dickinson,A.J.Dickinson_35536,3448.0,3446.0,0.0,22.0,5.0,12.0,Signed,Normal,71.0,0.0,0.0,PHI,tier_5,0.0,PHI,12
250,LT,Ty,Haywood,Ty Haywood,NO,11,24,12,794,True,17,26,0,11,Ty,Haywood,TyHaywood_29123,873.0,871.0,6.0,28.0,1.0,26.0,Signed,Normal,66.0,0.0,0.0,NO,tier_6,15.113350125944583,NO,-5
251,RT,Mackey,Maillho,Mackey Maillho,TB,14,9,9,977,True,16,5,0,11,Mackey,Maillho,MackeyMaillho_64,1439.0,1437.0,9.0,32.0,6.0,5.0,Signed,Normal,69.0,0.0,0.0,TB,tier_6,9.211873080859775,TB,1
252,LG,Calvin,Joseph Jr,Calvin Joseph Jr,TB,12,12,2,826,True,14,5,0,11,Calvin,Joseph Jr,CalvinJoseph Jr_34115,3035.0,3033.0,1.0,24.0,1.0,5.0,Signed,Normal,78.0,0.0,0.0,TB,tier_4,2.4213075060532687,TB,2
294,RG,Ayton,Burgess,Ayton Burgess,ARI,13,4,7,805,True,13,6,0,11,Ayton,Burgess,AytonBurgess_3463327,3041.0,3039.0,1.0,23.0,63.0,6.0,Signed,Normal,71.0,0.0,0.0,ARI,tier_5,8.695652173913043,ARI,-6
298,C,Curtis,Rivers,Curtis Rivers,ARI,17,35,3,1027,True,17,6,0,11,Curtis,Rivers,CurtisRivers_32130,719.0,717.0,3.0,26.0,1.0,6.0,Signed,Normal,72.0,0.0,0.0,ARI,tier_5,2.9211295034079843,ARI,3
348,LT,Colt,Jackson,Colt Jackson,NE,13,10,9,887,True,13,21,0,11,Colt,Jackson,ColtJackson_32120,646.0,644.0,3.0,25.0,1.0,21.0,Signed,Normal,73.0,0.0,0.0,NE,tier_5,10.146561443066515,NE,0
353,RG,Walter,Samuel,Walter Samuel,DAL,10,8,3,707,True,17,10,0,11,Walter,Samuel,WalterSamuel_30130,455.0,453.0,5.0,28.0,1.0,10.0,Signed,Star,70.0,0.0,0.0,DAL,tier_5,4.243281471004243,DAL,0
373,LG,Ryder,Lucas,Ryder Lucas,CIN,15,9,2,1014,True,15,1,0,11,Ryder,Lucas,RyderLucas_32432,1416.0,1414.0,3.0,25.0,4.0,1.0,Signed,Normal,78.0,0.0,0.0,CIN,tier_4,1.9723865877712032,CIN,2
374,C,Hayden,Whittington,Hayden Whittington,CIN,17,29,2,1220,True,17,1,0,11,Hayden,Whittington,HaydenWhittington_32232,934.0,932.0,3.0,24.0,2.0,1.0,Signed,Normal,88.0,0.0,0.0,CIN,tier_2,1.639344262295082,CIN,-1
383,LG,Trent,Heinicke,Trent Heinicke,IND,10,9,0,668,True,10,9,0,11,Trent,Heinicke,TrentHeinicke_30212,281.0,279.0,5.0,27.0,2.0,9.0,Signed,Star,82.0,0.0,0.0,IND,tier_3,0.0,IND,8
386,RT,Kasey,Taylor,Kasey Taylor,CHI,11,5,1,809,True,11,0,0,11,Kasey,Taylor,KaseyTaylor_3363390,3537.0,3535.0,2.0,24.0,63.0,0.0,Signed,Normal,75.0,0.0,0.0,CHI,tier_4,1.2360939431396785,CHI,5
387,C,Conner,Forristall,Conner Forristall,PHI,15,33,12,992,True,17,12,0,11,Conner,Forristall,ConnerForristall_3363326,1188.0,1186.0,2.0,24.0,63.0,12.0,Signed,Normal,62.0,0.0,0.0,PHI,tier_6,12.096774193548386,PHI,-5
389,C,Ian,Dickinson,Ian Dickinson,JAX,12,44,3,820,True,12,16,0,11,Ian,Dickinson,IanDickinson_3365,404.0,402.0,2.0,24.0,6.0,16.0,Signed,Normal,77.0,0.0,0.0,JAX,tier_4,3.658536585365854,JAX,-1
404,RG,Marlon,Russell,Marlon Russell,PHI,14,9,5,966,True,14,12,0,11,Marlon,Russell,MarlonRussell_32636,2639.0,2637.0,3.0,25.0,6.0,12.0,Signed,Normal,72.0,0.0,0.0,PHI,tier_5,5.175983436853002,PHI,-3
406,RG,Brett,McDaniel,Brett McDaniel,SEA,11,7,2,818,True,17,27,0,11,Brett,McDaniel,BrettMcDaniel_35713,2765.0,2763.0,0.0,22.0,7.0,27.0,Signed,Normal,63.0,0.0,0.0,SEA,tier_6,2.444987775061125,SEA,4
428,LT,Calvin,Clements,Calvin Clements,NE,14,25,15,915,True,14,21,0,11,Calvin,Clements,CalvinClements_110,2017.0,2015.0,8.0,31.0,1.0,21.0,Signed,Star,74.0,0.0,0.0,NE,tier_5,16.393442622950822,NE,-6
445,LG,Jameel,Smith Jr,Jameel Smith Jr,NO,14,19,0,942,True,14,26,0,11,Jameel,Smith Jr,JameelSmith Jr_32217,886.0,884.0,3.0,25.0,2.0,26.0,Signed,Superstar,91.0,0.0,0.0,NO,tier_1,0.0,NO,4
452,LG,Keyshawn,Downing,Keyshawn Downing,LV,15,19,3,1096,True,15,22,0,11,Keyshawn,Downing,KeyshawnDowning_33434,653.0,651.0,2.0,24.0,4.0,22.0,Signed,Normal,80.0,0.0,0.0,LV,tier_3,2.737226277372263,LV,-2
478,RT,Travis,Calloway,Travis Calloway,SEA,10,6,3,737,True,17,27,0,11,Travis,Calloway,TravisCalloway_32533,1663.0,1661.0,3.0,25.0,5.0,27.0,Signed,Normal,75.0,0.0,0.0,SEA,tier_4,4.07055630936228,SEA,2
480,LG,Billy,Schrauth,Billy Schrauth,SEA,17,37,7,1252,True,17,27,0,11,Billy,Schrauth,BillySchrauth_36,2384.0,2382.0,8.0,31.0,3.0,27.0,Signed,Normal,81.0,0.0,0.0,SEA,tier_3,5.5910543130990416,SEA,-5
481,C,Klay,Michaels,Klay Michaels,SF,7,20,3,531,True,15,14,0,11,Klay,Michaels,KlayMichaels_35628,2419.0,2417.0,0.0,23.0,6.0,14.0,Signed,Normal,65.0,0.0,0.0,SF,tier_6,5.649717514124294,SF,1
483,C,Matthew,Rhodes,Matthew Rhodes,SF,11,15,5,708,True,14,14,0,11,Matthew,Rhodes,MatthewRhodes_31615,903.0,901.0,4.0,25.0,6.0,14.0,Signed,Normal,64.0,0.0,0.0,SF,tier_6,7.062146892655367,SF,-2
484,RT,Josh,Parks,Josh Parks,SF,13,8,3,947,True,13,14,0,11,Josh,Parks,JoshParks_3133,1352.0,1350.0,4.0,25.0,3.0,14.0,Signed,Normal,74.0,0.0,0.0,SF,tier_5,3.1678986272439285,SF,6
