Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,RUSHYARDS,PASSYARDS,RECEIVEDROPS,RUSHYARDSAFTER1STHIT,RECEIVEYARDS,RECEIVELONGEST,DOWNSPLAYED,RECEIVEYARDSAFTER,STAT_KEEP,PASSCOMPLETED,RUSHATTEMPTS,PASSATTEMPTS,PASSINTS,RECEIVECATCHES,FIRSTDOWNS,RUSH20YARDRUNS,SEAS_YEAR,RUSHLONGEST,PASSLONGEST,RUSHBROKENTACKLES,4QCOMEBACKS,GAMERATING,PASSSACKED,PASSTDS,RECEIVETDS,GAMESPLAYED,GAMESSTARTED,RUSHFUMBLES,YEARBYYEARTEAMINDEX,RUSHTDS,FirstName_y,LastName_y,PLYR_ASSETNAME,Row Excel,Row Editor,YearsPro,Age,PLYR_DRAFTROUND,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,ScrimmageYardsPer1000DownsPlayed,RBScrimmageYardsPer300Touches,RBScrimmageTDsPerGame,TDsPer1000DownsPlayed,WRPercentageofTeamPassYards,TeamName_y,SkillPointOff
6,WR,Josh,Gilmore,Josh Gilmore,LAC,0,0,3,0,530,49,885,166,True,0,0,0,0,44,0,0,11,0,0,0,0,0,0,0,3,17,17,0,7,0,Josh,Gilmore,JoshGilmore_32128,709.0,707.0,3.0,25.0,1.0,7.0,Signed,Normal,74.0,0.0,0.0,LAC,tier_5,598.8700564971751,1806.8181818181818,0.17647058823529413,3.389830508474576,0.12749579023334134,LAC,-3.0
7,QB,Jordan,Love,Jordan Love,GB,115,3699,0,56,0,0,1053,0,True,366,29,574,6,0,0,2,11,30,51,6,0,0,30,20,0,17,17,1,19,1,Jordan,Love,LoveJordan_20915,1753.0,1751.0,15.0,36.0,1.0,19.0,Signed,Normal,70.0,0.0,0.0,GB,tier_5,109.21177587844255,1189.6551724137933,0.058823529411764705,0.9496676163342831,0.0,,
13,QB,Julian,Lewis,Julian Lewis,IND,92,661,0,55,0,0,315,0,True,61,11,98,2,0,0,1,11,60,45,4,0,0,9,5,0,17,2,1,9,0,Julian,Lewis,JulianLewis_12,3568.0,3566.0,7.0,28.0,1.0,9.0,Signed,Normal,67.0,0.0,0.0,IND,tier_6,292.0634920634921,2509.090909090909,0.0,0.0,0.0,,
19,QB,Miller,Bailey,Miller Bailey,ATL,215,3919,0,112,0,0,1050,0,True,348,43,560,21,0,0,3,11,42,77,12,0,0,42,24,0,17,17,4,13,4,Miller,Bailey,MillerBailey_3212,2456.0,2454.0,3.0,24.0,1.0,13.0,Signed,Normal,74.0,0.0,0.0,ATL,tier_5,204.76190476190476,1500.0,0.23529411764705882,3.8095238095238093,0.0,,
20,WR,Jordin,Pettis,Jordin Pettis,ATL,0,0,6,0,572,44,865,147,True,0,0,0,0,54,0,0,11,0,0,0,0,0,0,0,3,17,17,0,13,0,Jordin,Pettis,JordinPettis_32131,737.0,735.0,3.0,24.0,1.0,13.0,Signed,Normal,75.0,0.0,0.0,ATL,tier_4,661.2716763005781,1588.888888888889,0.17647058823529413,3.468208092485549,0.14595560091860169,ATL,-3.0
21,TE,Shareef,Beal-Conley,Shareef Beal-Conley,ATL,0,0,6,0,529,50,1074,225,True,0,0,0,0,58,0,0,11,0,0,0,0,0,0,0,1,17,17,1,13,0,Shareef,Beal-Conley,ShareefBeal-Conley_32325,1126.0,1124.0,3.0,26.0,3.0,13.0,Signed,Normal,78.0,0.0,0.0,ATL,tier_4,492.5512104283054,1368.103448275862,0.058823529411764705,0.931098696461825,0.13498341413625925,ATL,-5.0
22,TE,Riley,Williams,Riley Williams,ARI,0,0,8,0,642,50,953,236,True,0,0,0,0,77,0,0,11,0,0,4,0,0,0,0,4,17,17,2,6,0,Riley,Williams,RileyWilliams_317,3529.0,3527.0,7.0,30.0,3.0,6.0,Signed,Superstar,83.0,0.0,0.0,ARI,tier_3,673.6621196222455,1250.6493506493505,0.23529411764705882,4.197271773347325,0.13445026178010472,ARI,2.0
24,QB,Kyrie,Griffith,Kyrie Griffith,SEA,0,0,0,0,0,0,15,0,True,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,3,0,0,27,0,Kyrie,Griffith,KyrieGriffith_30732,3410.0,3408.0,5.0,27.0,7.0,27.0,Signed,Normal,61.0,0.0,0.0,SEA,tier_6,0.0,,0.0,0.0,0.0,,
25,QB,Landon,Walsh,Landon Walsh,NYG,0,60,0,0,0,0,146,0,True,3,0,3,0,0,0,0,11,0,38,0,0,0,0,0,0,17,0,0,15,0,Landon,Walsh,LandonWalsh_3163339,3520.0,3518.0,4.0,26.0,63.0,15.0,Signed,Normal,66.0,0.0,0.0,NYG,tier_6,0.0,,0.0,0.0,0.0,,
46,QB,Noah,Magalei,Noah Magalei,DET,140,3960,0,36,0,0,1117,0,True,361,39,541,7,0,0,1,11,26,74,4,0,0,40,28,0,17,17,4,18,1,Noah,Magalei,NoahMagalei_3312,2213.0,2211.0,2.0,24.0,1.0,18.0,Signed,Star,80.0,0.0,0.0,DET,tier_3,125.33572068039392,1076.923076923077,0.058823529411764705,0.8952551477170994,0.0,,
