Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,KICKEPBLOCKED,PUNTNETYARDS,PUNTYARDS,KICKFGBLOCKED,PUNTATTEMPTS,PUNTIN20,DOWNSPLAYED,KICKEPATTEMPTS,PUNTLONGEST,SEAS_YEAR,KICKNUMKICKOFFS,STAT_KEEP,GAMERATING,PUNTTOUCHBACKS,KICKFGATTEMPTS,KICKEPMADE,GAMEWINFGSMADE,KICKFGATTEMPTS50ORMORE,KICKFGATTEMPTS40TO49,KICKFGATTEMPTS30TO39,KICKFGATTEMPTS29ORLESS,GAMEWINFGATTEMPTS,KICKFGMADE30TO39,KICKFGMADE29ORLESS,KICKFGMADE,KICKFGLONGEST,GAMESSTARTED,YEARBYYEARTEAMINDEX,KICKTOUCHBACKS,KICKFGMADE50ORMORE,KICKFGMADE40TO49,PUNTBLOCKED,GAMESPLAYED,FirstName_y,LastName_y,PLYR_ASSETNAME,Row Excel,Row Editor,YearsPro,Age,PLYR_DRAFTROUND,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,FGPercentage,EPPercentage,LongestFG,PuntTBPerIn20,YardsPerPunt,NetYardsToPuntYards,TeamName_y,SkillPointKick
24,P,Bradley,York,Bradley York,ARI,0,3020,3250,0,72,19,83,0,52,11,0,True,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,6,0,0,0,1,16,Bradley,York,BradleyYork_3563451,2426.0,2424.0,0.0,23.0,63.0,6.0,Signed,Normal,68.0,0.0,0.0,ARI,tier_6,,,0,0.10526315789473684,45.138888888888886,0.9292307692307692,ARI,2.0
25,K,Will,Ferrin,Will Ferrin,ARI,0,0,0,2,0,0,173,36,0,11,90,True,0,0,39,34,0,16,9,7,7,0,6,7,34,60,17,6,16,12,9,0,17,Will,Ferrin,WillFerrin_63257,2635.0,2633.0,9.0,31.0,63.0,6.0,Signed,Normal,80.0,0.0,0.0,ARI,tier_3,0.8717948717948718,0.9444444444444444,60,,,,ARI,-3.0
93,P,Pressley,Harvin III,Pressley Harvin III,DET,0,2556,2756,0,60,20,64,0,52,11,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,18,0,0,0,0,17,Pressley,Harvin III,HarvinIIIPressley_21854,1178.0,1176.0,14.0,36.0,7.0,18.0,Signed,Normal,71.0,0.0,0.0,DET,tier_5,,,0,0.0,45.93333333333333,0.9274310595065312,DET,2.0
94,K,Bret,Kovacs,Bret Kovacs,DET,0,0,0,1,0,0,185,44,0,11,99,True,0,0,41,43,0,13,12,7,9,0,7,8,38,59,17,18,17,12,11,0,17,Bret,Kovacs,BretKovacs_30721,3635.0,3633.0,5.0,26.0,7.0,18.0,Signed,Star,80.0,0.0,0.0,DET,tier_3,0.926829268292683,0.9772727272727273,59,,,,DET,-1.0
95,P,Matthew,Weaver,Matthew Weaver,LAC,0,2828,3032,0,68,6,88,0,52,11,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,0,0,0,0,17,Matthew,Weaver,MatthewWeaver_33716,2238.0,2236.0,2.0,24.0,7.0,7.0,Signed,Normal,71.0,0.0,0.0,LAC,tier_5,,,0,0.0,44.588235294117645,0.9327176781002638,LAC,1.0
96,K,Cameron,Dicker,Cameron Dicker,LAC,0,0,0,0,0,0,182,41,0,11,88,True,0,0,33,40,0,11,8,6,8,0,5,8,29,63,17,7,15,10,6,0,17,Cameron,Dicker,DickerCameron_22392,702.0,700.0,13.0,35.0,63.0,7.0,Signed,Normal,80.0,0.0,0.0,LAC,tier_3,0.8787878787878788,0.975609756097561,63,,,,LAC,-1.0
97,P,Eddie,Czaplicki,Eddie Czaplicki,CIN,0,2599,2812,0,57,19,89,0,61,11,0,True,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,17,Eddie,Czaplicki,EddieCzaplicki_713,1157.0,1155.0,10.0,33.0,7.0,1.0,Signed,Star,77.0,0.0,0.0,CIN,tier_4,,,0,0.2631578947368421,49.333333333333336,0.9242532005689901,CIN,1.0
98,K,Mason,Cutler,Mason Cutler,CIN,0,0,0,1,0,0,165,36,0,11,79,True,0,0,24,35,0,4,7,8,5,0,8,5,22,52,17,1,10,2,7,0,17,Mason,Cutler,MasonCutler_33713,821.0,819.0,2.0,24.0,63.0,1.0,Signed,Normal,77.0,0.0,0.0,CIN,tier_4,0.9166666666666666,0.9722222222222222,52,,,,CIN,-1.0
101,K,Aaron,Rudd,Aaron Rudd,NO,0,0,0,1,0,0,147,42,0,11,78,True,0,0,22,40,0,7,5,1,9,0,1,8,19,58,17,26,8,5,5,0,17,Aaron,Rudd,AaronRudd_30522,647.0,645.0,5.0,27.0,63.0,26.0,Signed,Normal,78.0,0.0,0.0,NO,tier_4,0.8636363636363636,0.9523809523809523,58,,,,NO,-1.0
103,P,Ashton,Becker,Ashton Becker,NYG,0,3710,3856,0,82,27,116,0,53,11,30,True,0,4,0,0,0,0,0,0,0,0,0,0,0,0,17,15,4,0,0,0,17,Ashton,Becker,AshtonBecker_35610,2289.0,2287.0,0.0,22.0,6.0,15.0,Signed,Normal,73.0,0.0,0.0,NYG,tier_5,,,0,0.14814814814814814,47.02439024390244,0.9621369294605809,NYG,4.0
107,P,Terry,Dempsey III,Terry Dempsey III,DEN,0,3496,3744,0,79,26,184,0,54,11,99,True,0,6,0,0,0,0,0,0,0,0,0,0,0,0,17,3,7,0,0,0,17,Terry,Dempsey III,TerryDempsey III_34729,3452.0,3450.0,1.0,24.0,7.0,3.0,Signed,Normal,77.0,0.0,0.0,DEN,tier_4,,,0,0.23076923076923078,47.392405063291136,0.9337606837606838,DEN,-2.0
110,K,Joon,Cho,Joon Cho,IND,0,0,0,1,0,0,187,49,0,11,100,True,0,0,36,48,0,8,8,13,7,0,13,4,29,58,17,9,17,6,6,0,17,Joon,Cho,JoonCho_32711,2439.0,2437.0,3.0,25.0,7.0,9.0,Signed,Normal,74.0,0.0,0.0,IND,tier_5,0.8055555555555556,0.9795918367346939,58,,,,IND,1.0
127,P,Ryland,Lyles,Ryland Lyles,PHI,0,3518,3699,0,79,28,85,0,53,11,0,True,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,12,0,0,0,0,17,Ryland,Lyles,RylandLyles_30614,887.0,885.0,5.0,26.0,63.0,12.0,Signed,Normal,74.0,0.0,0.0,PHI,tier_5,,,0,0.10714285714285714,46.822784810126585,0.9510678561773452,PHI,4.0
140,P,Mason,Fletcher,Mason Fletcher,CAR,0,3217,3473,0,72,27,176,0,54,11,88,True,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17,20,22,0,0,0,17,Mason,Fletcher,MasonFletcher_63283,3480.0,3478.0,11.0,35.0,63.0,20.0,Signed,Star,82.0,0.0,0.0,CAR,tier_3,,,0,0.18518518518518517,48.236111111111114,0.9262885113734524,CAR,-2.0
149,K,Nick,Gardner,Nick Gardner,CLE,0,0,0,1,0,0,170,53,0,11,89,True,0,0,25,51,0,6,8,4,7,0,4,7,18,55,17,4,15,2,5,0,17,Nick,Gardner,NickGardner_35627,2607.0,2605.0,0.0,22.0,6.0,4.0,Signed,Normal,72.0,0.0,0.0,CLE,tier_5,0.72,0.9622641509433962,55,,,,CLE,-3.0
164,K,Conor,Talty,Conor Talty,LAR,0,0,0,1,0,0,74,32,0,11,0,True,0,0,31,32,0,4,7,7,13,0,7,11,24,54,17,23,0,2,4,0,17,Conor,Talty,ConorTalty_72,1893.0,1891.0,7.0,30.0,7.0,23.0,Signed,Superstar,80.0,0.0,0.0,LAR,tier_3,0.7741935483870968,1.0,54,,,,LAR,-4.0
167,K,Ryland,Stromberg,Ryland Stromberg,BAL,1,0,0,0,0,0,152,29,0,11,83,True,0,0,35,27,0,15,4,4,12,0,4,12,33,61,17,24,16,13,4,0,17,Ryland,Stromberg,RylandStromberg_30727,3627.0,3625.0,5.0,28.0,63.0,24.0,Signed,Superstar,85.0,0.0,0.0,BAL,tier_2,0.9428571428571428,0.9310344827586207,61,,,,BAL,-4.0
179,K,Alex,Neill,Alex Neill,WAS,0,0,0,3,0,0,63,18,0,11,29,True,0,0,16,18,0,6,1,4,5,0,4,4,9,56,7,25,2,1,0,0,7,Alex,Neill,AlexNeill_34624,582.0,580.0,1.0,22.0,63.0,25.0,Signed,Normal,71.0,0.0,0.0,WAS,tier_5,0.5625,1.0,56,,,,WAS,-1.0
183,P,Dwight,Walker,Dwight Walker,MIA,0,3879,4109,0,89,29,108,0,53,11,0,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,11,0,0,0,1,17,Dwight,Walker,DwightWalker_3363398,1863.0,1861.0,2.0,25.0,63.0,11.0,Signed,Normal,71.0,0.0,0.0,MIA,tier_5,,,0,0.034482758620689655,46.168539325842694,0.9440253102944756,MIA,4.0
200,P,Trevor,Lawrence,Trevor Lawrence,KC,0,3861,4072,0,84,29,178,0,54,11,64,True,0,6,0,0,0,0,0,0,0,0,0,0,0,0,17,8,11,0,0,0,17,Trevor,Lawrence,TrevorLawrence_31738,1930.0,1928.0,4.0,27.0,7.0,8.0,Signed,Normal,79.0,0.0,0.0,KC,tier_4,,,0,0.20689655172413793,48.476190476190474,0.9481827111984283,KC,1.0
212,K,Chance,Keenan,Chance Keenan,DAL,1,0,0,1,0,0,98,49,0,11,0,True,0,0,26,45,0,9,4,5,8,0,5,6,23,58,17,10,0,8,4,0,17,Chance,Keenan,ChanceKeenan_3563236,64.0,62.0,0.0,23.0,63.0,10.0,Signed,Normal,72.0,0.0,0.0,DAL,tier_5,0.8846153846153846,0.9183673469387755,58,,,,DAL,0.0
226,P,Tommy,Townsend,Tommy Townsend,WAS,0,4275,4540,0,94,32,162,0,54,11,59,True,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17,25,12,0,0,1,17,Tommy,Townsend,TownsendTommy_21175,2837.0,2835.0,15.0,38.0,63.0,25.0,Signed,Normal,80.0,0.0,0.0,WAS,tier_3,,,0,0.15625,48.297872340425535,0.9416299559471366,WAS,0.0
227,K,Pat,Williams,Pat Williams,KC,0,0,0,1,0,0,79,25,0,11,0,True,0,0,30,24,0,10,2,8,10,0,6,8,24,58,17,8,0,10,0,0,17,Pat,Williams,PatWilliams_3163312,1107.0,1105.0,4.0,28.0,63.0,8.0,Signed,Normal,76.0,0.0,0.0,KC,tier_4,0.8,0.96,58,,,,KC,-1.0
236,K,Griffin,Kell,Griffin Kell,NYG,1,0,0,1,0,0,75,26,0,11,30,True,0,0,18,25,0,11,1,4,2,0,4,1,13,58,11,15,1,7,1,0,11,,,,,,,,,,,,,,,,,0.7222222222222222,0.9615384615384616,58,,,,,
390,K,David,Simpson,David Simpson,HOU,1,0,0,0,0,0,160,33,0,11,89,True,0,0,39,32,0,10,15,6,8,0,6,8,34,58,17,31,12,7,13,0,17,David,Simpson,DavidSimpson_3463434,3650.0,3648.0,1.0,23.0,63.0,31.0,Signed,Normal,77.0,0.0,0.0,HOU,tier_4,0.8717948717948718,0.9696969696969697,58,,,,HOU,0.0
392,P,Michael,Kern,Michael Kern,DAL,0,3353,3669,0,78,25,194,0,53,11,94,True,0,4,0,0,0,0,0,0,0,0,0,0,0,0,17,10,12,0,0,2,17,Michael,Kern,MichaelKern_29713,1881.0,1879.0,6.0,29.0,7.0,10.0,Signed,Normal,73.0,0.0,0.0,DAL,tier_5,,,0,0.16,47.03846153846154,0.9138729899155084,DAL,0.0
393,P,Brett,Thorson,Brett Thorson,JAX,0,3246,3527,0,75,24,185,0,54,11,107,True,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,16,19,0,0,0,17,Brett,Thorson,BrettThorson_720,2016.0,2014.0,9.0,31.0,7.0,16.0,Signed,Normal,79.0,0.0,0.0,JAX,tier_4,,,0,0.125,47.026666666666664,0.9203288914091295,JAX,0.0
394,K,Mason,Shipley,Mason Shipley,ATL,0,0,0,1,0,0,68,35,0,11,0,True,0,0,28,34,0,11,5,6,6,0,6,6,26,57,17,13,0,10,4,0,17,Mason,Shipley,MasonShipley_63339,2715.0,2713.0,9.0,32.0,63.0,13.0,Signed,Star,76.0,0.0,0.0,ATL,tier_4,0.9285714285714286,0.9714285714285714,57,,,,ATL,1.0
411,P,Tommy,Doman,Tommy Doman,CHI,0,3252,3499,0,72,26,77,0,54,11,0,True,0,6,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,17,Tommy,Doman,TommyDoman_63374,2142.0,2140.0,10.0,33.0,63.0,0.0,Signed,Normal,78.0,0.0,0.0,CHI,tier_4,,,0,0.23076923076923078,48.59722222222222,0.9294084024006859,CHI,1.0
412,K,Joey,Matthews,Joey Matthews,CAR,0,0,0,2,0,0,86,51,0,11,0,True,0,0,24,50,0,6,6,6,6,0,5,6,20,52,17,20,0,4,5,0,17,Joey,Matthews,JoeyMatthews_31635,910.0,908.0,4.0,26.0,6.0,20.0,Signed,Normal,74.0,0.0,0.0,CAR,tier_5,0.8333333333333334,0.9803921568627451,52,,,,CAR,0.0
