Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,STAT_KEEP,DLINEFUMBLERECOVERYYARDS,DSECINTRETURNYARDS,DOWNSPLAYED,DLINEFUMBLERECOVERIES,ASSDEFTACKLES,BIGHITS,DEFTACKLES,DLINEHALFSACK,SEAS_YEAR,CTHALLOWED,DSECINTLONGESTRETURN,DLINESAFETIES,DSECINTS,DSECINTTDS,GAMERATING,DEFPASSDEFLECTIONS,DLINEBLOCKS,YEARBYYEARTEAMINDEX,DEFTACKLESFORLOSS,DLINEFORCEDFUMBLES,DLINESACKS,DLINEFUMBLETDS,GAMESPLAYED,GAMESSTARTED,FirstName_y,LastName_y,PLYR_ASSETNAME,Row Excel,Row Editor,YearsPro,Age,PLYR_DRAFTROUND,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,DLSacksAndTFLPer1000Snaps,DTSacksAndTFLPer1000Snaps,TotalTurnoversPer1000Snaps,LBSacksTFLPassDeflPer1000Snaps,TacklesPer1000Snaps,CBPassDeflPer1000Snaps,CBCatchAllowPer100Snaps,SafetiesCatchAllowMinusPDPerGame,TeamName_y,SkillPointDef
33,LOLB,Justin,Thomas,Justin Thomas,LV,True,0,0,348,0,3,20,24,0,11,3,0,0,0,0,0,0,1,22,0,0,0,0,15,3,Justin,Thomas,JustinThomas_34713,3103.0,3101.0,1.0,24.0,7.0,22.0,Signed,Normal,74.0,0.0,0.0,LV,tier_5,0.0,0.0,2.8735632183908044,0.0,77.58620689655173,0.0,0.8620689655172413,0.2,LV,-3
38,MLB,Brayden,Trent,Brayden Trent,SEA,True,0,0,451,0,7,11,23,1,11,4,0,0,0,0,0,3,0,27,1,0,0,0,15,1,Brayden,Trent,BraydenTrent_3563309,2018.0,2016.0,0.0,22.0,63.0,27.0,Signed,Normal,64.0,0.0,0.0,SEA,tier_6,2.2172949002217295,2.2172949002217295,0.0,8.869179600886918,66.51884700665188,6.651884700665189,0.8869179600886918,0.06666666666666667,SEA,-1
61,DT,Caden,McDowell Jr,Caden McDowell Jr,DEN,True,13,0,551,1,11,22,27,0,11,0,0,1,0,0,0,0,0,3,13,2,1,0,17,11,Caden,McDowell Jr,CadenMcDowell Jr_35124,2536.0,2534.0,0.0,23.0,1.0,3.0,Signed,Normal,76.0,0.0,0.0,DEN,tier_4,27.22323049001815,28.130671506352087,7.259528130671506,25.40834845735027,68.9655172413793,0.0,0.0,0.0,DEN,7
63,DT,Peter,Woods,Peter Woods,LV,True,0,0,680,0,17,38,37,0,11,0,0,0,0,0,0,0,0,22,6,0,14,0,17,3,Peter,Woods,PeterWoods_117,1097.0,1095.0,9.0,30.0,1.0,22.0,Signed,XFactor,93.0,0.0,0.0,LV,tier_1,50.0,60.294117647058826,0.0,29.41176470588235,79.41176470588235,0.0,0.0,0.0,LV,-2
69,RE,Michael,Copeland,Michael Copeland,SF,True,14,0,831,1,11,12,24,0,11,0,0,1,0,0,0,0,0,14,9,1,4,0,17,3,Michael,Copeland,MichaelCopeland_3263278,2182.0,2180.0,3.0,26.0,63.0,14.0,Signed,Normal,72.0,0.0,0.0,SF,tier_5,20.45728038507822,22.86401925391095,3.6101083032490977,15.643802647412757,42.1179302045728,0.0,0.0,0.0,SF,0
77,FS,Kainoa,Winston,Kainoa Winston,GB,True,0,0,948,0,26,49,78,0,11,24,0,0,0,0,0,1,0,19,0,0,0,0,17,17,Kainoa,Winston,KainoaWinston_29338,3532.0,3530.0,6.0,28.0,3.0,19.0,Signed,Normal,75.0,0.0,0.0,GB,tier_4,0.0,0.0,0.0,1.0548523206751055,109.70464135021098,1.0548523206751055,2.5316455696202533,1.3529411764705883,GB,-4
82,CB,Domani,Jackson,Domani Jackson,KC,True,0,41,868,0,17,40,58,1,11,19,30,0,2,0,0,7,0,8,3,0,0,0,14,0,Domani,Jackson,DomaniJackson_114,1909.0,1907.0,9.0,31.0,1.0,8.0,Signed,Star,73.0,0.0,0.0,KC,tier_5,3.4562211981566824,3.4562211981566824,2.304147465437788,11.520737327188941,86.40552995391705,8.064516129032258,2.1889400921658986,0.8571428571428571,KC,2
83,FS,Dashawn,McBryde,Dashawn McBryde,CLE,True,14,42,941,1,23,43,64,0,11,23,19,0,3,1,0,7,0,4,1,1,0,0,17,17,Dashawn,McBryde,DashawnMcBryde_316,642.0,640.0,7.0,29.0,3.0,4.0,Signed,Star,83.0,0.0,0.0,CLE,tier_3,1.0626992561105206,1.0626992561105206,6.376195536663124,8.501594048884165,92.4548352816153,7.438894792773645,2.4442082890541976,0.9411764705882353,CLE,6
86,CB,DeAngelo,Newman,DeAngelo Newman,CIN,True,0,0,371,0,16,13,20,1,11,7,0,0,0,0,0,3,0,1,2,0,0,0,12,0,DeAngelo,Newman,DeAngeloNewman_32224,807.0,805.0,3.0,25.0,2.0,1.0,Signed,Normal,70.0,0.0,0.0,CIN,tier_5,5.3908355795148255,5.3908355795148255,0.0,13.477088948787063,97.03504043126685,8.086253369272237,1.8867924528301887,0.3333333333333333,CIN,-1
105,CB,Dominick,Nash,Dominick Nash,IND,True,0,0,1061,0,13,28,41,0,11,31,0,0,1,0,0,12,0,9,1,0,0,0,17,17,Dominick,Nash,DominickNash_3417,66.0,64.0,1.0,22.0,1.0,9.0,Signed,Normal,78.0,0.0,0.0,IND,tier_4,0.942507068803016,0.942507068803016,0.942507068803016,12.252591894439208,50.89538171536286,11.310084825636192,2.9217719132893496,1.1176470588235294,IND,-1
133,LOLB,Raphael,Jacobs III,Raphael Jacobs III,BUF,True,0,0,491,0,7,12,27,0,11,5,0,0,0,0,0,0,0,2,1,0,0,0,17,4,Raphael,Jacobs III,RaphaelJacobs III_32619,1686.0,1684.0,3.0,25.0,6.0,2.0,Signed,Normal,60.0,0.0,0.0,BUF,tier_6,2.0366598778004072,2.0366598778004072,0.0,2.0366598778004072,69.24643584521385,0.0,1.0183299389002036,0.29411764705882354,BUF,-1
149,RE,Tyler,Lambert,Tyler Lambert,HOU,True,0,0,466,0,9,7,10,0,11,0,0,0,0,0,0,0,0,31,5,0,3,0,17,1,Tyler,Lambert,TylerLambert_3378,1152.0,1150.0,2.0,24.0,7.0,31.0,Signed,Normal,72.0,0.0,0.0,HOU,tier_5,23.605150214592275,26.82403433476395,0.0,17.167381974248926,40.7725321888412,0.0,0.0,0.0,HOU,-3
165,LOLB,Kameron,Weldon Jr,Kameron Weldon Jr,GB,True,0,0,783,0,22,49,68,0,11,20,0,0,0,0,0,2,0,19,3,0,2,0,15,6,Kameron,Weldon Jr,KameronWeldon Jr_35439,211.0,209.0,0.0,23.0,4.0,19.0,Signed,Normal,68.0,0.0,0.0,GB,tier_6,8.939974457215836,10.217113665389528,0.0,8.939974457215836,114.94252873563218,2.554278416347382,2.554278416347382,1.2,GB,1
170,CB,Devon,Spencer,Devon Spencer,WAS,True,0,0,486,0,3,19,31,0,11,11,0,0,0,0,0,0,0,25,0,0,0,0,17,0,Devon,Spencer,DevonSpencer_34537,501.0,499.0,1.0,25.0,5.0,25.0,Signed,Normal,70.0,0.0,0.0,WAS,tier_5,0.0,0.0,0.0,0.0,69.95884773662551,0.0,2.263374485596708,0.6470588235294118,WAS,-5
175,RE,Avery,Van Lanen,Avery Van Lanen,LV,True,9,0,605,1,3,13,19,1,11,0,0,1,0,0,0,0,0,22,3,1,4,0,14,14,Avery,Van Lanen,AveryVan Lanen_3329,1438.0,1436.0,2.0,25.0,2.0,22.0,Signed,Normal,77.0,0.0,0.0,LV,tier_4,18.18181818181818,21.487603305785125,4.958677685950414,11.570247933884296,36.36363636363636,0.0,0.0,0.0,LV,0
179,ROLB,Zaire,Dobbins,Zaire Dobbins,CLE,True,0,0,373,0,10,9,15,0,11,4,0,0,0,0,0,0,0,4,0,0,0,0,17,11,Zaire,Dobbins,ZaireDobbins_34337,34.0,32.0,1.0,23.0,3.0,4.0,Signed,Normal,73.0,0.0,0.0,CLE,tier_5,0.0,0.0,0.0,0.0,67.02412868632707,0.0,1.0723860589812333,0.23529411764705882,CLE,-6
204,MLB,Mickey,Vaccarello,Mickey Vaccarello,MIA,True,14,0,834,1,15,46,72,1,11,24,0,0,0,0,0,3,0,11,1,3,1,0,17,2,Mickey,Vaccarello,MickeyVaccarello_535,962.0,960.0,6.0,29.0,5.0,11.0,Signed,Star,73.0,0.0,0.0,MIA,tier_5,3.5971223021582737,4.196642685851319,4.796163069544364,5.995203836930456,104.31654676258994,3.5971223021582737,2.877697841726619,1.2352941176470589,MIA,4
213,DT,Shawn,Truman,Shawn Truman,NO,True,0,0,426,0,7,14,20,0,11,0,0,0,0,0,0,0,0,26,10,0,0,0,13,0,Shawn,Truman,ShawnTruman_3363278,657.0,655.0,2.0,24.0,63.0,26.0,Signed,Normal,67.0,0.0,0.0,NO,tier_6,23.474178403755868,23.474178403755868,0.0,23.474178403755868,63.38028169014084,0.0,0.0,0.0,NO,-2
217,ROLB,Malachi,Hood,Malachi Hood,DEN,True,0,0,710,0,28,31,56,0,11,16,0,0,0,0,0,6,0,3,5,0,0,0,17,17,Malachi,Hood,MalachiHood_516,1626.0,1624.0,8.0,30.0,5.0,3.0,Signed,Normal,74.0,0.0,0.0,DEN,tier_5,7.042253521126761,7.042253521126761,0.0,15.492957746478874,118.30985915492957,8.450704225352112,2.2535211267605635,0.5882352941176471,DEN,5
224,DT,Cameren,Jenkins,Cameren Jenkins,LAR,True,0,0,389,0,7,9,12,1,11,0,0,0,0,0,0,0,0,23,9,0,0,0,16,1,Cameren,Jenkins,CamerenJenkins_35523,2741.0,2739.0,0.0,22.0,5.0,23.0,Signed,Normal,65.0,0.0,0.0,LAR,tier_6,23.13624678663239,23.13624678663239,0.0,23.13624678663239,48.84318766066838,0.0,0.0,0.0,LAR,-2
227,ROLB,Zach,Webber,Zach Webber,LAC,True,13,11,418,1,8,16,21,1,11,6,11,0,1,0,0,0,0,7,4,1,0,0,17,17,Zach,Webber,ZachWebber_33317,14.0,12.0,2.0,25.0,3.0,7.0,Signed,Normal,76.0,0.0,0.0,LAC,tier_4,9.569377990430622,9.569377990430622,7.177033492822967,9.569377990430622,69.377990430622,0.0,1.4354066985645932,0.35294117647058826,LAC,4
232,CB,Zamarion,Johnson,Zamarion Johnson,ARI,True,13,15,992,1,17,46,66,0,11,29,10,0,2,0,0,11,0,6,1,1,0,0,16,3,Zamarion,Johnson,ZamarionJohnson_35114,2517.0,2515.0,0.0,21.0,1.0,6.0,Signed,Normal,77.0,0.0,0.0,ARI,tier_4,1.0080645161290323,1.0080645161290323,4.032258064516129,12.096774193548386,83.66935483870967,11.088709677419356,2.9233870967741935,1.125,ARI,3
238,LE,Quincy,Callahan,Quincy Callahan,DEN,True,16,0,553,2,10,17,23,0,11,1,0,0,0,0,0,0,0,3,7,5,2,0,17,1,Quincy,Callahan,QuincyCallahan_33225,284.0,282.0,2.0,23.0,2.0,3.0,Signed,Star,72.0,0.0,0.0,DEN,tier_5,19.891500904159134,21.699819168173597,12.658227848101266,16.2748643761302,59.67450271247739,0.0,0.18083182640144665,0.058823529411764705,DEN,7
245,RE,Aidan,Hutchinson,Aidan Hutchinson,DET,True,0,0,500,0,7,18,22,1,11,0,0,0,0,0,0,3,0,18,9,0,1,0,14,5,Aidan,Hutchinson,HutchinsonAidan_22145,1358.0,1356.0,13.0,35.0,1.0,18.0,Signed,Star,70.0,0.0,0.0,DET,tier_5,22.0,23.0,0.0,26.0,58.0,6.0,0.0,-0.21428571428571427,DET,-3
263,CB,Najee,Okpokowuruk,Najee Okpokowuruk,NO,True,0,0,470,0,5,15,18,0,11,3,0,0,0,0,0,2,0,26,1,0,0,0,15,0,Najee,Okpokowuruk,NajeeOkpokowuruk_32418,1290.0,1288.0,3.0,25.0,4.0,26.0,Signed,Normal,71.0,0.0,0.0,NO,tier_5,2.127659574468085,2.127659574468085,0.0,6.382978723404255,48.93617021276596,4.25531914893617,0.6382978723404255,0.06666666666666667,NO,-1
283,SS,Jason,Carr,Jason Carr,NYJ,True,0,0,395,0,7,9,15,0,11,9,0,0,0,0,0,3,0,17,0,0,0,0,17,0,Jason,Carr,JasonCarr_35717,1526.0,1524.0,0.0,21.0,7.0,17.0,Signed,Normal,65.0,0.0,0.0,NYJ,tier_6,0.0,0.0,0.0,7.594936708860759,55.69620253164557,7.594936708860759,2.278481012658228,0.35294117647058826,NYJ,-4
293,DT,Kaleem,Thomas,Kaleem Thomas,CAR,True,0,0,584,0,13,22,28,0,11,0,0,1,0,0,0,1,0,20,13,0,6,0,15,15,Kaleem,Thomas,KaleemThomas_33222,318.0,316.0,2.0,23.0,2.0,20.0,Signed,Normal,81.0,0.0,0.0,CAR,tier_3,42.80821917808219,47.94520547945205,1.7123287671232876,34.24657534246575,70.2054794520548,1.7123287671232876,0.0,-0.06666666666666667,CAR,1
298,MLB,Barrett,Carter,Barrett Carter,LAC,True,0,0,671,0,16,35,50,1,11,21,0,0,0,0,0,4,0,7,2,0,0,0,16,16,Barrett,Carter,BarrettCarter_117,3242.0,3240.0,11.0,32.0,1.0,7.0,Signed,Star,76.0,0.0,0.0,LAC,tier_4,2.9806259314456036,2.9806259314456036,0.0,8.941877794336811,98.36065573770492,5.961251862891207,3.129657228017884,1.0625,LAC,-3
300,SS,Vernon,Fender,Vernon Fender,DET,True,25,0,1042,2,32,41,58,0,11,29,0,0,0,0,0,3,0,18,2,3,0,0,17,17,Vernon,Fender,VernonFender_3476,424.0,422.0,1.0,23.0,7.0,18.0,Signed,Normal,74.0,0.0,0.0,DET,tier_5,1.9193857965451055,1.9193857965451055,4.798464491362764,4.798464491362764,86.37236084452975,2.8790786948176583,2.783109404990403,1.5294117647058822,DET,3
306,CB,Tyler,Coleman,Tyler Coleman,NO,True,13,0,1053,1,6,33,43,0,11,26,0,0,0,0,0,10,0,26,0,1,0,0,17,13,Tyler,Coleman,TylerColeman_30129,1335.0,1333.0,5.0,28.0,1.0,26.0,Signed,Star,79.0,0.0,0.0,NO,tier_4,0.0,0.0,1.8993352326685662,9.49667616334283,46.53371320037987,9.49667616334283,2.4691358024691357,0.9411764705882353,NO,0
311,LE,J.D.,Garrison,J.D. Garrison,TB,True,0,0,707,0,16,30,40,0,11,1,0,0,0,0,0,0,0,5,9,0,7,0,17,17,J.D.,Garrison,J.D.Garrison_3238,1012.0,1010.0,3.0,25.0,3.0,5.0,Signed,Star,77.0,0.0,0.0,TB,tier_4,32.53182461103253,37.48231966053748,0.0,22.63083451202263,79.20792079207921,0.0,0.14144271570014144,0.058823529411764705,TB,-2
327,RE,Troy,Cooks,Troy Cooks,KC,True,0,0,466,0,7,12,20,0,11,0,0,0,0,0,0,0,1,8,8,0,3,0,17,0,Troy,Cooks,TroyCooks_3363364,822.0,820.0,2.0,24.0,63.0,8.0,Signed,Normal,66.0,0.0,0.0,KC,tier_6,30.042918454935624,33.261802575107296,2.1459227467811157,23.605150214592275,57.93991416309013,0.0,0.0,0.0,KC,3
329,MLB,Shawn,Murphy,Shawn Murphy,BAL,True,0,43,1103,0,45,56,85,1,11,31,21,0,3,0,0,4,0,24,5,3,2,0,17,6,Shawn,Murphy,ShawnMurphy_126,2450.0,2448.0,8.0,30.0,1.0,24.0,Signed,Star,74.0,0.0,0.0,BAL,tier_5,8.159564823209429,9.066183136899365,5.439709882139619,9.972801450589301,117.86038077969175,3.626473254759746,2.8105167724388034,1.588235294117647,BAL,4
335,LE,Damien,Shanklin,Damien Shanklin,KC,True,0,0,725,0,13,26,29,0,11,0,0,0,0,0,0,0,0,8,9,1,4,0,17,17,Damien,Shanklin,DamienShanklin_231,623.0,621.0,6.0,29.0,2.0,8.0,Signed,Star,78.0,0.0,0.0,KC,tier_4,23.448275862068964,26.20689655172414,1.379310344827586,17.93103448275862,57.931034482758626,0.0,0.0,0.0,KC,-2
340,LOLB,Tyson,Walters,Tyson Walters,MIN,True,14,0,535,1,9,11,25,1,11,9,0,0,0,0,0,0,0,30,0,2,0,0,17,5,Tyson,Walters,TysonWalters_3362,1887.0,1885.0,2.0,24.0,6.0,30.0,Signed,Normal,64.0,0.0,0.0,MIN,tier_6,0.0,0.0,5.607476635514018,0.0,63.55140186915888,0.0,1.6822429906542056,0.5294117647058824,MIN,4
347,RE,Marcus,Harris,Marcus Harris,LAC,True,0,0,322,0,4,7,6,1,11,0,0,0,0,0,0,0,0,7,0,0,2,0,13,0,Marcus,Harris,MarcusHarris_3363262,831.0,829.0,2.0,25.0,63.0,7.0,Signed,Normal,63.0,0.0,0.0,LAC,tier_6,12.422360248447204,15.527950310559007,0.0,6.211180124223602,31.055900621118013,0.0,0.0,0.0,LAC,-3
354,ROLB,Marquel,Harris,Marquel Harris,DEN,True,36,0,678,3,20,30,47,1,11,5,0,0,0,0,0,0,0,3,12,3,5,0,15,15,Marquel,Harris,MarquelHarris_32721,2484.0,2482.0,3.0,27.0,7.0,3.0,Signed,Normal,73.0,0.0,0.0,DEN,tier_5,32.448377581120944,36.13569321533924,8.849557522123893,25.073746312684367,98.82005899705015,0.0,0.7374631268436578,0.3333333333333333,DEN,13
361,DT,Antwuan,Alexander,Antwuan Alexander,TEN,True,0,0,388,0,14,5,10,0,11,0,0,0,0,0,0,0,0,29,3,0,0,0,16,0,Antwuan,Alexander,AntwuanAlexander_3569,762.0,760.0,0.0,22.0,6.0,29.0,Signed,Normal,68.0,0.0,0.0,TEN,tier_6,7.731958762886598,7.731958762886598,0.0,7.731958762886598,61.855670103092784,0.0,0.0,0.0,TEN,-4
391,ROLB,Luke,Edmonds,Luke Edmonds,NO,True,27,10,1081,2,37,95,124,0,11,43,10,0,1,0,0,3,0,26,6,2,1,0,17,17,Luke,Edmonds,LukeEdmonds_3463264,1301.0,1299.0,1.0,24.0,63.0,26.0,Signed,Normal,72.0,0.0,0.0,NO,tier_5,7.400555041628122,7.86308973172988,4.6253469010175765,9.250693802035153,148.93617021276594,2.7752081406105455,3.9777983348751156,2.3529411764705883,NO,8
403,FS,Jer'Vohn,St. Clair,Jer'Vohn St. Clair,DET,True,0,75,958,0,29,31,55,0,11,19,25,0,4,1,0,4,0,18,2,0,0,0,17,17,Jer'Vohn,St. Clair,Jer'VohnSt. Clair_30215,997.0,995.0,5.0,26.0,2.0,18.0,Signed,Star,86.0,0.0,0.0,DET,tier_2,2.08768267223382,2.08768267223382,5.219206680584551,6.263048016701462,87.68267223382047,4.17536534446764,1.9832985386221296,0.8823529411764706,DET,1
404,DT,Elijah,Griffin,Elijah Griffin,KC,True,0,0,489,0,13,10,16,0,11,0,0,0,0,0,0,0,0,8,8,0,2,0,17,0,Elijah,Griffin,ElijahGriffin_19,3428.0,3426.0,7.0,28.0,1.0,8.0,Signed,Star,70.0,0.0,0.0,KC,tier_5,24.539877300613497,26.584867075664622,0.0,20.449897750511248,59.304703476482615,0.0,0.0,0.0,KC,-3
423,CB,Julius,Vanover,Julius Vanover,MIA,True,0,0,305,0,2,14,17,0,11,9,0,0,0,0,0,1,0,11,0,0,0,0,11,0,Julius,Vanover,JuliusVanover_3463255,936.0,934.0,1.0,24.0,63.0,11.0,Signed,Normal,64.0,0.0,0.0,MIA,tier_6,0.0,0.0,0.0,3.278688524590164,62.295081967213115,3.278688524590164,2.9508196721311477,0.7272727272727273,MIA,-2
424,MLB,Quinton,Davis Jr,Quinton Davis Jr,MIN,True,10,53,916,1,25,67,91,1,11,55,34,0,3,0,0,3,0,30,1,3,0,0,17,17,Quinton,Davis Jr,QuintonDavis Jr_30512,496.0,494.0,5.0,27.0,5.0,30.0,Signed,Star,80.0,0.0,0.0,MIN,tier_3,1.0917030567685588,1.0917030567685588,7.641921397379912,4.366812227074235,126.63755458515283,3.2751091703056767,6.004366812227074,3.0588235294117645,MIN,-1
431,SS,Abe,Willekes,Abe Willekes,SEA,True,0,8,964,0,17,44,56,0,11,23,8,0,1,0,0,4,0,27,1,2,0,0,17,17,Abe,Willekes,AbeWillekes_3116,1654.0,1652.0,4.0,26.0,1.0,27.0,Signed,XFactor,90.0,0.0,0.0,SEA,tier_1,1.037344398340249,1.037344398340249,3.1120331950207465,5.186721991701245,75.72614107883817,4.149377593360996,2.3858921161825726,1.1176470588235294,SEA,-2
439,DT,Montell,Wilkins,Montell Wilkins,GB,True,0,0,409,0,5,10,19,0,11,0,0,0,0,0,0,0,0,19,7,0,1,0,17,0,Montell,Wilkins,MontellWilkins_34613,445.0,443.0,1.0,24.0,6.0,19.0,Signed,Normal,65.0,0.0,0.0,GB,tier_6,22.004889975550125,23.227383863080686,0.0,19.559902200489,58.67970660146699,0.0,0.0,0.0,GB,-2
440,CB,Damarious,Wooden,Damarious Wooden,NYJ,True,0,10,338,0,3,15,22,0,11,17,10,0,1,0,0,4,0,17,2,0,0,0,17,0,Damarious,Wooden,DamariousWooden_3173,3552.0,3550.0,4.0,27.0,7.0,17.0,Signed,Normal,66.0,0.0,0.0,NYJ,tier_6,5.9171597633136095,5.9171597633136095,2.9585798816568047,17.75147928994083,73.96449704142012,11.834319526627219,5.029585798816568,0.7647058823529411,NYJ,0
445,RE,Jontae,Russell Jr,Jontae Russell Jr,BUF,True,0,0,391,0,9,15,17,0,11,1,0,0,0,0,0,0,0,2,2,0,5,0,10,10,Jontae,Russell Jr,JontaeRussell Jr_35115,2875.0,2873.0,0.0,21.0,1.0,2.0,Signed,Superstar,87.0,0.0,0.0,BUF,tier_2,30.69053708439898,37.084398976982094,0.0,17.902813299232736,66.49616368286446,0.0,0.2557544757033248,0.1,BUF,-4
452,CB,Nate,Favors,Nate Favors,CHI,True,14,0,786,1,9,26,42,0,11,20,0,0,0,0,0,6,0,0,1,1,0,0,17,1,Nate,Favors,NateFavors_33627,1064.0,1062.0,2.0,25.0,6.0,0.0,Signed,Normal,69.0,0.0,0.0,CHI,tier_6,1.272264631043257,1.272264631043257,2.544529262086514,8.905852417302798,64.8854961832061,7.633587786259541,2.5445292620865136,0.8235294117647058,CHI,2
466,LOLB,Trayvon,Webber,Trayvon Webber,JAX,True,0,0,381,0,5,6,11,0,11,0,0,0,0,0,0,0,0,16,0,0,0,0,17,1,Trayvon,Webber,TrayvonWebber_3426,586.0,584.0,1.0,22.0,2.0,16.0,Signed,Normal,71.0,0.0,0.0,JAX,tier_5,0.0,0.0,0.0,0.0,41.99475065616798,0.0,0.0,0.0,JAX,-9
490,CB,Ify,Obidegwu,Ify Obidegwu,SF,True,0,26,642,0,10,21,26,0,11,19,19,0,2,0,0,13,0,14,1,0,0,0,12,12,Ify,Obidegwu,IfyObidegwu_229,181.0,179.0,7.0,30.0,2.0,14.0,Signed,Superstar,84.0,0.0,0.0,SF,tier_3,1.557632398753894,1.557632398753894,3.115264797507788,21.806853582554517,56.074766355140184,20.24922118380062,2.959501557632399,0.5,SF,4
494,DT,Asaad,Slayton,Asaad Slayton,HOU,True,11,0,580,1,12,22,31,0,11,0,0,0,0,0,0,0,0,31,10,2,7,0,17,7,Asaad,Slayton,AsaadSlayton_3226,755.0,753.0,3.0,25.0,2.0,31.0,Signed,Normal,74.0,0.0,0.0,HOU,tier_5,41.37931034482759,47.41379310344827,5.172413793103448,29.310344827586206,74.13793103448275,0.0,0.0,0.0,HOU,10
507,SS,Scotty,Edwards,Scotty Edwards,LV,True,0,0,600,0,13,27,37,0,11,12,0,0,0,0,0,1,0,22,2,0,0,0,17,6,Scotty,Edwards,ScottyEdwards_726,2537.0,2535.0,8.0,30.0,7.0,22.0,Signed,Normal,69.0,0.0,0.0,LV,tier_6,3.3333333333333335,3.3333333333333335,0.0,5.0,83.33333333333333,1.6666666666666667,2.0,0.6470588235294118,LV,-2
515,CB,Darren,Smallwood,Darren Smallwood,MIA,True,0,33,674,0,5,23,32,0,11,14,25,0,2,0,0,5,0,11,0,0,0,0,17,0,Darren,Smallwood,DarrenSmallwood_3263400,2775.0,2773.0,3.0,25.0,63.0,11.0,Signed,Normal,65.0,0.0,0.0,MIA,tier_6,0.0,0.0,2.967359050445104,7.4183976261127595,54.896142433234424,7.4183976261127595,2.0771513353115725,0.5294117647058824,MIA,2
