FullName,Position,TeamName,SkillPointKick
Aaron Rudd,K,NO,-1
Aeeron Burrell,K,PHI,-2
Aidan Flintoft,P,TB,0
Aleksi Pulkkinen,P,SF,2
Alex Neill,K,WAS,-1
Allan McCann,P,GB,0
Andrew O'Brien,K,TB,-2
Anthony Harris,P,LAR,2
Ashton Becker,P,NYG,4
Brad Wilson,K,TEN,3
Bradley York,P,ARI,2
Bret Kovacs,K,DET,-1
Brett Thorson,P,JAX,0
Brock Taylor,K,NYJ,-2
Cameron Dicker,K,LAC,-1
Chance Keenan,K,DAL,0
Clifton Fitzpatrick,K,PIT,-2
Conor Talty,K,LAR,-4
David Simpson,K,HOU,0
Decam Duley,P,ATL,-1
Donal Hartley,K,MIA,2
Drew Barton,P,IND,0
Dwight Walker,P,MIA,4
Dylan Joyce,P,NYJ,0
Eddie Czaplicki,P,CIN,1
Ejnar Johansson,K,JAX,-1
Ezra Feldman,P,LV,1
Henry Steiner,K,SEA,1
Ian Schwartz,P,BUF,0
Jamie Gillan,P,NO,2
Joey Matthews,K,CAR,0
Joon Cho,K,IND,1
Joshua Karty,K,MIN,3
Kyle Parker,P,HOU,-2
Lukas Halvorsen,K,GB,-1
Mason Cutler,K,CIN,-1
Mason Fletcher,P,CAR,-2
Mason Shipley,K,ATL,1
Mateo Galindo,K,SF,-1
Matthew Weaver,P,LAC,1
Michael Kern,P,DAL,0
Mitchell Lake,P,BAL,3
Nick Gardner,K,CLE,-3
Nolan Middleton,K,DEN,2
Palmer Williams,P,MIN,-2
Pat Williams,K,KC,-1
Peyton Woodring,K,LV,-1
Pressley Harvin III,P,DET,2
Riley Norton,P,NE,1
Ryland Lyles,P,PHI,4
Ryland Stromberg,K,BAL,-4
Shane Coyle,P,CLE,0
Terry Dempsey III,P,DEN,-2
Tommy Doman,P,CHI,1
Tommy Townsend,P,WAS,0
Travis Svendsen,P,SEA,4
Trent Carmichael,K,CHI,1
Trent Kozlowski,P,PIT,-3
Trevor Lawrence,P,KC,1
Tyler Kinsman,P,TEN,1
Will Ferrin,K,ARI,-3
Will Reichard,K,NE,-3
