FullName,Position,TeamName,SkillPointKick
A.J. Cole III,P,LV,-2
Aidan Flintoft,P,MIA,-2
Andres Borregales,K,PIT,0
Austin McNamara,P,NO,-2
Bert Auburn,K,BUF,0
Blake Grupe,K,NO,0
Brett Thorson,P,JAX,2
Brock Taylor,K,NYJ,7
Bryce McFerson,P,GB,0
Cam Little,K,MIA,5
Cameron Dicker,K,LAC,5
Chad Ryland,K,NE,-9
Chase McLaughlin,K,HOU,-1
Conor Talty,K,LAR,6
Dean Janikowski,K,DET,-2
Decam Duley,P,ATL,0
Dominic Zvada,K,CHI,4
Drew Stevens,K,MIN,-8
Dustin Hopkins,K,GB,6
Dylan Joyce,P,SF,4
Eddie Czaplicki,P,WAS,1
Eddy Pineiro,K,CAR,3
Evan McPherson,K,CIN,-2
Griffin Kell,K,TB,-6
Harrison Butker,K,KC,-1
J.K. Scott,P,DET,0
Jack Browning,K,NYG,-9
Jai Patel,K,IND,7
Jake Bailey,P,CAR,-1
Jake Elliott,K,PHI,-1
Jake Moody,K,SF,-4
James Ferguson-Reynolds,P,NYJ,2
Jamie Gillan,P,NYG,2
Jesse Mirco,P,BAL,-4
John Hoyland,K,TEN,-4
Joshua Karty,K,DEN,2
Ka'imi Fairbairn,K,WAS,-2
Laine Wilkins,P,CIN,1
Logan Cooke,P,TEN,-4
Mark Vassett,P,TB,-5
Mason Fletcher,P,BUF,-1
Matt Gay,K,CLE,5
Mitch Wishnowsky,P,DEN,1
Mitchell Lake,P,ARI,2
Nathanial Vakos,K,LV,-2
Nicolas Radicic,K,BAL,-5
Palmer Williams,P,DAL,-3
Peyton Woodring,K,SEA,8
Pressley Harvin III,P,PIT,3
Rigoberto Sanchez,P,SEA,1
Riley Thompson,P,CLE,-1
Riley Williams,P,PHI,-3
Ryan Eckley,P,LAR,-2
Ryan Rehkow,P,NE,-2
Ryan Wright,P,MIN,1
Tom Ellard,P,LAC,2
Tommy Doman,P,CHI,5
Tommy Townsend,P,HOU,0
Tory Taylor,P,IND,-4
Tristan Alvano,K,DAL,4
Tyler White,P,KC,1
Will Ferrin,K,ARI,-14
Will Reichard,K,JAX,-2
Younghoe Koo,K,ATL,-7
