Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,GAMESSTARTED,OLINEPANCAKES,OLINESACKSALLOWED,DOWNSPLAYED,STAT_KEEP,GAMESPLAYED,YEARBYYEARTEAMINDEX,GAMERATING,SEAS_YEAR,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,Age,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,SacksPer1000Snaps,TeamName_y,SkillPointOL
5,C,Frank,Ragnow,Frank Ragnow,DET,14,0,2,1145,False,14,18,0,5,Frank,Ragnow,2310.0,2308.0,10.0,32.0,18.0,Signed,Superstar,88.0,0.0,0.0,DET,tier_2,1.7467248908296944,DET,2
39,RT,Darnell,Wright,Darnell Wright,CHI,16,0,5,1196,False,16,0,0,5,Darnell,Wright,3156.0,3154.0,5.0,27.0,0.0,Signed,Star,87.0,0.0,0.0,CHI,tier_2,4.180602006688963,CHI,2
59,RG,O'Cyrus,Torrence,O'Cyrus Torrence,BUF,16,11,1,1129,False,16,2,0,5,O'Cyrus,Torrence,2833.0,2831.0,5.0,28.0,2.0,Signed,Star,87.0,0.0,0.0,BUF,tier_2,0.8857395925597874,BUF,2
89,RT,Calvin,Clements,Calvin Clements,CHI,16,0,5,1163,False,16,0,0,5,Calvin,Clements,2017.0,2015.0,1.0,24.0,0.0,Signed,Star,86.0,0.0,0.0,CHI,tier_2,4.299226139294927,CHI,2
91,RG,Jamaree,Salyer,Jamaree Salyer,NYJ,14,0,2,1068,False,14,17,0,5,Jamaree,Salyer,2453.0,2451.0,6.0,28.0,17.0,Signed,Normal,81.0,0.0,0.0,NYJ,tier_3,1.8726591760299625,NYJ,1
115,C,Connor,Lew,Connor Lew,ARI,16,0,5,1062,False,16,6,0,5,Connor,Lew,2400.0,2398.0,1.0,23.0,6.0,Signed,Normal,71.0,0.0,0.0,ARI,tier_5,4.708097928436911,ARI,3
137,LG,Elgton,Jenkins,Elgton Jenkins,WAS,14,2,1,979,False,14,25,0,5,Elgton,Jenkins,1437.0,1435.0,9.0,32.0,25.0,Signed,Star,83.0,0.0,0.0,WAS,tier_3,1.021450459652707,WAS,4
203,RG,Pat,Coogan,Pat Coogan,CIN,16,1,3,1108,False,16,1,0,5,Pat,Coogan,444.0,442.0,2.0,24.0,1.0,Signed,Normal,71.0,0.0,0.0,CIN,tier_5,2.707581227436823,CIN,0
212,LT,Nolan,Potter,Nolan Potter,DET,16,0,5,1239,False,16,18,0,5,Nolan,Potter,3360.0,3358.0,4.0,27.0,18.0,Signed,Star,86.0,0.0,0.0,DET,tier_2,4.035512510088781,DET,2
229,C,Connor,Robertson,Connor Robertson,NO,5,0,7,416,False,16,26,0,5,Connor,Robertson,3151.0,3149.0,1.0,24.0,26.0,Signed,Normal,70.0,0.0,0.0,NO,tier_5,16.826923076923077,NO,-6
