Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,KICKEPBLOCKED,PUNTNETYARDS,PUNTYARDS,KICKFGBLOCKED,PUNTATTEMPTS,PUNTIN20,DOWNSPLAYED,KICKEPATTEMPTS,PUNTLONGEST,SEAS_YEAR,KICKNUMKICKOFFS,STAT_KEEP,GAMERATING,PUNTTOUCHBACKS,KICKFGATTEMPTS,KICKEPMADE,GAMEWINFGSMADE,KICKFGATTEMPTS50ORMORE,KICKFGATTEMPTS40TO49,KICKFGATTEMPTS30TO39,KICKFGATTEMPTS29ORLESS,GAMEWINFGATTEMPTS,KICKFGMADE30TO39,KICKFGMADE29ORLESS,KICKFGMADE,KICKFGLONGEST,GAMESSTARTED,YEARBYYEARTEAMINDEX,KICKTOUCHBACKS,KICKFGMADE50ORMORE,KICKFGMADE40TO49,PUNTBLOCKED,GAMESPLAYED,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,Age,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,FGPercentage,EPPercentage,Over40YardPercentage,PuntTBPerIn20,YardsPerPunt,NetYardsToPuntYards,TeamName_y,SkillPointKick
1,P,Eddie,Czaplicki,Eddie Czaplicki,WAS,0,3514,3765,0,83,32,80,0,48,5,0,False,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,25,0,0,0,0,16,Eddie,Czaplicki,1157.0,1155.0,3.0,26.0,25.0,Signed,Star,73.0,0.0,0.0,WAS,tier_5,,,,0.09375,45.36144578313253,0.9333333333333333,WAS,1
15,K,Tristan,Alvano,Tristan Alvano,DAL,0,0,0,0,0,0,57,34,0,5,0,False,0,0,26,33,0,7,6,8,5,0,7,5,24,59,15,10,0,6,6,0,16,Tristan,Alvano,585.0,583.0,1.0,24.0,10.0,Signed,Normal,72.0,0.0,0.0,DAL,tier_5,0.9230769230769231,0.9705882352941176,0.9230769230769231,,,,DAL,4
45,K,Jack,Browning,Jack Browning,NYG,0,0,0,1,0,0,144,44,0,5,81,False,0,0,19,43,0,6,5,5,3,0,5,3,17,58,16,15,54,5,4,0,16,Jack,Browning,3622.0,3620.0,4.0,26.0,15.0,Signed,Normal,81.0,0.0,0.0,NYG,tier_3,0.8947368421052632,0.9772727272727273,0.8181818181818182,,,,NYG,-9
50,P,Palmer,Williams,Palmer Williams,DAL,0,3407,3644,0,77,22,150,0,50,5,75,False,0,7,0,0,0,0,0,0,0,0,0,0,0,0,16,10,38,0,0,0,16,Palmer,Williams,2029.0,2027.0,1.0,24.0,10.0,Signed,Normal,79.0,0.0,0.0,DAL,tier_4,,,,0.3181818181818182,47.324675324675326,0.9349615806805708,DAL,-3
63,K,Ka'imi,Fairbairn,Ka'imi Fairbairn,WAS,0,0,0,0,0,0,121,31,0,5,67,False,0,0,20,31,0,6,4,8,2,0,6,1,17,56,16,25,36,6,4,0,16,Ka'imi,Fairbairn,848.0,846.0,12.0,34.0,25.0,Signed,Star,83.0,0.0,0.0,WAS,tier_3,0.85,1.0,1.0,,,,WAS,-2
67,K,Younghoe,Koo,Younghoe Koo,ATL,1,0,0,1,0,0,63,40,0,5,0,False,0,0,19,37,0,6,6,4,3,0,4,3,17,55,15,13,0,5,5,0,16,Younghoe,Koo,1638.0,1636.0,11.0,34.0,13.0,Signed,Star,76.0,0.0,0.0,ATL,tier_4,0.8947368421052632,0.925,0.8333333333333334,,,,ATL,-7
84,K,John,Hoyland,John Hoyland,TEN,1,0,0,0,0,0,152,45,0,5,85,False,0,0,22,41,0,6,6,6,4,0,5,3,20,55,16,29,49,6,6,0,16,John,Hoyland,729.0,727.0,3.0,25.0,29.0,Signed,Normal,77.0,0.0,0.0,TEN,tier_4,0.9090909090909091,0.9111111111111111,1.0,,,,TEN,-4
133,P,Decam,Duley,Decam Duley,ATL,0,3320,3679,0,77,26,152,0,51,5,78,False,0,6,0,0,0,0,0,0,0,0,0,0,0,0,16,13,55,0,0,1,16,Decam,Duley,674.0,672.0,0.0,22.0,13.0,Signed,Superstar,80.0,0.0,0.0,ATL,tier_3,,,,0.23076923076923078,47.77922077922078,0.9024191356346833,ATL,0
235,K,Will,Reichard,Will Reichard,JAX,0,0,0,0,0,0,144,46,0,5,79,False,0,0,16,44,0,5,4,6,1,0,6,1,14,58,16,16,51,3,4,0,16,Will,Reichard,3445.0,3443.0,4.0,27.0,16.0,Signed,Normal,74.0,0.0,0.0,JAX,tier_5,0.875,0.9565217391304348,0.7777777777777778,,,,JAX,-2
238,P,Mark,Vassett,Mark Vassett,TB,0,3751,3985,0,86,32,87,0,50,5,1,False,0,12,0,0,0,0,0,0,0,0,0,0,0,0,16,5,0,0,0,0,16,Mark,Vassett,2196.0,2194.0,3.0,27.0,5.0,Signed,Normal,77.0,0.0,0.0,TB,tier_4,,,,0.375,46.33720930232558,0.9412797992471769,TB,-5
248,K,Chase,McLaughlin,Chase McLaughlin,HOU,0,0,0,1,0,0,67,38,0,5,0,False,0,0,22,37,0,10,3,5,4,0,5,4,19,59,16,31,0,8,2,0,16,Chase,McLaughlin,1896.0,1894.0,9.0,32.0,31.0,Signed,Normal,74.0,0.0,0.0,HOU,tier_5,0.8636363636363636,0.9736842105263158,0.7692307692307693,,,,HOU,-1
249,K,Griffin,Kell,Griffin Kell,TB,0,0,0,0,0,0,152,38,0,5,82,False,0,0,30,38,0,10,5,8,7,0,7,7,26,57,16,5,62,7,5,0,16,Griffin,Kell,3462.0,3460.0,4.0,27.0,5.0,Signed,Star,83.0,0.0,0.0,TB,tier_3,0.8666666666666667,1.0,0.8,,,,TB,-6
283,P,Tommy,Townsend,Tommy Townsend,HOU,0,3831,4074,0,86,30,163,0,50,5,75,False,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16,31,52,0,0,0,16,Tommy,Townsend,2837.0,2835.0,8.0,31.0,31.0,Signed,Normal,79.0,0.0,0.0,HOU,tier_4,,,,0.16666666666666666,47.372093023255815,0.9403534609720177,HOU,0
284,P,Jamie,Gillan,Jamie Gillan,NYG,0,3310,3485,0,73,34,74,0,51,5,0,False,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,16,Jamie,Gillan,1005.0,1003.0,9.0,31.0,15.0,Signed,Star,80.0,0.0,0.0,NYG,tier_3,,,,0.14705882352941177,47.73972602739726,0.9497847919655668,NYG,2
290,P,Logan,Cooke,Logan Cooke,TEN,0,3374,3586,0,77,26,76,0,50,5,0,False,0,7,0,0,0,0,0,0,0,0,0,0,0,0,15,29,0,0,0,0,16,Logan,Cooke,568.0,566.0,10.0,33.0,29.0,Signed,Normal,76.0,0.0,0.0,TEN,tier_4,,,,0.2692307692307692,46.57142857142857,0.9408812046848857,TEN,-4
291,P,Brett,Thorson,Brett Thorson,JAX,0,2986,3155,0,69,24,71,0,48,5,0,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,1,16,Brett,Thorson,2016.0,2014.0,2.0,24.0,16.0,Signed,Normal,73.0,0.0,0.0,JAX,tier_5,,,,0.041666666666666664,45.72463768115942,0.9464342313787638,JAX,2
294,P,Riley,Williams,Riley Williams,PHI,0,2790,3131,0,70,23,66,0,49,5,1,False,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,12,0,0,0,0,15,Riley,Williams,2583.0,2581.0,3.0,27.0,12.0,Signed,Normal,70.0,0.0,0.0,PHI,tier_5,,,,0.13043478260869565,44.72857142857143,0.8910891089108911,PHI,-3
295,K,Jake,Elliott,Jake Elliott,PHI,1,0,0,0,0,0,150,42,0,5,82,False,0,0,24,38,0,8,8,3,5,0,1,4,21,59,16,12,45,8,8,0,16,Jake,Elliott,808.0,806.0,11.0,33.0,12.0,Signed,Normal,74.0,0.0,0.0,PHI,tier_5,0.875,0.9047619047619048,1.0,,,,PHI,-1
296,P,Aidan,Flintoft,Aidan Flintoft,MIA,0,3532,3831,0,79,30,157,0,52,5,82,False,0,10,0,0,0,0,0,0,0,0,0,0,0,0,16,11,57,0,0,1,16,Aidan,Flintoft,690.0,688.0,1.0,24.0,11.0,Signed,Normal,84.0,0.0,0.0,MIA,tier_3,,,,0.3333333333333333,48.49367088607595,0.9219524928217175,MIA,-2
297,K,Cam,Little,Cam Little,MIA,0,0,0,0,0,0,63,36,0,5,0,False,0,0,28,35,0,12,5,7,4,0,6,4,27,59,15,11,0,12,5,0,16,Cam,Little,2434.0,2432.0,3.0,26.0,11.0,Signed,Star,77.0,0.0,0.0,MIA,tier_4,0.9642857142857143,0.9722222222222222,1.0,,,,MIA,5
298,P,A.J.,Cole III,A.J. Cole III,LV,0,3309,3625,0,76,20,162,0,51,5,80,False,0,6,0,0,0,0,0,0,0,0,0,0,0,0,16,22,52,0,0,1,16,A.J.,Cole III,536.0,534.0,9.0,32.0,22.0,Signed,Star,81.0,0.0,0.0,LV,tier_3,,,,0.3,47.69736842105263,0.9128275862068965,LV,-2
299,K,Nathanial,Vakos,Nathanial Vakos,LV,1,0,0,0,0,0,65,36,0,5,0,False,0,0,26,34,0,8,9,7,2,0,7,2,24,59,16,22,0,7,8,0,16,Nathanial,Vakos,1473.0,1471.0,2.0,25.0,22.0,Signed,Star,77.0,0.0,0.0,LV,tier_4,0.9230769230769231,0.9444444444444444,0.8823529411764706,,,,LV,-2
300,P,Austin,McNamara,Austin McNamara,NO,0,3565,3846,0,83,21,85,0,49,5,1,False,0,4,0,0,0,0,0,0,0,0,0,0,0,0,16,26,0,0,0,1,16,Austin,McNamara,3612.0,3610.0,4.0,27.0,26.0,Signed,Normal,76.0,0.0,0.0,NO,tier_4,,,,0.19047619047619047,46.33734939759036,0.9269370774830993,NO,-2
301,K,Blake,Grupe,Blake Grupe,NO,0,0,0,0,0,0,120,34,0,5,65,False,0,0,17,31,0,5,4,5,3,0,5,3,17,57,16,26,42,5,4,0,16,Blake,Grupe,607.0,605.0,5.0,29.0,26.0,Signed,Normal,78.0,0.0,0.0,NO,tier_4,1.0,0.9117647058823529,1.0,,,,NO,0
302,P,Tyler,White,Tyler White,KC,0,2825,2942,0,65,21,66,0,48,5,0,False,0,4,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,0,0,0,16,Tyler,White,3132.0,3130.0,0.0,22.0,8.0,Signed,Normal,72.0,0.0,0.0,KC,tier_5,,,,0.19047619047619047,45.261538461538464,0.960231135282121,KC,1
303,K,Harrison,Butker,Harrison Butker,KC,0,0,0,0,0,0,185,58,0,5,96,False,0,0,28,56,0,6,9,11,2,0,10,2,26,57,16,8,60,5,9,0,16,Harrison,Butker,402.0,400.0,11.0,33.0,8.0,Signed,Superstar,87.0,0.0,0.0,KC,tier_2,0.9285714285714286,0.9655172413793104,0.9333333333333333,,,,KC,-1
304,P,Tory,Taylor,Tory Taylor,IND,0,3591,4024,0,86,22,168,0,50,5,79,False,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16,9,52,0,0,0,16,Tory,Taylor,3421.0,3419.0,4.0,28.0,9.0,Signed,Normal,77.0,0.0,0.0,IND,tier_4,,,,0.22727272727272727,46.7906976744186,0.8923956262425448,IND,-4
305,K,Jai,Patel,Jai Patel,IND,0,0,0,0,0,0,70,35,0,5,0,False,0,0,31,35,0,13,10,6,2,0,5,2,30,58,16,9,0,13,10,0,16,Jai,Patel,894.0,892.0,1.0,23.0,9.0,Signed,Normal,79.0,0.0,0.0,IND,tier_4,0.967741935483871,1.0,1.0,,,,IND,7
306,P,Mitchell,Lake,Mitchell Lake,ARI,0,3514,3743,0,82,30,85,0,48,5,2,False,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,6,0,0,0,0,16,Mitchell,Lake,1146.0,1144.0,1.0,24.0,6.0,Signed,Normal,73.0,0.0,0.0,ARI,tier_5,,,,0.06666666666666667,45.646341463414636,0.9388191290408763,ARI,2
307,K,Will,Ferrin,Will Ferrin,ARI,0,0,0,1,0,0,143,41,0,5,75,False,0,0,21,39,0,6,2,7,6,0,6,6,18,56,16,6,54,5,1,0,16,Will,Ferrin,2635.0,2633.0,2.0,24.0,6.0,Signed,Normal,82.0,0.0,0.0,ARI,tier_3,0.8571428571428571,0.9512195121951219,0.75,,,,ARI,-14
308,P,Mitch,Wishnowsky,Mitch Wishnowsky,DEN,0,3356,3710,0,79,29,77,0,50,5,3,False,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,1,16,Mitch,Wishnowsky,3118.0,3116.0,9.0,36.0,3.0,Signed,Normal,78.0,0.0,0.0,DEN,tier_4,,,,0.06896551724137931,46.962025316455694,0.9045822102425876,DEN,1
309,K,Joshua,Karty,Joshua Karty,DEN,0,0,0,1,0,0,142,36,0,5,77,False,0,0,26,34,0,7,13,3,3,0,3,3,25,59,16,3,48,7,12,0,16,Joshua,Karty,3357.0,3355.0,4.0,26.0,3.0,Signed,Superstar,81.0,0.0,0.0,DEN,tier_3,0.9615384615384616,0.9444444444444444,0.95,,,,DEN,2
310,K,Eddy,Pineiro,Eddy Pineiro,CAR,1,0,0,1,0,0,154,39,0,5,83,False,0,0,27,38,0,10,11,4,2,0,4,2,26,58,16,20,39,10,10,0,16,Eddy,Pineiro,2247.0,2245.0,10.0,32.0,20.0,Signed,Normal,81.0,0.0,0.0,CAR,tier_3,0.9629629629629629,0.9743589743589743,0.9523809523809523,,,,CAR,3
311,P,Jake,Bailey,Jake Bailey,CAR,0,3617,3783,0,83,26,86,0,49,5,2,False,0,8,0,0,0,0,0,0,0,0,0,0,0,0,16,20,0,0,0,0,16,Jake,Bailey,128.0,126.0,9.0,31.0,20.0,Signed,Normal,74.0,0.0,0.0,CAR,tier_5,,,,0.3076923076923077,45.57831325301205,0.9561194818926778,CAR,-1
312,K,Peyton,Woodring,Peyton Woodring,SEA,0,0,0,0,0,0,63,42,0,5,0,False,0,0,20,41,0,9,6,2,3,0,2,3,20,58,16,27,0,9,6,0,16,Peyton,Woodring,356.0,354.0,1.0,23.0,27.0,Signed,Normal,72.0,0.0,0.0,SEA,tier_5,1.0,0.9761904761904762,1.0,,,,SEA,8
313,P,Rigoberto,Sanchez,Rigoberto Sanchez,SEA,0,3721,3966,0,89,28,169,0,47,5,78,False,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,27,43,0,0,1,16,Rigoberto,Sanchez,2465.0,2463.0,11.0,33.0,27.0,Signed,Normal,71.0,0.0,0.0,SEA,tier_5,,,,0.10714285714285714,44.561797752808985,0.9382249117498739,SEA,1
314,P,Mason,Fletcher,Mason Fletcher,BUF,0,4076,4253,0,89,29,163,0,51,5,78,False,0,8,0,0,0,0,0,0,0,0,0,0,0,0,16,2,55,0,0,0,16,Mason,Fletcher,3480.0,3478.0,4.0,28.0,2.0,Signed,Superstar,82.0,0.0,0.0,BUF,tier_3,,,,0.27586206896551724,47.78651685393258,0.9583823183635081,BUF,-1
315,K,Bert,Auburn,Bert Auburn,BUF,0,0,0,0,0,0,61,43,0,5,0,False,0,0,21,40,0,4,8,5,4,0,4,4,19,61,15,2,0,3,8,0,16,Bert,Auburn,2186.0,2184.0,3.0,25.0,2.0,Signed,Normal,69.0,0.0,0.0,BUF,tier_6,0.9047619047619048,0.9302325581395349,0.9166666666666666,,,,BUF,0
316,P,J.K.,Scott,J.K. Scott,DET,0,2945,3124,0,69,28,73,0,48,5,1,False,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,18,0,0,0,1,16,J.K.,Scott,2497.0,2495.0,10.0,31.0,18.0,Signed,Normal,73.0,0.0,0.0,DET,tier_5,,,,0.07142857142857142,45.27536231884058,0.9427016645326505,DET,0
317,K,Dean,Janikowski,Dean Janikowski,DET,1,0,0,0,0,0,151,48,0,5,85,False,0,0,17,44,0,2,2,7,6,0,7,5,16,56,16,18,56,2,2,0,16,Dean,Janikowski,2305.0,2303.0,3.0,26.0,18.0,Signed,Normal,76.0,0.0,0.0,DET,tier_4,0.9411764705882353,0.9166666666666666,1.0,,,,DET,-2
