FullName,Position,TeamName,SkillPointOff
A.T. Perry,WR,NO,2
Aaron Anderson,WR,PIT,1
Abu Sama III,HB,KC,-1
Adonai Mitchell,WR,CHI,6
Alvin Henderson,HB,JAX,9
Amon-Ra St. Brown,WR,DET,7
Andre Greene Jr,WR,SEA,2
Anthony Evans III,WR,KC,-1
Antonio Williams,WR,KC,3
Barion Brown,WR,NYJ,6
Beaux Collins,WR,DAL,1
Benjamin Brahmer,TE,IND,-4
Bijan Robinson,HB,ATL,-1
Blake Corum,HB,PHI,1
Bo Jackson,HB,HOU,1
Braelon Allen,HB,BUF,5
Brandon Aiyuk,WR,JAX,4
Brandon Inniss,WR,BUF,3
Braylen Russell,HB,CLE,3
Breece Hall,HB,LAR,-6
Brett Norfleet,TE,TEN,2
Brian Thomas Jr,WR,MIA,3
Brock Bowers,TE,LAC,0
Bryant Wesco,WR,DEN,2
Bryson Nesbit,TE,MIN,-4
Bucky Irving,HB,TB,-4
Caden Durham,HB,GB,9
Caden Prieskorn,TE,MIA,2
Caleb Burton III,WR,SEA,3
Cam Cook,HB,CAR,3
Cameron Seldon,HB,WAS,-6
Carnell Tate,WR,BAL,-7
Carson Steele,HB,WAS,-4
CeeDee Lamb,WR,LAC,4
Charlie Jones,WR,NYJ,-2
Christian Kirk,WR,ARI,-1
Cole Kmet,TE,WAS,-1
Cordale Russell,WR,NE,3
D.J. Moore,WR,SF,1
D.K. Metcalf,WR,DEN,-2
Dacari Collins,WR,ARI,-4
Dae Dae Hunter,HB,BAL,-1
Dakorien Moore,WR,LV,-2
Dallan Hayden,HB,DET,3
Dalton Kincaid,TE,BUF,-1
Dalton Schultz,TE,DEN,0
Dante Dowdell,HB,SEA,1
De'Von Achane,HB,MIN,-6
DeVonta Smith,WR,PHI,1
Deebo Samuel,WR,ATL,0
Demario Douglas,WR,ATL,0
Devin Mockobee,HB,HOU,-4
Devontez Walker,WR,NYG,-1
Donovan Edwards,HB,NYG,-2
Donovan Peoples-Jones,WR,ARI,-4
Dontayvion Wicks,WR,GB,-2
Drake London,WR,JAX,-1
Dylan Edwards,HB,NYG,-6
Dylan Laube,HB,MIN,-6
Elic Ayomanor,WR,GB,7
Elyiss Williams,TE,NO,-5
Emeka Egbuka,WR,DET,-2
Eugene Wilson III,WR,MIN,-1
Evan Stewart,WR,MIN,-3
Frank Gore Jr,HB,ATL,-3
Gabe Burkle,TE,DET,-1
Gabe Davis,WR,DAL,3
Garrett Wilson,WR,IND,1
George Kittle,TE,CHI,10
George Pickens,WR,BUF,-1
Gideon Davidson,HB,LAC,1
Griffin Wilde,WR,LAC,-3
Holden Staes,TE,SEA,-3
Hykeem Williams,WR,DET,1
Isaiah Augustave,HB,IND,3
Isaiah Bond,WR,TEN,-5
Isaiah Davis,HB,DAL,-2
Isaiah Hodgins,WR,ATL,7
Isaiah Likely,TE,TB,4
Isiah Pacheco,HB,LAC,1
Israel Abanikanda,HB,GB,3
J.Michael Sturdivant,WR,IND,0
Ja'Marr Chase,WR,CIN,1
Ja'Mori Maclin,WR,GB,-4
Jaden Hamm,TE,PIT,-1
Jahan Dotson,WR,WAS,2
Jahmyr Gibbs,HB,CLE,-4
Jaime Ffrench,WR,NE,-1
Jake Briningstool,TE,BAL,-2
Jake Johnson,TE,JAX,1
Jakobi Meyers,WR,TEN,-1
Jalen Buckley,HB,BAL,3
Jalen Coker,WR,WAS,-6
Jalin Conyers,TE,NYG,1
Jamari Thrash,WR,LV,6
Jamarion Miller,HB,BUF,0
Jaquaize Pettaway,WR,ARI,-6
Jaxon Smith-Njigba,WR,SEA,7
Jayden Reed,WR,GB,2
Jaydon Blue,HB,LAC,4
Jaylen Waddle,WR,NYG,5
Jeremiah Smith,WR,NYJ,5
Jeremiyah Love,HB,NE,-2
Jermaine Burton,WR,ATL,3
Jerrick Gibson,HB,LV,1
Joe Mixon,HB,IND,1
Joey Schlaffer,TE,ATL,0
Johntay Cook II,WR,BAL,2
Jonathan Brooks,HB,WAS,-5
Jonathan Taylor,HB,TEN,6
Jordan Addison,WR,MIN,3
Jordan Lyle,HB,NE,-7
Joshua Palmer,WR,IND,-2
Joshua Smith,WR,NO,-5
Jovantae Barnes,HB,MIA,-1
Justice Haynes,HB,LAR,-2
Justin Jefferson,WR,SF,4
Justin Williams-Thomas,HB,DET,-4
Ka'Morreun Pimpton,TE,NE,-3
Kade Warner,WR,DEN,-2
Kameron Davis,HB,SF,3
Karmello English,WR,TB,2
Kendall Milton,HB,NO,-5
Kenneth Walker III,HB,SEA,-7
Keon Coleman,WR,CIN,2
Keonde Henry,WR,TB,-1
Kevin Coleman,WR,NE,-1
Kevin Riley,HB,DEN,1
Keyan Burnett,TE,KC,-2
Khamari Anderson,TE,CIN,-2
Kobe Prentice,WR,WAS,3
Kody Epps,WR,DEN,5
Kojo Antwi,WR,NE,-1
Kyron Hudson,WR,CHI,1
Ladd McConkey,WR,NYG,3
Le'Veon Moss,HB,CHI,-4
London Humphreys,WR,ATL,-9
Luke Hasz,TE,CAR,-3
Luke Reynolds,TE,LAR,-4
Luther Burden III,WR,PIT,1
Malachi Coleman,WR,CHI,-1
Malachi Corley,WR,CLE,2
Malik Benson,WR,MIN,2
Malik Nabers,WR,LV,0
Mark Andrews,TE,TEN,4
Mark Fletcher Jr,HB,PIT,-2
Marlin Klein,TE,SF,-2
Marvin Harrison Jr,WR,ARI,5
Marvin Mims Jr,WR,TB,1
Matthew Golden,WR,LAR,-4
Mekhi Collins,WR,TEN,-5
Micah Hudson,WR,LAC,-5
Michael Pittman Jr,WR,CAR,9
Michael Smith,TE,DAL,-4
Michael Wilson,WR,CLE,6
Moliki Matavao,TE,MIN,-2
Moose Muhammad III,WR,CLE,0
Najee Harris,HB,LV,3
Nate Frazier,HB,PIT,0
Nathan Carter,HB,CHI,-1
NiTareon Tuggle,WR,CIN,0
Nicholas Singleton,HB,NYJ,-5
Nick Marsh,WR,IND,-4
Nicky Dalmolin,TE,LV,-4
Nico Collins,WR,HOU,-6
Nyck Harbor,WR,TB,2
Omarion Hampton,HB,CIN,6
Oscar Delp,TE,CLE,1
Parker Livingstone,WR,BAL,3
Pat Freiermuth,TE,DEN,3
Pearce Spurlin III,TE,PHI,-1
Peyton Jones,HB,CAR,-2
Pofele Ashlock,WR,CAR,10
Puka Nacua,WR,LAR,5
Quinshon Judkins,HB,CIN,0
Quinten Joyner,HB,PHI,12
Raheim Sanders,HB,SF,6
Raleek Brown,WR,DET,-7
Rashee Rice,WR,KC,10
Rayshon Luke,HB,DAL,-4
Romeo Doubs,WR,NO,3
Roschon Johnson,HB,DEN,-5
Rueben Owens,HB,TEN,2
Ryan Williams,WR,JAX,4
Ryan Wingo,WR,PHI,-6
Sam Franklin,HB,SF,1
Sam LaPorta,TE,DET,0
Sam Roush,TE,CIN,3
Saquon Barkley,HB,NYJ,-1
Semaj Morgan,WR,CHI,-5
Squirrel White,WR,MIA,-3
T.J. Harden,HB,NO,-4
T.J. Hockenson,TE,ARI,1
Tank Dell,WR,HOU,2
Taylor Tatum,HB,KC,8
Tee Higgins,WR,CHI,4
Terry McLaurin,WR,PHI,-6
Tetairoa McMillan,WR,DAL,-3
Tobias Merriweather,WR,NO,-5
Tony Livingston,TE,HOU,-2
Trevor Etienne,HB,ARI,-1
Trey Benson,HB,MIA,2
Trey Palmer,WR,BUF,-3
Trey'Dez Green,TE,GB,-2
Treyaun Webb,HB,JAX,3
Treylon Burks,WR,BUF,-7
Troy Franklin,WR,HOU,5
Tucker Kraft,TE,NYJ,0
Tyler Williams,WR,PIT,-6
Will Shipley,HB,ARI,-6
Xavier Legette,WR,MIA,-2
Xavier Worthy,WR,JAX,-4
Zachariah Branch,WR,CAR,-5
Zay Flowers,WR,BAL,7
Zion Kearney,WR,LAR,-4
