Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,KICKEPBLOCKED,PUNTNETYARDS,PUNTYARDS,KICKFGBLOCKED,PUNTATTEMPTS,PUNTIN20,DOWNSPLAYED,KICKEPATTEMPTS,PUNTLONGEST,SEAS_YEAR,KICKNUMKICKOFFS,STAT_KEEP,GAMERATING,PUNTTOUCHBACKS,KICKFGATTEMPTS,KICKEPMADE,GAMEWINFGSMADE,KICKFGATTEMPTS50ORMORE,KICKFGATTEMPTS40TO49,KICKFGATTEMPTS30TO39,KICKFGATTEMPTS29ORLESS,GAMEWINFGATTEMPTS,KICKFGMADE30TO39,KICKFGMADE29ORLESS,KICKFGMADE,KICKFGLONGEST,GAMESSTARTED,YEARBYYEARTEAMINDEX,KICKTOUCHBACKS,KICKFGMADE50ORMORE,KICKFGMADE40TO49,PUNTBLOCKED,GAMESPLAYED,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,TeamIndex,ContractStatus,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,FGPercentage,EPPercentage,Over40YardPercentage,PuntTBPerIn20,YardsPerPunt,NetYardsToPuntYards,TeamName_y,SkillPointKick
1,P,Mikal,Childress,Mikal Childress,SEA,0,2618,2772,0,61,25,58,0,58,17,0,False,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,27,0,0,0,1,15,Mikal,Childress,3376.0,3374.0,4.0,27.0,Signed,77.0,0.0,0.0,SEA,tier_4,,,,0.16,45.442622950819676,0.9444444444444444,SEA,0
4,P,Connor,Smith,Connor Smith,CAR,0,2808,2903,0,63,25,124,0,47,17,62,False,0,4,0,0,0,0,0,0,0,0,0,0,0,0,15,20,41,0,0,0,15,Connor,Smith,942.0,940.0,4.0,20.0,Signed,81.0,0.0,0.0,CAR,tier_3,,,,0.16,46.07936507936508,0.9672752325180848,CAR,0
15,K,Kirk,Moreland,Kirk Moreland,CLE,0,0,0,1,0,0,126,39,0,17,67,False,0,0,20,35,0,11,6,2,1,0,2,1,13,55,15,4,38,4,6,0,15,Kirk,Moreland,2727.0,2725.0,3.0,4.0,Signed,79.0,0.0,0.0,CLE,tier_4,0.65,0.8974358974358975,0.5882352941176471,,,,CLE,-6
19,K,Bryan,Talley,Bryan Talley,TB,0,0,0,0,0,0,151,40,0,17,81,False,0,0,29,38,0,7,9,8,5,0,8,5,27,54,15,5,52,5,9,0,15,Bryan,Talley,564.0,562.0,4.0,5.0,Signed,76.0,0.0,0.0,TB,tier_4,0.9310344827586207,0.95,0.875,,,,TB,6
25,P,Owen,Roth,Owen Roth,TB,0,3066,3250,0,74,26,75,0,45,17,0,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,15,Owen,Roth,2542.0,2540.0,3.0,5.0,Signed,73.0,0.0,0.0,TB,tier_5,,,,0.038461538461538464,43.91891891891892,0.9433846153846154,TB,2
29,P,Brian,Harris,Brian Harris,LV,0,2852,3094,0,69,22,167,0,46,17,76,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,22,47,0,0,0,15,Brian,Harris,159.0,157.0,1.0,22.0,Signed,76.0,0.0,0.0,LV,tier_4,,,,0.045454545454545456,44.84057971014493,0.9217840982546864,LV,1
30,K,Darren,McLane,Darren McLane,DAL,0,0,0,0,0,0,138,42,0,17,77,False,0,0,24,38,0,6,5,9,4,0,9,4,19,51,15,10,39,1,5,0,15,Darren,McLane,2663.0,2661.0,3.0,10.0,Signed,74.0,0.0,0.0,DAL,tier_5,0.7916666666666666,0.9047619047619048,0.5454545454545454,,,,DAL,0
34,P,Bryce,McFerson,Bryce McFerson,JAX,0,2348,2631,0,58,21,58,0,52,17,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,0,0,0,0,15,Bryce,McFerson,551.0,549.0,13.0,16.0,Signed,78.0,0.0,0.0,JAX,tier_4,,,,0.0,45.36206896551724,0.8924363359939187,JAX,1
36,P,Tyler,Perkins,Tyler Perkins,GB,0,3309,3488,0,77,26,147,0,46,17,67,False,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,19,38,0,0,0,15,Tyler,Perkins,541.0,539.0,12.0,19.0,Signed,78.0,0.0,0.0,GB,tier_4,,,,0.11538461538461539,45.298701298701296,0.9486811926605505,GB,1
38,P,Curtis,Monroe,Curtis Monroe,PIT,0,2902,3155,0,71,23,138,0,58,17,70,False,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,28,47,0,0,1,15,Curtis,Monroe,2657.0,2655.0,5.0,28.0,Signed,74.0,0.0,0.0,PIT,tier_5,,,,0.13043478260869565,44.436619718309856,0.9198098256735341,PIT,-1
