Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,KICKEPBLOCKED,PUNTNETYARDS,PUNTYARDS,KICKFGBLOCKED,PUNTATTEMPTS,PUNTIN20,DOWNSPLAYED,KICKEPATTEMPTS,PUNTLONGEST,SEAS_YEAR,KICKNUMKICKOFFS,STAT_KEEP,GAMERATING,PUNTTOUCHBACKS,KICKFGATTEMPTS,KICKEPMADE,GAMEWINFGSMADE,KICKFGATTEMPTS50ORMORE,KICKFGATTEMPTS40TO49,KICKFGATTEMPTS30TO39,KICKFGATTEMPTS29ORLESS,GAMEWINFGATTEMPTS,KICKFGMADE30TO39,KICKFGMADE29ORLESS,KICKFGMADE,KICKFGLONGEST,GAMESSTARTED,YEARBYYEARTEAMINDEX,KICKTOUCHBACKS,KICKFGMADE50ORMORE,KICKFGMADE40TO49,PUNTBLOCKED,GAMESPLAYED,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,TeamIndex,ContractStatus,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,FGPercentage,EPPercentage,Over40YardPercentage,PuntTBPerIn20,YardsPerPunt,NetYardsToPuntYards,TeamName_y,SkillPointKick
3,K,Bret,Hall,Bret Hall,BUF,1,0,0,2,0,0,71,37,0,18,0,False,0,0,34,34,0,16,8,9,1,0,9,1,25,53,15,2,0,7,8,0,15,Bret,Hall,1760.0,1758.0,2.0,2.0,Signed,70.0,0.0,0.0,BUF,tier_5,0.7352941176470589,0.918918918918919,0.625,,,,BUF,-1
7,P,Bryce,McFerson,Bryce McFerson,LAC,0,2904,3084,0,68,26,65,0,51,18,0,False,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,15,Bryce,McFerson,551.0,549.0,14.0,7.0,Signed,78.0,0.0,0.0,LAC,tier_4,,,,0.07692307692307693,45.35294117647059,0.9416342412451362,LAC,1
10,K,Johnny,Webster,Johnny Webster,PHI,0,0,0,0,0,0,82,43,0,18,82,False,0,0,24,39,0,7,8,6,3,0,6,3,19,60,15,12,52,5,5,0,15,Johnny,Webster,3566.0,3564.0,10.0,12.0,Signed,79.0,0.0,0.0,PHI,tier_4,0.7916666666666666,0.9069767441860465,0.6666666666666666,,,,PHI,-1
13,P,Doug,Kendrick,Doug Kendrick,CHI,0,2336,2600,0,60,21,62,0,45,18,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,13,Doug,Kendrick,2643.0,2641.0,2.0,0.0,Signed,71.0,0.0,0.0,CHI,tier_5,,,,0.0,43.333333333333336,0.8984615384615384,CHI,-2
32,P,Chris,Edwards,Chris Edwards,HOU,0,2486,2607,0,54,18,145,0,50,18,89,False,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,31,59,0,0,0,15,Chris,Edwards,2634.0,2632.0,8.0,31.0,Signed,86.0,0.0,0.0,HOU,tier_2,,,,0.16666666666666666,48.27777777777778,0.9535864978902954,HOU,1
53,P,Dorian,Reece,Dorian Reece,PHI,0,2341,2619,0,56,20,0,0,64,18,0,False,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,15,Dorian,Reece,920.0,918.0,0.0,12.0,Signed,74.0,0.0,0.0,PHI,tier_5,,,,0.2,46.767857142857146,0.8938526155021,PHI,1
60,K,Brian,Jackson,Brian Jackson,ATL,0,0,0,0,0,0,55,39,0,18,0,False,0,0,22,35,0,6,7,3,6,0,3,6,18,52,14,13,0,2,7,0,15,Brian,Jackson,1496.0,1494.0,1.0,13.0,Signed,74.0,0.0,0.0,ATL,tier_5,0.8181818181818182,0.8974358974358975,0.6923076923076923,,,,ATL,1
62,P,Rhett,Bush,Rhett Bush,CAR,0,3368,3560,0,80,38,129,0,51,18,49,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,20,23,0,0,1,15,Rhett,Bush,2099.0,2097.0,7.0,20.0,Signed,76.0,0.0,0.0,CAR,tier_4,,,,0.02631578947368421,44.5,0.946067415730337,CAR,1
75,P,Nick,Weber,Nick Weber,ARI,0,3372,3713,0,82,29,83,0,47,18,0,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,6,0,0,0,0,15,Nick,Weber,2954.0,2952.0,4.0,6.0,Signed,77.0,0.0,0.0,ARI,tier_4,,,,0.034482758620689655,45.28048780487805,0.9081605171020738,ARI,0
83,P,Daniel,Lee,Daniel Lee,KC,0,2578,2863,0,63,9,139,0,47,18,75,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,36,0,0,0,15,Daniel,Lee,266.0,264.0,12.0,8.0,Signed,78.0,0.0,0.0,KC,tier_4,,,,0.0,45.44444444444444,0.9004540691582257,KC,1
93,K,Alex,Saunders,Alex Saunders,GB,0,0,0,0,0,0,63,31,0,18,0,False,0,0,32,28,0,10,14,6,2,0,6,2,26,53,14,19,0,4,14,0,14,Alex,Saunders,1036.0,1034.0,5.0,19.0,Signed,75.0,0.0,0.0,GB,tier_4,0.8125,0.9032258064516129,0.75,,,,GB,0
99,K,Chris,Ross,Chris Ross,CIN,1,0,0,0,0,0,144,40,0,18,77,False,0,0,25,36,0,8,6,8,3,0,8,3,20,56,15,1,48,3,6,0,15,Chris,Ross,2930.0,2928.0,9.0,1.0,Signed,80.0,0.0,0.0,CIN,tier_3,0.8,0.9,0.6428571428571429,,,,CIN,-4
106,K,Charlie,Copeland,Charlie Copeland,NO,0,0,0,0,0,0,147,43,0,18,78,False,0,0,26,40,0,12,9,3,2,0,3,2,21,55,15,26,42,7,9,0,15,Charlie,Copeland,33.0,31.0,5.0,26.0,Signed,82.0,0.0,0.0,NO,tier_3,0.8076923076923077,0.9302325581395349,0.7619047619047619,,,,NO,-1
109,P,Connor,Smith,Connor Smith,WAS,0,1899,2095,0,45,15,128,0,52,18,84,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,25,48,0,0,1,15,Connor,Smith,942.0,940.0,5.0,25.0,Signed,81.0,0.0,0.0,WAS,tier_3,,,,0.06666666666666667,46.55555555555556,0.9064439140811456,WAS,-2
116,K,Devin,Tanley,Devin Tanley,CHI,0,0,0,1,0,0,160,47,0,18,85,False,0,0,27,45,0,8,8,6,5,0,6,5,22,54,15,0,50,3,8,0,15,Devin,Tanley,461.0,459.0,9.0,0.0,Signed,76.0,0.0,0.0,CHI,tier_4,0.8148148148148148,0.9574468085106383,0.6875,,,,CHI,1
118,K,Trey,Ortiz,Trey Ortiz,PIT,0,0,0,0,0,0,56,26,0,18,0,False,0,0,30,24,0,2,6,11,11,0,11,11,28,49,15,28,0,0,6,0,15,Trey,Ortiz,1202.0,1200.0,3.0,28.0,Signed,73.0,0.0,0.0,PIT,tier_5,0.9333333333333333,0.9230769230769231,0.75,,,,PIT,6
126,K,Scott,Groves,Scott Groves,NYG,0,0,0,0,0,0,126,33,0,18,71,False,0,0,29,31,0,11,6,6,6,0,6,6,24,54,15,15,37,6,6,0,15,Scott,Groves,3392.0,3390.0,6.0,15.0,Signed,82.0,0.0,0.0,NYG,tier_3,0.8275862068965517,0.9393939393939394,0.7058823529411765,,,,NYG,-2
133,P,Curtis,Monroe,Curtis Monroe,JAX,0,2346,2676,0,61,15,63,0,45,18,1,False,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,16,0,0,0,0,15,Curtis,Monroe,2657.0,2655.0,6.0,16.0,Signed,73.0,0.0,0.0,JAX,tier_5,,,,0.13333333333333333,43.868852459016395,0.8766816143497758,JAX,-4
134,K,Tanner,Sitton,Tanner Sitton,NE,0,0,0,0,0,0,54,30,0,18,0,False,0,0,23,30,0,9,4,7,3,0,7,3,16,55,13,21,0,2,4,0,13,Tanner,Sitton,1488.0,1486.0,0.0,21.0,Signed,75.0,0.0,0.0,NE,tier_4,0.6956521739130435,1.0,0.46153846153846156,,,,NE,-3
