Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,RUSHYARDS,PASSYARDS,RECEIVEDROPS,RUSHYARDSAFTER1STHIT,RECEIVEYARDS,RECEIVELONGEST,DOWNSPLAYED,RECEIVEYARDSAFTER,STAT_KEEP,PASSCOMPLETED,RUSHATTEMPTS,PASSATTEMPTS,PASSINTS,RECEIVECATCHES,FIRSTDOWNS,RUSH20YARDRUNS,SEAS_YEAR,RUSHLONGEST,PASSLONGEST,RUSHBROKENTACKLES,4QCOMEBACKS,GAMERATING,PASSSACKED,PASSTDS,RECEIVETDS,GAMESPLAYED,GAMESSTARTED,RUSHFUMBLES,YEARBYYEARTEAMINDEX,RUSHTDS,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,TeamIndex,ContractStatus,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,ScrimmageYardsPer1000DownsPlayed,RBScrimmageYardsPer300Touches,RBScrimmageTDsPerGame,TDsPer1000DownsPlayed,TeamName_y,SkillPointOff
0,HB,Devonta,Cooper,Devonta Cooper,PHI,349,0,2,182,280,28,580,248,True,0,89,0,0,50,0,0,18,13,0,6,0,0,0,0,2,15,15,0,12,2,Devonta,Cooper,3304.0,3302.0,1.0,12.0,Signed,76.0,0.0,0.0,PHI,tier_4,1084.4827586206895,1043.3093525179856,0.26666666666666666,6.896551724137931,PHI,-3.0
3,WR,Shaquille,Davis-Ojeda,Shaquille Davis-Ojeda,GB,1,0,3,0,423,23,507,159,True,0,2,0,0,34,0,0,18,4,0,0,0,0,0,0,1,13,10,0,19,0,Shaquille,Davis-Ojeda,1070.0,1068.0,0.0,19.0,Signed,73.0,0.0,0.0,GB,tier_5,836.2919132149902,1700.3333333333333,0.07692307692307693,1.9723865877712032,GB,-2.0
8,WR,David,Teague,David Teague,NE,0,0,5,0,302,20,592,123,True,0,0,0,0,28,0,0,18,0,0,0,0,0,0,0,2,12,9,0,21,0,David,Teague,652.0,650.0,6.0,21.0,Signed,73.0,0.0,0.0,NE,tier_5,510.1351351351351,1553.142857142857,0.16666666666666666,3.3783783783783785,NE,-5.0
40,TE,Jonathan,Trejo,Jonathan Trejo,CIN,0,0,3,0,672,27,1132,327,True,0,0,0,0,67,0,0,18,0,0,3,0,0,0,0,7,15,15,0,1,0,Jonathan,Trejo,75.0,73.0,6.0,1.0,Signed,81.0,0.0,0.0,CIN,tier_3,593.6395759717315,1444.2985074626868,0.4666666666666667,6.183745583038869,CIN,-1.0
45,WR,Isaiah,DeVoe Jr,Isaiah DeVoe Jr,DAL,6,0,0,0,788,25,826,278,True,0,3,0,0,67,0,0,18,4,0,4,0,0,0,0,4,15,15,0,10,0,Isaiah,DeVoe Jr,1320.0,1318.0,0.0,10.0,Signed,80.0,0.0,0.0,DAL,tier_3,961.2590799031477,1646.7428571428572,0.26666666666666666,4.842615012106537,DAL,-1.0
75,WR,Sheldon,Freeman,Sheldon Freeman,DET,0,0,1,0,711,29,743,213,True,0,0,0,0,50,0,0,18,0,0,0,0,0,0,0,3,15,15,0,18,0,Sheldon,Freeman,3609.0,3607.0,2.0,18.0,Signed,73.0,0.0,0.0,DET,tier_5,956.9313593539705,2047.6799999999998,0.2,4.037685060565276,DET,0.0
82,QB,Trevor,Lawrence,Trevor Lawrence,JAX,324,3471,0,95,0,0,954,0,True,309,74,452,11,0,0,2,18,71,35,5,0,0,40,27,0,15,15,6,16,7,Trevor,Lawrence,1560.0,1558.0,18.0,16.0,Signed,82.0,0.0,0.0,JAX,tier_3,339.62264150943395,1313.5135135135133,0.4666666666666667,7.337526205450734,,
83,WR,Treyvon,Jordan,Treyvon Jordan,BUF,10,0,0,0,185,27,307,64,True,0,5,0,0,14,0,0,18,4,0,0,0,0,0,0,1,14,3,0,2,0,Treyvon,Jordan,2681.0,2679.0,1.0,2.0,Signed,70.0,0.0,0.0,BUF,tier_5,635.1791530944624,1560.0,0.07142857142857142,3.257328990228013,BUF,-5.0
103,WR,Deshaun,Boothe,Deshaun Boothe,NYG,0,0,4,0,653,45,659,247,True,0,0,0,0,54,0,0,18,0,0,3,0,0,0,0,2,11,11,0,15,0,Deshaun,Boothe,325.0,323.0,6.0,15.0,Signed,85.0,0.0,0.0,NYG,tier_2,990.8952959028832,1741.3333333333333,0.18181818181818182,3.0349013657056148,NYG,-5.0
105,WR,Andrew,Bailey,Andrew Bailey,DET,4,0,1,0,804,29,984,329,True,0,1,0,0,69,0,0,18,4,0,0,0,0,0,0,4,15,15,1,18,0,Andrew,Bailey,68.0,66.0,5.0,18.0,Signed,81.0,0.0,0.0,DET,tier_3,821.1382113821138,1671.085714285714,0.26666666666666666,4.065040650406504,DET,-1.0
