FullName,Position,TeamName,SkillPointKick
Aaron Brackins,K,JAX,0
Alan Brackett,P,ATL,-1
Alex Saunders,K,GB,0
Andrew Jones,P,CIN,1
Andrew Richardson,P,TEN,-2
B.J. Polk,P,BUF,-1
Bernard Donaldson,K,SF,-2
Brandon Collins,P,MIA,0
Brandon Watson,K,IND,2
Bret Hall,K,BUF,-1
Brian Davis,P,NYG,-2
Brian Harris,P,LV,3
Brian Jackson,K,ATL,1
Bryan Talley,K,TB,-4
Bryce McFerson,P,LAC,1
Caleb Zeigler,P,PIT,0
Carter Abraham,P,TB,-2
Charlie Copeland,K,NO,-1
Chris Edwards,P,HOU,1
Chris Ross,K,CIN,-4
Connor Smith,P,WAS,-2
Curtis Monroe,P,JAX,-4
Damon Wilcox,P,CLE,2
Daniel Lee,P,KC,1
Darren McLane,K,DAL,-3
David Brown,K,MIN,-2
Devin Tanley,K,CHI,1
Dorian Reece,P,PHI,1
Doug Kendrick,P,CHI,-2
Elijah Barton,K,MIA,-3
Grant Wade,K,ARI,-1
Joe Curtis,K,DET,-2
Joey Hoke,K,WAS,-1
Johnny Webster,K,PHI,-1
Kai Kroeger,P,DAL,-3
Kirk Moreland,K,CLE,4
Kolton Hall,P,NYJ,2
Kyle Bauman,K,NYJ,3
Logan Lynch,P,LAR,4
Luke Reisner,P,BAL,-2
Matt Walker,K,SEA,-1
Matthew Fletcher,P,DEN,-1
Michael Perez,K,HOU,0
Mikal Childress,P,SEA,0
Mitchell Turner,K,CAR,-5
Nate Foster,K,KC,5
Nathan Dibert,K,LAR,-1
Nick Weber,P,ARI,0
Owen Roth,P,DET,1
Patrick Weaver,K,BAL,-3
Paul Robbins,P,SF,4
Peter Masters,P,IND,0
Preston Gervasi,P,MIN,3
Rhett Bush,P,CAR,1
Ryan Blanchard,K,LV,-4
Sam McKee,P,NO,-2
Scott Groves,K,NYG,-2
TJ Clifford,K,LAC,-6
Tanner Sitton,K,NE,-3
Toby Mahone,P,NE,2
Tommy Rich,K,DEN,2
Trey Ortiz,K,PIT,6
Ty Dillon,K,TEN,6
Tyler Perkins,P,GB,-3
