FullName,Position,TeamName,SkillPointKick
Aaron Rudd,K,NO,-2
Aeeron Burrell,K,PHI,-1
Aidan Flintoft,P,TB,-1
Aleksi Pulkkinen,P,SF,-6
Alex Neill,K,NYG,1
Andres Borregales,K,ATL,-3
Andrew O'Brien,K,TB,-5
Anthony Harris,P,LAR,4
Blake Grupe,K,DAL,-3
Brad Wilson,K,CLE,0
Bret Kovacs,K,DET,2
Brett Thorson,P,JAX,-1
Brock Taylor,K,NYJ,-5
Callum Barkley,P,CAR,-5
Cameron Dicker,K,LAC,2
Clifton Fitzpatrick,K,PIT,0
Cole Gannon,P,WAS,-2
Conor Talty,K,LAR,-3
Daniel Colvin,K,CAR,-3
David Simpson,K,HOU,4
Decam Duley,P,ATL,-1
Donal Hartley,K,MIA,-1
Drew Barton,P,IND,1
Dwight Walker,P,MIA,0
Dylan Joyce,P,GB,3
Eddie Czaplicki,P,CIN,-2
Ejnar Johansson,K,JAX,5
Ezra Feldman,P,LV,3
Garrett Jackson,P,KC,-2
Griffin Kell,K,WAS,0
Ian Schwartz,P,NO,-1
Jack Browning,K,DEN,1
Jai Patel,K,BUF,-6
Jamie Gillan,P,NYG,0
Joey Matthews,K,SEA,-1
Joon Cho,K,IND,-1
Joshua Karty,K,MIN,-4
Kenny Barber,P,CLE,-4
Kyle Parker,P,HOU,3
Lukas Halvorsen,K,GB,-2
Mason Cutler,K,CIN,5
Mason Fletcher,P,BUF,1
Mateo Galindo,K,SF,1
Matthew Weaver,P,LAC,-2
Michael Kern,P,DAL,1
Mitchell Lake,P,ARI,0
Palmer Williams,P,MIN,-1
Pat Williams,K,LV,0
Peyton Woodring,K,KC,-1
Riley Norton,P,NE,0
Riley Thompson,P,NYJ,-2
Ryland Lyles,P,PHI,-2
Ryland Stromberg,K,BAL,2
Terry Dempsey III,P,DEN,4
Tommy Doman,P,CHI,-1
Tommy Townsend,P,BAL,4
Travis Svendsen,P,SEA,1
Trent Carmichael,K,CHI,-3
Trent Kozlowski,P,PIT,-3
Trevor Lawrence,P,DET,1
Tyler Kinsman,P,TEN,-2
Will Ferrin,K,ARI,5
Will Reichard,K,NE,0
