Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,KICKEPBLOCKED,PUNTNETYARDS,PUNTYARDS,KICKFGBLOCKED,PUNTATTEMPTS,PUNTIN20,DOWNSPLAYED,KICKEPATTEMPTS,PUNTLONGEST,SEAS_YEAR,KICKNUMKICKOFFS,STAT_KEEP,GAMERATING,PUNTTOUCHBACKS,KICKFGATTEMPTS,KICKEPMADE,GAMEWINFGSMADE,KICKFGATTEMPTS50ORMORE,KICKFGATTEMPTS40TO49,KICKFGATTEMPTS30TO39,KICKFGATTEMPTS29ORLESS,GAMEWINFGATTEMPTS,KICKFGMADE30TO39,KICKFGMADE29ORLESS,KICKFGMADE,KICKFGLONGEST,GAMESSTARTED,YEARBYYEARTEAMINDEX,KICKTOUCHBACKS,KICKFGMADE50ORMORE,KICKFGMADE40TO49,PUNTBLOCKED,GAMESPLAYED,FirstName_y,LastName_y,PLYR_ASSETNAME,Row Excel,Row Editor,YearsPro,Age,PLYR_DRAFTROUND,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,FGPercentage,EPPercentage,LongestFG,PuntTBPerIn20,YardsPerPunt,NetYardsToPuntYards,TeamName_y,SkillPointKick
6,K,Brock,Taylor,Brock Taylor,NYJ,1,0,0,1,0,0,141,39,0,10,74,True,0,0,26,36,0,8,7,3,8,0,1,8,21,62,17,17,17,5,7,0,17,Brock,Taylor,,2122.0,2120.0,6.0,29.0,7.0,17.0,Signed,Star,81.0,0.0,0.0,NYJ,tier_3,0.8076923076923077,0.9230769230769231,62,,,,NYJ,-5.0
7,K,Andrew,O'Brien,Andrew O'Brien,TB,0,0,0,1,0,0,162,38,0,10,83,True,0,0,34,37,0,6,12,9,7,0,7,6,25,61,17,5,26,3,9,0,17,Andrew,O'Brien,AndrewO'Brien_3342,3240.0,3238.0,1.0,22.0,4.0,5.0,Signed,Star,78.0,0.0,0.0,TB,tier_4,0.7352941176470589,0.9736842105263158,61,,,,TB,-5.0
14,P,Aidan,Flintoft,Aidan Flintoft,TB,0,3722,4039,0,85,25,97,0,54,10,0,True,0,6,0,0,0,0,0,0,0,0,0,0,0,0,17,5,0,0,0,0,17,Aidan,Flintoft,,690.0,688.0,7.0,30.0,5.0,5.0,Signed,Normal,78.0,0.0,0.0,TB,tier_4,,,0,0.24,47.51764705882353,0.9215152265412231,TB,-1.0
15,K,Lukas,Halvorsen,Lukas Halvorsen,GB,0,0,0,2,0,0,160,37,0,10,77,True,0,0,31,36,0,6,14,5,6,0,5,5,25,55,17,19,26,3,12,0,17,Lukas,Halvorsen,LukasHalvorsen_32416,1294.0,1292.0,2.0,25.0,4.0,19.0,Signed,Normal,77.0,0.0,0.0,GB,tier_4,0.8064516129032258,0.972972972972973,55,,,,GB,-2.0
16,P,Dylan,Joyce,Dylan Joyce,GB,0,3633,3842,0,85,30,97,0,52,10,0,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,19,0,0,0,1,17,Dylan,Joyce,,1320.0,1318.0,7.0,29.0,63.0,19.0,Signed,Normal,72.0,0.0,0.0,GB,tier_5,,,0,0.03333333333333333,45.2,0.9456012493492972,GB,3.0
17,K,Aeeron,Burrell,Aeeron Burrell,PHI,1,0,0,1,0,0,182,56,0,10,95,True,0,0,24,54,0,6,8,4,6,0,3,4,20,59,17,12,23,5,8,0,17,Aeeron,Burrell,AeeronBurrell_2978,1220.0,1218.0,5.0,27.0,7.0,12.0,Signed,Normal,78.0,0.0,0.0,PHI,tier_4,0.8333333333333334,0.9642857142857143,59,,,,PHI,-1.0
18,P,Ryland,Lyles,Ryland Lyles,PHI,0,3226,3587,0,77,19,84,0,53,10,0,True,0,4,0,0,0,0,0,0,0,0,0,0,0,0,16,12,0,0,0,0,16,Ryland,Lyles,RylandLyles_30614,887.0,885.0,4.0,25.0,6.0,12.0,Signed,Normal,76.0,0.0,0.0,PHI,tier_4,,,0,0.21052631578947367,46.58441558441559,0.8993587956509618,PHI,-2.0
19,P,Brett,Thorson,Brett Thorson,JAX,0,3848,4079,0,85,30,182,0,54,10,90,True,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17,16,33,0,0,0,17,Brett,Thorson,,2016.0,2014.0,8.0,30.0,7.0,16.0,Signed,Normal,80.0,0.0,0.0,JAX,tier_3,,,0,0.16666666666666666,47.98823529411764,0.9433684726648689,JAX,-1.0
20,K,Ejnar,Johansson,Ejnar Johansson,JAX,0,0,0,0,0,0,81,43,0,10,0,True,0,0,30,43,0,12,7,5,6,0,5,6,27,60,17,16,0,9,7,0,17,Ejnar,Johansson,EjnarJohansson_34636,3157.0,3155.0,0.0,22.0,6.0,16.0,Signed,Normal,72.0,0.0,0.0,JAX,tier_5,0.9,1.0,60,,,,JAX,5.0
21,P,Mason,Fletcher,Mason Fletcher,BUF,0,3150,3353,0,69,25,162,0,55,10,92,True,0,4,0,0,0,0,0,0,0,0,0,0,0,0,17,2,32,0,0,0,17,Mason,Fletcher,,3480.0,3478.0,10.0,34.0,63.0,2.0,Signed,Star,82.0,0.0,0.0,BUF,tier_3,,,0,0.16,48.594202898550726,0.9394572025052192,BUF,1.0
77,P,Riley,Thompson,Riley Thompson,NYJ,0,3860,4146,0,90,25,90,0,58,10,0,True,0,6,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,17,Riley,Thompson,,3615.0,3613.0,10.0,34.0,63.0,17.0,Signed,Normal,73.0,0.0,0.0,NYJ,tier_5,,,0,0.24,46.06666666666667,0.9310178485287024,NYJ,-2.0
83,P,Michael,Kern,Michael Kern,DAL,0,3039,3536,0,76,29,79,0,53,10,0,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,10,0,0,0,0,17,Michael,Kern,MichaelKern_29713,1881.0,1879.0,5.0,28.0,7.0,10.0,Signed,Normal,72.0,0.0,0.0,DAL,tier_5,,,0,0.034482758620689655,46.526315789473685,0.8594457013574661,DAL,1.0
230,K,Daniel,Colvin,Daniel Colvin,CAR,0,0,0,2,0,0,135,32,0,10,68,True,0,0,27,32,0,9,3,4,11,0,3,8,19,58,17,20,10,6,2,0,17,Daniel,Colvin,DanielColvin_32724,1802.0,1800.0,2.0,24.0,7.0,20.0,Signed,Normal,75.0,0.0,0.0,CAR,tier_4,0.7037037037037037,1.0,58,,,,CAR,-3.0
231,P,Callum,Barkley,Callum Barkley,CAR,0,3631,4097,0,88,20,97,0,53,10,0,True,0,7,0,0,0,0,0,0,0,0,0,0,0,0,17,20,0,0,0,1,17,Callum,Barkley,CallumBarkley_3363402,3403.0,3401.0,1.0,23.0,63.0,20.0,Signed,Normal,72.0,0.0,0.0,CAR,tier_5,,,0,0.35,46.55681818181818,0.886258237734928,CAR,-5.0
234,P,Drew,Barton,Drew Barton,IND,0,3415,3804,0,83,23,102,0,52,10,13,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,9,2,0,0,1,17,Drew,Barton,DrewBarton_34710,3439.0,3437.0,0.0,22.0,7.0,9.0,Signed,Normal,71.0,0.0,0.0,IND,tier_5,,,0,0.043478260869565216,45.83132530120482,0.897739221871714,IND,1.0
235,K,Joon,Cho,Joon Cho,IND,0,0,0,3,0,0,149,36,0,10,82,True,0,0,32,35,0,15,3,6,8,0,5,7,26,59,14,9,23,11,3,0,14,Joon,Cho,JoonCho_32711,2439.0,2437.0,2.0,24.0,7.0,9.0,Signed,Normal,76.0,0.0,0.0,IND,tier_4,0.8125,0.9722222222222222,59,,,,IND,-1.0
236,K,Jack,Browning,Jack Browning,DEN,0,0,0,1,0,0,213,60,0,10,106,True,0,0,36,59,0,8,8,16,4,0,14,4,30,55,17,3,26,6,6,0,17,Jack,Browning,,3622.0,3620.0,10.0,32.0,63.0,3.0,Signed,Star,74.0,0.0,0.0,DEN,tier_5,0.8333333333333334,0.9833333333333333,55,,,,DEN,1.0
237,P,Terry,Dempsey III,Terry Dempsey III,DEN,0,3105,3288,0,69,24,78,0,54,10,0,True,0,4,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,0,0,1,17,Terry,Dempsey III,TerryDempsey III_34729,3452.0,3450.0,0.0,23.0,7.0,3.0,Signed,Normal,73.0,0.0,0.0,DEN,tier_5,,,0,0.16666666666666666,47.65217391304348,0.9443430656934306,DEN,4.0
238,K,Will,Reichard,Will Reichard,NE,0,0,0,1,0,0,71,42,0,10,0,True,0,0,32,42,0,11,9,7,5,0,7,4,26,56,16,21,0,6,9,0,16,Will,Reichard,ReichardWill_15004,3445.0,3443.0,10.0,33.0,7.0,21.0,Signed,Star,77.0,0.0,0.0,NE,tier_4,0.8125,1.0,56,,,,NE,0.0
239,P,Riley,Norton,Riley Norton,NE,0,3938,4334,0,88,35,179,0,55,10,89,True,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17,21,31,0,0,0,17,Riley,Norton,RileyNorton_30530,2027.0,2025.0,4.0,30.0,5.0,21.0,Signed,Superstar,85.0,0.0,0.0,NE,tier_2,,,0,0.14285714285714285,49.25,0.9086294416243654,NE,0.0
