Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,SEAS_YEAR,PRETTDS,KRETYARDS,PRETYARDS,KRETATTEMPTS,KRETLONGEST,PRETATTEMPTS,PRETLONGEST,KRETTDS,FirstName_y,LastName_y,PLYR_ASSETNAME,Row Excel,Row Editor,YearsPro,Age,PLYR_DRAFTROUND,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName,RatingTier,KRYardsPerReturn,PRYardsPerReturn,TDsPerReturn
4,WR,Justin,Hughes,Justin Hughes,ARI,10,0,737,0,31,27,0,0,0,Justin,Hughes,JustinHughes_34230,616,614,0,23,2,6,Signed,Normal,70,0,0,ARI,tier_5,23.774193548387096,,0.0
6,WR,Kingston,Goodman,Kingston Goodman,CAR,10,0,925,204,33,100,24,14,1,Kingston,Goodman,KingstonGoodman_32722,1782,1780,2,23,7,20,Signed,Normal,68,0,0,CAR,tier_6,28.03030303030303,8.5,0.017543859649122806
7,WR,K'Vonte,Donnell,K'Vonte Donnell,IND,10,0,769,2,32,39,1,2,0,K'Vonte,Donnell,K'VonteDonnell_31125,866,864,3,25,1,9,Signed,Normal,73,0,0,IND,tier_5,24.03125,2.0,0.0
8,WR,Santana,Clark,Santana Clark,DET,10,0,824,38,33,61,7,11,0,Santana,Clark,SantanaClark_32310,813,811,2,25,3,18,Signed,Normal,73,0,0,DET,tier_5,24.96969696969697,5.428571428571429,0.0
10,WR,Delvin,Moore,Delvin Moore,ATL,10,0,785,153,31,59,12,55,0,Delvin,Moore,DelvinMoore_3232,718,716,2,23,3,13,Signed,Normal,66,0,0,ATL,tier_6,25.322580645161292,12.75,0.0
11,HB,Kenya,Lippett,Kenya Lippett,LAR,10,0,688,218,28,48,20,41,0,Kenya,Lippett,KenyaLippett_32725,2329,2327,2,25,7,23,Signed,Normal,66,0,0,LAR,tier_6,24.571428571428573,10.9,0.0
13,WR,Daithan,Faulkner,Daithan Faulkner,MIA,10,0,259,102,11,24,18,12,0,Daithan,Faulkner,DaithanFaulkner_33530,2869,2867,1,23,5,11,Signed,Normal,72,0,0,MIA,tier_5,23.545454545454547,5.666666666666667,0.0
14,WR,Dante,Hargrove,Dante Hargrove,CIN,10,0,520,56,22,27,6,17,0,Dante,Hargrove,DanteHargrove_3263440,2900,2898,2,24,63,1,Signed,Normal,63,0,0,CIN,tier_6,23.636363636363637,9.333333333333334,0.0
18,WR,Donavan,Palmer,Donavan Palmer,MIN,10,0,1022,293,34,93,31,54,0,Donavan,Palmer,DonavanPalmer_34617,538,536,0,22,6,30,Signed,Normal,69,0,0,MIN,tier_6,30.058823529411764,9.451612903225806,0.0
19,HB,LaMandre,Miller,LaMandre Miller,BUF,10,0,1041,301,41,62,27,52,0,LaMandre,Miller,LaMandreMiller_3242,1162,1160,2,24,4,2,Signed,Normal,66,0,0,BUF,tier_6,25.390243902439025,11.148148148148149,0.0
20,WR,Dontae,Buckhalter,Dontae Buckhalter,LV,10,0,779,206,33,27,28,31,0,Dontae,Buckhalter,DontaeBuckhalter_32738,1517,1515,2,25,7,22,Signed,Normal,69,0,0,LV,tier_6,23.606060606060606,7.357142857142857,0.0
21,WR,Calvin,Russell,Calvin Russell,DET,10,0,390,12,17,26,4,4,0,Calvin,Russell,CalvinRussell_29124,3590,3588,5,26,1,18,Signed,Normal,78,0,0,DET,tier_4,22.941176470588236,3.0,0.0
23,WR,Javon,Blackstock,Javon Blackstock,CHI,10,2,751,409,29,70,33,80,0,Javon,Blackstock,JavonBlackstock_3363430,59,57,1,23,63,0,Signed,Normal,65,0,0,CHI,tier_6,25.896551724137932,12.393939393939394,0.03225806451612903
24,WR,Jabari,Brady,Jabari Brady,TB,10,0,808,236,33,48,32,15,0,Jabari,Brady,JabariBrady_29110,1721,1719,5,26,1,5,Signed,Star,72,0,0,TB,tier_5,24.484848484848484,7.375,0.0
25,HB,Jarrad,Pippens,Jarrad Pippens,WAS,10,0,1303,172,46,100,20,40,1,Jarrad,Pippens,JarradPippens_3152,3468,3466,3,26,5,25,Signed,Normal,69,0,0,WAS,tier_6,28.32608695652174,8.6,0.015151515151515152
28,WR,Trevor,Williams,Trevor Williams,DAL,10,0,0,167,0,0,16,49,0,Trevor,Williams,TrevorWilliams_34211,766,764,0,21,2,10,Signed,Normal,81,0,0,DAL,tier_3,,10.4375,0.0
29,WR,Knahiji,Elee,Knahiji Elee,JAX,10,0,450,69,19,26,13,14,0,Knahiji,Elee,KnahijiElee_32532,1494,1492,2,26,5,16,Signed,Normal,68,0,0,JAX,tier_6,23.68421052631579,5.3076923076923075,0.0
31,WR,Alton,Adkins,Alton Adkins,KC,10,0,935,75,36,69,8,15,0,Alton,Adkins,AltonAdkins_3263445,2915,2913,2,23,63,8,Signed,Normal,67,0,0,KC,tier_6,25.97222222222222,9.375,0.0
32,WR,Braylon,Holt,Braylon Holt,JAX,10,0,648,0,23,65,0,0,0,Braylon,Holt,BraylonHolt_3355,661,659,1,23,5,16,Signed,Normal,73,0,0,JAX,tier_5,28.17391304347826,,0.0
34,HB,Darren,Freeman,Darren Freeman,PHI,10,0,247,90,10,26,10,14,0,Darren,Freeman,DarrenFreeman_33432,2683,2681,1,23,4,12,Signed,Normal,75,0,0,PHI,tier_4,24.7,9.0,0.0
36,HB,Brandon,Billingsley,Brandon Billingsley,BUF,10,0,517,4,21,36,1,4,0,Brandon,Billingsley,BrandonBillingsley_31324,3084,3082,3,24,3,2,Signed,Normal,76,0,0,BUF,tier_4,24.61904761904762,4.0,0.0
37,WR,Jeff,Parks,Jeff Parks,NE,10,0,732,0,26,101,0,0,1,Jeff,Parks,JeffParks_3067,3576,3574,4,26,6,21,Signed,Normal,71,0,0,NE,tier_5,28.153846153846153,,0.038461538461538464
38,HB,Terraine,Reed,Terraine Reed,SF,10,0,609,0,25,27,0,0,0,Terraine,Reed,TerraineReed_3363302,1780,1778,1,23,63,14,Signed,Normal,64,0,0,SF,tier_6,24.36,,0.0
39,HB,Silas,Parker,Silas Parker,TB,10,0,559,0,22,59,0,0,0,Silas,Parker,SilasParker_34611,2836,2834,0,21,6,5,Signed,Normal,67,0,0,TB,tier_6,25.40909090909091,,0.0
43,HB,Marquee,Goodrich,Marquee Goodrich,NYG,10,0,766,150,29,66,12,45,0,Marquee,Goodrich,MarqueeGoodrich_3263303,2295,2293,2,24,63,15,Signed,Normal,64,0,0,NYG,tier_6,26.413793103448278,12.5,0.0
44,WR,Nathan,Sheppard,Nathan Sheppard,NYG,10,1,230,144,10,24,10,79,0,Nathan,Sheppard,NathanSheppard_3263439,2899,2897,2,24,63,15,Signed,Normal,61,0,0,NYG,tier_6,23.0,14.4,0.05
46,WR,Gerald,Booth-Vales,Gerald Booth-Vales,GB,10,0,1126,165,46,69,16,38,0,Gerald,Booth-Vales,,712,710,3,25,3,19,Signed,Normal,66,0,0,GB,tier_6,24.47826086956522,10.3125,0.0
47,WR,Tracy,Anderson,Tracy Anderson,JAX,10,0,0,153,0,0,18,14,0,Tracy,Anderson,TracyAnderson_30122,468,466,4,26,1,16,Signed,Star,79,0,0,JAX,tier_4,,8.5,0.0
48,HB,Adonis,Coates,Adonis Coates,GB,10,0,539,0,20,62,0,0,0,Adonis,Coates,AdonisCoates_34214,841,839,0,22,2,19,Signed,Normal,72,0,0,GB,tier_5,26.95,,0.0
50,WR,Daniel,Powell,Daniel Powell,KC,10,0,512,0,19,70,0,0,0,Daniel,Powell,DanielPowell_34231,906,904,0,22,2,8,Signed,Normal,70,0,0,KC,tier_5,26.94736842105263,,0.0
53,WR,Josh,Turbin,Josh Turbin,DEN,10,0,911,265,32,100,35,39,1,Josh,Turbin,JoshTurbin_3363429,1311,1309,1,23,63,3,Signed,Normal,64,0,0,DEN,tier_6,28.46875,7.571428571428571,0.014925373134328358
57,WR,Will,Barton,Will Barton,ARI,10,0,672,209,27,48,20,15,0,Will,Barton,WillBarton_3263447,2931,2929,2,24,63,6,Signed,Normal,70,0,0,ARI,tier_5,24.88888888888889,10.45,0.0
59,HB,Tevin,Williams,Tevin Williams,NO,10,0,134,68,5,28,10,15,0,Tevin,Williams,TevinWilliams_31610,3604,3602,3,27,6,26,Signed,Normal,75,0,0,NO,tier_4,26.8,6.8,0.0
60,WR,Khafri,Heyward,Khafri Heyward,PIT,10,0,940,5,40,41,2,4,0,Khafri,Heyward,KhafriHeyward_32532,838,836,2,23,5,28,Signed,Normal,68,0,0,PIT,tier_6,23.5,2.5,0.0
61,HB,Trent,Alexander,Trent Alexander,MIA,10,0,487,13,20,63,3,7,0,Trent,Alexander,TrentAlexander_34514,505,503,0,23,5,11,Signed,Normal,71,0,0,MIA,tier_5,24.35,4.333333333333333,0.0
62,HB,William,Matthews,William Matthews,DEN,10,0,884,0,30,88,0,0,0,William,Matthews,WilliamMatthews_3263310,2373,2371,2,25,63,3,Signed,Normal,68,0,0,DEN,tier_6,29.466666666666665,,0.0
63,WR,Keith,Wheeler,Keith Wheeler,PHI,10,0,628,168,26,48,20,47,0,Keith,Wheeler,KeithWheeler_34530,3312,3310,0,22,5,12,Signed,Normal,66,0,0,PHI,tier_6,24.153846153846153,8.4,0.0
65,WR,Dorian,McDougle,Dorian McDougle,NYJ,10,0,958,176,36,70,22,52,0,Dorian,McDougle,DorianMcDougle_33513,1478,1476,1,22,5,17,Signed,Normal,66,0,0,NYJ,tier_6,26.61111111111111,8.0,0.0
66,WR,Quincey,Brown,Quincey Brown,SEA,10,0,635,458,23,100,46,55,1,Quincey,Brown,QuinceyBrown_32431,899,897,2,25,4,27,Signed,Normal,70,0,0,SEA,tier_5,27.608695652173914,9.956521739130435,0.014492753623188406
67,WR,Jay,Henson,Jay Henson,NYJ,10,0,741,0,31,53,0,0,0,Jay,Henson,JayHenson_32426,1261,1259,2,24,4,17,Signed,Normal,67,0,0,NYJ,tier_6,23.903225806451612,,0.0
68,WR,Dru,Richards,Dru Richards,WAS,10,0,713,22,28,67,3,10,0,Dru,Richards,DruRichards_3356,1524,1522,1,24,5,25,Signed,Normal,71,0,0,WAS,tier_5,25.464285714285715,7.333333333333333,0.0
69,HB,Darrelle,Spidell,Darrelle Spidell,IND,10,0,1046,180,34,101,22,15,2,Darrelle,Spidell,DarrelleSpidell_3263311,2374,2372,2,25,63,9,Signed,Normal,61,0,0,IND,tier_6,30.764705882352942,8.181818181818182,0.03571428571428571
70,HB,TaMuarion,Wolfe,TaMuarion Wolfe,NE,10,1,618,390,23,62,37,72,0,TaMuarion,Wolfe,TaMuarionWolfe_33733,904,902,1,24,7,21,Signed,Normal,73,0,0,NE,tier_5,26.869565217391305,10.54054054054054,0.016666666666666666
71,WR,Ezekiel,Atkins-Talbott,Ezekiel Atkins-Talbott,DAL,10,0,1008,63,37,64,12,11,0,Ezekiel,Atkins-Talbott,EzekielAtkins-Talbott_34538,2876,2874,0,22,5,10,Signed,Normal,68,0,0,DAL,tier_6,27.243243243243242,5.25,0.0
72,WR,Paul,Wilkinson,Paul Wilkinson,CIN,10,1,672,272,27,30,23,72,0,Paul,Wilkinson,PaulWilkinson_34124,3019,3017,0,23,1,1,Signed,Normal,73,0,0,CIN,tier_5,24.88888888888889,11.826086956521738,0.02
73,WR,Melo,Silver,Melo Silver,CLE,10,0,452,194,19,26,25,47,0,Melo,Silver,MeloSilver_30317,667,665,4,27,3,4,Signed,Normal,71,0,0,CLE,tier_5,23.789473684210527,7.76,0.0
