Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,RUSHYARDS,PASSYARDS,RECEIVEDROPS,RUSHYARDSAFTER1STHIT,RECEIVEYARDS,RECEIVELONGEST,DOWNSPLAYED,RECEIVEYARDSAFTER,STAT_KEEP,PASSCOMPLETED,RUSHATTEMPTS,PASSATTEMPTS,PASSINTS,RECEIVECATCHES,FIRSTDOWNS,RUSH20YARDRUNS,SEAS_YEAR,RUSHLONGEST,PASSLONGEST,RUSHBROKENTACKLES,4QCOMEBACKS,GAMERATING,PASSSACKED,PASSTDS,RECEIVETDS,GAMESPLAYED,GAMESSTARTED,RUSHFUMBLES,YEARBYYEARTEAMINDEX,RUSHTDS,FirstName_y,LastName_y,PLYR_ASSETNAME,Row Excel,Row Editor,YearsPro,Age,PLYR_DRAFTROUND,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,ScrimmageYardsPer1000DownsPlayed,RBScrimmageYardsPer300Touches,RBScrimmageTDsPerGame,TDsPer1000DownsPlayed,WRPercentageofTeamPassYards,TeamName_y,SkillPointOff
58,QB,Chase,Stockton,Chase Stockton,IND,280,3643,0,196,0,0,926,0,True,334,41,522,15,0,0,5,10,49,91,23,0,0,45,18,0,16,16,1,9,3,Chase,Stockton,ChaseStockton_3211,3620.0,3618.0,2.0,25.0,1.0,9.0,Signed,Normal,70.0,0.0,0.0,IND,tier_5,302.3758099352052,2048.780487804878,0.1875,3.239740820734341,0.0,,
59,HB,Lucky,Aldridge,Lucky Aldridge,IND,546,0,3,280,150,30,372,148,True,0,124,0,0,16,0,3,10,30,0,29,0,0,0,0,0,15,8,0,9,5,Lucky,Aldridge,LuckyAldridge_3241,1213.0,1211.0,2.0,24.0,4.0,9.0,Signed,Normal,75.0,0.0,0.0,IND,tier_4,1870.9677419354837,1330.7142857142858,0.3333333333333333,13.440860215053764,0.04206879485275922,IND,1.0
60,QB,Andrew,Nance,Andrew Nance,BUF,0,0,0,0,0,0,11,0,True,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,5,0,0,2,0,Andrew,Nance,AndrewNance_3463427,3621.0,3619.0,0.0,23.0,63.0,2.0,Signed,Normal,59.0,0.0,0.0,BUF,tier_6,0.0,,0.0,0.0,0.0,,
71,QB,Ben,Copeland,Ben Copeland,SF,177,2596,0,60,0,0,836,0,True,250,44,419,16,0,0,1,10,32,65,6,0,0,42,18,0,17,13,5,14,0,Ben,Copeland,BenCopeland_33324,179.0,177.0,1.0,24.0,3.0,14.0,Signed,Normal,67.0,0.0,0.0,SF,tier_6,211.7224880382775,1206.8181818181818,0.0,0.0,0.0,,
101,WR,Natron,Conners,Natron Conners,TB,0,0,4,0,536,44,986,139,True,0,0,0,0,44,0,0,10,0,0,0,0,0,0,0,2,17,17,1,5,0,Natron,Conners,NatronConners_34120,1732.0,1730.0,0.0,22.0,1.0,5.0,Signed,Normal,78.0,0.0,0.0,TB,tier_4,543.6105476673429,1827.2727272727273,0.11764705882352941,2.028397565922921,0.15275007124536907,TB,-5.0
103,WR,Neiko,Malone,Neiko Malone,TB,0,0,3,0,425,50,596,141,True,0,0,0,0,37,0,0,10,0,0,0,0,0,0,0,3,17,14,1,5,0,Neiko,Malone,NeikoMalone_34411,47.0,45.0,0.0,22.0,4.0,5.0,Signed,Normal,74.0,0.0,0.0,TB,tier_5,713.0872483221476,1722.972972972973,0.17647058823529413,5.033557046979865,0.12111712738671987,TB,0.0
122,QB,Air,Noland,Air Noland,LV,263,2725,0,160,0,0,670,0,True,221,37,315,10,0,0,4,10,53,52,13,0,0,20,20,0,11,11,2,22,2,Air,Noland,,3427.0,3425.0,6.0,28.0,1.0,22.0,Signed,Star,76.0,0.0,0.0,LV,tier_4,392.53731343283584,2132.4324324324325,0.18181818181818182,2.985074626865672,0.0,,
127,HB,Emmett,Lincoln,Emmett Lincoln,LV,644,0,0,299,95,28,543,138,True,0,150,0,0,13,0,4,10,32,0,33,0,0,0,0,0,17,4,0,22,15,Emmett,Lincoln,EmmettLincoln_3045,687.0,685.0,4.0,25.0,4.0,22.0,Signed,Normal,78.0,0.0,0.0,LV,tier_4,1360.9576427255986,1272.6993865030674,0.8823529411764706,27.624309392265193,0.021101732563305196,LV,6.0
165,WR,Harper,Stevenson,Harper Stevenson,SF,0,0,3,0,444,26,724,122,True,0,0,0,0,44,0,0,10,0,0,0,0,0,0,0,1,16,14,0,14,0,Harper,Stevenson,HarperStevenson_3046,1576.0,1574.0,4.0,27.0,4.0,14.0,Signed,Normal,71.0,0.0,0.0,SF,tier_5,613.2596685082873,1513.6363636363637,0.0625,1.3812154696132597,0.13158995815899582,SF,-4.0
167,QB,J.T.,Johnson,J.T. Johnson,SF,25,767,0,14,0,0,283,0,True,65,6,122,6,0,0,0,10,16,45,2,0,0,12,2,0,16,3,1,14,1,J.T.,Johnson,J.T.Johnson_3343,58.0,56.0,1.0,23.0,4.0,14.0,Signed,Normal,65.0,0.0,0.0,SF,tier_6,88.33922261484099,1250.0,0.0625,3.5335689045936394,0.0,,
175,WR,Joe,Kennard,Joe Kennard,BUF,0,0,2,0,1396,51,927,552,True,0,0,0,0,111,0,0,10,0,0,0,0,0,0,0,11,16,16,0,2,0,Joe,Kennard,JoeKennard_30433,3062.0,3060.0,4.0,27.0,4.0,2.0,Signed,Star,86.0,0.0,0.0,BUF,tier_2,1505.933117583603,1886.4864864864865,0.6875,11.866235167206042,0.34826250293496125,BUF,8.0
179,HB,Troy,McCutcheon,Troy McCutcheon,TEN,619,0,4,291,148,24,561,359,True,0,139,0,0,47,0,5,10,32,0,34,0,0,0,0,3,15,5,2,29,1,Troy,McCutcheon,TroyMcCutcheon_3063307,2590.0,2588.0,4.0,26.0,63.0,29.0,Signed,Normal,76.0,0.0,0.0,TEN,tier_4,1367.2014260249555,1117.741935483871,0.26666666666666666,7.1301247771836005,0.05674334686513307,TEN,-5.0
180,WR,Kenton,Valentine Jr,Kenton Valentine Jr,TEN,0,0,3,0,270,37,878,44,True,0,0,0,0,24,0,0,10,0,0,0,0,0,0,0,3,17,16,0,29,0,Kenton,Valentine Jr,KentonValentine Jr_3373,965.0,963.0,1.0,24.0,7.0,29.0,Signed,Normal,68.0,0.0,0.0,TEN,tier_6,307.5170842824602,1687.5,0.17647058823529413,3.416856492027335,0.09133964817320704,TEN,-3.0
181,QB,Dylan,Wall,Dylan Wall,TEN,12,203,0,0,0,0,146,0,True,17,7,31,0,0,0,0,10,3,35,0,0,0,6,0,0,15,2,1,29,1,Dylan,Wall,DylanWall_3371,3283.0,3281.0,1.0,23.0,7.0,29.0,Signed,Normal,62.0,0.0,0.0,TEN,tier_6,82.1917808219178,514.2857142857142,0.06666666666666667,6.8493150684931505,0.0,,
182,HB,Wesley,Miller,Wesley Miller,TEN,814,0,1,353,228,80,459,358,True,0,174,0,0,44,0,4,10,32,0,41,0,0,0,0,1,12,12,6,29,5,Wesley,Miller,WesleyMiller_33429,1575.0,1573.0,1.0,24.0,4.0,29.0,Signed,Normal,82.0,0.0,0.0,TEN,tier_3,2270.1525054466233,1277.0642201834862,0.5,13.071895424836601,0.10926928281461434,TEN,-5.0
186,QB,Trae,Drayton,Trae Drayton,PHI,0,0,0,0,0,0,40,0,True,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,11,0,0,12,0,Trae,Drayton,TraeDrayton_34640,2671.0,2669.0,0.0,22.0,6.0,12.0,Signed,Normal,62.0,0.0,0.0,PHI,tier_6,0.0,,0.0,0.0,0.0,,
187,WR,Omarion,Miller,Omarion Miller,IND,8,0,9,0,1315,52,918,362,True,0,4,0,0,86,0,0,10,3,0,3,0,0,0,0,9,17,17,0,9,0,Omarion,Miller,,29.0,27.0,8.0,30.0,5.0,9.0,Signed,Star,79.0,0.0,0.0,IND,tier_4,1441.1764705882354,2218.3333333333335,0.5294117647058824,9.803921568627452,0.32541450136104927,IND,11.0
188,WR,Tyler,Brooks,Tyler Brooks,GB,2,0,2,0,595,39,908,148,True,0,1,0,0,49,0,0,10,2,0,0,0,0,0,0,6,17,17,0,19,0,Tyler,Brooks,TylerBrooks_33125,1877.0,1875.0,1.0,22.0,1.0,19.0,Signed,Normal,78.0,0.0,0.0,GB,tier_4,657.4889867841409,1797.0,0.35294117647058826,6.607929515418502,0.175,GB,-2.0
198,WR,Marcus,Lamb,Marcus Lamb,NYJ,0,0,5,0,918,49,815,205,True,0,0,0,0,82,0,0,10,0,0,0,0,0,0,0,5,15,15,1,17,0,Marcus,Lamb,MarcusLamb_33113,292.0,290.0,1.0,23.0,1.0,17.0,Signed,Normal,86.0,0.0,0.0,NYJ,tier_2,1126.3803680981594,1679.2682926829268,0.3333333333333333,6.134969325153374,0.2536323744514871,NYJ,1.0
229,QB,Landon,Walsh,Landon Walsh,BAL,37,1015,0,17,0,0,286,0,True,83,6,121,2,0,0,0,10,20,44,2,0,0,9,7,0,17,4,0,24,0,Landon,Walsh,LandonWalsh_3163339,3520.0,3518.0,3.0,25.0,63.0,24.0,Signed,Normal,65.0,0.0,0.0,BAL,tier_6,129.3706293706294,1850.0,0.0,0.0,0.0,,
