FullName,Position,TeamName,SkillPointDef
A.J. Epenesa,RE,BUF,11
A.J. Terrell Jr,CB,ATL,2
AJ Finley,FS,LAC,1
Aaron Donald,DT,BAL,3
Aaron Hansford,ROLB,GB,-8
Aaron Robinson,CB,NYG,2
Adrian Phillips,FS,NE,5
Aidan Hutchinson,RE,DET,1
Akayleb Evans,CB,MIN,-5
Alex Anzalone,ROLB,DET,-6
Alex Highsmith,RE,PIT,0
Alex Singleton,LOLB,DEN,-6
Alim McNeill,DT,DET,2
Alontae Taylor,CB,NO,-2
Alton Robinson,RE,MIN,-2
Amani Hooker,SS,TEN,9
Amare Barno,RE,CAR,2
Amari Burney,MLB,LV,-2
Ambry Thomas,CB,SF,1
Ameer Speed,CB,NE,-1
Amen Ogbongbemiga,LOLB,KC,-8
Andre Cisco,FS,JAX,-4
Andre Jones Jr,LE,WAS,-1
Andrew Booth Jr,CB,MIN,-1
Andrew Mukuba,SS,LV,-2
Andrew Wingard,SS,JAX,1
Anfernee Orji,LOLB,CAR,-8
Anthony Barr,LOLB,DET,-3
Anthony Johnson Jr,FS,GB,-1
Anthony Nelson,LE,TB,-2
Anthony Walker Jr,MLB,ATL,1
Antoine Winfield Jr,FS,TB,-6
Antonio Johnson,FS,JAX,8
Arden Key,LE,TEN,-1
Arik Armstead,DT,SF,-1
Arnold Ebiketie,LE,ATL,2
Arquon Bush,CB,NE,-4
Asante Samuel Jr,CB,LAC,1
Ashtyn Davis,FS,NYJ,-4
Avonte Maddox,CB,PHI,-1
Azeez Ojulari,LE,MIN,3
B.J. Hill,DT,CIN,0
BJ Thompson,RE,KC,4
Baron Browning,RE,DEN,-3
Barrett Carter,MLB,ARI,1
Baylon Spector,MLB,BUF,-3
Beau Brade,FS,LAR,3
Ben Bywater,ROLB,CAR,-6
Benjamin St-Juste,CB,WAS,4
Blake Cashman,LOLB,WAS,-1
Bobby Brown III,DT,LAR,-1
Bobby Okereke,MLB,NYG,-2
Boogie Basham Jr,RE,NYG,3
Boye Mafe,LE,SEA,-4
Bradley Chubb,RE,MIA,-1
Braiden McGregor,LE,NE,-4
Bralen Trice,RE,CHI,0
Brandon Jones,SS,GB,0
Brandon Pili,DT,MIA,5
Brandon Smith,MLB,KC,-3
Brandon Stephens,CB,BAL,-1
Brian Asamoah II,MLB,MIN,-3
Brian Branch,SS,DET,-8
Brian Burns,RE,HOU,-1
Bryan Bresee,DT,NO,2
Bryan Cook,FS,KC,1
Bryce Huff,LE,NYJ,4
Budda Baker,SS,ARI,-1
Buddy Johnson,ROLB,LV,-4
Byron Murphy Jr,CB,MIN,-1
Byron Young,DT,LV,4
Byron Young,RE,LAR,-1
C.J. Gardner-Johnson,FS,CHI,-1
C.J. Mosley,MLB,NYJ,0
Caden Sterns,SS,DEN,5
Calais Campbell,DT,KC,2
Calen Bullock,SS,PIT,1
Calijah Kancey,DT,TB,6
Cam Bright,MLB,HOU,1
Cam Sample,LE,CIN,0
Cam Smith,CB,MIA,7
Cam Taylor-Britt,CB,CIN,1
Cameron Dantzler Sr,CB,CAR,2
Cameron Goode,LE,MIA,0
Cameron Heyward,DT,PIT,-4
Cameron Jordan,LE,NO,0
Cameron Mitchell,CB,CLE,4
Cameron Sutton,CB,DET,-5
Cameron Thomas,LE,ARI,-4
Cameron Young,DT,SEA,-3
Camryn Bynum,FS,MIN,-4
Carl Granderson,RE,NO,-2
Carlton Davis III,CB,TB,-1
Carrington Valentine,CB,GB,-4
Cedric Gray,MLB,TB,2
Chad Muma,ROLB,JAX,0
Chamarri Conner,FS,KC,1
Channing Tindall,LOLB,MIA,-3
