Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,STAT_KEEP,DLINEFUMBLERECOVERYYARDS,DSECINTRETURNYARDS,DOWNSPLAYED,DLINEFUMBLERECOVERIES,ASSDEFTACKLES,BIGHITS,DEFTACKLES,DLINEHALFSACK,SEAS_YEAR,CTHALLOWED,DSECINTLONGESTRETURN,DLINESAFETIES,DSECINTS,DSECINTTDS,GAMERATING,DEFPASSDEFLECTIONS,DLINEBLOCKS,YEARBYYEARTEAMINDEX,DEFTACKLESFORLOSS,DLINEFORCEDFUMBLES,DLINESACKS,DLINEFUMBLETDS,GAMESPLAYED,GAMESSTARTED,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,Age,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,DLSacksAndTFLPer1000Snaps,DTSacksAndTFLPer1000Snaps,TotalTurnoversPer1000Snaps,LBSacksTFLPassDeflPer1000Snaps,TacklesPer1000Snaps,CBPassDeflPer1000Snaps,CBCatchAllowPer100Snaps,SafetiesCatchAllowMinusPDPerGame,TeamName_y,SkillPointDef
270,LE,T.J.,Watt,T.J. Watt,PIT,True,0,0,723,0,19,0,38,1,1,0,0,0,0,0,0,0,0,28,23,3,8,0,16,16,T.J.,Watt,2976.0,2974.0,7.0,29.0,28.0,Signed,XFactor,99.0,0.0,0.0,PIT,tier_0,51.17565698478561,56.15491009681881,4.149377593360996,42.87690179806362,78.83817427385893,0.0,0.0,0.0,PIT,2
273,CB,Joey,Porter Jr,Joey Porter Jr,PIT,True,0,65,897,0,23,0,47,0,1,0,41,0,4,1,0,5,0,28,2,1,0,0,16,16,Joey,Porter Jr,2265.0,2263.0,1.0,24.0,28.0,Signed,Star,82.0,0.0,0.0,PIT,tier_3,2.229654403567447,2.229654403567447,6.688963210702341,7.803790412486065,78.03790412486065,5.574136008918618,0.0,-0.3125,PIT,3
369,DT,Bobby,Brown III,Bobby Brown III,LAR,True,0,0,516,0,10,15,25,1,1,0,0,1,0,0,0,1,0,23,10,0,0,0,12,0,Bobby,Brown III,331.0,329.0,3.0,24.0,23.0,Signed,Normal,66.0,0.0,0.0,LAR,tier_6,19.37984496124031,19.37984496124031,1.937984496124031,21.31782945736434,67.82945736434108,1.937984496124031,0.0,-0.08333333333333333,LAR,-1
376,DT,Jeffery,Simmons,Jeffery Simmons,TEN,True,23,0,549,1,14,28,33,0,1,0,0,0,0,0,0,0,0,29,5,1,4,0,10,10,Jeffery,Simmons,2545.0,2543.0,5.0,27.0,29.0,Signed,Superstar,90.0,0.0,0.0,TEN,tier_1,21.85792349726776,25.136612021857925,3.6429872495446265,16.393442622950822,85.61020036429873,0.0,0.0,0.0,TEN,-3
382,RE,Isaiah,Foskey,Isaiah Foskey,NO,True,0,0,829,0,23,23,38,0,1,0,0,0,0,0,0,0,0,26,6,0,3,0,13,9,Isaiah,Foskey,918.0,916.0,1.0,23.0,26.0,Signed,Normal,73.0,0.0,0.0,NO,tier_5,13.570566948130276,15.199034981905912,0.0,10.856453558504223,73.5826296743064,0.0,0.0,0.0,NO,-4
416,CB,Jason,Marshall Jr.,Jason Marshall Jr.,PIT,True,0,0,311,0,6,0,22,0,1,0,0,0,0,0,0,5,1,28,0,0,0,0,16,16,Jason,Marshall Jr.,3382.0,3380.0,0.0,21.0,28.0,Signed,Normal,71.0,0.0,0.0,PIT,tier_5,0.0,0.0,3.215434083601286,16.07717041800643,90.03215434083602,16.07717041800643,0.0,-0.3125,PIT,8
429,FS,Eddie,Jackson,Eddie Jackson,NYJ,True,0,22,722,0,15,15,31,0,1,14,22,0,1,1,0,2,0,17,0,0,0,0,11,11,Eddie,Jackson,1399.0,1397.0,7.0,30.0,17.0,Signed,Star,75.0,0.0,0.0,NYJ,tier_4,0.0,0.0,2.770083102493075,2.770083102493075,63.711911357340725,2.770083102493075,1.9390581717451523,1.0909090909090908,NYJ,-5
761,CB,Levi,Wallace,Levi Wallace,ARI,True,0,45,878,0,21,26,37,0,1,22,21,0,3,0,0,9,0,6,0,1,0,0,13,13,Levi,Wallace,2935.0,2933.0,6.0,29.0,6.0,Signed,Star,76.0,0.0,0.0,ARI,tier_4,0.0,0.0,4.555808656036446,10.250569476082005,66.05922551252847,10.250569476082005,2.5056947608200453,1.0,ARI,3
820,RE,Baron,Browning,Baron Browning,DEN,True,17,0,807,1,17,20,24,0,1,0,0,0,0,0,0,0,0,3,4,2,3,0,16,9,Baron,Browning,367.0,365.0,3.0,25.0,3.0,Signed,Normal,75.0,0.0,0.0,DEN,tier_4,11.462205700123915,13.135068153655517,3.717472118959108,8.674101610904586,50.80545229244114,0.0,0.0,0.0,DEN,-3
821,SS,Caden,Sterns,Caden Sterns,DEN,True,0,7,991,0,31,43,64,0,1,40,7,0,1,0,0,6,0,3,2,0,0,0,13,13,Caden,Sterns,2668.0,2666.0,3.0,24.0,3.0,Signed,Normal,71.0,0.0,0.0,DEN,tier_5,2.0181634712411705,2.0181634712411705,1.0090817356205852,8.072653884964682,95.8627648839556,6.054490413723511,4.036326942482341,2.6153846153846154,DEN,5
