Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,KICKEPBLOCKED,PUNTNETYARDS,PUNTYARDS,KICKFGBLOCKED,PUNTATTEMPTS,PUNTIN20,DOWNSPLAYED,KICKEPATTEMPTS,PUNTLONGEST,SEAS_YEAR,KICKNUMKICKOFFS,STAT_KEEP,GAMERATING,PUNTTOUCHBACKS,KICKFGATTEMPTS,KICKEPMADE,GAMEWINFGSMADE,KICKFGATTEMPTS50ORMORE,KICKFGATTEMPTS40TO49,KICKFGATTEMPTS30TO39,KICKFGATTEMPTS29ORLESS,GAMEWINFGATTEMPTS,KICKFGMADE30TO39,KICKFGMADE29ORLESS,KICKFGMADE,KICKFGLONGEST,GAMESSTARTED,YEARBYYEARTEAMINDEX,KICKTOUCHBACKS,KICKFGMADE50ORMORE,KICKFGMADE40TO49,PUNTBLOCKED,GAMESPLAYED,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,Age,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,FGPercentage,EPPercentage,Over40YardPercentage,PuntTBPerIn20,YardsPerPunt,NetYardsToPuntYards,TeamName_y,SkillPointKick
66,K,Griffin,Kell,Griffin Kell,TB,0,0,0,0,0,0,61,44,0,1,0,False,0,0,20,42,0,3,3,7,7,0,7,7,20,57,15,5,0,3,3,0,16,Griffin,Kell,3462.0,3460.0,0.0,23.0,5.0,Signed,Normal,74.0,0.0,0.0,TB,tier_5,1.0,0.9545454545454546,1.0,,,,TB,9
67,P,Jake,Camarda,Jake Camarda,TB,0,3345,3690,0,80,20,161,0,52,1,83,False,0,4,0,0,0,0,0,0,0,0,0,0,0,0,16,5,46,0,0,1,16,Jake,Camarda,433.0,431.0,2.0,25.0,5.0,Signed,Normal,74.0,0.0,0.0,TB,tier_5,,,,0.2,46.125,0.9065040650406504,TB,-4
68,K,Riley,Patterson,Riley Patterson,DET,2,0,0,0,0,0,175,51,0,1,91,False,0,0,27,42,0,9,6,5,7,0,5,7,23,58,16,18,53,5,6,0,16,Riley,Patterson,2191.0,2189.0,3.0,24.0,18.0,Signed,Normal,74.0,0.0,0.0,DET,tier_5,0.8518518518518519,0.8235294117647058,0.7333333333333333,,,,DET,-3
69,P,Jack,Fox,Jack Fox,DET,0,2421,2545,0,56,22,57,0,49,1,1,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,18,0,0,0,0,16,Jack,Fox,924.0,922.0,6.0,28.0,18.0,Signed,Star,72.0,0.0,0.0,DET,tier_5,,,,0.045454545454545456,45.44642857142857,0.9512770137524558,DET,3
70,K,Will,Reichard,Will Reichard,JAX,0,0,0,0,0,0,70,37,0,1,0,False,0,0,29,33,0,10,8,7,4,0,7,4,26,58,16,16,0,7,8,0,16,Will,Reichard,3445.0,3443.0,0.0,23.0,16.0,Signed,Normal,72.0,0.0,0.0,JAX,tier_5,0.896551724137931,0.8918918918918919,0.8333333333333334,,,,JAX,2
71,P,Logan,Cooke,Logan Cooke,JAX,0,3668,3946,0,83,28,167,0,50,1,83,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,54,0,0,0,16,Logan,Cooke,568.0,566.0,6.0,29.0,16.0,Signed,Normal,79.0,0.0,0.0,JAX,tier_4,,,,0.0,47.54216867469879,0.9295489102889002,JAX,3
72,K,Joshua,Karty,Joshua Karty,DEN,1,0,0,0,0,0,137,44,0,1,79,False,0,0,20,42,0,6,6,5,3,0,5,3,19,57,16,3,48,5,6,0,16,Joshua,Karty,3357.0,3355.0,0.0,22.0,3.0,Signed,Star,77.0,0.0,0.0,DEN,tier_4,0.95,0.9545454545454546,0.9166666666666666,,,,DEN,6
73,P,Riley,Dixon,Riley Dixon,DEN,0,3391,3689,0,79,27,77,0,51,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,0,16,Riley,Dixon,718.0,716.0,8.0,31.0,3.0,Signed,Normal,76.0,0.0,0.0,DEN,tier_4,,,,0.0,46.69620253164557,0.9192193006234752,DEN,2
74,K,Chase,McLaughlin,Chase McLaughlin,MIN,2,0,0,0,0,0,149,47,0,1,80,False,0,0,18,43,0,7,5,4,2,0,4,2,15,56,16,30,50,4,5,0,16,Chase,McLaughlin,1896.0,1894.0,5.0,28.0,30.0,Signed,Normal,77.0,0.0,0.0,MIN,tier_4,0.8333333333333334,0.9148936170212766,0.75,,,,MIN,-3
75,P,Ryan,Wright,Ryan Wright,MIN,0,3096,3312,0,74,28,75,0,47,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,30,0,0,0,0,16,Ryan,Wright,3160.0,3158.0,2.0,24.0,30.0,Signed,Normal,71.0,0.0,0.0,MIN,tier_5,,,,0.0,44.75675675675676,0.9347826086956522,MIN,3
