Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,RUSHYARDS,PASSYARDS,RECEIVEDROPS,RUSHYARDSAFTER1STHIT,RECEIVEYARDS,RECEIVELONGEST,DOWNSPLAYED,RECEIVEYARDSAFTER,STAT_KEEP,PASSCOMPLETED,RUSHATTEMPTS,PASSATTEMPTS,PASSINTS,RECEIVECATCHES,FIRSTDOWNS,RUSH20YARDRUNS,SEAS_YEAR,RUSHLONGEST,PASSLONGEST,RUSHBROKENTACKLES,4QCOMEBACKS,GAMERATING,PASSSACKED,PASSTDS,RECEIVETDS,GAMESPLAYED,GAMESSTARTED,RUSHFUMBLES,YEARBYYEARTEAMINDEX,RUSHTDS,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,Age,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,ScrimmageYardsPer1000DownsPlayed,RBScrimmageYardsPer300Touches,RBScrimmageTDsPerGame,TDsPer1000DownsPlayed,TeamName_y,SkillPointOff
65,WR,Curtis,Samuel,Curtis Samuel,PIT,-3,0,8,3,411,45,582,152,True,0,1,0,0,29,0,0,1,0,0,5,0,0,0,0,3,13,13,0,28,0,Curtis,Samuel,2459.0,2457.0,7.0,28.0,28.0,Signed,Normal,77.0,0.0,0.0,PIT,tier_4,701.0309278350514,1942.8,0.23076923076923078,5.154639175257732,PIT,-3.0
311,QB,Justin,Fields,Justin Fields,PIT,634,4194,0,75,0,0,1140,0,True,365,89,677,21,0,0,9,1,45,66,3,0,0,52,22,0,16,16,18,28,6,Justin,Fields,878.0,876.0,3.0,25.0,28.0,Signed,Normal,74.0,0.0,0.0,PIT,tier_5,556.140350877193,2137.078651685393,0.375,5.263157894736842,,
454,WR,Johnny,Wilson,Johnny Wilson,PHI,0,0,0,0,286,29,404,136,True,0,0,0,0,24,0,0,1,0,0,0,0,0,0,0,0,10,8,0,12,0,Johnny,Wilson,3248.0,3246.0,0.0,23.0,12.0,Signed,Normal,73.0,0.0,0.0,PHI,tier_5,707.9207920792079,1716.0,0.0,0.0,PHI,-4.0
456,WR,Marquise,Brown,Marquise Brown,KC,0,0,2,0,751,57,634,312,True,0,0,0,0,60,0,0,1,0,0,6,0,0,0,0,4,13,13,0,8,0,Marquise,Brown,354.0,352.0,5.0,27.0,8.0,Signed,Star,80.0,0.0,0.0,KC,tier_3,1184.5425867507886,1802.3999999999996,0.3076923076923077,6.309148264984227,KC,2.0
457,WR,Kendrick,Bourne,Kendrick Bourne,WAS,27,0,4,17,691,28,778,319,True,0,9,0,0,61,0,1,1,21,0,1,0,0,0,0,3,16,16,0,25,1,Kendrick,Bourne,273.0,271.0,7.0,29.0,25.0,Signed,Normal,75.0,0.0,0.0,WAS,tier_4,922.879177377892,1537.1999999999998,0.25,5.141388174807197,WAS,-1.0
463,WR,Wan'Dale,Robinson,Wan'Dale Robinson,NYG,0,0,4,0,688,85,867,303,True,0,4,0,0,51,0,0,1,0,0,2,0,0,0,0,1,15,15,0,15,0,Wan'Dale,Robinson,2403.0,2401.0,2.0,23.0,15.0,Signed,Normal,73.0,0.0,0.0,NYG,tier_5,793.5409457900807,1801.3090909090909,0.06666666666666667,1.1534025374855825,NYG,-4.0
467,WR,K.J.,Osborn,K.J. Osborn,TB,0,0,4,0,524,25,888,183,True,0,0,0,0,38,0,0,1,0,0,0,0,0,0,0,1,15,15,0,5,0,K.J.,Osborn,2143.0,2141.0,4.0,27.0,5.0,Signed,Star,77.0,0.0,0.0,TB,tier_4,590.09009009009,1985.6842105263156,0.06666666666666667,1.1261261261261262,TB,-8.0
469,WR,Quentin,Johnston,Quentin Johnston,LAC,5,0,3,0,736,63,716,301,True,0,1,0,0,60,0,0,1,5,0,0,0,0,0,0,8,16,16,0,7,0,Quentin,Johnston,1502.0,1500.0,1.0,22.0,7.0,Signed,Normal,70.0,0.0,0.0,LAC,tier_5,1034.9162011173185,1762.032786885246,0.5,11.1731843575419,LAC,9.0
471,WR,Stefon,Diggs,Stefon Diggs,BUF,0,0,0,0,744,35,957,320,True,0,0,0,0,63,0,0,1,0,0,5,0,0,0,0,7,13,13,0,2,0,Stefon,Diggs,708.0,706.0,9.0,30.0,2.0,Signed,XFactor,93.0,0.0,0.0,BUF,tier_1,777.4294670846394,1700.5714285714287,0.5384615384615384,7.3145245559038665,BUF,-6.0
472,HB,Israel,Abanikanda,Israel Abanikanda,NYJ,309,0,0,90,83,25,272,68,True,0,83,0,0,9,0,2,1,38,0,6,0,0,0,0,0,13,5,1,17,7,Israel,Abanikanda,2.0,0.0,1.0,21.0,17.0,Signed,Normal,68.0,0.0,0.0,NYJ,tier_6,1441.1764705882354,1137.5217391304348,0.5384615384615384,25.735294117647058,NYJ,2.0
474,WR,Adonai,Mitchell,Adonai Mitchell,CHI,0,0,0,0,910,54,1025,327,True,0,0,0,0,72,0,0,1,0,0,0,0,0,0,0,2,16,16,1,0,0,Adonai,Mitchell,3281.0,3279.0,0.0,22.0,0.0,Signed,Normal,76.0,0.0,0.0,CHI,tier_4,887.8048780487806,1820.0,0.125,1.951219512195122,CHI,-4.0
476,HB,Jamaal,Williams,Jamaal Williams,NO,436,0,1,151,55,11,270,49,True,0,95,0,0,9,0,3,1,78,0,7,0,0,0,0,0,10,4,0,26,5,Jamaal,Williams,3046.0,3044.0,7.0,29.0,26.0,Signed,Star,75.0,0.0,0.0,NO,tier_4,1818.5185185185185,1333.8461538461538,0.5,18.51851851851852,NO,3.0
477,WR,Ainias,Smith,Ainias Smith,CAR,0,0,6,0,638,56,1029,274,True,0,0,0,0,58,0,0,1,0,0,3,0,0,0,0,2,16,16,0,20,0,Ainias,Smith,3370.0,3368.0,0.0,23.0,20.0,Signed,Normal,70.0,0.0,0.0,CAR,tier_5,620.019436345967,1584.0,0.125,1.943634596695821,CAR,-4.0
480,WR,Jordan,Whittington,Jordan Whittington,DEN,12,0,2,0,289,20,334,104,True,0,7,0,0,26,0,0,1,6,0,0,0,0,0,0,2,13,5,0,3,0,Jordan,Whittington,3411.0,3409.0,0.0,23.0,3.0,Signed,Normal,67.0,0.0,0.0,DEN,tier_6,901.1976047904192,1370.1818181818182,0.15384615384615385,5.9880239520958085,DEN,2.0
482,WR,Trey,Palmer,Trey Palmer,TB,0,0,1,0,496,24,828,186,True,0,0,0,0,48,0,0,1,0,0,5,0,0,0,0,1,15,15,0,5,0,Trey,Palmer,2165.0,2163.0,1.0,23.0,5.0,Signed,Normal,70.0,0.0,0.0,TB,tier_5,599.0338164251208,1488.0,0.06666666666666667,1.2077294685990339,TB,-6.0
484,WR,Tre,Harris,Tre Harris,JAX,0,0,2,0,304,48,442,105,True,0,1,0,0,22,0,0,1,0,0,0,0,0,0,0,1,16,7,0,16,0,Tre,Harris,3323.0,3321.0,0.0,22.0,16.0,Signed,Normal,70.0,0.0,0.0,JAX,tier_5,687.7828054298642,1903.3043478260868,0.0625,2.2624434389140275,JAX,-3.0
487,WR,Tory,Horton,Tory Horton,ATL,0,0,3,0,537,23,837,259,True,0,0,0,0,49,0,0,1,0,0,1,0,0,0,0,2,16,11,0,13,0,Tory,Horton,3233.0,3231.0,0.0,22.0,13.0,Signed,Normal,74.0,0.0,0.0,ATL,tier_5,641.5770609318996,1578.1224489795918,0.125,2.389486260454002,ATL,-3.0
488,HB,Khalil,Herbert,Khalil Herbert,CHI,492,0,2,90,134,30,384,100,True,0,148,0,0,14,0,2,1,51,0,8,0,0,0,0,1,11,11,2,0,8,Khalil,Herbert,1220.0,1218.0,3.0,26.0,0.0,Signed,Star,80.0,0.0,0.0,CHI,tier_3,1630.2083333333333,1030.2222222222222,0.8181818181818182,23.4375,CHI,-4.0
