FullName,Position,TeamName,SkillPointKick
A.J. Cole III,P,LV,-2
Anders Carlson,K,GB,0
Austin McNamara,P,NO,2
Blake Gillikin,P,GB,-6
Blake Grupe,K,NO,4
Brad Robbins,P,CIN,0
Bradley Pinion,P,ATL,-2
Brandon Aubrey,K,DAL,2
Bryan Anger,P,DAL,-4
Bryce Baringer,P,NE,1
Cade York,K,CHI,1
Cameron Dicker,K,LAC,-4
Chad Ryland,K,NE,1
Chase McLaughlin,K,MIN,-3
Chris Boswell,K,PIT,-5
Corey Bojorquez,P,MIA,0
Daniel Carlson,K,LV,0
Drue Chrisman,P,ARI,3
Dustin Hopkins,K,CLE,5
Eddy Pineiro,K,CAR,1
Ethan Evans,P,LAR,1
Evan McPherson,K,CIN,0
Graham Gano,K,NYG,-2
Greg Zuerlein,K,NYJ,2
Griffin Kell,K,TB,9
Harrison Butker,K,KC,-2
J.K. Scott,P,LAC,2
Jack Browning,K,LAR,0
Jack Fox,P,DET,3
Jake Bailey,P,CLE,0
Jake Camarda,P,TB,-4
Jake Elliott,K,PHI,-5
Jake Moody,K,SF,5
Jamie Gillan,P,NYG,2
Jason Myers,K,SEA,-4
Jason Sanders,K,MIA,-5
Johnny Hekker,P,CAR,2
Jordan Stout,P,BAL,-1
Joshua Karty,K,DEN,6
Justin Tucker,K,BAL,-7
Ka'imi Fairbairn,K,WAS,6
Kai Kroeger,P,HOU,1
Logan Cooke,P,JAX,3
Matt Gay,K,IND,-1
Matt Prater,K,ARI,-1
Michael Dickson,P,SEA,0
Mitch Wishnowsky,P,SF,-1
Nick Folk,K,TEN,0
Pressley Harvin III,P,PIT,4
Rigoberto Sanchez,P,PHI,0
Riley Dixon,P,DEN,2
Riley Patterson,K,DET,-3
Ryan Stonehouse,P,TEN,-5
Ryan Wright,P,MIN,3
Sam Martin,P,BUF,1
Thomas Morstead,P,NYJ,-2
Tommy Townsend,P,KC,-3
Tory Taylor,P,IND,2
Trenton Gill,P,CHI,2
Tress Way,P,WAS,-6
Tyler Bass,K,BUF,0
Wil Lutz,K,HOU,-4
Will Reichard,K,JAX,2
Younghoe Koo,K,ATL,0
