Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,RUSHYARDS,PASSYARDS,RECEIVEDROPS,RUSHYARDSAFTER1STHIT,RECEIVEYARDS,RECEIVELONGEST,DOWNSPLAYED,RECEIVEYARDSAFTER,STAT_KEEP,PASSCOMPLETED,RUSHATTEMPTS,PASSATTEMPTS,PASSINTS,RECEIVECATCHES,FIRSTDOWNS,RUSH20YARDRUNS,SEAS_YEAR,RUSHLONGEST,PASSLONGEST,RUSHBROKENTACKLES,4QCOMEBACKS,GAMERATING,PASSSACKED,PASSTDS,RECEIVETDS,GAMESPLAYED,GAMESSTARTED,RUSHFUMBLES,YEARBYYEARTEAMINDEX,RUSHTDS,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,Age,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,ScrimmageYardsPer1000DownsPlayed,RBScrimmageYardsPer300Touches,RBScrimmageTDsPerGame,TDsPer1000DownsPlayed,TeamName_y,SkillPointOff
79,HB,Damien,Martinez,Damien Martinez,PIT,251,0,1,124,50,14,316,55,True,0,85,0,0,12,0,0,2,13,0,8,0,0,0,0,1,16,16,0,28,1,Damien,Martinez,547.0,545.0,0.0,21.0,28.0,Signed,Normal,74.0,0.0,0.0,PIT,tier_5,952.5316455696202,850.5154639175258,0.125,6.329113924050633,PIT,-6.0
148,WR,Gabe,Davis,Gabe Davis,TEN,8,0,0,0,882,46,762,313,True,0,4,0,0,66,0,0,2,3,0,1,0,0,0,0,4,12,12,0,29,0,Gabe,Davis,656.0,654.0,5.0,26.0,29.0,Signed,Star,84.0,0.0,0.0,TEN,tier_3,1167.979002624672,1848.685714285714,0.3333333333333333,5.2493438320209975,TEN,1.0
251,WR,Luther,Burden III,Luther Burden III,PIT,12,0,3,5,1166,53,1039,295,True,0,3,0,0,77,0,0,2,7,0,6,0,0,0,0,8,16,16,0,28,0,Luther,Burden III,262.0,260.0,0.0,21.0,28.0,Signed,Star,81.0,0.0,0.0,PIT,tier_3,1133.7824831568817,2143.7999999999997,0.5,7.699711260827719,PIT,2.0
418,HB,Isaiah,Spiller,Isaiah Spiller,LAC,755,0,4,134,208,16,564,173,True,0,209,0,0,29,0,4,2,46,0,7,0,0,0,0,1,13,13,1,7,4,Isaiah,Spiller,2647.0,2645.0,3.0,24.0,7.0,Signed,Star,77.0,0.0,0.0,LAC,tier_4,1707.4468085106382,1077.5294117647059,0.38461538461538464,8.865248226950355,LAC,-4.0
450,TE,Pat,Freiermuth,Pat Freiermuth,PIT,0,0,3,0,464,24,1120,157,True,0,0,0,0,48,0,0,2,0,0,4,0,0,0,0,3,16,16,0,28,0,Pat,Freiermuth,936.0,934.0,4.0,26.0,28.0,Signed,Star,87.0,0.0,0.0,PIT,tier_2,414.28571428571433,1392.0,0.1875,2.6785714285714284,PIT,-7.0
454,WR,Adonai,Mitchell,Adonai Mitchell,CHI,0,0,0,0,788,66,778,259,True,0,0,0,0,58,0,0,2,0,0,3,0,0,0,0,6,16,16,2,0,0,Adonai,Mitchell,3281.0,3279.0,1.0,23.0,0.0,Signed,Normal,78.0,0.0,0.0,CHI,tier_4,1012.853470437018,1956.4137931034484,0.375,7.712082262210797,CHI,2.0
458,HB,Kendall,Milton,Kendall Milton,GB,624,0,2,223,134,18,547,133,True,0,153,0,0,22,0,7,2,59,0,17,0,0,0,0,0,16,16,0,19,6,Kendall,Milton,3318.0,3316.0,1.0,23.0,19.0,Signed,Normal,76.0,0.0,0.0,GB,tier_4,1385.7404021937843,1179.9771428571428,0.375,10.968921389396709,GB,-1.0
459,WR,Khalil,Shakir,Khalil Shakir,BUF,0,0,2,0,556,23,575,215,True,0,0,0,0,50,0,0,2,0,0,0,0,0,0,0,6,12,12,0,2,0,Khalil,Shakir,2518.0,2516.0,3.0,25.0,2.0,Signed,Normal,73.0,0.0,0.0,BUF,tier_5,966.9565217391304,1601.28,0.5,10.434782608695652,BUF,9.0
460,WR,Devin,Duvernay,Devin Duvernay,BUF,7,0,2,0,523,34,708,233,True,0,2,0,0,44,0,0,2,7,0,1,0,0,0,0,1,12,12,0,2,0,Devin,Duvernay,767.0,765.0,5.0,27.0,2.0,Signed,Normal,73.0,0.0,0.0,BUF,tier_5,748.587570621469,1682.8695652173913,0.08333333333333333,1.4124293785310735,BUF,-4.0
471,HB,George,Pettaway,George Pettaway,CAR,181,0,1,23,75,10,359,60,True,0,55,0,0,15,0,1,2,23,0,5,0,0,0,0,3,16,16,0,20,1,George,Pettaway,626.0,624.0,0.0,22.0,20.0,Signed,Normal,68.0,0.0,0.0,CAR,tier_6,713.0919220055711,930.0,0.25,11.142061281337048,CAR,-3.0
473,WR,Charlie,Jones,Charlie Jones,CIN,0,0,1,0,832,66,742,273,True,0,0,0,0,54,0,0,2,0,0,2,0,0,0,0,7,13,13,0,1,0,Charlie,Jones,1523.0,1521.0,2.0,26.0,1.0,Signed,Normal,75.0,0.0,0.0,CIN,tier_4,1121.2938005390836,2218.666666666667,0.5384615384615384,9.433962264150942,CIN,5.0
475,WR,Jamari,Thrash,Jamari Thrash,CIN,2,0,2,0,282,24,367,95,True,0,1,0,0,25,0,0,2,2,0,3,0,0,0,0,5,14,4,1,1,0,Jamari,Thrash,3336.0,3334.0,1.0,24.0,1.0,Signed,Normal,73.0,0.0,0.0,CIN,tier_5,773.841961852861,1584.923076923077,0.35714285714285715,13.623978201634877,CIN,5.0
477,WR,Demario,Douglas,Demario Douglas,NE,6,0,6,0,417,59,632,140,True,0,2,0,0,32,0,0,2,5,0,0,0,0,0,0,2,16,10,0,21,0,Demario,Douglas,736.0,734.0,2.0,24.0,21.0,Signed,Normal,70.0,0.0,0.0,NE,tier_5,669.3037974683544,1819.0588235294117,0.125,3.1645569620253164,NE,-3.0
