FullName,Position,TeamName,SkillPointKick
A.J. Cole III,P,LV,-2
Andres Borregales,K,PIT,-2
Austin McNamara,P,NO,1
Blake Gillikin,P,GB,1
Blake Grupe,K,NO,-4
Brandon Aubrey,K,DAL,-6
Bryan Anger,P,DAL,-1
Cade York,K,CHI,2
Cam Little,K,MIA,2
Cameron Dicker,K,LAC,7
Chad Ryland,K,NE,5
Chase McLaughlin,K,MIN,1
Corey Bojorquez,P,MIA,-1
Daniel Carlson,K,LV,-7
Dean Janikowski,K,DET,2
Drue Chrisman,P,ARI,2
Dustin Hopkins,K,GB,-4
Eddie Czaplicki,P,WAS,3
Eddy Pineiro,K,CAR,-1
Ethan Evans,P,LAR,1
Evan McPherson,K,CIN,-1
Graham Gano,K,NYG,-4
Greg Zuerlein,K,NYJ,-3
Griffin Kell,K,TB,-4
Harrison Butker,K,KC,2
J.K. Scott,P,LAC,2
Jack Browning,K,LAR,0
Jack Fox,P,DET,0
Jake Bailey,P,CAR,-2
Jake Camarda,P,TB,0
Jake Elliott,K,PHI,3
Jake Moody,K,SF,-3
Jamie Gillan,P,NYG,3
Jason Myers,K,SEA,5
John Hoyland,K,TEN,5
Johnny Hekker,P,CIN,-2
Jordan Stout,P,BAL,2
Joshua Karty,K,DEN,-7
Justin Tucker,K,BAL,-1
Ka'imi Fairbairn,K,WAS,-5
Kai Kroeger,P,HOU,-3
Logan Cooke,P,JAX,-4
Mason Fletcher,P,BUF,4
Matt Gay,K,IND,-3
Michael Dickson,P,SEA,-4
Mitch Wishnowsky,P,SF,2
Nick Folk,K,ARI,6
Pressley Harvin III,P,PIT,4
Rigoberto Sanchez,P,PHI,2
Riley Dixon,P,DEN,0
Riley Thompson,P,ATL,2
Ryan Fitzgerald,K,CLE,-4
Ryan Rehkow,P,NE,-1
Ryan Stonehouse,P,TEN,-4
Ryan Wright,P,MIN,4
Stephen Kotsanlee,P,CLE,-1
Thomas Morstead,P,NYJ,2
Tommy Townsend,P,KC,2
Tory Taylor,P,IND,2
Trenton Gill,P,CHI,1
Tyler Bass,K,BUF,1
Wil Lutz,K,HOU,2
Will Reichard,K,JAX,3
Younghoe Koo,K,ATL,-2
