Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,KICKEPBLOCKED,PUNTNETYARDS,PUNTYARDS,KICKFGBLOCKED,PUNTATTEMPTS,PUNTIN20,DOWNSPLAYED,KICKEPATTEMPTS,PUNTLONGEST,SEAS_YEAR,KICKNUMKICKOFFS,STAT_KEEP,GAMERATING,PUNTTOUCHBACKS,KICKFGATTEMPTS,KICKEPMADE,GAMEWINFGSMADE,KICKFGATTEMPTS50ORMORE,KICKFGATTEMPTS40TO49,KICKFGATTEMPTS30TO39,KICKFGATTEMPTS29ORLESS,GAMEWINFGATTEMPTS,KICKFGMADE30TO39,KICKFGMADE29ORLESS,KICKFGMADE,KICKFGLONGEST,GAMESSTARTED,YEARBYYEARTEAMINDEX,KICKTOUCHBACKS,KICKFGMADE50ORMORE,KICKFGMADE40TO49,PUNTBLOCKED,GAMESPLAYED,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,Age,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,FGPercentage,EPPercentage,Over40YardPercentage,PuntTBPerIn20,YardsPerPunt,NetYardsToPuntYards,TeamName_y,SkillPointKick
65,K,Jake,Elliott,Jake Elliott,PHI,1,0,0,0,0,0,139,40,0,2,72,False,0,0,19,37,0,7,4,4,4,0,4,4,18,58,16,12,40,6,4,0,16,Jake,Elliott,808.0,806.0,8.0,30.0,12.0,Signed,Normal,77.0,0.0,0.0,PHI,tier_4,0.9473684210526315,0.925,0.9090909090909091,,,,PHI,3
130,P,Stephen,Kotsanlee,Stephen Kotsanlee,CLE,0,3578,3865,0,85,29,79,0,56,2,2,False,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,16,Stephen,Kotsanlee,3637.0,3635.0,1.0,25.0,4.0,Signed,Normal,72.0,0.0,0.0,CLE,tier_5,,,,0.10344827586206896,45.470588235294116,0.9257438551099612,CLE,-1
131,P,Jake,Bailey,Jake Bailey,CAR,0,2860,3112,0,68,21,70,0,49,2,1,False,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,20,1,0,0,0,16,Jake,Bailey,128.0,126.0,6.0,28.0,20.0,Signed,Normal,75.0,0.0,0.0,CAR,tier_4,,,,0.09523809523809523,45.76470588235294,0.9190231362467867,CAR,-2
132,K,Eddy,Pineiro,Eddy Pineiro,CAR,0,0,0,0,0,0,138,34,0,2,70,False,0,0,25,33,0,11,5,5,4,0,5,4,21,58,16,20,39,7,5,0,16,Eddy,Pineiro,2247.0,2245.0,7.0,29.0,20.0,Signed,Normal,77.0,0.0,0.0,CAR,tier_4,0.84,0.9705882352941176,0.75,,,,CAR,-1
133,P,Jake,Camarda,Jake Camarda,TB,0,3767,4036,0,91,32,94,0,47,2,2,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,5,0,0,0,0,16,Jake,Camarda,433.0,431.0,3.0,26.0,5.0,Signed,Normal,70.0,0.0,0.0,TB,tier_5,,,,0.03125,44.35164835164835,0.9333498513379583,TB,0
134,K,Nick,Folk,Nick Folk,ARI,0,0,0,0,0,0,134,34,0,2,75,False,0,0,26,33,0,10,8,2,6,0,2,6,25,56,16,6,43,9,8,0,16,Nick,Folk,898.0,896.0,17.0,40.0,6.0,Signed,Normal,78.0,0.0,0.0,ARI,tier_4,0.9615384615384616,0.9705882352941176,0.9444444444444444,,,,ARI,6
135,K,Ka'imi,Fairbairn,Ka'imi Fairbairn,WAS,0,0,0,0,0,0,145,42,0,2,76,False,0,0,22,41,0,11,5,5,1,0,5,1,17,59,16,25,45,6,5,0,16,Ka'imi,Fairbairn,848.0,846.0,9.0,31.0,25.0,Signed,Star,87.0,0.0,0.0,WAS,tier_2,0.7727272727272727,0.9761904761904762,0.6875,,,,WAS,-5
136,K,Graham,Gano,Graham Gano,NYG,0,0,0,1,0,0,51,33,0,2,0,False,0,0,15,29,0,7,6,0,2,0,0,1,12,56,15,15,0,5,6,0,15,Graham,Gano,968.0,966.0,16.0,38.0,15.0,Signed,Normal,75.0,0.0,0.0,NYG,tier_4,0.8,0.8787878787878788,0.8461538461538461,,,,NYG,-4
137,K,Cade,York,Cade York,CHI,0,0,0,0,0,0,166,50,0,2,91,False,0,0,24,45,0,10,5,7,2,0,7,2,21,58,16,0,65,7,5,0,16,Cade,York,3171.0,3169.0,3.0,24.0,0.0,Signed,Normal,72.0,0.0,0.0,CHI,tier_5,0.875,0.9,0.8,,,,CHI,2
138,P,Trenton,Gill,Trenton Gill,CHI,0,2332,2488,0,55,13,54,0,57,2,0,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,16,Trenton,Gill,1004.0,1002.0,3.0,27.0,0.0,Signed,Normal,71.0,0.0,0.0,CHI,tier_5,,,,0.07692307692307693,45.236363636363635,0.9372990353697749,CHI,1
139,P,Jamie,Gillan,Jamie Gillan,NYG,0,3660,3927,0,83,35,148,0,50,2,63,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,15,43,0,0,1,16,Jamie,Gillan,1005.0,1003.0,6.0,28.0,15.0,Signed,Star,78.0,0.0,0.0,NYG,tier_4,,,,0.02857142857142857,47.31325301204819,0.932009167303285,NYG,3
140,P,Rigoberto,Sanchez,Rigoberto Sanchez,PHI,0,3098,3234,0,70,25,71,0,49,2,0,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,12,0,0,0,0,16,Rigoberto,Sanchez,2465.0,2463.0,8.0,30.0,12.0,Signed,Normal,75.0,0.0,0.0,PHI,tier_4,,,,0.04,46.2,0.9579468150896723,PHI,2
141,P,Tommy,Townsend,Tommy Townsend,KC,0,2591,2856,0,60,18,60,0,50,2,0,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,0,0,0,16,Tommy,Townsend,2837.0,2835.0,5.0,28.0,8.0,Signed,Normal,79.0,0.0,0.0,KC,tier_4,,,,0.05555555555555555,47.6,0.9072128851540616,KC,2
142,K,Harrison,Butker,Harrison Butker,KC,0,0,0,0,0,0,173,61,0,2,89,False,0,0,17,60,0,3,9,2,3,0,2,3,16,57,16,8,53,2,9,0,16,Harrison,Butker,402.0,400.0,8.0,30.0,8.0,Signed,Star,82.0,0.0,0.0,KC,tier_3,0.9411764705882353,0.9836065573770492,0.9166666666666666,,,,KC,2
143,K,Ryan,Fitzgerald,Ryan Fitzgerald,CLE,0,0,0,1,0,0,134,36,0,2,74,False,0,0,31,33,0,12,8,5,6,0,5,6,23,56,16,4,55,5,7,0,16,Ryan,Fitzgerald,2423.0,2421.0,0.0,23.0,4.0,Signed,Normal,72.0,0.0,0.0,CLE,tier_5,0.7419354838709677,0.9166666666666666,0.6,,,,CLE,-4
144,K,Dean,Janikowski,Dean Janikowski,DET,0,0,0,0,0,0,71,40,0,2,0,False,0,0,32,36,0,14,6,7,5,0,7,5,28,58,15,18,0,10,6,0,16,Dean,Janikowski,2305.0,2303.0,0.0,23.0,18.0,Signed,Normal,72.0,0.0,0.0,DET,tier_5,0.875,0.9,0.8,,,,DET,2
145,K,Justin,Tucker,Justin Tucker,BAL,0,0,0,0,0,0,135,40,0,2,78,False,0,0,20,39,0,9,4,3,4,0,3,4,18,58,16,24,40,7,4,0,16,Justin,Tucker,2850.0,2848.0,13.0,35.0,24.0,Signed,Star,84.0,0.0,0.0,BAL,tier_3,0.9,0.975,0.8461538461538461,,,,BAL,-1
146,P,Riley,Thompson,Riley Thompson,ATL,0,2839,2933,0,64,22,66,0,49,2,0,False,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,13,0,0,0,2,16,Riley,Thompson,3615.0,3613.0,1.0,25.0,13.0,Signed,Normal,73.0,0.0,0.0,ATL,tier_5,,,,0.09090909090909091,45.828125,0.9679509035117627,ATL,2
147,K,Cameron,Dicker,Cameron Dicker,LAC,0,0,0,0,0,0,79,47,0,2,0,False,0,0,25,46,0,9,11,3,2,0,3,2,23,58,16,7,0,7,11,0,16,Cameron,Dicker,702.0,700.0,3.0,25.0,7.0,Signed,Normal,73.0,0.0,0.0,LAC,tier_5,0.92,0.9787234042553191,0.9,,,,LAC,7
