Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,GAMESSTARTED,OLINEPANCAKES,OLINESACKSALLOWED,DOWNSPLAYED,STAT_KEEP,GAMESPLAYED,YEARBYYEARTEAMINDEX,GAMERATING,SEAS_YEAR,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,Age,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,SacksPer1000Snaps,TeamName_y,SkillPointOL
39,LT,David,Bakhtiari,David Bakhtiari,PIT,14,6,6,991,False,14,28,0,2,David,Bakhtiari,137.0,135.0,12.0,33.0,28.0,Signed,Star,73.0,0.0,0.0,PIT,tier_5,6.054490413723511,PIT,6
78,LT,Rashawn,Slater,Rashawn Slater,LAC,11,0,4,807,False,11,7,0,2,Rashawn,Slater,2567.0,2565.0,4.0,26.0,7.0,Signed,Star,86.0,0.0,0.0,LAC,tier_2,4.956629491945477,LAC,6
86,C,Connor,Williams,Connor Williams,MIA,12,2,6,898,False,12,11,0,2,Connor,Williams,3035.0,3033.0,7.0,28.0,11.0,Signed,Normal,89.0,0.0,0.0,MIA,tier_2,6.6815144766147,MIA,-5
238,C,Ryan,Kelly,Ryan Kelly,PIT,12,7,5,832,False,12,28,0,2,Ryan,Kelly,1601.0,1599.0,9.0,32.0,28.0,Signed,Star,76.0,0.0,0.0,PIT,tier_4,6.009615384615385,PIT,-3
305,RG,Christian,Mahogany,Christian Mahogany,MIA,15,4,4,1083,False,15,11,0,2,Christian,Mahogany,3251.0,3249.0,1.0,24.0,11.0,Signed,Normal,72.0,0.0,0.0,MIA,tier_5,3.693444136657433,MIA,-6
306,LT,Ikem,Ekwonu,Ikem Ekwonu,MIA,11,3,12,749,False,14,11,0,2,Ikem,Ekwonu,802.0,800.0,3.0,24.0,11.0,Signed,Normal,67.0,0.0,0.0,MIA,tier_6,16.02136181575434,MIA,-2
390,RG,Jamaree,Salyer,Jamaree Salyer,LAC,16,0,4,1210,False,16,7,0,2,Jamaree,Salyer,2453.0,2451.0,3.0,25.0,7.0,Signed,Normal,80.0,0.0,0.0,LAC,tier_3,3.3057851239669422,LAC,-4
426,RT,Broderick,Jones,Broderick Jones,PIT,12,2,7,813,False,12,28,0,2,Broderick,Jones,1519.0,1517.0,2.0,24.0,28.0,Signed,Normal,80.0,0.0,0.0,PIT,tier_3,8.610086100861007,PIT,0
456,LG,Jonah,Savaiinaea,Jonah Savaiinaea,PIT,13,12,5,906,False,13,28,0,2,Jonah,Savaiinaea,770.0,768.0,0.0,21.0,28.0,Signed,Normal,73.0,0.0,0.0,PIT,tier_5,5.518763796909493,PIT,-3
553,LG,Zion,Johnson,Zion Johnson,LAC,14,0,4,1017,False,14,7,0,2,Zion,Johnson,1499.0,1497.0,3.0,25.0,7.0,Signed,Star,80.0,0.0,0.0,LAC,tier_3,3.9331366764995086,LAC,2
583,RG,James,Daniels,James Daniels,PIT,11,4,5,628,False,11,28,0,2,James,Daniels,632.0,630.0,7.0,27.0,28.0,Signed,Star,78.0,0.0,0.0,PIT,tier_4,7.961783439490445,PIT,-7
630,RT,Taliese,Fuaga,Taliese Fuaga,MIA,14,3,9,1008,False,14,11,0,2,Taliese,Fuaga,3231.0,3229.0,1.0,24.0,11.0,Signed,Star,84.0,0.0,0.0,MIA,tier_3,8.928571428571429,MIA,0
632,LG,Jonah,Jackson,Jonah Jackson,TB,16,0,11,1046,False,16,5,0,2,Jonah,Jackson,1402.0,1400.0,5.0,28.0,5.0,Signed,Star,74.0,0.0,0.0,TB,tier_5,10.516252390057362,TB,-6
633,RT,Mekhi,Becton Sr,Mekhi Becton Sr,TB,16,0,8,1057,False,16,5,0,2,Mekhi,Becton Sr,186.0,184.0,5.0,26.0,5.0,Signed,Star,73.0,0.0,0.0,TB,tier_5,7.5685903500473035,TB,0
634,RG,Cody,Mauch,Cody Mauch,TB,16,0,5,1046,False,16,5,0,2,Cody,Mauch,1829.0,1827.0,2.0,26.0,5.0,Signed,Normal,72.0,0.0,0.0,TB,tier_5,4.780114722753346,TB,-6
636,LT,Tristan,Wirfs,Tristan Wirfs,TB,12,0,14,800,False,12,5,0,2,Tristan,Wirfs,3114.0,3112.0,5.0,26.0,5.0,Signed,Superstar,94.0,0.0,0.0,TB,tier_1,17.5,TB,-10
638,C,Ryan,Jensen,Ryan Jensen,TB,16,0,8,1138,False,16,5,0,2,Ryan,Jensen,1446.0,1444.0,12.0,34.0,5.0,Signed,Superstar,85.0,0.0,0.0,TB,tier_2,7.0298769771529,TB,-9
639,C,David,Andrews,David Andrews,ARI,14,1,8,945,False,14,6,0,2,David,Andrews,78.0,76.0,10.0,33.0,6.0,Signed,Star,71.0,0.0,0.0,ARI,tier_5,8.465608465608467,ARI,-6
641,LT,Tristan,Leigh,Tristan Leigh,PHI,5,0,4,412,False,14,12,0,2,Tristan,Leigh,1099.0,1097.0,0.0,21.0,12.0,Signed,Normal,67.0,0.0,0.0,PHI,tier_6,9.70873786407767,PHI,3
642,C,Connor,McGovern,Connor McGovern,PHI,16,0,3,1039,False,16,12,0,2,Connor,McGovern,1876.0,1874.0,9.0,32.0,12.0,Signed,Normal,68.0,0.0,0.0,PHI,tier_6,2.8873917228103942,PHI,3
645,RG,Cam,Jurgens,Cam Jurgens,PHI,14,0,5,938,False,14,12,0,2,Cam,Jurgens,1575.0,1573.0,3.0,26.0,12.0,Signed,Normal,75.0,0.0,0.0,PHI,tier_4,5.330490405117271,PHI,-7
646,LG,Landon,Dickerson,Landon Dickerson,PHI,16,0,2,1167,False,16,12,0,2,Landon,Dickerson,703.0,701.0,4.0,26.0,12.0,Signed,Superstar,91.0,0.0,0.0,PHI,tier_1,1.7137960582690661,PHI,2
647,LT,Jordan,Mailata,Jordan Mailata,PHI,16,0,16,1117,False,16,12,0,2,Jordan,Mailata,1791.0,1789.0,7.0,28.0,12.0,Signed,Star,86.0,0.0,0.0,PHI,tier_2,14.32408236347359,PHI,-1
649,LT,Brandon,Coleman,Brandon Coleman,LAC,14,0,7,999,False,14,7,0,2,Brandon,Coleman,3349.0,3347.0,1.0,24.0,7.0,Signed,Normal,74.0,0.0,0.0,LAC,tier_5,7.007007007007007,LAC,6
650,LG,Cole,Strange,Cole Strange,CLE,16,5,5,1069,False,16,4,0,2,Cole,Strange,2693.0,2691.0,3.0,27.0,4.0,Signed,Star,72.0,0.0,0.0,CLE,tier_5,4.677268475210477,CLE,0
654,LG,Matthew,Bergeron,Matthew Bergeron,ATL,16,0,4,1157,False,16,13,0,2,Matthew,Bergeron,210.0,208.0,2.0,25.0,13.0,Signed,Normal,74.0,0.0,0.0,ATL,tier_5,3.4572169403630078,ATL,2
655,C,Drew,Dalman,Drew Dalman,ATL,13,0,2,877,False,13,13,0,2,Drew,Dalman,624.0,622.0,4.0,26.0,13.0,Signed,Star,82.0,0.0,0.0,ATL,tier_3,2.280501710376283,ATL,1
656,RG,Chris,Lindstrom,Chris Lindstrom,ATL,16,0,1,1223,False,16,13,0,2,Chris,Lindstrom,1732.0,1730.0,6.0,28.0,13.0,Signed,Superstar,89.0,0.0,0.0,ATL,tier_2,0.8176614881439085,ATL,3
657,RT,Kaleb,McGary,Kaleb McGary,ATL,14,0,4,1013,False,14,13,0,2,Kaleb,McGary,1872.0,1870.0,6.0,30.0,13.0,Signed,Normal,75.0,0.0,0.0,ATL,tier_4,3.948667324777887,ATL,9
658,LT,Jake,Matthews,Jake Matthews,ATL,14,0,17,999,False,14,13,0,2,Jake,Matthews,1825.0,1823.0,11.0,33.0,13.0,Signed,Star,77.0,0.0,0.0,ATL,tier_4,17.017017017017018,ATL,-7
660,LT,Will,Campbell,Will Campbell,LAR,13,0,12,956,False,16,23,0,2,Will,Campbell,140.0,138.0,0.0,22.0,23.0,Signed,Normal,74.0,0.0,0.0,LAR,tier_5,12.552301255230125,LAR,0
661,C,Alex,Forsyth,Alex Forsyth,DEN,7,2,1,456,False,12,3,0,2,Alex,Forsyth,912.0,910.0,2.0,26.0,3.0,Signed,Normal,66.0,0.0,0.0,DEN,tier_6,2.1929824561403506,DEN,3
662,RG,Quinn,Meinerz,Quinn Meinerz,DEN,16,2,1,1160,False,16,3,0,2,Quinn,Meinerz,1913.0,1911.0,4.0,26.0,3.0,Signed,Star,89.0,0.0,0.0,DEN,tier_2,0.8620689655172413,DEN,3
663,LG,Ben,Powers,Ben Powers,DEN,16,1,6,1114,False,16,3,0,2,Ben,Powers,2269.0,2267.0,6.0,28.0,3.0,Signed,Normal,75.0,0.0,0.0,DEN,tier_4,5.3859964093357275,DEN,-3
