FullName,Position,TeamName,SkillPointKick
A.J. Cole III,P,LAC,1
Adam Williams,P,LV,1
Alan Brackett,P,CLE,3
Alec McPherson,K,BAL,3
Alex McPherson,K,CAR,1
Austin Seibert,K,DEN,-1
Bernard Donaldson,K,HOU,3
Blake Gillikin,P,JAX,3
Braden Mann,P,WAS,-2
Braxton King,P,MIA,3
Brett Wittman,P,NO,-2
Bryce McFerson,P,MIN,3
Cade York,K,DET,-2
Chase Cook,K,ARI,-3
Chris Edwards,P,BUF,2
Chris Ross,K,NO,1
Clyde Darby,P,CHI,0
Colin Hartman,K,ATL,0
Damon Wilcox,P,TB,0
Daniel Lee,P,CAR,-2
David Foster,P,NYG,-4
Dennis Abraham,K,CIN,-1
Devin Tanley,K,GB,0
Ethan Moczulski,K,LAC,1
Evan McPherson,K,CHI,2
Gabe Brkic,K,BUF,4
Gary Paulson,P,DEN,0
Grant Wade,K,NE,1
Harrison Butker,K,KC,-1
Isaiah Hamilton,K,SEA,0
Jack Fox,P,TEN,1
Jack Podlesny,K,PIT,-1
Jake Bailey,P,NE,-3
Jake Camarda,P,DET,0
James Williams,K,WAS,4
Jamie Gillan,P,PIT,-4
Joe Fraser,K,SF,-2
Joey Slye,K,NYJ,-1
Johnny Webster,K,MIN,0
Joshua Conwell,P,PHI,4
Justin Rohrwasser,K,DAL,-7
Kai Keawe,P,NYJ,0
Kai Kroeger,P,CIN,3
Matt Walker,K,LV,-3
Michael Dickson,P,BAL,-4
Michael Perez,K,MIA,2
Michael Smith,K,CLE,6
Michael Turk,P,DAL,1
Nathan Dibert,K,JAX,4
Nathan Porter,K,NYG,-2
Paul Robbins,P,KC,2
Peter Williams,P,ARI,-3
Rhett Bush,P,SEA,4
Rigoberto Sanchez,P,IND,2
Riley Rogers,K,PHI,-4
Shane Barker,K,TB,-5
Ted McCoy,K,LAR,-2
Tim Columbus,P,ATL,-1
Tommy Rich,K,TEN,7
Tommy Townsend,P,GB,4
Trevor Hardy,P,LAR,-1
Tucker Day,P,SF,3
Ty Dillon,K,IND,7
Tyler Perkins,P,HOU,4
