Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,GAMESSTARTED,OLINEPANCAKES,OLINESACKSALLOWED,DOWNSPLAYED,STAT_KEEP,GAMESPLAYED,YEARBYYEARTEAMINDEX,GAMERATING,SEAS_YEAR,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,Age,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,SacksPer1000Snaps,TeamName_y,SkillPointOL
0,C,Lucas,Patrick,Lucas Patrick,CHI,15,0,3,888,False,15,0,0,0,Lucas,Patrick,2185.0,2183.0,7.0,30.0,0.0,Signed,Normal,71.0,0.0,0.0,CHI,tier_5,3.3783783783783785,CHI,1
1,C,Frank,Ragnow,Frank Ragnow,DET,14,0,1,1016,False,14,18,0,0,Frank,Ragnow,2310.0,2308.0,5.0,27.0,18.0,Signed,Star,91.0,0.0,0.0,DET,tier_1,0.984251968503937,DET,4
3,C,Garrett,Bradbury,Garrett Bradbury,MIN,11,0,2,605,False,11,30,0,0,Garrett,Bradbury,288.0,286.0,4.0,28.0,30.0,Signed,Star,80.0,0.0,0.0,MIN,tier_3,3.3057851239669422,MIN,1
4,RG,Kevin,Zeitler,Kevin Zeitler,BAL,15,0,3,1031,False,15,24,0,0,Kevin,Zeitler,3186.0,3184.0,11.0,33.0,24.0,Signed,Normal,83.0,0.0,0.0,BAL,tier_3,2.909796314258002,BAL,0
6,LT,Laremy,Tunsil,Laremy Tunsil,HOU,13,0,10,889,False,13,31,0,0,Laremy,Tunsil,2858.0,2856.0,7.0,29.0,31.0,Signed,Star,95.0,0.0,0.0,HOU,tier_0,11.248593925759279,HOU,-3
8,LG,Cordell,Volson,Cordell Volson,CIN,14,1,5,884,False,14,1,0,0,Cordell,Volson,2916.0,2914.0,1.0,25.0,1.0,Signed,Normal,69.0,0.0,0.0,CIN,tier_6,5.656108597285067,CIN,-2
11,RG,James,Daniels,James Daniels,PIT,14,4,2,938,False,14,28,0,0,James,Daniels,632.0,630.0,5.0,25.0,28.0,Signed,Star,78.0,0.0,0.0,PIT,tier_4,2.1321961620469083,PIT,4
20,LT,Charles,Cross,Charles Cross,SEA,13,1,11,804,False,13,27,0,0,Charles,Cross,608.0,606.0,1.0,22.0,27.0,Signed,Star,77.0,0.0,0.0,SEA,tier_4,13.681592039800995,SEA,-4
26,C,Tyler,Linderbaum,Tyler Linderbaum,BAL,12,0,1,774,False,12,24,0,0,Tyler,Linderbaum,1729.0,1727.0,1.0,23.0,24.0,Signed,Star,81.0,0.0,0.0,BAL,tier_3,1.2919896640826873,BAL,8
27,LG,David,Edwards,David Edwards,BUF,15,0,2,539,False,15,2,0,0,David,Edwards,787.0,785.0,4.0,26.0,2.0,Signed,Normal,72.0,0.0,0.0,BUF,tier_5,3.7105751391465676,BUF,1
30,RT,Rasheed,Walker,Rasheed Walker,GB,12,0,5,662,False,16,19,0,0,Rasheed,Walker,2931.0,2929.0,1.0,23.0,19.0,Signed,Normal,67.0,0.0,0.0,GB,tier_6,7.552870090634442,GB,-1
33,RT,Chukwuma,Okorafor,Chukwuma Okorafor,PIT,15,5,6,916,False,15,28,0,0,Chukwuma,Okorafor,2116.0,2114.0,5.0,26.0,28.0,Signed,Normal,70.0,0.0,0.0,PIT,tier_5,6.550218340611353,PIT,0
