FullName,Position,TeamName,SkillPointKick
A.J. Cole III,P,LV,2
Anders Carlson,K,GB,-1
Blake Gillikin,P,ARI,2
Blake Grupe,K,NO,3
Brad Robbins,P,CIN,-2
Braden Mann,P,PHI,1
Bradley Pinion,P,ATL,-2
Brandon Aubrey,K,DAL,0
Brandon McManus,K,JAX,2
Brett Maher,K,LAR,-4
Bryan Anger,P,DAL,4
Bryce Baringer,P,NE,2
Cairo Santos,K,CHI,-2
Cameron Dicker,K,LAC,1
Cameron Johnston,P,HOU,3
Chad Ryland,K,NE,1
Chase McLaughlin,K,TB,1
Chris Blewitt,K,NYG,-4
Chris Boswell,K,PIT,3
Corey Bojorquez,P,CLE,-2
Daniel Carlson,K,LV,-2
Daniel Whelan,P,GB,-4
Dustin Hopkins,K,CLE,2
Eddy Pineiro,K,CAR,-3
Ethan Evans,P,LAR,2
Evan McPherson,K,CIN,-3
Graham Gano,K,NYG,-5
Greg Joseph,K,MIN,-4
Greg Zuerlein,K,NYJ,-2
Harrison Butker,K,KC,4
J.K. Scott,P,LAC,-1
Jack Fox,P,DET,-1
Jake Bailey,P,MIA,1
Jake Camarda,P,TB,-1
Jake Elliott,K,PHI,0
Jake Moody,K,SF,-3
Jamie Gillan,P,NYG,3
Jason Myers,K,SEA,2
Jason Sanders,K,MIA,-3
Joey Slye,K,WAS,0
Johnny Hekker,P,CAR,-2
Jordan Stout,P,BAL,1
Justin Tucker,K,BAL,-2
Ka'imi Fairbairn,K,HOU,1
Logan Cooke,P,JAX,-2
Lou Hedley,P,NO,2
Matt Gay,K,IND,-2
Matt Prater,K,ARI,1
Michael Dickson,P,SEA,-1
Mitch Wishnowsky,P,SF,4
Nick Folk,K,TEN,3
Pressley Harvin III,P,PIT,2
Rigoberto Sanchez,P,IND,1
Riley Dixon,P,DEN,2
Riley Patterson,K,DET,0
Ryan Stonehouse,P,TEN,-3
Ryan Wright,P,MIN,-2
Sam Martin,P,BUF,-2
Thomas Morstead,P,NYJ,1
Tommy Townsend,P,KC,-2
Trenton Gill,P,CHI,0
Tress Way,P,WAS,-1
Tyler Bass,K,BUF,-4
Wil Lutz,K,DEN,0
Younghoe Koo,K,ATL,-1
