Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,STAT_KEEP,DLINEFUMBLERECOVERYYARDS,DSECINTRETURNYARDS,DOWNSPLAYED,DLINEFUMBLERECOVERIES,ASSDEFTACKLES,BIGHITS,DEFTACKLES,DLINEHALFSACK,SEAS_YEAR,CTHALLOWED,DSECINTLONGESTRETURN,DLINESAFETIES,DSECINTS,DSECINTTDS,GAMERATING,DEFPASSDEFLECTIONS,DLINEBLOCKS,YEARBYYEARTEAMINDEX,DEFTACKLESFORLOSS,DLINEFORCEDFUMBLES,DLINESACKS,DLINEFUMBLETDS,GAMESPLAYED,GAMESSTARTED,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,Age,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,DLSacksAndTFLPer1000Snaps,DTSacksAndTFLPer1000Snaps,TotalTurnoversPer1000Snaps,LBSacksTFLPassDeflPer1000Snaps,TacklesPer1000Snaps,CBPassDeflPer1000Snaps,CBCatchAllowPer100Snaps,SafetiesCatchAllowMinusPDPerGame,TeamName_y,SkillPointDef
0,CB,Alontae,Taylor,Alontae Taylor,NO,True,0,0,655,0,12,6,38,0,0,45,0,0,0,0,0,8,0,26,4,0,1,0,15,5,Alontae,Taylor,2738.0,2736.0,1.0,24.0,26.0,Signed,Normal,73.0,0.0,0.0,NO,tier_5,8.778625954198473,9.541984732824428,0.0,19.84732824427481,76.33587786259542,12.213740458015266,6.870229007633588,2.466666666666667,NO,-4
2,DT,Bryan,Bresee,Bryan Bresee,NO,True,0,0,486,0,6,7,18,1,0,0,0,0,0,0,0,5,0,26,7,0,1,0,16,7,Bryan,Bresee,307.0,305.0,0.0,21.0,26.0,Signed,Star,75.0,0.0,0.0,NO,tier_4,18.00411522633745,19.032921810699587,0.0,26.74897119341564,49.382716049382715,10.2880658436214,0.0,-0.3125,NO,-4
5,RE,Carl,Granderson,Carl Granderson,NO,True,0,0,890,1,29,12,41,1,0,0,0,0,0,0,0,0,0,26,15,1,9,0,16,16,Carl,Granderson,1050.0,1048.0,4.0,26.0,26.0,Signed,Normal,78.0,0.0,0.0,NO,tier_4,34.550561797752806,39.6067415730337,2.247191011235955,26.966292134831463,78.65168539325842,0.0,0.0,0.0,NO,0
7,ROLB,Pete,Werner,Pete Werner,NO,True,2,16,1081,1,44,34,76,0,0,48,16,0,2,0,0,3,0,26,0,0,2,0,16,16,Pete,Werner,2996.0,2994.0,2.0,25.0,26.0,Signed,Normal,78.0,0.0,0.0,NO,tier_4,3.2377428307123033,4.162812210915819,2.7752081406105455,4.6253469010175765,111.00832562442183,2.7752081406105455,4.440333024976873,2.8125,NO,-8
8,CB,Paulson,Adebo,Paulson Adebo,NO,True,0,32,817,2,14,9,34,0,0,28,27,0,4,0,0,14,0,26,0,2,0,0,13,11,Paulson,Adebo,22.0,20.0,2.0,24.0,26.0,Signed,Star,73.0,0.0,0.0,NO,tier_5,0.0,0.0,9.791921664626683,17.135862913096695,58.7515299877601,17.135862913096695,3.4271725826193387,1.0769230769230769,NO,13
9,LOLB,Zack,Baun,Zack Baun,NO,True,0,10,325,0,9,7,22,0,0,12,10,0,1,0,0,1,0,26,0,0,0,0,16,8,Zack,Baun,175.0,173.0,3.0,26.0,26.0,Signed,Normal,68.0,0.0,0.0,NO,tier_6,0.0,0.0,3.076923076923077,3.076923076923077,95.38461538461539,3.076923076923077,3.6923076923076925,0.6875,NO,-3
10,DT,Khalen,Saunders,Khalen Saunders,NO,True,0,0,549,0,22,16,29,0,0,0,0,0,0,0,0,1,0,26,8,0,3,0,16,9,Khalen,Saunders,2476.0,2474.0,4.0,27.0,26.0,Signed,Normal,70.0,0.0,0.0,NO,tier_5,24.13479052823315,26.86703096539162,0.0,21.85792349726776,92.89617486338798,1.8214936247723132,0.0,-0.0625,NO,-1
12,DT,Nathan,Shepherd,Nathan Shepherd,NO,True,0,0,675,0,19,19,35,1,0,0,0,0,0,0,0,0,0,26,7,0,5,0,15,9,Nathan,Shepherd,2531.0,2529.0,5.0,29.0,26.0,Signed,Normal,72.0,0.0,0.0,NO,tier_5,23.333333333333336,27.037037037037038,0.0,17.77777777777778,80.0,0.0,0.0,0.0,NO,0
13,LE,Tanoh,Kpassagnon,Tanoh Kpassagnon,NO,True,8,0,417,1,8,7,10,1,0,0,0,0,0,0,0,0,0,26,1,1,1,0,16,2,Tanoh,Kpassagnon,1641.0,1639.0,6.0,29.0,26.0,Signed,Normal,70.0,0.0,0.0,NO,tier_5,6.594724220623501,7.793764988009593,4.796163069544364,4.796163069544364,43.16546762589928,0.0,0.0,0.0,NO,-2
14,SS,Marcus,Maye,Marcus Maye,NO,True,0,5,854,0,19,29,51,0,0,24,5,0,2,0,0,5,0,26,1,0,1,0,12,12,Marcus,Maye,1832.0,1830.0,6.0,30.0,26.0,Signed,Star,80.0,0.0,0.0,NO,tier_3,3.2201405152224827,3.8056206088992974,2.34192037470726,8.196721311475411,81.96721311475409,5.85480093676815,2.810304449648712,1.5833333333333333,NO,-3
16,CB,Marshon,Lattimore,Marshon Lattimore,NO,True,0,9,1008,0,22,20,59,0,0,40,7,0,3,0,0,9,0,26,2,0,0,0,16,16,Marshon,Lattimore,1677.0,1675.0,6.0,27.0,26.0,Signed,Superstar,90.0,0.0,0.0,NO,tier_1,1.984126984126984,1.984126984126984,2.976190476190476,10.912698412698411,80.35714285714286,8.928571428571429,3.968253968253968,1.9375,NO,-2
19,MLB,Demario,Davis,Demario Davis,NO,True,0,0,944,0,34,35,81,1,0,43,0,0,0,0,0,3,0,26,5,1,4,0,14,14,Demario,Davis,654.0,652.0,11.0,34.0,26.0,Signed,XFactor,92.0,0.0,0.0,NO,tier_1,12.711864406779663,14.830508474576272,1.0593220338983051,12.711864406779663,121.82203389830508,3.1779661016949157,4.555084745762712,2.857142857142857,NO,-3
21,DT,Grover,Stewart,Grover Stewart,IND,True,0,0,714,0,21,18,31,0,0,0,0,0,0,0,0,0,0,9,12,0,3,0,13,13,Grover,Stewart,2675.0,2673.0,6.0,29.0,9.0,Signed,Star,86.0,0.0,0.0,IND,tier_2,24.159663865546218,26.26050420168067,0.0,21.008403361344538,72.82913165266108,0.0,0.0,0.0,IND,-4
22,RE,Samson,Ebukam,Samson Ebukam,IND,True,23,0,868,1,16,23,47,1,0,1,0,0,0,0,0,1,0,9,15,2,7,0,16,16,Samson,Ebukam,777.0,775.0,6.0,28.0,9.0,Signed,Normal,77.0,0.0,0.0,IND,tier_4,31.394009216589865,35.42626728110599,3.4562211981566824,26.497695852534562,72.58064516129033,1.152073732718894,0.1152073732718894,0.0,IND,1
