Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,KICKEPBLOCKED,PUNTNETYARDS,PUNTYARDS,KICKFGBLOCKED,PUNTATTEMPTS,PUNTIN20,DOWNSPLAYED,KICKEPATTEMPTS,PUNTLONGEST,SEAS_YEAR,KICKNUMKICKOFFS,STAT_KEEP,GAMERATING,PUNTTOUCHBACKS,KICKFGATTEMPTS,KICKEPMADE,GAMEWINFGSMADE,KICKFGATTEMPTS50ORMORE,KICKFGATTEMPTS40TO49,KICKFGATTEMPTS30TO39,KICKFGATTEMPTS29ORLESS,GAMEWINFGATTEMPTS,KICKFGMADE30TO39,KICKFGMADE29ORLESS,KICKFGMADE,KICKFGLONGEST,GAMESSTARTED,YEARBYYEARTEAMINDEX,KICKTOUCHBACKS,KICKFGMADE50ORMORE,KICKFGMADE40TO49,PUNTBLOCKED,GAMESPLAYED,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,Age,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,FGPercentage,EPPercentage,Over40YardPercentage,PuntTBPerIn20,YardsPerPunt,NetYardsToPuntYards,TeamName_y,SkillPointKick
1,K,Joey,Slye,Joey Slye,WAS,1,0,0,1,0,0,64,33,0,0,40,False,0,0,22,33,0,5,7,8,2,0,8,1,17,61,15,25,38,3,5,0,15,Joey,Slye,2574.0,2572.0,4.0,27.0,25.0,Signed,Normal,72.0,0.0,0.0,WAS,tier_5,0.7727272727272727,1.0,0.6666666666666666,,,,WAS,0
2,P,Tress,Way,Tress Way,WAS,0,3413,3775,0,80,32,154,0,50,0,76,False,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16,25,69,0,0,1,16,Tress,Way,2980.0,2978.0,10.0,33.0,25.0,Signed,Star,77.0,0.0,0.0,WAS,tier_4,,,,0.15625,47.1875,0.9041059602649006,WAS,-1
3,P,Tommy,Townsend,Tommy Townsend,KC,0,2280,2453,0,51,25,152,0,51,0,105,False,0,4,0,0,0,0,0,0,0,0,0,0,0,0,16,8,85,0,0,1,16,Tommy,Townsend,2837.0,2835.0,3.0,26.0,8.0,Signed,Normal,82.0,0.0,0.0,KC,tier_3,,,,0.16,48.09803921568628,0.9294741133306156,KC,-2
4,K,Harrison,Butker,Harrison Butker,KC,0,0,0,0,0,0,90,49,0,0,46,False,0,0,25,47,0,6,2,12,5,0,12,5,24,60,16,8,44,5,2,0,16,Harrison,Butker,402.0,400.0,6.0,28.0,8.0,Signed,Star,78.0,0.0,0.0,KC,tier_4,0.96,0.9591836734693877,0.875,,,,KC,4
5,K,Matt,Gay,Matt Gay,IND,0,0,0,0,0,0,161,45,0,0,83,False,0,0,25,45,0,10,5,5,5,0,5,5,21,57,16,9,57,7,4,0,16,Matt,Gay,984.0,982.0,4.0,29.0,9.0,Signed,Normal,82.0,0.0,0.0,IND,tier_3,0.84,1.0,0.7333333333333333,,,,IND,-2
6,P,Rigoberto,Sanchez,Rigoberto Sanchez,IND,0,3128,3500,0,75,22,74,0,49,0,1,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,9,0,0,0,1,16,Rigoberto,Sanchez,2465.0,2463.0,6.0,28.0,9.0,Signed,Normal,74.0,0.0,0.0,IND,tier_5,,,,0.045454545454545456,46.666666666666664,0.8937142857142857,IND,1
7,K,Riley,Patterson,Riley Patterson,DET,0,0,0,1,0,0,155,44,0,0,45,False,0,0,23,43,0,5,3,10,5,0,10,4,19,54,16,18,23,2,3,0,16,Riley,Patterson,2191.0,2189.0,2.0,23.0,18.0,Signed,Normal,74.0,0.0,0.0,DET,tier_5,0.8260869565217391,0.9772727272727273,0.625,,,,DET,0
8,P,Jack,Fox,Jack Fox,DET,0,2575,2928,0,64,22,71,0,48,0,38,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,18,23,0,0,0,16,Jack,Fox,924.0,922.0,5.0,27.0,18.0,Signed,Superstar,73.0,0.0,0.0,DET,tier_5,,,,0.045454545454545456,45.75,0.8794398907103825,DET,-1
9,P,Bryce,Baringer,Bryce Baringer,NE,0,3257,3618,0,79,36,68,0,47,0,1,False,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,21,0,0,0,0,16,Bryce,Baringer,147.0,145.0,0.0,24.0,21.0,Signed,Normal,69.0,0.0,0.0,NE,tier_6,,,,0.08333333333333333,45.79746835443038,0.900221116639027,NE,2
10,K,Chad,Ryland,Chad Ryland,NE,0,0,0,0,0,0,125,19,0,0,60,False,0,0,29,19,0,10,11,4,4,0,4,4,23,56,16,21,42,6,9,0,16,Chad,Ryland,2449.0,2447.0,0.0,23.0,21.0,Signed,Normal,70.0,0.0,0.0,NE,tier_5,0.7931034482758621,1.0,0.7142857142857143,,,,NE,1
