Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,GAMESSTARTED,OLINEPANCAKES,OLINESACKSALLOWED,DOWNSPLAYED,STAT_KEEP,GAMESPLAYED,YEARBYYEARTEAMINDEX,GAMERATING,SEAS_YEAR,FirstName_y,LastName_y,PLYR_ASSETNAME,Row Excel,Row Editor,YearsPro,Age,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,SacksPer1000Snaps,TeamName_y,SkillPointOL
3,RT,Jack,Lange,Jack Lange,BUF,16,0,8,1074,False,16,2,0,6,Jack,Lange,,2700.0,2698.0,0.0,22.0,2.0,Signed,Normal,76.0,0.0,0.0,BUF,tier_4,7.4487895716946,BUF,2
10,RG,Ajani,Cornelius,Ajani Cornelius,DET,14,0,1,1016,False,14,18,0,6,Ajani,Cornelius,,1095.0,1093.0,4.0,27.0,18.0,Signed,Normal,82.0,0.0,0.0,DET,tier_3,0.984251968503937,DET,4
15,RT,Eli,Sutton,Eli Sutton,DEN,13,0,9,815,False,13,3,0,6,Eli,Sutton,,579.0,577.0,3.0,24.0,3.0,Signed,Normal,75.0,0.0,0.0,DEN,tier_4,11.042944785276074,DEN,-4
16,LT,Joe,Alt,Joe Alt,NYJ,16,0,12,1182,False,16,17,0,6,Joe,Alt,,3203.0,3201.0,5.0,26.0,17.0,Signed,Normal,76.0,0.0,0.0,NYJ,tier_4,10.15228426395939,NYJ,-4
21,RT,Kinglsey,Suamataia,Kinglsey Suamataia,SF,14,2,4,946,False,14,14,0,6,Kinglsey,Suamataia,,3213.0,3211.0,5.0,27.0,14.0,Signed,Superstar,95.0,0.0,0.0,SF,tier_0,4.2283298097251585,SF,-1
22,LG,Michael,Carroll,Michael Carroll,IND,12,5,0,853,False,12,9,0,6,Michael,Carroll,MichaelCarroll_2929,2596.0,2594.0,0.0,22.0,9.0,Signed,Normal,76.0,0.0,0.0,IND,tier_4,0.0,IND,10
33,RT,Josiah,Thompson,Josiah Thompson,TB,10,0,2,718,False,10,5,0,6,Josiah,Thompson,ThompsonJosiah_321,2602.0,2600.0,2.0,25.0,5.0,Signed,Normal,78.0,0.0,0.0,TB,tier_4,2.785515320334262,TB,10
67,LT,Ty,Haywood,Ty Haywood,DET,14,2,7,1002,False,14,18,0,6,Ty,Haywood,TyHaywood_29123,873.0,871.0,0.0,22.0,18.0,Signed,Normal,75.0,0.0,0.0,DET,tier_4,6.986027944111776,DET,2
80,LT,Jordan,Mailata,Jordan Mailata,PHI,16,0,13,1064,False,16,12,0,6,Jordan,Mailata,MailataJordan_13479,1791.0,1789.0,11.0,32.0,12.0,Signed,Superstar,87.0,0.0,0.0,PHI,tier_2,12.218045112781954,PHI,-6
87,C,Drew,Dalman,Drew Dalman,ATL,16,0,6,1106,False,16,13,0,6,Drew,Dalman,DalmanDrew_21547,624.0,622.0,8.0,30.0,13.0,Signed,Star,80.0,0.0,0.0,ATL,tier_3,5.424954792043399,ATL,-2
94,RT,Delmar,Glaze,Delmar Glaze,BAL,11,6,6,649,False,11,24,0,6,Delmar,Glaze,,2286.0,2284.0,4.0,26.0,24.0,Signed,Normal,78.0,0.0,0.0,BAL,tier_4,9.244992295839754,BAL,-1
104,RT,Reuben,Fatheree II,Reuben Fatheree II,PHI,14,0,8,952,False,14,12,0,6,Reuben,Fatheree II,,1142.0,1140.0,4.0,27.0,12.0,Signed,Normal,76.0,0.0,0.0,PHI,tier_4,8.403361344537815,PHI,-1
105,LT,Siosiua,Vete,Siosiua Vete,CAR,6,0,5,544,False,13,20,0,6,Siosiua,Vete,SiosiuaVete_29726,1712.0,1710.0,0.0,22.0,20.0,Signed,Normal,64.0,0.0,0.0,CAR,tier_6,9.191176470588236,CAR,1
109,LG,James,Dawn II,James Dawn II,DET,16,7,4,1145,False,16,18,0,6,James,Dawn II,,1029.0,1027.0,3.0,26.0,18.0,Signed,Normal,72.0,0.0,0.0,DET,tier_5,3.493449781659389,DET,3
110,C,Jack,Hollifield,Jack Hollifield,DEN,10,0,4,650,False,10,3,0,6,Jack,Hollifield,,2669.0,2667.0,3.0,25.0,3.0,Signed,Normal,85.0,0.0,0.0,DEN,tier_2,6.153846153846154,DEN,-3
121,RT,Caleb,Siech,Caleb Siech,LV,15,0,7,969,False,15,22,0,6,Caleb,Siech,,481.0,479.0,3.0,26.0,22.0,Signed,Normal,80.0,0.0,0.0,LV,tier_3,7.223942208462332,LV,1
136,LT,Rod,Orr,Rod Orr,BAL,15,1,9,990,False,15,24,0,6,Rod,Orr,,347.0,345.0,3.0,26.0,24.0,Signed,Normal,79.0,0.0,0.0,BAL,tier_4,9.09090909090909,BAL,-1
140,C,Jackson,Powers-Johnson,Jackson Powers-Johnson,BUF,16,1,3,1037,False,16,2,0,6,Jackson,Powers-Johnson,,884.0,882.0,4.0,27.0,2.0,Signed,Normal,72.0,0.0,0.0,BUF,tier_5,2.8929604628736745,BUF,3
146,C,Douglas,Utu,Douglas Utu,PIT,13,8,2,831,False,13,28,0,6,Douglas,Utu,,2801.0,2799.0,0.0,23.0,28.0,Signed,Normal,74.0,0.0,0.0,PIT,tier_5,2.406738868832732,PIT,6
149,RG,Marcus,Henderson,Marcus Henderson,PHI,14,0,3,970,False,14,12,0,6,Marcus,Henderson,,1088.0,1086.0,3.0,26.0,12.0,Signed,Superstar,94.0,0.0,0.0,PHI,tier_1,3.092783505154639,PHI,-4
157,LT,David,Sanders Jr,David Sanders Jr,ATL,16,0,12,1166,False,16,13,0,6,David,Sanders Jr,DavidSanders Jr_28119,3573.0,3571.0,1.0,22.0,13.0,Signed,Star,78.0,0.0,0.0,ATL,tier_4,10.291595197255575,ATL,-4
171,LG,Billy,Schrauth,Billy Schrauth,MIA,14,0,4,943,False,14,11,0,6,Billy,Schrauth,,2384.0,2382.0,2.0,25.0,11.0,Signed,Normal,71.0,0.0,0.0,MIA,tier_5,4.241781548250265,MIA,0
187,LT,J'ven,Williams,J'ven Williams,GB,12,3,8,827,False,12,19,0,6,J'ven,Williams,,1578.0,1576.0,3.0,25.0,19.0,Signed,Normal,83.0,0.0,0.0,GB,tier_3,9.673518742442562,GB,-2
191,C,Pierre,Dean,Pierre Dean,HOU,16,1,4,1163,False,16,31,0,6,Pierre,Dean,PierreDean_29127,2059.0,2057.0,0.0,21.0,31.0,Signed,Superstar,83.0,0.0,0.0,HOU,tier_3,3.4393809114359417,HOU,1
202,RT,Darnell,Wright,Darnell Wright,CHI,14,3,6,993,False,14,0,0,6,Darnell,Wright,WrightDarnell_22861,3156.0,3154.0,6.0,28.0,0.0,Signed,Star,89.0,0.0,0.0,CHI,tier_2,6.042296072507553,CHI,-1
211,RG,Jamaree,Salyer,Jamaree Salyer,NYJ,16,0,1,1274,False,16,17,0,6,Jamaree,Salyer,SalyerJamaree_22116,2453.0,2451.0,7.0,29.0,17.0,Signed,Normal,78.0,0.0,0.0,NYJ,tier_4,0.7849293563579278,NYJ,5
215,C,Ezra,Dotson-Oyetade,Ezra Dotson-Oyetade,CHI,14,2,5,1030,False,14,0,0,6,Ezra,Dotson-Oyetade,,1722.0,1720.0,3.0,26.0,0.0,Signed,Superstar,95.0,0.0,0.0,CHI,tier_0,4.854368932038835,CHI,-6
218,C,Cole,Dellinger,Cole Dellinger,LAC,11,0,8,729,False,12,7,0,6,Cole,Dellinger,ColeDellinger_28718,2245.0,2243.0,1.0,24.0,7.0,Signed,Normal,64.0,0.0,0.0,LAC,tier_6,10.973936899862824,LAC,-5
219,LT,Anton,Harrison,Anton Harrison,TEN,14,2,10,1104,False,14,29,0,6,Anton,Harrison,HarrisonAnton_22850,1168.0,1166.0,6.0,27.0,29.0,Signed,Star,80.0,0.0,0.0,TEN,tier_3,9.057971014492754,TEN,-2
221,LT,Garret,Greenfield,Garret Greenfield,NO,16,0,10,1051,False,16,26,0,6,Garret,Greenfield,,3282.0,3280.0,5.0,28.0,26.0,Signed,Normal,77.0,0.0,0.0,NO,tier_4,9.514747859181732,NO,-1
239,RT,JP,Benzschawel,JP Benzschawel,TB,4,0,0,414,False,16,5,0,6,JP,Benzschawel,,2950.0,2948.0,3.0,26.0,5.0,Signed,Normal,65.0,0.0,0.0,TB,tier_6,0.0,TB,13
241,RT,Nick,Brooks,Nick Brooks,ATL,11,0,7,717,False,12,13,0,6,Nick,Brooks,NickBrooks_29416,1394.0,1392.0,0.0,22.0,13.0,Signed,Normal,67.0,0.0,0.0,ATL,tier_6,9.762900976290098,ATL,1
250,LG,Nick,Gargiulo,Nick Gargiulo,IND,13,2,3,874,False,13,9,0,6,Nick,Gargiulo,,3607.0,3605.0,5.0,28.0,9.0,Signed,Normal,79.0,0.0,0.0,IND,tier_4,3.432494279176201,IND,2
