Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,STAT_KEEP,DLINEFUMBLERECOVERYYARDS,DSECINTRETURNYARDS,DOWNSPLAYED,DLINEFUMBLERECOVERIES,ASSDEFTACKLES,BIGHITS,DEFTACKLES,DLINEHALFSACK,SEAS_YEAR,CTHALLOWED,DSECINTLONGESTRETURN,DLINESAFETIES,DSECINTS,DSECINTTDS,GAMERATING,DEFPASSDEFLECTIONS,DLINEBLOCKS,YEARBYYEARTEAMINDEX,DEFTACKLESFORLOSS,DLINEFORCEDFUMBLES,DLINESACKS,DLINEFUMBLETDS,GAMESPLAYED,GAMESSTARTED,FirstName_y,LastName_y,PLYR_ASSETNAME,Row Excel,Row Editor,YearsPro,Age,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,DLSacksAndTFLPer1000Snaps,DTSacksAndTFLPer1000Snaps,TotalTurnoversPer1000Snaps,LBSacksTFLPassDeflPer1000Snaps,TacklesPer1000Snaps,CBPassDeflPer1000Snaps,CBCatchAllowPer100Snaps,SafetiesCatchAllowMinusPDPerGame,TeamName_y,SkillPointDef
1,SS,Brian,Branch,Brian Branch,DET,True,0,0,859,0,28,39,45,0,6,26,0,0,0,0,0,9,0,18,0,0,0,0,12,12,Brian,Branch,BranchBrian_23024,297.0,295.0,6.0,27.0,18.0,Signed,Superstar,87.0,0.0,0.0,DET,tier_2,0.0,0.0,0.0,10.477299185098952,84.98253783469151,10.477299185098952,3.026775320139697,1.4166666666666667,DET,-2
47,MLB,Terrel,Bernard,Terrel Bernard,GB,True,0,24,957,0,32,57,81,0,6,57,15,0,2,0,0,11,0,19,2,0,1,0,13,13,Terrel,Bernard,BernardTerrel_22192,212.0,210.0,7.0,30.0,19.0,Signed,Star,82.0,0.0,0.0,GB,tier_3,3.9184952978056424,4.38871473354232,2.0898641588296765,14.629049111807733,118.0773249738767,11.494252873563218,5.956112852664576,3.5384615384615383,GB,7
61,RE,CJ,May,CJ May,HOU,True,11,0,324,2,8,12,10,0,6,0,0,0,0,0,0,0,0,31,4,2,3,1,12,1,CJ,May,CJMay_29327,1814.0,1812.0,0.0,22.0,31.0,Signed,Normal,74.0,0.0,0.0,HOU,tier_5,28.54938271604938,32.71604938271605,15.432098765432098,21.604938271604937,55.55555555555555,0.0,0.0,0.0,HOU,7
76,MLB,Zaire,Franklin,Zaire Franklin,NE,True,0,0,352,0,3,5,8,0,6,0,0,0,0,0,0,0,0,21,0,0,0,0,16,1,Zaire,Franklin,FranklinZaire_13480,930.0,928.0,11.0,33.0,21.0,Signed,Star,69.0,0.0,0.0,NE,tier_6,0.0,0.0,0.0,0.0,31.25,0.0,0.0,0.0,NE,-3
78,DT,Kendy,Charles,Kendy Charles,DAL,True,36,0,626,4,19,28,28,1,6,0,0,0,0,0,0,0,0,10,7,4,8,1,13,13,Kendy,Charles,,443.0,441.0,4.0,27.0,10.0,Signed,Star,85.0,0.0,0.0,DAL,tier_2,33.546325878594246,39.29712460063898,14.37699680511182,23.961661341853034,75.07987220447285,0.0,0.0,0.0,DAL,4
79,SS,Mark,Perry,Mark Perry,NYJ,True,15,46,948,1,27,40,54,0,6,35,17,0,4,0,0,10,0,17,2,1,0,0,13,13,Mark,Perry,PerryMark_339,3279.0,3277.0,5.0,28.0,17.0,Signed,Star,78.0,0.0,0.0,NYJ,tier_4,2.109704641350211,2.109704641350211,6.329113924050633,12.658227848101266,85.44303797468355,10.548523206751055,3.691983122362869,1.9230769230769231,NYJ,10
94,LE,Damarrion,White,Damarrion White,HOU,True,9,0,405,1,9,6,14,1,6,0,0,0,0,0,0,0,0,31,3,1,3,0,16,1,Damarrion,White,DamarrionWhite_28722,2642.0,2640.0,1.0,24.0,31.0,Signed,Normal,70.0,0.0,0.0,HOU,tier_5,20.370370370370374,23.703703703703706,4.938271604938271,14.814814814814815,56.79012345679013,0.0,0.0,0.0,HOU,2
98,RE,Devon,Baxter,Devon Baxter,NE,True,0,0,405,0,7,7,8,1,6,1,0,0,0,0,0,0,0,21,1,0,1,0,16,0,Devon,Baxter,DevonBaxter_2863325,1482.0,1480.0,1.0,24.0,21.0,Signed,Normal,66.0,0.0,0.0,NE,tier_6,6.790123456790123,7.901234567901235,0.0,4.938271604938271,37.03703703703704,0.0,0.24691358024691357,0.0625,NE,-4
111,CB,Asante,Samuel Jr,Asante Samuel Jr,LAR,True,0,11,1067,0,13,33,45,1,6,42,6,0,2,0,0,10,0,23,0,0,0,0,16,16,Asante,Samuel Jr,SamuelJrAsante_21459,2458.0,2456.0,8.0,29.0,23.0,Signed,Star,82.0,0.0,0.0,LAR,tier_3,0.0,0.0,1.8744142455482662,9.37207122774133,54.35801312089972,9.37207122774133,3.936269915651359,2.0,LAR,-3
122,LOLB,Deshawn,Warner,Deshawn Warner,NYG,True,0,0,390,0,3,6,7,0,6,1,0,0,0,0,0,0,0,15,1,0,0,0,16,6,Deshawn,Warner,DeshawnWarner_28331,2002.0,2000.0,1.0,24.0,15.0,Signed,Normal,63.0,0.0,0.0,NYG,tier_6,2.5641025641025643,2.5641025641025643,0.0,2.5641025641025643,25.64102564102564,0.0,0.2564102564102564,0.0625,NYG,-1
