FullName,Position,TeamName,SkillPointKick
A.J. Cole III,P,LV,-3
Aeeron Burrell,K,PHI,-3
Aidan Flintoft,P,CIN,-2
Aidan Flintoft,P,MIA,-2
Alex McPherson,K,NE,7
Andres Borregales,K,PIT,-3
Austin McNamara,P,NO,-1
Blake Grupe,K,NO,-3
Brett Thorson,P,JAX,2
Brock Taylor,K,NYJ,3
Bryce McFerson,P,GB,0
Cam Little,K,MIA,-10
Cameron Dicker,K,LAC,3
Chase McLaughlin,K,BUF,5
Conor Talty,K,LAR,3
Davis Little,K,MIN,2
Dean Janikowski,K,DET,-2
Decam Duley,P,ATL,3
Dominic Zvada,K,CHI,5
Drew Miller,P,LAR,1
Dustin Hopkins,K,SF,1
Dylan Joyce,P,SF,0
Eddie Czaplicki,P,WAS,3
Eddy Pineiro,K,CAR,-7
Evan McPherson,K,BAL,-10
Griffin Kell,K,TB,-5
Harrison Butker,K,KC,4
J.K. Scott,P,DET,3
Jack Browning,K,NYG,-6
Jai Patel,K,IND,-7
Jake Bailey,P,CAR,3
James Ferguson-Reynolds,P,NYJ,-1
Jamie Gillan,P,NYG,-2
Jared Zirkel,K,ATL,1
Jeremy Crawshaw,P,PHI,-5
John Hoyland,K,TEN,-5
Joshua Karty,K,DEN,0
Ka'imi Fairbairn,K,WAS,6
Kyle Lemmermann,K,GB,4
Lucas Osada,P,SEA,-4
Mark Vassett,P,BAL,-3
Mason Fletcher,P,BUF,2
Mason Shipley,K,HOU,10
Matt Gay,K,CLE,5
Michael Kern,P,TB,1
Mitch Wishnowsky,P,DEN,1
Mitchell Lake,P,ARI,-1
Nathanial Vakos,K,LV,-8
Nolan Hauser,K,CIN,-5
Palmer Williams,P,DAL,1
Peyton Woodring,K,SEA,0
Pressley Harvin III,P,PIT,2
Riley Thompson,P,CLE,1
Ryan Rehkow,P,NE,-1
Ryan Wright,P,MIN,-4
Tom Ellard,P,LAC,-5
Tommy Doman,P,CHI,-1
Tommy Townsend,P,HOU,4
Tory Taylor,P,IND,0
Tristan Alvano,K,DAL,3
Tyler Kinsman,P,TEN,1
Tyler White,P,KC,-1
Will Ferrin,K,ARI,3
Will Reichard,K,JAX,10
