FullName,Position,TeamName,SkillPointOL
Ajani Cornelius,RG,DET,4
Alex Birchmeier,LG,DAL,3
Alex Birchmeier,LG,NO,-4
Aliou Bah,RG,ARI,-6
Andrew Babalola,RT,MIA,-1
Andrew Chamblee,LT,DAL,4
Andrew Page,C,CLE,4
Andrew Raym,C,CIN,1
Andrew Sprague,RT,CLE,-4
Andrew Thomas,LT,CAR,1
Andrew Vorhees,LG,NYG,-1
Anton Harrison,LT,TEN,-2
Austin Corbett,RG,BAL,-1
Beaux Limmer,C,WAS,-6
Ben Christman,LG,ARI,-9
Billy Schrauth,LG,MIA,0
Brandon Baker,LT,TB,-7
Brandon Coleman,LT,LV,-4
Braxton Jones,LT,IND,6
Brian O'Neill,RT,CAR,-1
Broderick Jones,LT,PIT,3
Bryce Foster,C,CAR,2
Caleb Siech,RT,LV,1
Calvin Clements,LT,CHI,-2
Cam Robinson,LT,KC,-3
Cam'Ron Johnson,LG,LV,-2
Carson Hinzman,C,SEA,2
Cesar Ruiz,RG,DEN,0
Champ Taulealea,RG,SF,-6
Charles Cross,LT,SEA,1
Chase Bisontis,RG,LAR,1
Chris Lindstrom,RG,ATL,6
Christian Darrisaw,LT,MIN,-2
Cole Dellinger,C,LAC,-5
Cole Hutson,LG,BAL,1
Connor Lew,C,ARI,2
Connor Williams,C,NE,12
Cooper Beebee,LG,JAX,1
Creed Humphrey,C,KC,1
DJ Campbell,RG,CLE,5
Darnell Wright,RT,CHI,-1
David Sanders Jr,LT,ATL,-4
Delmar Glaze,RT,BAL,-1
Demetrius Hunter,C,PHI,1
Dominic Rulli,C,MIA,0
Donovan Jackson,RG,LV,-4
Douglas Utu,C,PIT,6
Drake Nugent,C,TB,-1
Drew Dalman,C,ATL,-2
Drew Hill,LG,SF,1
E.J. Harris,RG,SEA,6
Earnest Greene III,LG,NYJ,-7
Ed Ingram,LG,NE,-3
Elgton Jenkins,LG,WAS,-5
Eli Sutton,RT,DEN,-4
Elijah Paige,LT,HOU,3
Elijah Pritchett,LT,NYG,2
Elishah Jackett,LT,NYG,7
Eugene Brooks,RG,NYG,12
Ezra Cleveland,RG,JAX,-3
Ezra Dotson-Oyetade,C,CHI,-6
Francis Mauigoa,RT,JAX,-2
Frank Ragnow,C,DET,-1
Garret Greenfield,LT,NO,-1
Garrett Dellinger,RG,CAR,4
Garrett Schwiebert,LG,BUF,5
Graham Barton,RG,WAS,-6
Greg Crippen,C,BAL,-2
Guerby Lambert,RT,PIT,3
