Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,KICKEPBLOCKED,PUNTNETYARDS,PUNTYARDS,KICKFGBLOCKED,PUNTATTEMPTS,PUNTIN20,DOWNSPLAYED,KICKEPATTEMPTS,PUNTLONGEST,SEAS_YEAR,KICKNUMKICKOFFS,STAT_KEEP,GAMERATING,PUNTTOUCHBACKS,KICKFGATTEMPTS,KICKEPMADE,GAMEWINFGSMADE,KICKFGATTEMPTS50ORMORE,KICKFGATTEMPTS40TO49,KICKFGATTEMPTS30TO39,KICKFGATTEMPTS29ORLESS,GAMEWINFGATTEMPTS,KICKFGMADE30TO39,KICKFGMADE29ORLESS,KICKFGMADE,KICKFGLONGEST,GAMESSTARTED,YEARBYYEARTEAMINDEX,KICKTOUCHBACKS,KICKFGMADE50ORMORE,KICKFGMADE40TO49,PUNTBLOCKED,GAMESPLAYED,FirstName_y,LastName_y,PLYR_ASSETNAME,Row Excel,Row Editor,YearsPro,Age,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,FGPercentage,EPPercentage,Over40YardPercentage,PuntTBPerIn20,YardsPerPunt,NetYardsToPuntYards,TeamName_y,SkillPointKick
8,P,Bryce,McFerson,Bryce McFerson,GB,0,3565,3810,0,81,32,171,0,51,6,86,False,0,6,0,0,0,0,0,0,0,0,0,0,0,0,16,19,54,0,0,0,16,Bryce,McFerson,,1565.0,1563.0,2.0,24.0,19.0,Signed,Normal,77.0,0.0,0.0,GB,tier_4,,,,0.1875,47.03703703703704,0.9356955380577427,GB,0
9,K,Will,Reichard,Will Reichard,JAX,0,0,0,0,0,0,74,52,0,6,0,False,0,0,20,52,0,10,4,4,2,0,4,2,20,59,15,16,0,10,4,0,16,Will,Reichard,,3445.0,3443.0,5.0,28.0,16.0,Signed,Normal,72.0,0.0,0.0,JAX,tier_5,1.0,1.0,1.0,,,,JAX,10
12,K,Jack,Browning,Jack Browning,NYG,0,0,0,1,0,0,82,62,0,6,0,False,0,0,18,60,0,9,5,2,2,0,1,2,15,59,16,15,0,8,4,0,16,Jack,Browning,BrowningJack_685,3622.0,3620.0,5.0,27.0,15.0,Signed,Normal,75.0,0.0,0.0,NYG,tier_4,0.8333333333333334,0.967741935483871,0.8571428571428571,,,,NYG,-6
19,P,Aidan,Flintoft,Aidan Flintoft,CIN,0,3147,3436,0,74,24,67,0,51,6,1,False,0,5,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,16,Aidan,Flintoft,,970.0,968.0,1.0,23.0,1.0,Signed,Normal,75.0,0.0,0.0,CIN,tier_4,,,,0.20833333333333334,46.432432432432435,0.9158905704307334,CIN,-2
22,P,Pressley,Harvin III,Pressley Harvin III,PIT,0,3193,3374,0,71,31,15,0,54,6,15,False,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,28,12,0,0,0,16,Pressley,Harvin III,HarvinIIIPressley_21854,1178.0,1176.0,8.0,30.0,28.0,Signed,Star,86.0,0.0,0.0,PIT,tier_2,,,,0.12903225806451613,47.521126760563384,0.9463544754001185,PIT,2
28,K,Brock,Taylor,Brock Taylor,NYJ,0,0,0,0,0,0,141,39,0,6,76,False,0,0,21,38,0,4,8,6,3,0,6,3,21,58,16,17,46,4,8,0,16,Brock,Taylor,BrockTaylor_2875,2122.0,2120.0,1.0,24.0,17.0,Signed,Star,83.0,0.0,0.0,NYJ,tier_3,1.0,0.9743589743589743,1.0,,,,NYJ,3
34,P,James,Ferguson-Reynolds,James Ferguson-Reynolds,NYJ,0,3924,4167,0,92,34,92,0,49,6,0,False,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16,17,0,0,0,0,16,James,Ferguson-Reynolds,,964.0,962.0,3.0,25.0,17.0,Signed,Normal,73.0,0.0,0.0,NYJ,tier_5,,,,0.14705882352941177,45.29347826086956,0.9416846652267818,NYJ,-1
35,P,Drew,Miller,Drew Miller,LAR,0,3903,4226,0,94,31,98,0,47,6,3,False,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,23,0,0,0,0,16,Drew,Miller,DrewMiller_2963266,175.0,173.0,0.0,23.0,23.0,Signed,Normal,71.0,0.0,0.0,LAR,tier_5,,,,0.0967741935483871,44.95744680851064,0.9235683861807856,LAR,1
40,P,Brett,Thorson,Brett Thorson,JAX,0,3227,3373,0,73,28,159,0,49,6,89,False,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,16,51,0,0,0,16,Brett,Thorson,,2016.0,2014.0,3.0,25.0,16.0,Signed,Normal,75.0,0.0,0.0,JAX,tier_4,,,,0.10714285714285714,46.205479452054796,0.956715090423955,JAX,2
55,P,Tyler,White,Tyler White,KC,0,2610,2762,0,61,26,60,0,49,6,1,False,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,8,0,0,0,0,16,Tyler,White,TylerWhite_28729,3132.0,3130.0,1.0,23.0,8.0,Signed,Normal,73.0,0.0,0.0,KC,tier_5,,,,0.11538461538461539,45.278688524590166,0.944967414916727,KC,-1
