FullName,Position,TeamName,SkillPointKick
A.J. Cole,P,LV,0
Andre Szmyt,K,CLE,1
Andres Borregales,K,NE,3
Austin McNamara,P,NYJ,0
Blake Grupe,K,IND,0
Braden Mann,P,HOU,-1
Brandon Aubrey,K,DAL,0
Brandon McManus,K,GB,1
Brett Thorson,P,CAR,0
Bryan Anger,P,DAL,3
Bryce Baringer,P,NE,1
Cairo Santos,K,CHI,-2
Cam Little,K,JAX,1
Cameron Dicker,K,LAC,-1
Chad Ryland,K,LV,-3
Chase McLaughlin,K,TB,2
Chris Boswell,K,PIT,-1
Collin Rogers,K,NO,-1
Corliss Waitman,P,PHI,-1
Daniel Whelan,P,GB,1
Devin Bale,P,MIA,0
Drew Stevens,K,TEN,-1
Eddy Pineiro,K,SF,2
Ethan Craw,P,BAL,-2
Ethan Evans,P,LAR,4
Evan McPherson,K,CIN,0
Graham Gano,K,NYG,5
Harrison Butker,K,KC,-1
Harrison Mevis,K,LAR,1
JK Scott,P,LAC,1
Jack Bouwmeester,P,CLE,0
Jack Browning,P,NYG,2
Jack Fox,P,DET,3
Jake Bailey,P,PIT,2
Jake Bates,K,ATL,-2
Jake Camarda,P,NO,-3
Jake Elliott,K,PHI,1
Jason Myers,K,SEA,-1
Jason Sanders,K,MIA,0
Jeremy Crawshaw,P,DEN,1
Jordan Stout,P,BUF,4
Ka'imi Fairbairn,K,HOU,-4
Logan Cooke,P,JAX,-3
Matt Araiza,P,KC,-1
Michael Dickson,P,SEA,1
Mitch Wishnowsky,P,ATL,3
Nick Folk,K,WAS,2
Rigoberto Sanchez,P,IND,-2
Riley Dixon,P,TB,3
Ryan Eckley,P,SF,3
Ryan Fitzgerald,K,CAR,4
Ryan Rehkow,P,CIN,0
Ryan Wright,P,MIN,1
Tommy Townsend,P,WAS,0
Tory Taylor,P,CHI,6
Tress Way,P,TEN,-1
Trey Smack,K,NYJ,0
Tyler Bass,K,BUF,3
Tyler Loop,K,BAL,-2
Wil Lutz,K,DEN,1
Will Reichard,K,MIN,-1
Zane Gonzalez,K,DET,0
