Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,KICKEPBLOCKED,PUNTNETYARDS,PUNTYARDS,KICKFGBLOCKED,PUNTATTEMPTS,PUNTIN20,DOWNSPLAYED,KICKEPATTEMPTS,PUNTLONGEST,SEAS_YEAR,KICKNUMKICKOFFS,STAT_KEEP,GAMERATING,PUNTTOUCHBACKS,KICKFGATTEMPTS,KICKEPMADE,GAMEWINFGSMADE,KICKFGATTEMPTS50ORMORE,KICKFGATTEMPTS40TO49,KICKFGATTEMPTS30TO39,KICKFGATTEMPTS29ORLESS,GAMEWINFGATTEMPTS,KICKFGMADE30TO39,KICKFGMADE29ORLESS,KICKFGMADE,KICKFGLONGEST,GAMESSTARTED,YEARBYYEARTEAMINDEX,KICKTOUCHBACKS,KICKFGMADE50ORMORE,KICKFGMADE40TO49,PUNTBLOCKED,GAMESPLAYED,FirstName_y,LastName_y,PLYR_ASSETNAME,Row Excel,Row Editor,YearsPro,Age,PLYR_DRAFTROUND,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,FGPercentage,EPPercentage,LongestFG,PuntTBPerIn20,YardsPerPunt,NetYardsToPuntYards,TeamName_y,SkillPointKick
45,K,Zane,Gonzalez,Zane Gonzalez,DET,0,0,0,0,0,0,51,29,0,1,0,True,0,0,19,28,0,11,3,3,2,0,3,2,15,57,10,18,0,7,3,0,10,Zane,Gonzalez,GonzalezZane_12821,955.0,953.0,9.0,31.0,7.0,18.0,Signed,Normal,72.0,0.0,0.0,DET,tier_5,0.7894736842105263,0.9655172413793104,57,,,,DET,0.0
755,K,Ryan,Fitzgerald,Ryan Fitzgerald,CAR,0,0,0,0,0,0,78,34,0,1,0,True,0,0,34,34,0,10,7,8,9,0,6,9,29,58,17,20,0,9,5,0,17,Ryan,Fitzgerald,FitzgeraldRyan_15369,824.0,822.0,1.0,26.0,63.0,20.0,Signed,Normal,70.0,0.0,0.0,CAR,tier_5,0.8529411764705882,1.0,58,,,,CAR,4.0
756,K,Trey,Smack,Trey Smack,NYJ,0,0,0,0,0,0,54,29,0,1,0,True,0,0,17,28,0,2,2,7,6,0,7,5,14,43,16,17,0,0,2,0,16,Trey,Smack,TreySmack_26729,3656.0,3654.0,0.0,23.0,7.0,17.0,Signed,Normal,69.0,0.0,0.0,NYJ,tier_6,0.8235294117647058,0.9655172413793104,43,,,,NYJ,0.0
757,P,Ryan,Rehkow,Ryan Rehkow,CIN,0,3534,3845,0,83,24,107,0,53,1,0,True,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,17,Ryan,Rehkow,RehkowRyan_1330,2210.0,2208.0,2.0,27.0,63.0,1.0,Signed,Normal,72.0,0.0,0.0,CIN,tier_5,,,0,0.125,46.325301204819276,0.9191157347204161,CIN,0.0
758,K,Will,Reichard,Will Reichard,MIN,0,0,0,0,0,0,174,49,0,1,89,True,0,0,26,48,0,11,10,3,2,0,3,2,24,57,17,30,33,10,9,0,17,Will,Reichard,ReichardWill_15004,2211.0,2209.0,2.0,25.0,6.0,30.0,Signed,Normal,82.0,0.0,0.0,MIN,tier_3,0.9230769230769231,0.9795918367346939,57,,,,MIN,-1.0
759,K,Tyler,Bass,Tyler Bass,BUF,0,0,0,1,0,0,108,47,0,1,23,True,0,0,32,43,0,18,7,4,3,0,4,3,29,66,17,2,3,15,7,0,17,Tyler,Bass,BassTyler_21170,166.0,164.0,6.0,29.0,6.0,2.0,Signed,College_Impact,73.0,0.0,0.0,BUF,tier_5,0.90625,0.9148936170212766,66,,,,BUF,3.0
760,P,Jordan,Stout,Jordan Stout,BUF,0,4146,4408,0,95,35,171,0,53,1,71,True,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17,2,28,0,0,0,17,Jordan,Stout,StoutJordan_22253,2542.0,2540.0,4.0,28.0,4.0,2.0,Signed,Normal,74.0,0.0,0.0,BUF,tier_5,,,0,0.05714285714285714,46.4,0.940562613430127,BUF,4.0
761,P,Bryan,Anger,Bryan Anger,DAL,0,3670,3946,0,81,36,99,0,55,1,0,True,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,10,0,0,0,0,17,Bryan,Anger,AngerBryan_11594,83.0,81.0,14.0,37.0,3.0,10.0,Signed,Normal,81.0,0.0,0.0,DAL,tier_3,,,0,0.08333333333333333,48.71604938271605,0.9300557526609224,DAL,3.0
762,K,Brandon,Aubrey,Brandon Aubrey,DAL,0,0,0,1,0,0,202,51,0,1,102,True,0,0,34,51,0,14,10,6,4,0,6,3,29,61,17,10,40,11,9,0,17,Brandon,Aubrey,AubreyBrandon_23329,102.0,100.0,4.0,31.0,63.0,10.0,Signed,College_Star,83.0,0.0,0.0,DAL,tier_3,0.8529411764705882,1.0,61,,,,DAL,0.0
763,P,A.J.,Cole,A.J. Cole,LV,0,4695,5022,0,109,41,165,0,53,1,43,True,0,6,0,0,0,0,0,0,0,0,0,0,0,0,17,22,14,0,0,0,17,A.J.,Cole,ColeIIIAJ_20821,497.0,495.0,7.0,30.0,63.0,22.0,Signed,Normal,74.0,0.0,0.0,LV,tier_5,,,0,0.14634146341463414,46.07339449541284,0.9348864994026285,LV,0.0
765,K,Jake,Bates,Jake Bates,ATL,0,0,0,0,0,0,56,36,0,1,0,True,0,0,15,34,0,5,5,5,0,0,4,0,10,60,10,13,0,2,4,0,10,Jake,Bates,BatesJake_1238,172.0,170.0,3.0,27.0,63.0,13.0,Signed,Normal,69.0,0.0,0.0,ATL,tier_6,0.6666666666666666,0.9444444444444444,60,,,,ATL,-2.0
766,P,Jack,Fox,Jack Fox,DET,0,3657,3889,0,81,29,184,0,54,1,98,True,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,18,29,0,0,0,17,Jack,Fox,FoxJack_20716,859.0,857.0,8.0,30.0,63.0,18.0,Signed,Normal,78.0,0.0,0.0,DET,tier_4,,,0,0.10344827586206896,48.01234567901235,0.9403445615839547,DET,3.0
767,P,Rigoberto,Sanchez,Rigoberto Sanchez,IND,0,4011,4251,0,86,34,172,0,55,1,74,True,0,12,0,0,0,0,0,0,0,0,0,0,0,0,17,9,23,0,0,0,17,Rigoberto,Sanchez,SanchezRigoberto_12930,2335.0,2333.0,9.0,31.0,63.0,9.0,Signed,Normal,82.0,0.0,0.0,IND,tier_3,,,0,0.35294117647058826,49.43023255813954,0.9435426958362738,IND,-2.0
768,K,Blake,Grupe,Blake Grupe,IND,0,0,0,1,0,0,73,45,0,1,0,True,0,0,20,44,0,8,4,3,5,0,3,5,15,60,15,9,0,3,4,0,15,Blake,Grupe,GrupeBlake_23337,1003.0,1001.0,3.0,27.0,63.0,9.0,Signed,Normal,71.0,0.0,0.0,IND,tier_5,0.75,0.9777777777777777,60,,,,IND,0.0
769,K,Tyler,Loop,Tyler Loop,BAL,1,0,0,1,0,0,162,41,0,1,82,True,0,0,31,40,0,13,6,7,5,0,7,4,22,60,17,24,17,8,3,0,17,Tyler,Loop,LoopTyler_15363,1625.0,1623.0,1.0,25.0,6.0,24.0,Signed,Normal,74.0,0.0,0.0,BAL,tier_5,0.7096774193548387,0.975609756097561,60,,,,BAL,-2.0
770,P,Ethan,Craw,Ethan Craw,BAL,0,3695,3979,0,90,30,105,0,53,1,0,True,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17,24,0,0,0,0,17,Ethan,Craw,EthanCraw_26735,3671.0,3669.0,0.0,24.0,7.0,24.0,Signed,Normal,69.0,0.0,0.0,BAL,tier_6,,,0,0.16666666666666666,44.21111111111111,0.9286252827343554,BAL,-2.0
771,P,Brett,Thorson,Brett Thorson,CAR,0,3855,4078,0,88,37,187,0,53,1,80,True,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17,20,20,0,0,0,17,Brett,Thorson,BrettThorson_26615,3488.0,3486.0,0.0,25.0,6.0,20.0,Signed,Normal,75.0,0.0,0.0,CAR,tier_4,,,0,0.13513513513513514,46.34090909090909,0.9453163315350662,CAR,0.0
